"","efficiencies(result)"
"0",1
"1",1
"2",0.528003
"3",0.294408
"4",0.552461
"5",1
"6",0.473712
"7",1
"8",1
"9",1
"10",0.69631
"11",0.397506
"12",0.222499
"13",1
"14",1
"15",1
"16",1
"17",1
"18",1
"19",0.887641
"20",0.867986
"21",0.426772
"22",1
"23",0.875294
"24",1
"25",1
"26",1
"27",0.087914
"28",0.714856
"29",1
"30",1
"31",0.970703
"32",0.962684
"33",1
"34",1
"35",1
"36",1
"37",0.378561
"38",1
"39",1
"40",1
"41",0.371201
"42",1
"43",0.595654
"44",1
"45",1
"46",1
"47",0.925263
"48",0.967328
"49",1
