"","efficiencies(result)"
"0",0.570751
"1",0.358826
"2",0.114723
"3",0.077033
"4",0.066818
"5",0.436031
"6",0.07786
"7",0.290138
"8",0.48849
"9",0.283461
"10",0.214504
"11",0.09998
"12",0.03362
"13",0.554253
"14",0.823131
"15",0.242679
"16",0.283823
"17",1
"18",0.267301
"19",0.106059
"20",0.179188
"21",0.101108
"22",0.587991
"23",0.20787
"24",0.649713
"25",0.752009
"26",0.505641
"27",0.01526
"28",0.126409
"29",0.309804
"30",0.502499
"31",0.196169
"32",0.19438
"33",0.423941
"34",0.560668
"35",1
"36",0.678775
"37",0.061018
"38",0.383787
"39",0.21176
"40",0.154403
"41",0.071503
"42",0.415571
"43",0.091461
"44",0.453521
"45",0.343361
"46",0.632904
"47",0.284459
"48",0.222116
"49",0.298949
