dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,25,0.0878305067644691,0.1270830431586791,False,0.1259751393225895,0.10428039399316763,False,100,99,0.99,12
sqrt,7,0.10383304283758883,0.05112930465779228,False,0.053573063951397513,0.03532522968818484,False,100,30,0.3,12
log,3,0.29611352451793277,0.013210042511644718,False,0.0071002292718266155,0.013204878486366489,False,100,11,0.11,12
ten_percent,5,0.174051342814822,0.00961695895298783,False,-0.0349649947426821,0.008003448382191612,False,100,18,0.18,12
original,50,0.08315638261363376,0.16260068805748643,False,0.19750337788660177,0.13343174084840925,False,99,98,0.98989898989899,12
half,25,0.0826858421386546,0.14492670022515095,False,0.1728656746888204,0.11892829075619085,False,99,98,0.98989898989899,10
sqrt,7,0.10525747274353976,0.017387239166497433,False,-0.0029885548995078923,0.013712418653124654,False,100,41,0.41,10
log,3,0.26378400200376795,-0.02451593872310374,False,-0.013514360108973812,-0.017739574702275083,False,100,14,0.14,10
ten_percent,5,0.14062998312006075,-0.07105641158923197,False,-0.09215589646394683,-0.050299599009181406,False,100,31,0.31,10
original,50,0.07588645749026528,,True,,,True,99,99,1.0,10
half,25,0.07037796438765065,-0.07776554646227612,False,-0.087256565935843,-0.06381518040576095,False,99,98,0.98989898989899,0
sqrt,7,0.10637873069934331,-0.0032585526907169724,False,-0.10310661062170795,-0.007962049540523992,False,100,41,0.41,0
log,3,0.29355806900903547,0.05633999447233197,False,0.020010433563844885,0.03213413840115632,False,100,12,0.12,0
ten_percent,5,0.16331091220443586,0.00737177917864291,False,-0.007292892106079257,0.0024947917117132093,False,100,24,0.24,0
original,50,0.06848508452919311,,True,,,True,99,99,1.0,0
half,25,0.08085370115932676,-0.11963510217088884,False,-0.12185751265321268,-0.09822816288517956,False,100,98,0.98,3
sqrt,7,0.08906609136746688,0.11282592795287809,False,0.1311771319381003,0.07197946087363732,False,100,47,0.47,3
log,3,0.23870235810791002,0.3102594731603996,False,0.338526007679786,0.216735486642972,False,100,17,0.17,3
ten_percent,5,0.1341069600293081,0.1372841596949213,False,0.11951030992483118,0.09108817188646634,False,100,29,0.29,3
original,50,0.07880764178747686,,True,,,True,100,100,1.0,3
half,25,0.0742063178431117,-0.16330996589658248,False,-0.1250565848331089,-0.13402061855670105,False,98,97,0.9897959183673469,5
sqrt,7,0.08236435551899762,-0.010788187043584186,False,0.02658151831073583,-0.000228506224995674,False,100,47,0.47,5
