,dims,mae,spearmanr,pearsonr,kendalltau,iteration
original,100,0.32868782523059226,0.3029138545364407,0.17804004814776642,0.24758454979685085,0
half,50,0.22895474404589428,0.4032691661756503,0.44268464444291933,0.29402850699099087,0
sqrt,10,0.15845885331703594,0.49805874786137755,0.52077715995384,0.3796240843586258,0
ten_percent,10,0.15845885331703594,0.49805874786137755,0.52077715995384,0.3796240843586258,0
log,4,0.156047782942747,0.49851019733905544,0.4987845327003273,0.3935259968310342,0
original,100,0.31206531505554097,0.19189650726643548,0.0742427138521513,0.1549268073579939,1
half,50,0.16815162265402964,0.5763146475704394,0.5811668958344405,0.4380707070324169,1
sqrt,10,0.13328056061642377,0.6568513909764485,0.6579526150492009,0.5247625788045754,1
ten_percent,10,0.13328056061642377,0.6568513909764485,0.6579526150492009,0.5247625788045754,1
log,4,0.13490133767290105,0.6476116190249314,0.6605314828391251,0.5140548633834642,1
original,100,0.27510830095305316,,,,2
half,50,0.1735688308229088,0.627588979551108,0.617521127020614,0.4614274810860669,2
sqrt,10,0.16188565443029568,0.636232710538712,0.6307113642941634,0.47301403482384685,2
ten_percent,10,0.16188565443029568,0.636232710538712,0.6307113642941634,0.47301403482384685,2
log,4,0.11995315863099233,0.6959044678940239,0.6740365430032573,0.5546797057934341,2
original,100,0.3052886770553461,0.26640353954512247,0.31172507739056693,0.21718259933520398,3
half,50,0.20389520296532299,0.5607090737105288,0.5383807395929681,0.425285130723312,3
sqrt,10,0.20026582810123578,0.5693540162783588,0.5561919933184114,0.42530834584161276,3
ten_percent,10,0.20026582810123578,0.5693540162783588,0.5561919933184114,0.42530834584161276,3
log,4,0.23701666577542504,0.576965427441623,0.5713742077926034,0.41155672500129237,3
original,100,0.2683313975133437,0.2453551915483245,0.11069131729761814,0.198642768192409,4
half,50,0.1620069161952108,0.5644143073052772,0.5490736080581243,0.42264935659773417,4
sqrt,10,0.1401397929325734,0.6256782586205663,0.6056774599017568,0.473664790158551,4
ten_percent,10,0.1401397929325734,0.6256782586205663,0.6056774599017568,0.473664790158551,4
log,4,0.12836432847956986,0.6379876808781269,0.6194882989111986,0.47834085691169553,4
original,100,0.29814720434437664,0.1358820492862774,-0.030800544059650003,0.11107812332411196,5
half,50,0.16365036367555824,0.6017402795280303,0.6415352271897041,0.47522774545678237,5
sqrt,10,0.12873221233052878,0.6381411263488882,0.6594434316915998,0.5145839570148664,5
ten_percent,10,0.12873221233052878,0.6381411263488882,0.6594434316915998,0.5145839570148664,5
log,4,0.16911020347646644,0.6076990011436488,0.6403038043256357,0.4665454668262558,5
original,100,0.3099316389785727,0.13268993870905346,0.036655957463018474,0.10769372379266072,6
half,50,0.1261165206028316,0.7181174436780038,0.7025115436092662,0.5600248596998979,6
sqrt,10,0.1250133326613373,0.700206494927,0.6909240053427756,0.5514608891409648,6
ten_percent,10,0.1250133326613373,0.700206494927,0.6909240053427756,0.5514608891409648,6
log,4,0.1499057840411598,0.6421060417220167,0.6377335059382485,0.48703599467115344,6
original,100,0.28299036305169195,0.2107709927650184,0.14747818579888355,0.1717052317943276,7
