dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,10,0.0768664610264567,-0.21882153700534204,False,-0.21886970817105766,-0.18307923295711667,False,20,19,0.95,5
sqrt,4,0.16740251748323431,-0.11677047678068779,False,-0.24887584382922506,-0.11719231732546342,False,20,7,0.35,5
log,2,0.35361468054858247,0.2681895142723362,False,0.18902529684565098,0.19466570535691505,False,20,5,0.25,5
ten_percent,2,0.35361468054858247,0.2681895142723362,False,0.18902529684565098,0.19466570535691505,False,20,5,0.25,5
original,20,0.07174524891714425,,True,,,True,20,20,1.0,5
half,10,0.08885680620596001,-0.05967860100145693,False,0.00922733123997008,-0.04993069989739546,False,20,19,0.95,12
sqrt,4,0.13501102066071885,-0.026336779544656776,False,0.01576106565646593,-0.006243905410544626,False,20,11,0.55,12
log,2,0.3766464277769448,0.23334002936689138,False,0.2673639150782454,0.17303618253948003,False,20,5,0.25,12
ten_percent,2,0.3766464277769448,0.23334002936689138,False,0.2673639150782454,0.17303618253948003,False,20,5,0.25,12
original,20,0.08375008406540696,,True,,,True,20,20,1.0,12
half,10,0.06197636097184132,,True,,,True,20,20,1.0,11
sqrt,4,0.091069874990697,0.144271873892067,False,0.046723202216774916,0.11803342130469506,False,20,15,0.75,11
log,2,0.23678754230947133,0.33187398663984946,False,0.22434799725731566,0.1841593557971568,False,20,7,0.35,11
ten_percent,2,0.23678754230947133,0.33187398663984946,False,0.22434799725731566,0.1841593557971568,False,20,7,0.35,11
original,20,0.06197636097184132,,True,,,True,20,20,1.0,11
half,10,0.0657197513872149,0.18391350092958328,False,0.16234597282745045,0.1560797945143416,False,20,16,0.8,10
sqrt,4,0.181328284709162,-0.17499855748577695,False,-0.052591993600323385,-0.11692108443873354,False,20,9,0.45,10
log,2,0.39625644115604114,-0.06705357963073502,False,-0.006041477450841136,-0.03838859479749573,False,20,6,0.3,10
ten_percent,2,0.39625644115604114,-0.06705357963073502,False,-0.006041477450841136,-0.03838859479749573,False,20,6,0.3,10
original,20,0.06672074946962184,,True,,,True,20,20,1.0,10
half,10,0.06097629089161527,-0.021770335658899468,False,-0.15601967625487098,-0.019744962591969742,False,20,17,0.85,14
sqrt,4,0.12815254383820682,-0.17499855748577695,False,-0.05753280516736815,-0.1286131928826069,False,20,9,0.45,14
log,2,0.47831181245494125,-0.1308762785295438,False,-0.2253906223941113,-0.1213724541484165,False,20,2,0.1,14
