,dims,mae,spearmanr,pearsonr,kendalltau,iteration
original,100,0.2785192969125672,,,,0
half,50,0.2785192969125672,,,,0
sqrt,10,0.2772091222373664,0.14223451613466426,-0.04427415475468209,0.10529507219645665,0
ten_percent,10,0.2772091222373664,0.14223451613466426,-0.04427415475468209,0.10529507219645665,0
log,4,0.2575533527779743,0.17191250278937822,0.14319232131117765,0.12164595409227733,0
original,100,0.3120859468404722,,,,1
half,50,0.314419094450004,0.02959468128352801,0.03746726415702544,0.024284475313477393,1
sqrt,10,0.3108839709446512,0.028388563597010773,0.09474842638321833,0.01881303710471942,1
ten_percent,10,0.3108839709446512,0.028388563597010773,0.09474842638321833,0.01881303710471942,1
log,4,0.280170439920105,0.22308314817496233,0.14916420406954553,0.16266527922283916,1
original,100,0.27510830095305316,,,,2
half,50,0.2751080607470101,-0.13056477036850592,-0.12891414175392707,-0.10713739108887084,2
sqrt,10,0.27119729525814135,0.2930016038639453,0.2765161363511098,0.2151085651635626,2
ten_percent,10,0.27119729525814135,0.2930016038639453,0.2765161363511098,0.2151085651635626,2
log,4,0.2570642561850589,-0.0050906217469281635,-0.03269851855250598,-0.007567401738813178,2
original,100,0.31597682035513386,,,,3
half,50,0.31925674401516274,0.019149499654047535,0.010501398641736225,0.015713484026367724,3
sqrt,10,0.3142493701650575,0.01816673163938799,0.0172128310889055,0.016152644671181472,3
ten_percent,10,0.3142493701650575,0.01816673163938799,0.0172128310889055,0.016152644671181472,3
log,4,0.28294039559299194,0.17329006364738436,0.2044446083742208,0.1245512059347136,3
original,100,0.26169641372695907,,,,4
half,50,0.26169615685969133,-0.13056477036850592,-0.1203762480852199,-0.10713739108887084,4
sqrt,10,0.2592492709714517,0.1857528457461836,0.09149980913038437,0.1436898862690558,4
ten_percent,10,0.2592492709714517,0.1857528457461836,0.09149980913038437,0.1436898862690558,4
log,4,0.2046157695782001,0.49504518405562,0.476324273719896,0.3521814299701814,4
original,100,0.2932116142017196,,,,5
half,50,0.2932113187169481,-0.09922922548006449,-0.10013723914102239,-0.08142441722754185,5
sqrt,10,0.29262317612690625,0.15702503548000468,0.16989741570555258,0.12704365162721806,5
ten_percent,10,0.29262317612690625,0.15702503548000468,0.16989741570555258,0.12704365162721806,5
log,4,0.2681745171523952,0.35094345869168647,0.3324217281904075,0.2472017901345638,5
original,100,0.30330875463411183,,,,6
half,50,0.30330875463411183,,,,6
sqrt,10,0.30100870194731194,0.14772994934923966,0.07485244978180068,0.11548576725622446,6
ten_percent,10,0.30100870194731194,0.14772994934923966,0.07485244978180068,0.11548576725622446,6
log,4,0.2796735500878869,0.1275530817777211,0.055538546955068525,0.08977523367461492,6
original,100,0.28474569193798716,,,,7
half,50,0.28474569193798716,,,,7
sqrt,10,0.27987442033590204,0.30446272332750385,0.2768675022075362,0.2230680896965612,7
ten_percent,10,0.27987442033590204,0.30446272332750385,0.2768675022075362,0.2230680896965612,7
log,4,0.2541704534603543,0.15312705433015558,0.13535325815946012,0.10845187803245443,7
original,100,0.3165873009290458,,,,8
half,50,0.3165644373351391,-0.012186045234393886,-0.004867403658026712,-0.00999948983496128,8
sqrt,10,0.31049856362681827,0.17598290512367792,0.17089259340797866,0.12645444259681438,8
ten_percent,10,0.31049856362681827,0.17598290512367792,0.17089259340797866,0.12645444259681438,8
log,4,0.21712079458163785,0.09924387919933945,0.09688156013477556,0.06713855808155395,8
original,100,0.29449753304878074,,,,9
half,50,0.29449753304878074,,,,9
sqrt,10,0.29161176458046373,0.14521026046568378,0.15959243236300497,0.11149569337239877,9
ten_percent,10,0.29161176458046373,0.14521026046568378,0.15959243236300497,0.11149569337239877,9
log,4,0.24145317827184876,0.087655609812194,0.06853820921336498,0.05981735548180324,9
original,100,0.25657813095837384,,,,10
half,50,0.25657813095837384,,,,10
sqrt,10,0.256340094152927,0.17920562356355463,0.026382083144919046,0.14144484024038262,10
ten_percent,10,0.256340094152927,0.17920562356355463,0.026382083144919046,0.14144484024038262,10
log,4,0.23487160782462324,0.2220429207988193,0.12507543246071007,0.15970388272203326,10
original,100,0.28861780931700837,,,,11
half,50,0.28861780931700837,,,,11
sqrt,10,0.28749423309346833,0.04882393229493588,0.02933715000632068,0.04265551670648432,11
ten_percent,10,0.28749423309346833,0.04882393229493588,0.02933715000632068,0.04265551670648432,11
log,4,0.2703933952064735,0.15104640436069308,0.0294915792203858,0.11390375311667732,11
original,100,0.3123776468253072,,,,12
half,50,0.3123776468253072,,,,12
sqrt,10,0.3117142227819451,0.10358929837027374,0.09597160720978201,0.08493972132185577,12
ten_percent,10,0.3117142227819451,0.10358929837027374,0.09597160720978201,0.08493972132185577,12
log,4,0.2858215619476471,0.150519709483764,0.1392630415417786,0.10637983547961238,12
original,100,0.3180502800451682,,,,13
half,50,0.3178548496322875,0.10619267989971815,0.09863066907804015,0.08713841141894829,13
sqrt,10,0.31538873847883114,0.06012423414792925,0.013962323108899256,0.04723238228609064,13
ten_percent,10,0.31538873847883114,0.06012423414792925,0.013962323108899256,0.04723238228609064,13
log,4,0.2965564083938954,0.008612301256382298,-0.05494656191141474,0.0012506107989614448,13
original,100,0.2925247970884594,-0.022631226863874362,-0.032968338591434034,-0.018570481122070947,14
half,50,0.28707181540968596,,,,14
sqrt,10,0.28508516366022413,0.25715020644319486,0.0560739129732557,0.1976246416918179,14
ten_percent,10,0.28508516366022413,0.25715020644319486,0.0560739129732557,0.1976246416918179,14
log,4,0.26770336735848954,0.1257560235053201,0.017209665300992577,0.08841753564893262,14
original,100,0.3047665549350393,,,,15
half,50,0.3047665549350393,,,,15
sqrt,10,0.29891012698744035,-0.05935520063470111,-0.05522023180663395,-0.04438754803529417,15
ten_percent,10,0.29891012698744035,-0.05935520063470111,-0.05522023180663395,-0.04438754803529417,15
log,4,0.28399611981093037,0.1538867364578431,0.07122829028554356,0.10386040584969314,15
original,100,0.3038400621444981,,,,16
half,50,0.3038400621444981,,,,16
sqrt,10,0.3029006320584151,0.13913991794893266,0.08688797515997913,0.11238610828976901,16
ten_percent,10,0.3029006320584151,0.13913991794893266,0.08688797515997913,0.11238610828976901,16
log,4,0.2629736901307082,0.18992832490272182,0.1810818425539782,0.13349620813320306,16
original,100,0.2775102531917481,,,,17
half,50,0.277504180896834,-0.0615124847976897,-0.032411692066312545,-0.049620412179111326,17
sqrt,10,0.275876903198639,0.26967103328621694,0.23621740471883684,0.20889856223380093,17
ten_percent,10,0.275876903198639,0.26967103328621694,0.23621740471883684,0.20889856223380093,17
log,4,0.20978824292716627,0.005717479451834564,0.017822398379638497,-0.0016270449823370288,17
original,100,0.2979669265999379,,,,18
half,50,0.29796677990086917,0.15145513362746688,0.15204696931162076,0.12427937366309018,18
sqrt,10,0.29677594689229847,0.09784410454765893,0.08081207400328326,0.07956304172898501,18
ten_percent,10,0.29677594689229847,0.09784410454765893,0.08081207400328326,0.07956304172898501,18
log,4,0.26103823144335275,0.1661606255357915,0.18002495413870356,0.1138569288015776,18
original,100,0.3010003486502652,,,,19
half,50,0.310924746998732,-0.168863769676601,-0.16598132875400137,-0.1385643591416063,19
sqrt,10,0.300354254656017,0.22082295400330804,0.24654055351381032,0.17815547069728657,19
ten_percent,10,0.300354254656017,0.22082295400330804,0.24654055351381032,0.17815547069728657,19
log,4,0.2733626591272444,0.296149618998198,0.2529149934872007,0.20436456553724916,19
original,100,0.3017541642686421,0.10619267989971815,0.09480370767572975,0.08713841141894829,20
half,50,0.30128408675044144,-0.004899224452913338,-0.007729005942258852,-0.0030379844191292644,20
sqrt,10,0.29839848758874027,0.0958039183774464,0.01607549228327508,0.06603666493364196,20
ten_percent,10,0.29839848758874027,0.0958039183774464,0.01607549228327508,0.06603666493364196,20
log,4,0.2791628964638559,0.009174464665070589,-0.037649218465880305,0.007428210824140714,20
original,100,0.2793483619059828,,,,21
half,50,0.28651628800000045,-0.08182058943093039,-0.08067775744380332,-0.06713943174902573,21
sqrt,10,0.2739258724123123,0.03462466068445221,-0.04958894406790219,0.02698341800250632,21
ten_percent,10,0.2739258724123123,0.03462466068445221,-0.04958894406790219,0.02698341800250632,21
log,4,0.2177856808757772,0.1369192927995509,0.16226521005894828,0.09530369783972319,21
original,100,0.3218477763226527,,,,22
half,50,0.3218477763226527,,,,22
sqrt,10,0.31836247318637667,0.2020238106210691,0.1697544335920319,0.1461880368760013,22
ten_percent,10,0.31836247318637667,0.2020238106210691,0.1697544335920319,0.1461880368760013,22
log,4,0.29971139807310737,0.04332111194454651,0.0454923838880884,0.025035587206627026,22
original,100,0.3052783185605044,,,,23
half,50,0.311318534859251,0.03464274833209975,0.03346875615900612,0.02842676218074806,23
sqrt,10,0.30420968767062495,0.08618062372636863,-0.012905988806645084,0.06538986830357878,23
ten_percent,10,0.30420968767062495,0.08618062372636863,-0.012905988806645084,0.06538986830357878,23
log,4,0.27427501151516437,0.027276590893181463,-0.02558493259309004,0.014906420559750767,23
original,100,0.30092765468118876,,,,24
half,50,0.3044828965751043,0.12003099909637678,0.011661556327575054,0.09822816288517956,24
sqrt,10,0.2964219969916541,0.12921558340072234,0.025546966814961394,0.0891579640436858,24
ten_percent,10,0.2964219969916541,0.12921558340072234,0.025546966814961394,0.0891579640436858,24
log,4,0.21598413642974024,0.15275039115331962,0.12433544422284143,0.09721593769463747,24
original,100,0.28577073375191914,,,,25
half,50,0.28577073375191914,,,,25
sqrt,10,0.2843676947200037,0.2650830442261269,0.21071457732067628,0.20895909069884777,25
ten_percent,10,0.2843676947200037,0.2650830442261269,0.21071457732067628,0.20895909069884777,25
