dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,25,0.09031249437625954,0.03580754189543266,False,0.027190272400194417,0.02847411960637066,False,190,178,0.9368421052631579,6
sqrt,7,0.10717411394575414,0.0646872679172544,False,0.055319735893581926,0.04452669053995212,False,200,64,0.32,6
log,3,0.3246926220289943,0.08438541045592121,False,0.0853197840558473,0.0551669357213217,False,200,12,0.06,6
ten_percent,5,0.18357740070617873,0.0777355063368522,False,0.09254814265627204,0.05152802885570424,False,200,26,0.13,6
original,50,0.07837295543916833,-0.10724296761743571,False,-0.09033395875312472,-0.08755702879925611,False,196,193,0.9846938775510204,6
half,25,0.09929683710333724,0.08869633409175393,False,0.12899693069854767,0.07105667760846,False,190,171,0.9,2
sqrt,7,0.11617922606224283,-0.015463847981287106,False,0.007713084535841674,-0.011279106116714888,False,200,48,0.24,2
log,3,0.3308706553481008,0.02491679538951272,False,0.060198636043198826,0.01932856142060906,False,200,12,0.06,2
ten_percent,5,0.15853635866193078,0.0010428387371133566,False,0.014191939125889909,0.0001529247255711823,False,200,34,0.17,2
original,50,0.0741301639916957,-0.005101769683560757,False,-0.016622112341387184,-0.004176244812716151,False,195,194,0.9948717948717949,2
half,25,0.1115441888913476,-0.020234695390699196,False,-0.03764081417181582,-0.01694845976676909,False,182,162,0.8901098901098901,12
sqrt,7,0.09068306230666186,0.07519969233318984,False,0.07190178980063533,0.05105094146528876,False,200,68,0.34,12
log,3,0.2746780822547846,0.10985436694032208,False,0.11543503385045548,0.07382052268896898,False,200,17,0.085,12
ten_percent,5,0.13226838923283293,0.11543992927639073,False,0.09496540854478189,0.07502943036515813,False,200,41,0.205,12
original,50,0.07740074450276238,0.06278931258895298,False,0.037759786209627416,0.05133291902334742,False,199,195,0.9798994974874372,12
half,25,0.08992991344604946,0.017374682721003173,False,0.033392958268173456,0.014247021658398314,False,192,180,0.9375,0
sqrt,7,0.09521789532824629,0.0038338201466574877,False,0.021183401052278027,-5.3716996574743706e-05,False,200,71,0.355,0
log,3,0.27470121385518925,0.05798774475571239,False,0.03259319582048493,0.041434688908421884,False,200,19,0.095,0
ten_percent,5,0.15153060340734018,-0.0178175823315742,False,-0.013171613326634466,-0.013776513530556908,False,200,39,0.195,0
original,50,0.082395894906326,0.15289000096097755,False,0.1105030091700293,0.12419364319172195,False,195,192,0.9846153846153847,0
half,25,0.10639884532577583,0.0893501621899225,False,0.08826887587690843,0.07214886801083456,False,185,168,0.9081081081081082,4
sqrt,7,0.10532366623893691,0.08818911416930512,False,0.09974138952146999,0.06444742498503522,False,200,57,0.285,4
log,3,0.2568454598335295,0.01696918786033273,False,0.024215206993405534,0.01046172846006193,False,200,9,0.045,4
ten_percent,5,0.17223416646189915,0.06328962843214536,False,0.05850932598471434,0.042710930255486314,False,200,22,0.11,4
original,50,0.09610467831531856,0.00553772916780794,False,-0.025766062568637206,0.00413417315188458,False,198,193,0.9747474747474747,4
half,25,0.0989992304424036,-0.00678142255592011,False,-0.010674244037460283,-0.005268565620452729,False,196,179,0.9132653061224489,9
sqrt,7,0.12984316658666464,0.017249631934787187,False,-0.0019305510783999861,0.012813407231359935,False,200,53,0.265,9
log,3,0.4348954618475449,0.1455319974437681,False,0.1858583782859881,0.09825352055476273,False,200,12,0.06,9
ten_percent,5,0.19848727292315238,0.03700234980272062,False,0.02692618275686859,0.02220381983461601,False,200,30,0.15,9
original,50,0.07090616910969683,-0.012246488859241733,False,0.027115413020330225,-0.010194996504022972,False,196,193,0.9846938775510204,9
half,25,0.11619837924827059,-0.04185874461208055,False,-0.06192745690672189,-0.03441087739169224,False,188,170,0.9042553191489362,1
sqrt,7,0.08097008668667934,0.1559585125326799,False,0.1505923522632101,0.10886128915386274,False,200,65,0.325,1
log,3,0.23271780995326957,0.13992410226469304,False,0.14083112182409172,0.09266848330232683,False,200,18,0.09,1
ten_percent,5,0.12032997939494085,0.11824348396583133,False,0.11833017173305906,0.07825272481689702,False,200,45,0.225,1
original,50,0.07696583764029308,0.07793830999764657,False,0.06445018217435139,0.06379605363308362,False,199,198,0.9949748743718593,1
half,25,0.09612205271227225,0.07791513501343582,False,0.032906824319527586,0.06354507762900766,False,192,182,0.9479166666666666,7
sqrt,7,0.08459394137957257,0.10606136163711677,False,0.09167544871210176,0.07432451128556722,False,200,77,0.385,7
log,3,0.3060301965114369,0.0842511370173056,False,0.11182544531711228,0.058672727515915624,False,200,20,0.1,7
ten_percent,5,0.11771869275594236,0.1052600769456741,False,0.10956603119632234,0.07115560751234604,False,200,47,0.235,7
original,50,0.07749235784197979,0.031935155215384745,False,0.08780170602852959,0.02604073299092067,False,196,194,0.9897959183673469,7
half,25,0.09488122410520203,0.016174283291639828,False,-0.01827239301184912,0.014939999565965336,False,191,172,0.900523560209424,3
sqrt,7,0.11728283176004442,0.010524742450628628,False,0.01340347072385429,0.009037196039636592,False,200,55,0.275,3
log,3,0.4157449752232259,0.011773772869057996,False,0.0878340974838008,0.005986672178885083,False,200,10,0.05,3
ten_percent,5,0.1621279337490036,0.02850175259300153,False,0.03347529520033091,0.020746787769157064,False,200,34,0.17,3
original,50,0.09049048276567057,-0.09956934331127257,False,-0.09307869431509286,-0.08142786221160989,False,198,194,0.9797979797979798,3
half,25,0.1044997993498988,-0.08351437548457584,False,-0.04203169829833016,-0.06674452830316935,False,192,178,0.9270833333333334,14
sqrt,7,0.09786853845909889,-0.027139382961552768,False,-0.020450537176919532,-0.018963701530119923,False,200,62,0.31,14
log,3,0.3268872717600481,0.12229906105811054,False,0.13503113359781038,0.08570569853819966,False,200,9,0.045,14
ten_percent,5,0.1546047031622356,-0.011080220093652149,False,0.007422861841327943,-0.0060882510680935,False,200,28,0.14,14
original,50,0.07775439376765263,-0.0025120712444761787,False,-0.01644609596171953,-0.002056296823917871,False,197,196,0.9949238578680203,14
half,25,0.11675780464334792,-0.07688395513110582,False,-0.01940487347377923,-0.06173224661271837,False,188,169,0.898936170212766,8
sqrt,7,0.11956003686883672,0.058260306338487125,False,0.0399597237765028,0.038177954863555186,False,200,51,0.255,8
log,3,0.27219361909938994,0.14648215823342123,False,0.17116543652277488,0.09888745715298652,False,200,13,0.065,8
ten_percent,5,0.18496645039046153,0.08465068845357104,False,0.07585277987500938,0.05763544344461846,False,200,28,0.14,8
original,50,0.08981822535616027,0.0664317255421813,False,0.022493823535815114,0.054269061794114164,False,190,185,0.9736842105263158,8
half,25,0.11888378834100201,-0.005551628456056152,False,-0.07616599631420867,-0.004151470224961369,False,191,174,0.9109947643979057,11
sqrt,7,0.09762404674205011,0.10924695433545993,False,0.0685883472607459,0.07242706623505078,False,199,61,0.3065326633165829,11
log,3,0.2767425844642556,0.11314163497960518,False,0.10787175143059957,0.07106719913024175,False,200,14,0.07,11
ten_percent,5,0.17086511953454944,0.10298378494147513,False,0.0947799892602025,0.06260751515022817,False,200,28,0.14,11
original,50,0.08754907632318856,0.07048240234471066,False,0.10254213098130328,0.05684641601978972,False,197,192,0.9746192893401016,11
half,25,0.08512662937616383,-0.025826802405090044,False,0.19586425723727321,-0.022226816438322333,False,179,164,0.9162011173184358,13
sqrt,7,0.09348171829484371,0.034808661099723505,False,0.060600813684662955,0.02165461303454163,False,200,49,0.245,13
log,3,0.34152060024812514,0.16483173909408133,False,0.12487944329815745,0.10948520479631314,False,200,15,0.075,13
ten_percent,5,0.1485124220753405,0.09200298694664337,False,0.08308475373527863,0.0579600155969268,False,200,33,0.165,13
original,50,0.08197205266400664,-0.003943533595949179,False,0.03226042581398809,-0.0035633852909959583,False,198,192,0.9696969696969697,13
half,25,0.11637538639368396,0.03995091992125731,False,-0.010499190031753617,0.031737824906026245,False,185,166,0.8972972972972973,10
sqrt,7,0.09568036588375978,0.07700049995236133,False,0.07621825709130933,0.05493212788306095,False,200,56,0.28,10
log,3,0.25701723089616363,0.10724050162848739,False,0.09783703224495893,0.07261035018587113,False,200,17,0.085,10
ten_percent,5,0.1665288071562757,0.06258611342181176,False,0.0846284760979225,0.04185039989798022,False,200,34,0.17,10
original,50,0.0756171843721141,-0.07408022634693681,False,-0.045816589127860186,-0.06007807173523155,False,199,196,0.9849246231155779,10
half,25,0.1053392827417989,0.04922323600416476,False,0.014323065921272892,0.039030723615505525,False,184,163,0.8858695652173914,5
