,dims,mae,spearmanr,pearsonr,kendalltau,iteration
original,100,0.2482747826835872,,,,0
half,48,0.1513654684551432,0.6003476628927109,0.586417955798433,0.49962050624961196,0
sqrt,10,0.17058188659142576,0.5163784971193813,0.5151313727079918,0.4001648720167345,0
ten_percent,10,0.17058188659142576,0.5163784971193813,0.5151313727079918,0.4001648720167345,0
log,4,0.1421226579919014,0.4039875556293136,0.4169009320843461,0.3270519270130708,0
original,100,0.30181908471352104,0.3395498750508661,0.49834293472110264,0.28139593719417444,1
half,48,0.1338742164826616,0.6336015743944156,0.6844561076636188,0.52204503546355,1
sqrt,10,0.16654375998201565,0.5505165180112146,0.614251440175524,0.43688891503249805,1
ten_percent,10,0.16654375998201565,0.5505165180112146,0.614251440175524,0.43688891503249805,1
log,4,0.3792447787289806,0.41628243275357435,0.45912110580765386,0.3003282372804531,1
original,100,0.3191282973856917,-0.17323973216880925,-0.15733770993861365,-0.14285714285714285,2
half,48,0.1183715014491769,0.7261681827664956,0.6952675320512631,0.578668191321373,2
sqrt,10,0.12228622587240641,0.7215470445946797,0.6920804417419139,0.5713162735040359,2
ten_percent,10,0.12228622587240641,0.7215470445946797,0.6920804417419139,0.5713162735040359,2
log,4,0.104370109758309,0.7791016993269804,0.738572751275601,0.6188576563781164,2
original,100,0.31381025583541317,,,,3
half,48,0.22554942514379753,0.48756005248431217,0.4823797073925962,0.3592482184362913,3
sqrt,10,0.23154256537880463,0.5297125982942987,0.5423136211072759,0.38056352703051965,3
ten_percent,10,0.23154256537880463,0.5297125982942987,0.5423136211072759,0.38056352703051965,3
log,4,0.27216227126551557,0.5106842737094838,0.524062866346367,0.3681632653061225,3
original,100,0.28792796349557787,,,,5
half,48,0.19742542766020135,0.24851105423641326,0.2962045188370835,0.17594161039590578,5
sqrt,10,0.17069881358858333,0.40072103563411454,0.4156602823495667,0.28747978728803447,5
ten_percent,10,0.17069881358858333,0.40072103563411454,0.4156602823495667,0.28747978728803447,5
log,4,0.17234403969191142,0.41532553435788033,0.4190143847546764,0.31721577883222657,5
original,100,0.31256067145873284,0.24253562503633297,0.3423642926201377,0.19999999999999998,6
half,48,0.1401452403973627,0.6696921704039933,0.6863514987644382,0.5198205786446233,6
sqrt,10,0.18445487885459777,0.6245858343337335,0.6460685190837133,0.4759183673469388,6
ten_percent,10,0.18445487885459777,0.6245858343337335,0.6460685190837133,0.4759183673469388,6
log,4,0.1418378077997157,0.6899582224592449,0.7182607711805818,0.5328978259061232,6
original,100,0.2746810637718557,0.24253562503633297,0.41465533913961455,0.19999999999999998,8
half,48,0.1706383583192077,0.5272814753396492,0.5474362223315905,0.39689153973029906,8
