dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,18,0.1519249997475251,0.18703439416157303,False,0.2450269912614456,0.13710212427677043,False,20,13,0.65,5
sqrt,10,0.18575188762206335,0.041151218038526206,False,0.2345078237845562,-0.006243905410544626,False,20,11,0.55,5
log,4,0.2903468759961607,0.129062105915497,False,0.2016121800955008,0.08370879808961673,False,20,7,0.35,5
ten_percent,10,0.18575188762206335,0.041151218038526206,False,0.2345078237845562,-0.006243905410544626,False,20,11,0.55,5
original,100,0.059601565293028805,,True,,,True,20,20,1.0,5
half,18,0.15122046521599986,-0.3151730467683387,False,-0.1565688580368615,-0.2260306302842337,False,20,14,0.7,13
sqrt,10,0.1666512762009173,-0.30404929217651494,False,-0.19490977910115206,-0.2260306302842337,False,20,14,0.7,13
log,4,0.31002018218035976,-0.32764817319563705,False,-0.26431206779479177,-0.20291114392962029,False,20,6,0.3,13
ten_percent,10,0.1666512762009173,-0.30404929217651494,False,-0.19490977910115206,-0.2260306302842337,False,20,14,0.7,13
original,100,0.09322488879758857,,True,,,True,20,20,1.0,13
half,18,0.11563616864621293,0.20575609019263105,False,0.12140746531916015,0.15609763526361567,False,20,11,0.55,14
sqrt,10,0.14779702944400758,0.25787916139157496,False,0.15515598367377018,0.18676732226992115,False,20,10,0.5,14
log,4,0.3332471093413035,0.09811390611787402,False,0.020946511911673692,0.03208969123804186,False,20,4,0.2,14
ten_percent,10,0.14779702944400758,0.25787916139157496,False,0.15515598367377018,0.18676732226992115,False,20,10,0.5,14
original,100,0.049414602078609086,,True,,,True,20,20,1.0,14
half,18,0.15641969742594536,-0.16586068916214966,False,-0.14004680942817418,-0.13710212427677043,False,20,13,0.65,2
sqrt,10,0.17604496834056738,-0.271598039054273,False,-0.18274333448598185,-0.20604887854797269,False,20,11,0.55,2
log,4,0.428065769120259,0.2113222593308056,False,0.17454072099307552,0.16044845619020928,False,20,4,0.2,2
ten_percent,10,0.17604496834056738,-0.271598039054273,False,-0.18274333448598185,-0.20604887854797269,False,20,11,0.55,2
original,100,0.0922600550388183,,True,,,True,20,20,1.0,2
half,18,0.12100975761323354,-0.009881635198086781,False,0.26017277710308373,-0.023606684260939013,False,20,15,0.75,0
sqrt,10,0.1366788347621482,-0.01940922958280475,False,0.20832068262882858,-0.027420424855354085,False,20,13,0.65,0
log,4,0.30073007152492826,-0.01828733989929137,False,0.14869030817348364,0.005484084971070818,False,20,6,0.3,0
ten_percent,10,0.1366788347621482,-0.01940922958280475,False,0.20832068262882858,-0.027420424855354085,False,20,13,0.65,0
original,100,0.06382667608143819,,True,,,True,20,20,1.0,0
half,18,0.18241636366337524,0.06705006583150731,False,-0.004739315994029509,0.06855106213838522,False,20,13,0.65,6
sqrt,10,0.2143295258558692,0.015275535199420247,False,-0.034934317844142075,0.013029938101426074,False,20,12,0.6,6
log,4,0.3715726126576323,-0.0046093609255534644,False,-0.05325090608419717,0.005580586539307782,False,20,7,0.35,6
ten_percent,10,0.2143295258558692,0.015275535199420247,False,-0.034934317844142075,0.013029938101426074,False,20,12,0.6,6
original,100,0.06313114592088616,,True,,,True,20,20,1.0,6
half,18,0.19249101162566334,-0.10247663276194147,False,-0.018858355518411887,-0.07015265066324013,False,20,9,0.45,4
sqrt,10,0.27979224316052276,-0.09865494966008616,False,-0.021572473741941996,-0.06839855680567694,False,20,8,0.4,4
log,4,0.45304470770567973,0.014339724740304663,False,-0.01086602402598639,0.021393127492027906,False,20,4,0.2,4
ten_percent,10,0.27979224316052276,-0.09865494966008616,False,-0.021572473741941996,-0.06839855680567694,False,20,8,0.4,4
original,100,0.07695115084283395,,True,,,True,20,20,1.0,4
half,18,0.08786701876865712,0.5580416886898232,False,0.348274322222332,0.4593525712227975,False,20,14,0.7,7
sqrt,10,0.15076712945184662,0.4822922754115272,False,0.4147968612895147,0.39336604086431154,False,20,11,0.55,7
log,4,0.3153003255440249,0.0878813097615565,False,0.18594517019143036,0.07570332986102252,False,20,5,0.25,7
ten_percent,10,0.15076712945184662,0.4822922754115272,False,0.4147968612895147,0.39336604086431154,False,20,11,0.55,7
original,100,0.07434121728489848,,True,,,True,20,20,1.0,7
half,18,0.19033576315193854,0.2148208058877394,False,0.12023338856330504,0.14200477428076833,False,19,11,0.5789473684210527,11
sqrt,10,0.2006062128054355,0.21289089647591078,False,0.09481660172085228,0.15061880828219448,False,20,10,0.5,11
log,4,0.37344831820199714,0.04226445186616111,False,0.14881479937693684,0.05348281873006977,False,20,4,0.2,11
ten_percent,10,0.2006062128054355,0.21289089647591078,False,0.09481660172085228,0.15061880828219448,False,20,10,0.5,11
original,100,0.06692257123321661,,True,,,True,20,20,1.0,11
half,18,0.21568876192397424,0.35390047513132544,False,0.4398040932591436,0.2809757434745082,False,20,11,0.55,9
sqrt,10,0.2705124409043356,0.2427907914667536,False,0.3158009446845468,0.18707373510197367,False,20,9,0.45,9
log,4,0.3181667216102209,0.19359315887324552,False,0.3115303463394942,0.13951466348269453,False,20,7,0.35,9
ten_percent,10,0.2705124409043356,0.2427907914667536,False,0.3158009446845468,0.18707373510197367,False,20,9,0.45,9
original,100,0.06674976859233872,,True,,,True,20,20,1.0,9
half,18,0.12654126306739616,0.10196775042505074,False,0.18937767781978077,0.10936965981495178,False,20,14,0.7,12
sqrt,10,0.14918111334184397,0.04922116897590968,False,0.12452093937668744,0.03908981430427822,False,20,12,0.6,12
log,4,0.22686335589012555,0.2485794007183273,False,0.3217019583770311,0.193795910949418,False,20,8,0.4,12
ten_percent,10,0.14918111334184397,0.04922116897590968,False,0.12452093937668744,0.03908981430427822,False,20,12,0.6,12
original,100,0.08343306883936516,,True,,,True,20,20,1.0,12
