dim_reduction_level,dims,mae,spearmanr,pearsonr,kendalltau,nr_non_nan,iteration
half,98,0.197744728155032,0.6592413017362861,0.6646030266613567,0.4808743399431942,99,0
sqrt,14,0.1418494861168392,0.7430405956118412,0.7320166438865359,0.5631697012902723,100,0
log,5,0.137913895811265,0.757008785038435,0.7376445114440318,0.5761342085438591,100,0
ten_percent,20,0.18066983982639126,0.671997215716243,0.6731169464532517,0.49641378170258976,100,0
original,200,0.3071626111494666,0.22251881568206897,0.16620241147929202,0.1812664036747128,100,0
half,98,0.17766550385993934,0.5317210763294637,0.5199296565645986,0.40687583994001963,100,1
sqrt,14,0.11496708360922807,0.690205471137222,0.7027159640754389,0.5560426227136797,100,1
log,5,0.28490226883909436,0.4052085208520852,0.43681681443074016,0.2888888888888889,100,1
ten_percent,20,0.12438855621769734,0.6656125299284552,0.6737988226911898,0.5332525743014136,100,1
original,200,0.32497442334057863,-0.06240325288003758,-0.06312599412564883,-0.051645735125197496,100,1
half,98,0.18950272075707977,0.5265571247421971,0.5313808579047457,0.39214583993659435,100,2
sqrt,14,0.1540286633697114,0.6173787817165343,0.6269739101089279,0.469565457425808,100,2
log,5,0.19697162253060566,0.5883006048676699,0.5974306037596027,0.43237277903749105,100,2
ten_percent,20,0.13511730717504095,0.6963123912305471,0.6933765663014392,0.5315123904334877,100,2
original,200,0.30798361286492293,0.15493686083729372,0.18328527561814684,0.12713637075879342,100,2
half,98,0.1636919018735366,0.5739773906453868,0.5867951441651977,0.4293813800675928,100,3
sqrt,14,0.2210375053719149,0.44894824167091246,0.49903435716378786,0.326699668299995,100,3
log,5,0.17849013286080265,0.5015271987615555,0.5393925190360198,0.37881551335892694,100,3
ten_percent,20,0.1956941903498867,0.4959090786373314,0.5399162426996964,0.36427922198199814,100,3
original,200,0.30481855340001673,0.0776874956021066,-0.021921683458770238,0.06299953263158589,100,3
half,98,0.20576103453995004,0.4131940960714933,0.4367021805463791,0.31103207956532763,100,4
sqrt,14,0.17220758593843732,0.5064718415673457,0.545654718545586,0.38487979585666854,100,4
log,5,0.12976037877019808,0.6291414777837145,0.6471116736749649,0.5158043437740252,100,4
ten_percent,20,0.15521440971984946,0.5432419539236989,0.5711653485728307,0.42044651189380927,100,4
original,200,0.3172765678102543,0.16538204246677418,0.2132658403911009,0.13570736204590308,100,4
half,98,0.1940015448535237,0.36011318690058103,0.4028192035659408,0.2948284736237542,99,5
sqrt,14,0.16021244236673432,0.46485764465627655,0.5030649956613319,0.38128192261693455,100,5
log,5,0.3224587549280276,0.3059715150674289,0.3460397059789669,0.22042630681217967,100,5
ten_percent,20,0.17570081163234952,0.45795727398829306,0.47264641413896047,0.36076863740208504,100,5
original,200,0.27823413968820715,0.10602012802538392,0.06125934438526704,0.08669121562969968,99,5
half,98,0.26072438432437794,0.4720368681632247,0.525022479567095,0.3352531224041607,100,6
sqrt,14,0.16917258947076616,0.5621050739125887,0.5830329841938392,0.42530834584161276,100,6
log,5,0.2552880719427861,0.4724406613902494,0.5218834070627749,0.33760986130444753,100,6
ten_percent,20,0.20877032273036775,0.5228745619885939,0.5505318464460898,0.3801152038831985,100,6
original,200,0.2906258822682297,0.03815456619390085,0.06830317337313783,0.03139250566433573,100,6
half,98,0.15932746597378258,0.6214478376438582,0.6324276863499723,0.49660588751078444,100,7
sqrt,14,0.1046958035273869,0.7297248863383748,0.7585033138580383,0.5956263828341061,100,7
log,5,0.24293414223791715,0.55376398956787,0.5793397287535943,0.40388121434959234,100,7
ten_percent,20,0.10521056770707524,0.7097618587185633,0.7302702626437152,0.58063442625937,100,7
original,200,0.547430013281755,0.19801580164969773,-0.004672759991677789,0.16247247889198466,100,7
half,98,0.13800913969714648,0.5412506010705782,0.5588048602980289,0.4327605852244742,100,8
sqrt,14,0.22101895222475107,0.4604758620693101,0.4993528638961522,0.34404696037187493,100,8
log,5,0.13171240224896738,0.5735477686755392,0.5883597782162735,0.4574319830737199,100,8
ten_percent,20,0.14880212368024517,0.5314195190243972,0.555528655743145,0.42942307722051937,100,8
original,200,0.280227117525166,0.14492670022515097,0.146044174364806,0.11892829075619085,99,8
half,98,0.2242432631538943,0.5377342384837569,0.5598508824304257,0.405665616270552,100,9
sqrt,14,0.15077052640663616,0.6407152932764852,0.6650012247889109,0.5049525893119527,100,9
log,5,0.138849719185248,0.6786251218916759,0.6825001013752315,0.5254431947404605,100,9
ten_percent,20,0.12737694902742244,0.6637253566932768,0.6522603564642842,0.5247399099837471,100,9
original,200,0.29496393365945944,0.243708718337977,0.2635917716285754,0.2004941329334963,99,9
half,98,0.21630817643903275,0.33787806109805346,0.35325977882997645,0.27057647805156376,100,10
sqrt,14,0.18237323562391203,0.4881901112966903,0.5070359389013901,0.38018219636542594,100,10
log,5,0.2988926990346288,0.2957344606507779,0.3125057861045731,0.21517325092114697,100,10
ten_percent,20,0.1844268144146965,0.48929428796694535,0.5016319187610433,0.38058664551049554,100,10
original,200,0.27659226330641784,0.24246212330352424,0.3153497266968692,0.1974689872434022,100,10
half,98,0.22772666986602605,0.5260441825531703,0.5458117332605036,0.36912819665064367,100,11
sqrt,14,0.16535137879526587,0.6103693482899796,0.6134691711520336,0.4564383293300197,100,11
log,5,0.18674461949747165,0.5435779885352654,0.5553531528232397,0.3836751206565804,100,11
ten_percent,20,0.1601506130465683,0.6068588919290728,0.6203056185506411,0.45320404533122416,100,11
original,200,0.30219276098558695,-0.12018311725988129,-0.09806696931536593,-0.09862346062708509,99,11
half,98,0.26235422939015185,0.35852838382224667,0.38042340835446975,0.26030430005647975,99,12
sqrt,14,0.17401861414535652,0.5070158874147533,0.5419089051895053,0.3897164387599092,100,12
log,5,0.27442692348471626,0.341892356969242,0.37922994662347875,0.2500010055841112,100,12
ten_percent,20,0.22695979711335987,0.4434109465497153,0.48200399580350317,0.32962605323172567,100,12
original,200,0.2942650356651846,0.19394332199968584,0.3105871395720808,0.15907417236906057,99,12
half,98,0.2106539228572899,0.49190383717196995,0.5192807195473675,0.3581342234630023,100,13
sqrt,14,0.13641298169777738,0.6043527513646462,0.6041491136207916,0.4773114822983517,100,13
log,5,0.17637215975146905,0.6019514186022288,0.6157137392058241,0.44963122203089667,100,13
ten_percent,20,0.11618647282750354,0.6695089727492664,0.6632216955385476,0.5515576167766926,100,13
original,200,0.3100354445929562,0.014386596510453513,-0.24672403832649092,0.012955005512625916,100,13
half,98,0.18830004668151135,0.447025642721492,0.4712592376973732,0.35346525268062556,100,14
sqrt,14,0.16314027879160528,0.5558209323498138,0.5541085539512454,0.4485341018821887,100,14
log,5,0.14129947126866146,0.6004980650187117,0.5979508236150596,0.46735403782595464,100,14
ten_percent,20,0.1580526042087948,0.5676908315550558,0.5560799406489844,0.4622853728145552,100,14
original,200,0.31013114434874606,0.08021861452699515,0.06302749372355923,0.06582299574780073,100,14
half,98,0.19751170487961583,0.5379241712711216,0.5507204559766407,0.4046977460161343,100,15
sqrt,14,0.15835809160289094,0.5988118109677886,0.6208528874214421,0.4614764745244159,100,15
log,5,0.1593611446183125,0.604214702767155,0.6170796607143068,0.4623195257236156,100,15
ten_percent,20,0.16399575567660044,0.5815192146452842,0.604142521266081,0.4437030905143743,100,15
original,200,0.28492613589174676,0.24251161041921027,0.31515155874510403,0.1994943101894884,100,15
half,98,0.22951967611661087,0.34414314931964163,0.40937401720273203,0.25850995391031273,100,16
sqrt,14,0.19451762614408583,0.4307489206027686,0.48513482154432197,0.32315486691061207,100,16
log,5,0.29906475045366526,0.2563682497669891,0.31828743680097377,0.1770671627880982,100,16
ten_percent,20,0.20359140965452954,0.40624888043447743,0.4707994969995105,0.3059020981642716,100,16
original,200,0.291527288752033,0.002548586457828656,-0.11438595462492414,0.0030379844191292644,100,16
half,98,0.26653501324105144,0.47849506723847923,0.48884969096622993,0.3429101029774425,99,17
sqrt,14,0.24693426895113782,0.5901947255799476,0.5938687671926802,0.43258548483890263,100,17
log,5,0.17828729168014468,0.6094815181401448,0.5960537268321033,0.4598586779441376,100,17
ten_percent,20,0.2067235041456352,0.6009350765466042,0.6092855326126413,0.45076814198791704,99,17
original,200,0.3298635779603035,0.14862025805454984,0.09815806494264462,0.12091338478450855,100,17
half,98,0.23119786989680005,0.42333103322484295,0.481470015811138,0.32302411437970396,100,18
sqrt,14,0.25515856758147376,0.38169162008239427,0.4453577062556605,0.28825556139265196,100,18
log,5,0.39605958452250534,0.2758604136238447,0.37889201915302234,0.19456510857940335,100,18
ten_percent,20,0.22040333716654492,0.4071894760876902,0.4488475083944988,0.31542777843680325,100,18
original,200,0.29893105121306557,0.018582411940090488,-0.04010603273148606,0.015189922095646322,100,18
half,98,0.21269365967742093,0.3663727277723102,0.38836928216105404,0.2763570892952606,100,19
sqrt,14,0.28548031368923305,0.2568016801680168,0.2984573354545283,0.18505050505050508,100,19
