,dims,mae,spearmanr,pearsonr,kendalltau,iteration
original,100,0.2482747826835872,,,,0
half,48,0.2482747826835872,,,,0
sqrt,10,0.24796981892469155,0.021249832348069948,-0.004626172104833981,0.01592223464501008,0
ten_percent,10,0.24796981892469155,0.021249832348069948,-0.004626172104833981,0.01592223464501008,0
log,4,0.23506960588716075,0.28427557525380276,0.3116336380321705,0.21444438569900387,0
original,100,0.3166202926505834,,,,1
half,48,0.3166202926505834,,,,1
sqrt,10,0.3164339737853971,-0.013982267271387126,-0.08182527447426245,-0.01243673571617163,1
ten_percent,10,0.3164339737853971,-0.013982267271387126,-0.08182527447426245,-0.01243673571617163,1
log,4,0.18403687593072088,0.24575682224556863,0.22988707682741696,0.1646829764869243,1
original,100,0.309900122197312,,,,2
half,48,0.309900122197312,,,,2
sqrt,10,0.3086912853394791,0.18923865487814787,0.08051564019340282,0.15064935064935067,2
ten_percent,10,0.3086912853394791,0.18923865487814787,0.08051564019340282,0.15064935064935067,2
log,4,0.29656766460742123,0.27578435019995806,0.24668961291576977,0.1867447220874951,2
original,100,0.31381025583541317,,,,3
half,48,0.31381025583541317,,,,3
sqrt,10,0.3124249381795777,-0.06903099435687395,-0.12451804819879383,-0.05252985089999506,3
ten_percent,10,0.3124249381795777,-0.06903099435687395,-0.12451804819879383,-0.05252985089999506,3
log,4,0.27764078480820875,0.22101872476975423,0.23216824420862484,0.14518987816023726,3
original,100,0.3025570675681928,,,,4
half,48,0.3025570675681928,,,,4
sqrt,10,0.3025068958327421,0.23504035499147835,0.2701033956287104,0.1943662658970071,4
ten_percent,10,0.3025068958327421,0.23504035499147835,0.2701033956287104,0.1943662658970071,4
log,4,0.29289354535212625,0.17241525520060513,0.14296845784443943,0.12699827388415702,4
original,100,0.28792796349557787,,,,5
half,48,0.28792796349557787,,,,5
sqrt,10,0.28637661362334965,0.18200383662731356,0.2954600122978583,0.14907119849998599,5
ten_percent,10,0.28637661362334965,0.18200383662731356,0.2954600122978583,0.14907119849998599,5
log,4,0.25762094413801134,-0.13327673019914169,-0.15910838181889592,-0.10181380644282834,5
original,100,0.31937349868374393,,,,6
half,48,0.31937349868374393,,,,6
sqrt,10,0.31799381311936115,0.3130763120023707,0.25061931881650384,0.2501074911613763,6
ten_percent,10,0.31799381311936115,0.3130763120023707,0.25061931881650384,0.2501074911613763,6
log,4,0.26733076275601286,0.3111510690275086,0.2487115017623752,0.20460962485133882,6
original,100,0.31194587123122974,,,,7
half,48,0.31194587123122974,,,,7
sqrt,10,0.31110276184226016,0.17628606236320202,0.0869603492056555,0.1401156648760887,7
ten_percent,10,0.31110276184226016,0.17628606236320202,0.0869603492056555,0.1401156648760887,7
log,4,0.2985332483473683,0.28937651588911656,0.34127728895039344,0.21121409267441055,7
original,100,0.2796296451999978,,,,8
half,48,0.2796296451999978,,,,8
sqrt,10,0.2795791437792519,-0.09404442603449646,-0.0919886345092291,-0.07755102040816327,8
ten_percent,10,0.2795791437792519,-0.09404442603449646,-0.0919886345092291,-0.07755102040816327,8
log,4,0.2670093862191136,0.2711517602198746,0.2566153105991269,0.2103896103896104,8
original,100,0.3196209883260175,,,,9
half,48,0.3196209883260175,,,,9
sqrt,10,0.3164076235375859,0.2716190823495451,0.19539815652362666,0.20401670961423607,9
ten_percent,10,0.3164076235375859,0.2716190823495451,0.19539815652362666,0.20401670961423607,9
log,4,0.30764310017261104,0.1753874254535566,0.17495847331651926,0.1331826164686896,9
original,100,0.27366374991954356,,,,10
half,48,0.27366374991954356,,,,10
sqrt,10,0.2734550138423926,0.13006382838287409,0.2995113834152365,0.10476190476190476,10
ten_percent,10,0.2734550138423926,0.13006382838287409,0.2995113834152365,0.10476190476190476,10
