dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,98,0.09701562305719609,0.0010153969362497412,False,-0.0006214738807261737,0.0008332031555096332,False,100,97,0.97,3
sqrt,14,0.07619804435328888,0.10492411863095678,False,0.10036933567134859,0.08096855288262572,False,100,86,0.86,3
log,5,0.1576290535730956,0.10059225472698238,False,0.13128482496979413,0.06985478139427528,False,100,32,0.32,3
ten_percent,20,0.07151949968703619,0.001827054114986916,False,0.016964328146628214,0.0010281750406845964,False,99,97,0.9797979797979798,3
original,200,0.07128128853326467,,True,,,True,100,100,1.0,3
half,98,0.09103125594322332,-0.16753863015493037,False,-0.10880632775703813,-0.1367092988608169,False,100,98,0.98,10
sqrt,14,0.09268638455375397,0.041712924826238486,False,-0.0012499477468007514,0.03036490605450525,False,100,83,0.83,10
log,5,0.1825612889513422,0.0767887325667672,False,0.026100622517899012,0.05861692542693899,False,100,29,0.29,10
ten_percent,20,0.07846661110509072,0.036558135703181664,False,0.021337774665747627,0.029998469504883836,False,100,99,0.99,10
original,200,0.07878174621590624,,True,,,True,99,99,1.0,10
half,98,0.09345132530484117,-0.035234826368427244,False,0.035131679316618,-0.02936718271824956,False,100,98,0.98,9
sqrt,14,0.08054087419682357,0.05203239239047832,False,-0.04570999245668472,0.04175753015669056,False,99,92,0.9292929292929293,9
log,5,0.1594637717580778,0.21923680900834022,False,0.201700789076478,0.14325835160842804,False,100,31,0.31,9
ten_percent,20,0.09463201658369022,0.17974696749514266,False,0.2068284638783398,0.146701519443563,False,99,96,0.9696969696969697,9
original,200,0.0817209370546027,,True,,,True,100,100,1.0,9
half,98,0.07086812282998427,,True,,,True,100,100,1.0,12
sqrt,14,0.06892849030930391,0.03756309920971513,False,-0.00013446661877688067,0.02922906686389934,False,100,82,0.82,12
log,5,0.13225274851156352,0.12595215100448223,False,0.10381104006181284,0.09064557342377987,False,100,20,0.2,12
ten_percent,20,0.0699423966851114,-0.07243703410510825,False,-0.08030391830435105,-0.05992451982714859,False,99,95,0.9595959595959596,12
original,200,0.07086812282998427,,True,,,True,100,100,1.0,12
half,98,0.10727049405541081,-0.019795856189771286,False,-0.0207166030757474,-0.016243864103284607,False,100,98,0.98,1
sqrt,14,0.0871549010982883,-0.09195916826603935,False,-0.07375679719025477,-0.07346138060268607,False,100,85,0.85,1
log,5,0.12892885834695267,-0.060014182715867496,False,-0.06337437992631165,-0.037115961301523774,False,100,34,0.34,1
ten_percent,20,0.09803811419565663,0.01754475407899637,False,-0.020001792053501978,0.013573154439472903,False,98,96,0.9795918367346939,1
original,200,0.09024424235984298,,True,,,True,99,99,1.0,1
half,98,0.07502994998362993,,True,,,True,100,100,1.0,8
sqrt,14,0.07236093158628648,0.07456832263887893,False,0.060813451866466806,0.05943562649226576,False,100,84,0.84,8
log,5,0.15919317446946732,-0.13634597563830883,False,-0.11273022838050474,-0.08338298879562554,False,100,22,0.22,8
ten_percent,20,0.07813126881351123,-0.0883699391616774,False,-0.076062331379164,-0.07251725046109199,False,99,98,0.98989898989899,8
original,200,0.0742072598609486,,True,,,True,98,98,1.0,8
half,98,0.079040831518778,-0.019149499654047535,False,-0.03356178326278741,-0.015713484026367724,False,100,99,0.99,13
sqrt,14,0.06777595390070178,0.0743787390387083,False,-0.036916195129706716,0.0627482625981277,False,100,85,0.85,13
log,5,0.1382720836522115,0.13937018060421918,False,0.20070884953554355,0.10384156830482529,False,100,28,0.28,13
ten_percent,20,0.08038169679696418,-0.12075110295078889,False,-0.09467228356110868,-0.09628213746920349,False,100,94,0.94,13
original,200,0.07011314556598625,,True,,,True,100,100,1.0,13
half,98,0.07312218846412348,0.12360131594885228,False,0.09631797869185878,0.10142339689746441,False,100,99,0.99,14
sqrt,14,0.0767134488989616,0.11605409196947612,False,0.1387504434971655,0.08965786099685873,False,100,86,0.86,14
log,5,0.1259345613215794,0.05482024678364389,False,0.01874890723737957,0.0332236155411797,False,100,32,0.32,14
ten_percent,20,0.08435414250786555,0.013138675302860713,False,0.060009759901788536,0.010256545123110545,False,98,95,0.9693877551020408,14
original,200,0.07361359229885077,,True,,,True,100,100,1.0,14
half,98,0.08925892620465553,-0.10967440710954497,False,-0.10253074933450279,-0.0899954085146515,False,100,99,0.99,5
sqrt,14,0.08897386468379226,-0.21077619799813443,False,-0.09478954914695031,-0.1693877248377781,False,100,82,0.82,5
log,5,0.1595813233038825,-0.0957982498216434,False,-0.057931148068537705,-0.06197779819543806,False,100,30,0.3,5
ten_percent,20,0.08695504320860169,-0.11538679540838186,False,0.023434083407039032,-0.09384008677302104,False,98,93,0.9489795918367347,5
original,200,0.07992570761040622,,True,,,True,99,99,1.0,5
half,98,0.08475108805414386,-0.10957872456048,False,-0.08549073390274502,-0.08992139057175406,False,99,98,0.98989898989899,7
sqrt,14,0.07969060159449808,0.12356970526674643,False,0.003925921044534639,0.09742465643515412,False,100,80,0.8,7
log,5,0.13593273632252434,0.23480929416562582,False,0.24360755702606626,0.14844010684693598,False,100,24,0.24,7
ten_percent,20,0.09253710596642885,-0.06480297756293409,False,0.01713347778650277,-0.052830801813504184,False,93,87,0.9354838709677419,7
original,200,0.07536801131957094,,True,,,True,100,100,1.0,7
half,98,0.08160969637222325,-0.02611295407370118,False,-0.033313549454284413,-0.02142747821777417,False,100,99,0.99,0
sqrt,14,0.07465216878313413,0.022269893033909586,False,0.010259350469598534,0.018563521880406875,False,100,86,0.86,0
log,5,0.12791451729294984,0.07059730725488006,False,0.07067953947186612,0.04861898938184556,False,100,20,0.2,0
ten_percent,20,0.0781267862727738,-0.12057681030582851,False,-0.11264078191581711,-0.09847448765703751,False,99,96,0.9696969696969697,0
