,dims,mae,spearmanr,pearsonr,kendalltau,iteration
original,100,0.32868782523059226,0.3029138545364407,0.17804004814776672,0.24758454979685085,0
half,50,0.22895474404589428,0.4032691661756503,0.44268464444291955,0.29402850699099087,0
sqrt,10,0.15845885331703594,0.49805874786137755,0.52077715995384,0.3796240843586258,0
ten_percent,10,0.15845885331703594,0.49805874786137755,0.52077715995384,0.3796240843586258,0
log,4,0.156047782942747,0.49851019733905544,0.4987845327003273,0.3935259968310342,0
original,100,0.2683313975133437,0.2453551915483245,0.11069131729761811,0.198642768192409,4
half,50,0.1620069161952108,0.5644143073052772,0.5490736080581243,0.42264935659773417,4
sqrt,10,0.1401397929325734,0.6256782586205663,0.605677459901757,0.473664790158551,4
ten_percent,10,0.1401397929325734,0.6256782586205663,0.605677459901757,0.473664790158551,4
log,4,0.12836432847956986,0.6379876808781269,0.6194882989111987,0.47834085691169553,4
original,100,0.29814720434437664,0.1358820492862774,-0.030800544059649784,0.11107812332411196,5
half,50,0.16365036367555824,0.6017402795280303,0.6415352271897041,0.47522774545678237,5
sqrt,10,0.12873221233052878,0.6381411263488882,0.6594434316916004,0.5145839570148664,5
ten_percent,10,0.12873221233052878,0.6381411263488882,0.6594434316916004,0.5145839570148664,5
log,4,0.16911020347646644,0.6076990011436488,0.6403038043256359,0.4665454668262558,5
original,100,0.31540058558757506,0.24246212330352424,0.29021637649751,0.1974689872434022,8
half,50,0.16674549693974705,0.6242499160355469,0.6442459456206286,0.4779226247654251,8
sqrt,10,0.21254653577413077,0.5643392060317125,0.5907548302625049,0.4124482355798023,8
ten_percent,10,0.21254653577413077,0.5643392060317125,0.5907548302625049,0.4124482355798023,8
log,4,0.3131343206278212,0.46670267026702666,0.492439665508812,0.3216161616161617,8
original,100,0.2987443534210681,-0.008704318024567061,-0.0038852836250593665,-0.007142492739258057,9
half,50,0.2149143834471894,0.534965496549655,0.5695566022913247,0.39191919191919194,9
sqrt,10,0.1507353052194781,0.689081580915646,0.7001457400077331,0.5255711498042742,9
ten_percent,10,0.1507353052194781,0.689081580915646,0.7001457400077331,0.5255711498042742,9
log,4,0.21028191958698098,0.5178580001333049,0.5576459478804769,0.36596950251593435,9
original,100,0.2524665166328705,0.19930915091939097,0.20280274321354735,0.16553618155022004,10
half,50,0.215481529338693,0.4813259085364154,0.5064349332730242,0.37647773781733057,10
sqrt,10,0.16735112226221532,0.5370218130773913,0.5514526226732831,0.43420262683830047,10
ten_percent,10,0.16735112226221532,0.5370218130773913,0.5514526226732831,0.43420262683830047,10
log,4,0.1634361485853938,0.559908788394483,0.5757343848165815,0.4467354773336331,10
original,100,0.30523846071425287,0.09063565237889676,0.07987467284988228,0.07392428753214544,15
half,50,0.1802404401915811,0.47595187395782074,0.5242917657905952,0.3614312368654009,15
sqrt,10,0.24910039803358025,0.3844224422442244,0.45231153856781836,0.28767676767676775,15
ten_percent,10,0.24910039803358025,0.3844224422442244,0.45231153856781836,0.28767676767676775,15
log,4,0.1434642911647745,0.5653510215169207,0.5998640320846045,0.4331459886052105,15
original,100,0.302637324987553,0.10486406422242311,-0.0513740468062044,0.0871285125229995,18
half,50,0.20618046963796854,0.4790722796119601,0.5291859290372494,0.36466552086419646,18
sqrt,10,0.15697235583031938,0.5994359108248892,0.6419340207086861,0.4598586779441376,18
ten_percent,10,0.15697235583031938,0.5994359108248892,0.6419340207086861,0.4598586779441376,18
log,4,0.1924631574330991,0.5075372068668119,0.5581484076585788,0.3878667301217484,18
original,100,0.31091596672030836,0.1147392930538872,-0.06357813751491612,0.0935639287022983,19
half,50,0.18615432188105516,0.452050561209839,0.4710868920843776,0.3388221049716089,19
sqrt,10,0.13826133609418964,0.6393390676592586,0.6067556143453796,0.4927086268886211,19
ten_percent,10,0.13826133609418964,0.6393390676592586,0.6067556143453796,0.4927086268886211,19
log,4,0.156635780204798,0.5262598861782689,0.537105743624569,0.40890284812109,19
original,100,0.3118621054807901,0.11513177464346346,0.023502211894484714,0.09417751699300721,20
half,50,0.202418405665496,0.4762570544787546,0.48445217481490305,0.3610465722029011,20
sqrt,10,0.1650899644860241,0.5444529787728276,0.5548475224183009,0.4253814482584438,20
ten_percent,10,0.1650899644860241,0.5444529787728276,0.5548475224183009,0.4253814482584438,20
log,4,0.17407064906888883,0.5200542461130128,0.5393006761234727,0.3995150229011608,20
original,100,0.32713945204524125,0.2085526275471148,0.13651180172271835,0.1727334068350122,26
half,50,0.18695488661075704,0.37016945900606385,0.3771108062912138,0.29524099567961354,26
sqrt,10,0.1625531585258125,0.4236437837680837,0.4650470121594369,0.3462084681795794,26
ten_percent,10,0.1625531585258125,0.4236437837680837,0.4650470121594369,0.3462084681795794,26
log,4,0.15831935873417005,0.4115274987600503,0.4541351738472721,0.33636553587473556,26
original,100,0.3112385784659,0.24362116367853498,0.1014043490399105,0.19894589252079753,27
half,50,0.14630851861402874,0.6766059590791925,0.6765850943968812,0.5227411513053282,27
sqrt,10,0.11653934224702554,0.6905064822802754,0.6788504718809909,0.5520730830200068,27
ten_percent,10,0.11653934224702554,0.6905064822802754,0.6788504718809909,0.5520730830200068,27
log,4,0.17883584453303644,0.6375954107319138,0.6486977388898001,0.4835809053123307,27
original,100,0.28729449262262535,0.0510954469457881,0.16126885398558835,0.04151912039476662,28
half,50,0.21103164119686782,0.46916291629162915,0.49432502403998224,0.32848484848484855,28
sqrt,10,0.13768400528278757,0.5894220153081576,0.5873655620832186,0.44558959306882123,28
ten_percent,10,0.13768400528278757,0.5894220153081576,0.5873655620832186,0.44558959306882123,28
log,4,0.15476397169146014,0.5550931745994819,0.5614462716853952,0.4046873442207112,28
original,100,0.31781825735893987,0.05008096107422524,-0.06991005472059253,0.04151912039476662,37
half,50,0.17492953045962306,0.6358306582717363,0.6221839291977551,0.46452403932700853,37
sqrt,10,0.17567804445182766,0.6208353347712459,0.6123157780140951,0.4477252035920495,37
ten_percent,10,0.17567804445182766,0.6208353347712459,0.6123157780140951,0.4477252035920495,37
log,4,0.19421498694539838,0.6028035140369788,0.5959775987252043,0.4318480545977646,37
original,100,0.33892078299944617,0.16940312920295078,-0.06285555529713845,0.14005101642585846,40
half,50,0.19671465155897322,0.5864816859910624,0.5948445865573013,0.43144389170155706,40
sqrt,10,0.17088021180721472,0.6561990028919857,0.6729308121377156,0.49068268681095406,40
ten_percent,10,0.17088021180721472,0.6561990028919857,0.6729308121377156,0.49068268681095406,40
log,4,0.19396241668847863,0.622527605537615,0.6414342522549148,0.46026312708920714,40
