dim_reduction_level,dims,mae,spearmanr,pearsonr,kendalltau,nr_non_nan,iteration
half,10,0.2787834297842417,0.5994735286669334,0.6094002293649838,0.4063338682360031,20,0
sqrt,4,0.2638363420902016,0.3403618317721467,0.32382298839101686,0.2175135181864896,20,0
log,2,0.3024324638528092,0.5829259532206692,0.6379029527789579,0.3746714888929379,20,0
ten_percent,2,0.3024324638528092,0.5829259532206692,0.6379029527789579,0.3746714888929379,20,0
original,20,0.2880457641323521,,,,20,0
half,10,0.19009780386451994,0.3403618317721467,0.4058403823444856,0.2493447647503661,20,1
sqrt,4,0.20669220947592368,0.3207834963162267,0.35026275050684197,0.1750718561013209,20,1
log,2,0.2867915705721835,0.2873260827487686,0.29566999796114884,0.19525133928223526,20,1
ten_percent,2,0.2867915705721835,0.2873260827487686,0.29566999796114884,0.19525133928223526,20,1
original,20,0.1851398686540977,0.37796447300922725,0.5598491665277443,0.3162277660168379,20,1
half,10,0.2486457945348571,0.58796992481203,0.5867425297931574,0.4736842105263158,20,2
sqrt,4,0.2790694460417318,0.3448799091850513,0.2922731583410575,0.29178642683553485,20,2
log,2,0.16507752180272953,0.410680736075465,0.5364765218579342,0.29023847731143076,20,2
ten_percent,2,0.16507752180272953,0.410680736075465,0.5364765218579342,0.29023847731143076,20,2
original,20,0.32355317528469174,,,,20,2
half,10,0.21572407830716506,0.48343428318079246,0.45978692293068646,0.3660593354845801,20,3
sqrt,4,0.2678190547009113,0.5030126186367123,0.4987373745062346,0.3766697510058722,20,3
log,2,0.32096170864047374,0.43909774436090226,0.41396452718949545,0.3263157894736842,20,3
ten_percent,2,0.32096170864047374,0.43909774436090226,0.41396452718949545,0.3263157894736842,20,3
original,20,0.27676465094557134,,,,20,3
half,10,0.17133032353981645,0.3584931185076166,0.28883688386794926,0.3315934761264326,20,4
sqrt,4,0.22973931231581327,0.3117473414904175,0.21477330417857726,0.22812393370778178,20,4
log,2,0.18883312868600027,0.28313285120868836,0.24762796455959846,0.2599551802716583,20,4
ten_percent,2,0.18883312868600027,0.28313285120868836,0.24762796455959846,0.2599551802716583,20,4
original,20,0.3016607275372388,0.37796447300922725,0.4785668215670981,0.3162277660168379,20,4
half,10,0.20446976767935063,0.2651591242805584,0.34944568774165374,0.20548046676563253,20,5
sqrt,4,0.18901372194550045,0.4806318504619453,0.5502633582614309,0.34300910954987274,20,5
log,2,0.27909912221514743,0.42319325100873106,0.539009753664872,0.302396842356827,20,5
ten_percent,2,0.27909912221514743,0.42319325100873106,0.539009753664872,0.302396842356827,20,5
original,20,0.3070457995258534,,,,20,5
half,10,0.12247342951917621,0.6189766055679304,0.6505556538996803,0.4933843217400862,20,6
sqrt,4,0.26283232093308934,0.49323308270676686,0.4851593123480436,0.3368421052631579,20,6
log,2,0.2663796004360382,0.6240601503759398,0.5437465015881002,0.45263157894736844,20,6
ten_percent,2,0.2663796004360382,0.6240601503759398,0.5437465015881002,0.45263157894736844,20,6
original,20,0.2781551650131214,0.5209880722517277,0.5840233722869143,0.44128997507904394,20,6
half,10,0.2057442517042743,0.37207812089316833,0.3799244925298846,0.2888072211423767,20,7
sqrt,4,0.19033914839931948,0.5403812060030599,0.5140709973286867,0.4064694223485302,20,7
log,2,0.26223466917432703,0.2781954887218045,0.30172483963533664,0.2105263157894737,20,7
ten_percent,2,0.26223466917432703,0.2781954887218045,0.30172483963533664,0.2105263157894737,20,7
original,20,0.34168621318561965,,,,20,7
half,10,0.20427354721651597,0.6363294921608854,0.599293589873302,0.4485503740267567,20,8
sqrt,4,0.2376110579807082,0.617470579763629,0.5667186643807678,0.41911141309104094,20,8
log,2,0.20949164397816245,0.5045186444410139,0.5163529898447337,0.3660593354845801,20,8
ten_percent,2,0.20949164397816245,0.5045186444410139,0.5163529898447337,0.3660593354845801,20,8
original,20,0.3357555768471835,,,,20,8
half,10,0.3027107165596611,0.30462582071531746,0.17366061887707446,0.20580546572992364,20,9
