dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,25,0.39593561819066975,-0.11213361445692224,False,-0.09365211902544662,-0.07736351605818385,False,166,60,0.3614457831325301,10
sqrt,7,0.3339304187352093,0.060537930034943524,False,0.06053171726758348,0.04243621552930939,False,200,27,0.135,10
log,3,0.45900395685656487,0.06414445065887481,False,0.07278245313069283,0.046909179718532416,False,200,7,0.035,10
ten_percent,5,0.40583415181924176,0.05850925096440889,False,0.07068504801499371,0.04045863757544384,False,200,15,0.075,10
original,50,0.09890368940382831,-0.018506356302962157,False,0.021725674304701507,-0.014467941348983188,False,194,186,0.9587628865979382,10
half,25,0.35775922536311483,0.09911095104945966,False,0.07736603028107403,0.06803825318925259,False,164,61,0.3719512195121951,0
sqrt,7,0.31594730406215715,0.13818028147655873,False,0.12436837024106023,0.09149380451993849,False,200,37,0.185,0
log,3,0.4592638929723874,0.10717843023142459,False,0.0964733444608905,0.0717464088513888,False,200,7,0.035,0
ten_percent,5,0.3666675301604947,0.10892514557476891,False,0.09670003772432763,0.07022074034696518,False,200,21,0.105,0
original,50,0.1037552236802319,0.08658146424753548,False,0.061355667580223275,0.07094513924312935,False,190,180,0.9473684210526315,0
half,25,0.33524859418730846,0.17219232682822952,False,0.19365564515286104,0.12239298819781091,False,159,61,0.3836477987421384,5
sqrt,7,0.3141498558595952,0.05934481724611192,False,0.08021191453985503,0.040321152642268404,False,200,34,0.17,5
log,3,0.4480645766237165,0.09746024073697748,False,0.09391536681176237,0.06444803724838226,False,200,13,0.065,5
ten_percent,5,0.37478328332852867,0.08705846725254428,False,0.10061398057419338,0.06122844410109482,False,200,21,0.105,5
original,50,0.09118757936405822,0.02026481882597933,False,-0.020614092729250136,0.015823194985909263,False,189,181,0.9576719576719577,5
half,25,0.3996157629218621,0.05653875726046568,False,0.06752294333948901,0.03935335486260822,False,169,59,0.34911242603550297,4
sqrt,7,0.38390299714962645,0.18491600398487487,False,0.19647300277774016,0.12577577951719332,False,200,25,0.125,4
log,3,0.5066640527315649,0.18019662001165937,False,0.18492678643491078,0.12130200686202239,False,200,6,0.03,4
ten_percent,5,0.44356054843407094,0.17838567706741879,False,0.18765185859567016,0.12041777789691599,False,200,11,0.055,4
original,50,0.11269617052240703,0.09714958021658304,False,0.06207043842046969,0.07900423651816761,False,195,186,0.9538461538461539,4
half,25,0.3788441748936824,-0.16727651425339793,False,-0.14446303095401805,-0.12281155640823786,False,163,52,0.31901840490797545,14
