dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,18,0.08486786623327693,,True,,,True,20,20,1.0,8
sqrt,10,0.07510221930393556,0.29994684685594825,False,0.22964251647159734,0.23693955110363693,False,20,17,0.85,8
log,4,0.24286956081065494,0.051516629860222776,False,0.1608174672277532,0.010814761408717502,False,20,5,0.25,8
ten_percent,10,0.07510221930393556,0.29994684685594825,False,0.22964251647159734,0.23693955110363693,False,20,17,0.85,8
original,100,0.08486786623327693,,True,,,True,20,20,1.0,8
half,18,0.09322488879758857,,True,,,True,20,20,1.0,13
sqrt,10,0.09516847001467636,-0.33864966580510286,False,-0.35845150607255516,-0.27642947628757647,False,20,17,0.85,13
log,4,0.1643237445140959,-0.3534488353963716,False,-0.4326908777244897,-0.27359422722270776,False,20,8,0.4,13
ten_percent,10,0.09516847001467636,-0.33864966580510286,False,-0.35845150607255516,-0.27642947628757647,False,20,17,0.85,13
original,100,0.09322488879758857,,True,,,True,20,20,1.0,13
half,18,0.04720475415628977,-0.01989286700048564,False,0.017712091206099158,-0.01664356663246515,False,20,19,0.95,14
sqrt,10,0.05283782593302948,-0.0459595975021211,False,0.014179323316401525,-0.039489925183939484,False,20,17,0.85,14
log,4,0.18414699914245697,-0.22838232440996323,False,-0.17103821981934136,-0.1481968730789667,False,20,8,0.4,14
ten_percent,10,0.05283782593302948,-0.0459595975021211,False,0.014179323316401525,-0.039489925183939484,False,20,17,0.85,14
original,100,0.049414602078609086,,True,,,True,20,20,1.0,14
half,18,0.0922600550388183,,True,,,True,20,20,1.0,2
sqrt,10,0.09380546640433415,-0.17903580300437075,False,-0.20265120204083908,-0.14979209969218638,False,20,19,0.95,2
log,4,0.2024947336638719,0.04302070197183234,False,0.09277159411919936,0.016741759617923346,False,20,7,0.35,2
ten_percent,10,0.09380546640433415,-0.17903580300437075,False,-0.20265120204083908,-0.14979209969218638,False,20,19,0.95,2
original,100,0.0922600550388183,,True,,,True,20,20,1.0,2
half,18,0.06382667608143819,,True,,,True,20,20,1.0,0
sqrt,10,0.06401926762327433,0.05967860100145693,False,-0.05258292465357705,0.04993069989739546,False,20,19,0.95,0
log,4,0.11893493662310013,0.047296907428588365,False,0.16693452923779345,0.04676843377549342,False,20,9,0.45,0
ten_percent,10,0.06401926762327433,0.05967860100145693,False,-0.05258292465357705,0.04993069989739546,False,20,19,0.95,0
original,100,0.06382667608143819,,True,,,True,20,20,1.0,0
half,18,0.059601565293028805,,True,,,True,20,20,1.0,5
sqrt,10,0.05749286836975927,-0.3391473600530638,False,-0.28354227274816723,-0.2743153899140003,False,20,18,0.9,5
log,4,0.12267361451033418,-0.21555477448070795,False,-0.19719740414819587,-0.1433293191156868,False,20,12,0.6,5
ten_percent,10,0.05749286836975927,-0.3391473600530638,False,-0.28354227274816723,-0.2743153899140003,False,20,18,0.9,5
original,100,0.059601565293028805,,True,,,True,20,20,1.0,5
half,18,0.08343306883936516,,True,,,True,20,20,1.0,12
sqrt,10,0.07633547664985982,0.09091104382239838,False,0.04333829100841892,0.05508226327552437,False,20,15,0.75,12
log,4,0.14322153418505018,0.20967744898193474,False,0.31594003633618445,0.16266831294477005,False,20,10,0.5,12
ten_percent,10,0.07633547664985982,0.09091104382239838,False,0.04333829100841892,0.05508226327552437,False,20,15,0.75,12
