dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,25,0.2771682345162511,0.14500889571751102,False,0.1549387691317393,0.10639360704683,False,91,42,0.46153846153846156,13
sqrt,7,0.3413831462664645,0.06810573801081941,False,0.09438748497673417,0.04752611805403545,False,100,17,0.17,13
log,3,0.5643159367588978,0.11973115720070268,False,0.1404148986534108,0.08372097302940762,False,100,5,0.05,13
ten_percent,5,0.3926847546020413,0.10878974231419365,False,0.128999848402726,0.07697249437482283,False,100,13,0.13,13
original,50,0.09235315813952423,-0.1449524265379156,False,-0.10400449799700248,-0.11816743887721376,False,96,93,0.96875,13
half,25,0.23740455076655467,0.171188220009102,False,0.1769125839653501,0.12904137145126263,False,98,49,0.5,14
sqrt,7,0.28372593924161915,0.15610542957013435,False,0.1525054616830937,0.10709929101971125,False,100,27,0.27,14
log,3,0.41749975319219884,0.19416835342781116,False,0.20483639323808725,0.13654836123475764,False,100,8,0.08,14
ten_percent,5,0.3099191435335664,0.22270010887092004,False,0.22002853777880202,0.14872397287599023,False,100,17,0.17,14
original,50,0.0965685819167269,-0.015073981245271264,False,-0.03374737785361751,-0.012369858843166257,False,99,97,0.9797979797979798,14
half,25,0.29186564544299726,0.0757698777097312,False,0.0771136917666321,0.05509923309699505,False,96,45,0.46875,6
sqrt,7,0.31991736141814736,-0.02316572481089801,False,-0.010304864367261754,-0.014690303236946438,False,100,22,0.22,6
log,3,0.4321997906090814,-0.06322094410543339,False,-0.062051979740033444,-0.04636107245507491,False,100,7,0.07,6
ten_percent,5,0.3505388383810867,0.008482115745314269,False,0.010192902713243954,0.006923451874984065,False,100,13,0.13,6
original,50,0.07936912897638286,-0.031470241547145276,False,-0.03215784459468708,-0.025828827832167466,False,96,95,0.9895833333333334,6
half,25,0.2197518271265828,0.014371617811883699,False,0.028299628881778373,0.010665245777517322,False,94,45,0.4787234042553192,3
sqrt,7,0.28532026249533465,0.17004869482018398,False,0.22256782238336215,0.12339685361919613,False,100,23,0.23,3
log,3,0.40887449150785754,0.24379397910990735,False,0.28137712079007315,0.16894303719995554,False,100,6,0.06,3
ten_percent,5,0.3281426024710964,0.16920015608879743,False,0.2130431131790599,0.11633371623709758,False,100,12,0.12,3
original,50,0.07983489297858241,,True,,,True,98,98,1.0,3
half,25,0.2167671328150712,-0.05708397929278712,False,-0.0691187465585008,-0.0471147435801872,False,94,57,0.6063829787234043,10
sqrt,7,0.29779059454353385,-0.02680009088937032,False,-0.028433528045974956,-0.034053307824659304,False,100,28,0.28,10
log,3,0.45046691573083514,-0.04391145822806388,False,-0.019774210091643655,-0.035656545366939685,False,100,8,0.08,10
ten_percent,5,0.334355677069378,-0.0571584382483216,False,-0.05376118568659724,-0.051128593261654066,False,100,16,0.16,10
original,50,0.08357491490933104,-0.04241757079760516,False,-0.048116897641186894,-0.03480828022132415,False,99,98,0.98989898989899,10
half,25,0.2686030366401223,-0.0247996146891986,False,0.004623073843384386,-0.01886463663695156,False,92,47,0.5108695652173914,0
sqrt,7,0.31958149135437663,0.050005388791024376,False,0.0763678578558787,0.035380871176307616,False,100,22,0.22,0
log,3,0.49007958734055324,0.07629285750914708,False,0.06984303884086918,0.05510557011254315,False,100,8,0.08,0
ten_percent,5,0.40869530662445025,0.045053730941825076,False,0.07039345783495198,0.028101069374935318,False,100,13,0.13,0
original,50,0.06711325924066726,,True,,,True,99,99,1.0,0
half,25,0.25639507232565134,0.13357525918061458,False,0.20030324887670917,0.09693443266968445,False,95,48,0.5052631578947369,7
sqrt,7,0.33633825195488115,0.09151667848471948,False,0.14536339494793737,0.06020955270354104,False,100,22,0.22,7
log,3,0.4808983492297447,0.1259001442497365,False,0.16639522460427703,0.079272032433642,False,100,5,0.05,7
ten_percent,5,0.3820458128312227,0.09013393202209134,False,0.1481389724603795,0.06063677131032109,False,100,17,0.17,7
original,50,0.07678189944527722,-0.012562305068967885,False,-0.027727815522004456,-0.010309278350515464,False,98,97,0.9897959183673469,7
half,25,0.2702747353519495,0.07310532459133692,False,0.04534841271074905,0.05348753972185179,False,93,38,0.40860215053763443,2
sqrt,7,0.2946155078777142,0.105552163086586,False,0.11476490395578545,0.0738113814865035,False,100,19,0.19,2
log,3,0.44360930679223787,0.14704814568063362,False,0.139770664689727,0.10217513028260784,False,100,6,0.06,2
ten_percent,5,0.3157967231744659,0.09997180982693081,False,0.10263608145170385,0.06670884427581819,False,100,12,0.12,2
original,50,0.08382034054596516,0.0,False,-0.03170815235244483,0.0,False,98,96,0.9795918367346939,2
half,25,0.2836899746202028,-0.07226158059170824,False,-0.12587229689318485,-0.052081179173259225,False,91,43,0.4725274725274725,9
sqrt,7,0.33566600357631876,0.02982911326831334,False,-0.0017366291978804988,0.02023178985452661,False,100,21,0.21,9
log,3,0.48725373103601916,0.07382113373943902,False,0.0760794172881129,0.0495701127113642,False,100,6,0.06,9
ten_percent,5,0.3912147316396599,0.040676983537054096,False,-0.003938742408815701,0.024405674735055432,False,100,12,0.12,9
original,50,0.08561621484110658,0.20617296881236732,False,0.11789539033769487,0.16907657821583394,False,99,94,0.9494949494949495,9
half,25,0.28979115446017756,0.06465024386635942,False,0.04944026081200396,0.039008258119711564,False,95,39,0.4105263157894737,12
sqrt,7,0.36700471704591237,0.08852777578614889,False,0.06373043745563463,0.05281091779183042,False,100,14,0.14,12
log,3,0.4846259265804555,0.10370779515301774,False,0.08117984761704419,0.06255708029964258,False,100,7,0.07,12
ten_percent,5,0.42689385146303366,0.06511350045285241,False,0.03835661399361019,0.041646155226232766,False,100,11,0.11,12
original,50,0.09299890159700253,0.07907084197637822,False,0.04865068814226507,0.06477502756312957,False,99,97,0.9797979797979798,12
half,25,0.20184854145959297,0.06012376595344267,False,0.09690581998642094,0.040700166590993264,False,97,56,0.5773195876288659,5
sqrt,7,0.2682219953874006,0.09248267937107889,False,0.09998178476383439,0.0601516566001118,False,100,27,0.27,5
log,3,0.42248500130062444,0.00968554970538964,False,0.035212379892258706,0.0032355931605568167,False,100,5,0.05,5
