dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,48,0.08092537703700288,,True,,,True,50,50,1.0,3
sqrt,10,0.0788831876589112,0.04636436253791658,False,0.03387513520313145,0.029950995334911946,False,49,36,0.7346938775510204,3
log,4,0.24531865345711584,0.0076424717724697154,False,0.04676989189928928,0.0017074694419062766,False,50,15,0.3,3
ten_percent,10,0.0788831876589112,0.04636436253791658,False,0.03387513520313145,0.029950995334911946,False,49,36,0.7346938775510204,3
original,100,0.08092537703700288,,True,,,True,50,50,1.0,3
half,48,0.0636416613200425,,True,,,True,50,50,1.0,5
sqrt,10,0.06613007602630384,-0.08809874565378825,False,-0.027061153238505838,-0.06672710789999371,False,50,41,0.82,5
log,4,0.13211421640713106,0.08812286532292976,False,0.06859812323066986,0.04921000644736703,False,50,14,0.28,5
ten_percent,10,0.06613007602630384,-0.08809874565378825,False,-0.027061153238505838,-0.06672710789999371,False,50,41,0.82,5
original,100,0.0636416613200425,,True,,,True,50,50,1.0,5
half,48,0.06868114231506768,,True,,,True,50,50,1.0,8
sqrt,10,0.06371267378232448,0.1846383440035464,False,0.08625222536146465,0.14570405904266895,False,50,35,0.7,8
log,4,0.16224400050439353,0.21199340489876187,False,0.10489554132002522,0.15537971921347118,False,50,15,0.3,8
ten_percent,10,0.06371267378232448,0.1846383440035464,False,0.08625222536146465,0.14570405904266895,False,50,35,0.7,8
original,100,0.06868114231506768,,True,,,True,50,50,1.0,8
half,48,0.07846423964912809,,True,,,True,50,50,1.0,4
sqrt,10,0.06820958299875157,0.19294791797691452,False,0.23039183315769698,0.14545454545454548,False,50,39,0.78,4
log,4,0.11809989645040707,0.26112961832414,False,0.24501144634902425,0.1867447220874951,False,50,18,0.36,4
ten_percent,10,0.06820958299875157,0.19294791797691452,False,0.23039183315769698,0.14545454545454548,False,50,39,0.78,4
original,100,0.0778709792173621,,True,,,True,49,49,1.0,4
half,48,0.07072150685109728,,True,,,True,50,50,1.0,1
sqrt,10,0.0668403299869773,0.1803842633035772,False,0.08916497032255553,0.14006019505037073,False,50,38,0.76,1
log,4,0.1579943867233889,0.22414608195941313,False,0.15519610814903864,0.16416636568695955,False,50,16,0.32,1
ten_percent,10,0.0668403299869773,0.1803842633035772,False,0.08916497032255553,0.14006019505037073,False,50,38,0.76,1
original,100,0.07072150685109728,,True,,,True,50,50,1.0,1
half,48,0.0820830655069302,,True,,,True,50,50,1.0,12
sqrt,10,0.07992735565467018,0.06794858532401984,False,0.03506360985687513,0.055023648055502784,False,50,38,0.76,12
log,4,0.16329593885516613,0.2532986161926857,False,0.26655236883437083,0.18156795482304386,False,50,14,0.28,12
ten_percent,10,0.07992735565467018,0.06794858532401984,False,0.03506360985687513,0.055023648055502784,False,50,38,0.76,12
original,100,0.0820830655069302,,True,,,True,50,50,1.0,12
half,48,0.08714637994986577,,True,,,True,50,50,1.0,13
sqrt,10,0.08399177324908813,-0.06762781471144172,False,-0.06824536654617036,-0.051948051948051945,False,50,39,0.78,13
log,4,0.17877422532966242,0.1565650034575507,False,0.19037971788166355,0.10826297273220002,False,50,12,0.24,13
ten_percent,10,0.08399177324908813,-0.06762781471144172,False,-0.06824536654617036,-0.051948051948051945,False,50,39,0.78,13
original,100,0.08815725969178448,,True,,,True,49,49,1.0,13
half,48,0.07834350595083078,,True,,,True,50,50,1.0,7
sqrt,10,0.07925483553931274,0.03884607802486417,False,0.059122729839717045,0.03251397385097892,False,50,38,0.76,7
log,4,0.1620687827568255,-0.05148826937577676,False,0.04206008226652719,-0.04014138885992886,False,50,18,0.36,7
ten_percent,10,0.07925483553931274,0.03884607802486417,False,0.059122729839717045,0.03251397385097892,False,50,38,0.76,7
original,100,0.07834350595083078,,True,,,True,50,50,1.0,7
half,48,0.07089527125112749,-0.04454735970055096,False,-0.04824304075504531,-0.03673469387755102,False,50,49,0.98,2
sqrt,10,0.05879561528834328,-0.0022435853644723535,False,0.06436787781185652,-0.0025010749116137626,False,50,38,0.76,2
log,4,0.20641293175020292,-0.0511743801930402,False,0.02424133006213671,-0.04242241935117848,False,50,14,0.28,2
ten_percent,10,0.05879561528834328,-0.0022435853644723535,False,0.06436787781185652,-0.0025010749116137626,False,50,38,0.76,2
original,100,0.05245375663557155,,True,,,True,50,50,1.0,2
half,48,0.06987256067631015,,True,,,True,50,50,1.0,10
sqrt,10,0.07382391311287842,-0.07198960254621181,False,-0.16713008581444305,-0.05739440431835514,False,50,36,0.72,10
log,4,0.22976063034783614,0.026625024435272183,False,0.0012532022300320205,0.02628386626633458,False,50,6,0.12,10
ten_percent,10,0.07382391311287842,-0.07198960254621181,False,-0.16713008581444305,-0.05739440431835514,False,50,36,0.72,10
original,100,0.06987256067631015,,True,,,True,50,50,1.0,10
half,48,0.060263386904947674,,True,,,True,50,50,1.0,9
sqrt,10,0.059475390156500454,0.08492175059221306,False,0.17806030732206712,0.071062689207587,False,49,38,0.7755102040816326,9
log,4,0.18478161633854154,0.08864293692781754,False,0.024204304496690313,0.06829877767625106,False,50,15,0.3,9
ten_percent,10,0.059475390156500454,0.08492175059221306,False,0.17806030732206712,0.071062689207587,False,49,38,0.7755102040816326,9
original,100,0.060263386904947674,,True,,,True,50,50,1.0,9
half,48,0.08718056684156492,,True,,,True,50,50,1.0,11
sqrt,10,0.09025844306169409,-0.06948372714666665,False,-0.16460994059727577,-0.05691564806354256,False,50,35,0.7,11
log,4,0.18026714176397093,-0.21231938456726807,False,-0.18816671168465127,-0.1447238809924104,False,50,10,0.2,11
ten_percent,10,0.09025844306169409,-0.06948372714666665,False,-0.16460994059727577,-0.05691564806354256,False,50,35,0.7,11
original,100,0.08718056684156492,,True,,,True,50,50,1.0,11
half,48,0.058931131991059156,,True,,,True,50,50,1.0,0
sqrt,10,0.06369077214081596,0.12669333898042087,False,0.1480828511904884,0.09788385625560829,False,50,37,0.74,0
log,4,0.2239891458831133,0.2274092954141243,False,0.20931338997268842,0.15304134541726155,False,50,10,0.2,0
ten_percent,10,0.06369077214081596,0.12669333898042087,False,0.1480828511904884,0.09788385625560829,False,50,37,0.74,0
original,100,0.058931131991059156,,True,,,True,50,50,1.0,0
half,48,0.07291867302266844,,True,,,True,50,50,1.0,14
sqrt,10,0.07047844796360543,0.05900030256593395,False,0.023777506216357342,0.05275349613399974,False,49,40,0.8163265306122449,14
log,4,0.15058308938011494,-0.009622550318747015,False,-0.041319237975406625,-0.010202146006818786,False,50,24,0.48,14
ten_percent,10,0.07047844796360543,0.05900030256593395,False,0.023777506216357342,0.05275349613399974,False,49,40,0.8163265306122449,14
original,100,0.07291867302266844,,True,,,True,50,50,1.0,14
half,48,0.07535495535831466,,True,,,True,50,50,1.0,6
sqrt,10,0.08433216974160546,-0.12743564870202967,False,0.031550643826576644,-0.10504514628777803,False,50,38,0.76,6
log,4,0.2331612074422938,-0.04086479429318858,False,-0.04958548124338564,-0.016330685591896498,False,50,16,0.32,6
ten_percent,10,0.08433216974160546,-0.12743564870202967,False,0.031550643826576644,-0.10504514628777803,False,50,38,0.76,6
original,100,0.07535495535831466,,True,,,True,50,50,1.0,6
half,48,0.0609579926204575,,True,,,True,50,50,1.0,15
sqrt,10,0.06049780492633495,0.20506428061795726,False,0.2402446681890074,0.17251638983558854,False,49,42,0.8571428571428571,15
log,4,0.16965659122381865,0.07316328072625466,False,0.1554851472499214,0.056346491582907124,False,50,15,0.3,15
ten_percent,10,0.06049780492633495,0.20506428061795726,False,0.2402446681890074,0.17251638983558854,False,49,42,0.8571428571428571,15
original,100,0.0609579926204575,,True,,,True,50,50,1.0,15
