dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,18,0.15935482989694863,0.4526633984237883,False,0.28024679087343335,0.3309269867588652,False,20,11,0.55,2
sqrt,7,0.171313585834364,0.47241598308228083,False,0.3030246452403167,0.36839041922213295,False,20,11,0.55,2
log,3,0.29963627070103904,0.18898379794769202,False,0.1932235558179913,0.128353490404079,False,20,7,0.35,2
ten_percent,5,0.17160139404943994,0.40891119360844747,False,0.2987753679782926,0.30726236889567676,False,20,10,0.5,2
original,50,0.06817875730497672,,True,,,True,20,20,1.0,2
half,18,0.19942996658011944,0.27702264040912233,False,0.33855998543675064,0.21936339884283268,False,20,13,0.65,7
sqrt,7,0.22025420663988576,0.2711689359239066,False,0.3598273486375644,0.22215006043359373,False,20,9,0.45,7
log,3,0.36738603654564755,0.3615120079266281,False,0.4473435271452599,0.24602096615832092,False,20,4,0.2,7
ten_percent,5,0.24180208324594674,0.41176957601610953,False,0.47914155032069916,0.30693225966192805,False,20,7,0.35,7
original,50,0.07388262903621919,,True,,,True,20,20,1.0,7
half,18,0.2240335127791341,0.34142879623495126,False,0.4435482232979282,0.24701484558279893,False,20,10,0.5,14
sqrt,7,0.27146635545161707,0.3332517590880075,False,0.43999076172991636,0.2507947082874821,False,20,8,0.4,14
log,3,0.40223984885659936,0.24981309942320226,False,0.2949904816325891,0.14975189244419534,False,20,4,0.2,14
ten_percent,5,0.2969705823821482,0.27110690890842576,False,0.37992513153063606,0.193795910949418,False,20,8,0.4,14
original,50,0.07105555966070887,,True,,,True,20,20,1.0,14
half,18,0.1764177643698437,0.24016535896866278,False,0.16525606432424989,0.19544907152139113,False,20,12,0.6,0
sqrt,7,0.206729559677049,0.2796518258081182,False,0.23157144341899694,0.20519567041703082,False,20,8,0.4,0
log,3,0.3239155641360257,0.1607761966146033,False,0.18423608235269714,0.11516578439248717,False,20,6,0.3,0
ten_percent,5,0.2290813630899753,0.24391853695485868,False,0.22251023079001572,0.18239615148180516,False,20,8,0.4,0
original,50,0.08355564827536008,,True,,,True,20,20,1.0,0
half,18,0.13307096881135289,-0.20158535804097033,False,-0.19128491579400492,-0.1495090003192804,False,20,15,0.75,10
sqrt,7,0.14215561148117145,-0.1711160790542226,False,-0.13522600885161945,-0.10242078963189226,False,20,10,0.5,10
log,3,0.26104309268640336,0.13639307674888146,False,0.15968644286113448,0.11516578439248717,False,20,6,0.3,10
ten_percent,5,0.16682264717855905,-0.07252192472383549,False,-0.053710782171104816,-0.03507632533162006,False,20,9,0.45,10
original,50,0.08599001208659814,,True,,,True,20,20,1.0,10
half,18,0.16951420096918468,-0.0009269795493186431,False,-0.08134855873076229,0.007291310654330118,False,20,14,0.7,6
sqrt,7,0.19837457607090273,-0.0794013937478376,False,-0.08685883074876233,-0.05484084971070817,False,20,13,0.65,6
log,3,0.36746979884894104,-0.08762683701743781,False,-0.16375421681865965,-0.04935676473963736,False,20,6,0.3,6
ten_percent,5,0.2644822974895044,-0.17432952654819864,False,-0.18335655830606215,-0.12651979895704335,False,20,10,0.5,6
original,50,0.06294805657389399,,True,,,True,20,20,1.0,6
half,18,0.15628363103069934,-0.19433875337040205,False,-0.13508464931498917,-0.16938919531853897,False,20,12,0.6,5
sqrt,7,0.2582753543058581,-0.3295017884191656,False,-0.32681115331372845,-0.2338421688774671,False,20,9,0.45,5
log,3,0.3968154121625149,-0.09394208974511213,False,-0.16177377574355334,-0.08651809126974001,False,20,5,0.25,5
ten_percent,5,0.31698218362221187,-0.2384973911865916,False,-0.2657879694829753,-0.180974804045337,False,20,6,0.3,5
original,50,0.09366770150020517,,True,,,True,20,20,1.0,5
half,18,0.23507954495930838,0.09318997732530433,False,0.22506707151283425,0.1144702942944678,False,20,10,0.5,9
sqrt,7,0.26140453785342543,0.03153127161905891,False,0.2025597319111935,0.05846054221936677,False,20,9,0.45,9
log,3,0.3616280294964128,0.02727350992600029,False,0.25352003379810206,0.04325904563487001,False,20,5,0.25,9
ten_percent,5,0.29885883520153955,0.1505724569014132,False,0.32286437023078557,0.16183700963992567,False,20,7,0.35,9
original,50,0.06684651575011291,,True,,,True,20,20,1.0,9
half,18,0.21094204925625704,-0.028378144457153014,False,-0.02083908260805474,-0.011692108443873354,False,20,9,0.45,3
sqrt,7,0.25531851879404244,0.12648743430343198,False,0.1410141977412147,0.10419761445034553,False,20,6,0.3,3
log,3,0.4270986309483937,0.12801219336563038,False,0.1364692995467047,0.13263019401615217,False,20,3,0.15,3
ten_percent,5,0.3125309401908215,0.1424283296135571,False,0.14477247522177342,0.14059189831332752,False,20,5,0.25,3
original,50,0.06036098592655503,,True,,,True,20,20,1.0,3
half,18,0.17773305651797067,-0.14766350692772906,False,0.21475874795579733,-0.1433293191156868,False,20,12,0.6,4
sqrt,7,0.20757381012465626,-0.07390929236144828,False,0.16580864205249005,-0.042173266319014455,False,20,10,0.5,4
log,3,0.3181800860555805,0.10606364971222336,False,0.24898742559810108,0.08651809126974001,False,20,5,0.25,4
ten_percent,5,0.2526393462720251,-0.0023304318817343184,False,0.161302308378401,0.0,False,20,8,0.4,4
original,50,0.06827703602783762,,True,,,True,20,20,1.0,4
half,18,0.16161098510665042,0.014115803332948908,False,-0.05924816410835632,0.013710212427677042,False,20,13,0.65,8
sqrt,7,0.19692498462599484,-0.0477354129246904,False,-0.11251497297781825,-0.04370733787381239,False,20,11,0.55,8
log,3,0.3798380207618915,-0.17469899329897792,False,-0.2514625581319546,-0.11140936297356784,False,20,3,0.15,8
ten_percent,5,0.24013475746076196,-0.06936879756192961,False,-0.10879077666005545,-0.04676843377549342,False,20,9,0.45,8
original,50,0.07472935937524208,,True,,,True,20,20,1.0,8
half,18,0.21788009140933012,-0.13939355791287047,False,-0.0807913640041421,-0.10968169942141634,False,20,13,0.65,11
sqrt,7,0.24610932183471998,-0.07551601610843627,False,-0.08441104744612309,-0.0301237616564389,False,20,10,0.5,11
log,3,0.4156337592894407,-0.3222664454794785,False,-0.2869213576857368,-0.2567175299043349,False,20,4,0.2,11
ten_percent,5,0.30328612737719407,-0.31804590386318904,False,-0.20683259208004212,-0.23996522119023464,False,20,7,0.35,11
original,50,0.07566831922494302,,True,,,True,20,20,1.0,11
half,18,0.09358466829025666,0.07740563789830922,False,-0.016888747538316422,0.05923488777590923,False,20,17,0.85,1
sqrt,7,0.27074059801766887,-0.22760551378271845,False,-0.21640240690383616,-0.18239615148180516,False,20,8,0.4,1
log,3,0.40042537560834246,-0.27019060300152997,False,-0.2925108051108947,-0.21393127492027908,False,20,4,0.2,1
ten_percent,5,0.31781630229075347,-0.19666606615694782,False,-0.22094659547255868,-0.128353490404079,False,20,7,0.35,1
original,50,0.08414700621674447,,True,,,True,20,20,1.0,1
half,18,0.22802208734734772,0.29675460483981725,False,0.1986457270321424,0.21719458851166717,False,19,9,0.47368421052631576,13
sqrt,7,0.2864858291605417,0.14289018869215742,False,0.12935483407891113,0.11719231732546342,False,20,7,0.35,13
log,3,0.3613598834771346,0.2060392028475354,False,0.2159664721437208,0.13905532869818138,False,20,4,0.2,13
ten_percent,5,0.2681817669533979,0.32122133912844786,False,0.24079881171208614,0.24873951240050257,False,20,5,0.25,13
original,50,0.0765392312461148,,True,,,True,20,20,1.0,13
half,18,0.1843579094731973,-0.1179610773733008,False,-0.2377242901483633,-0.06514969050713038,False,20,12,0.6,12
sqrt,7,0.18786905928711078,0.010875348781426819,False,-0.07914834921535273,0.04559903787045129,False,20,8,0.4,12
log,3,0.3063791328536003,0.07078321280217209,False,-0.17933010655118095,0.06896770088839914,False,20,3,0.15,12
ten_percent,5,0.2098747984090043,0.11622724263194305,False,-0.04943059892265112,0.10696563746013954,False,20,4,0.2,12
original,50,0.06191860403031355,,True,,,True,20,20,1.0,12
half,18,0.07057342628230145,0.29873831289780506,False,0.38411024396772664,0.25046187774756545,False,20,18,0.9,15
sqrt,7,0.12136983624475553,-0.03522522287410844,False,0.16637778495193412,-0.036456553271650594,False,20,14,0.7,15
log,3,0.1875042274941675,0.24916500612784492,False,0.4230641871760715,0.17000663410319536,False,20,6,0.3,15
ten_percent,5,0.16583005940801723,0.20112788012569993,False,0.3567892773764397,0.15635925721711288,False,20,12,0.6,15
original,50,0.07295204699346484,,True,,,True,20,20,1.0,15
half,18,0.14808629389844288,0.12846125757512813,False,0.22621442044373918,0.10229563179740239,False,20,15,0.75,21
sqrt,7,0.21633990891504382,0.043280683065024035,False,0.1588573684182367,0.013029938101426074,False,20,12,0.6,21
log,3,0.3523068506096506,0.0075759749794445256,False,0.08021859372134713,0.0,False,20,5,0.25,21
ten_percent,5,0.282149671611602,0.046594988662652166,False,0.15028606354672902,0.0301237616564389,False,20,10,0.5,21
original,50,0.07622200835566155,,True,,,True,20,20,1.0,21
half,18,0.17969946422959143,-0.10763300041373543,False,-0.23477330457340292,-0.08226127456606226,False,20,13,0.65,18
sqrt,7,0.23263895984209637,-0.15143648238177645,False,-0.2047104087446112,-0.13112201362143716,False,20,11,0.55,18
log,3,0.2784487046382733,-0.13486913175727386,False,-0.14513104257229095,-0.10419761445034553,False,20,6,0.3,18
ten_percent,5,0.23825269271475807,-0.04099065310477658,False,-0.12884997802988254,-0.04676843377549342,False,20,9,0.45,18
original,50,0.07529026539120287,,True,,,True,20,20,1.0,18
half,18,0.19012128970229905,-0.11031056636891852,False,-0.11547675752215392,-0.0802044171976313,False,20,14,0.7,17
sqrt,7,0.2583602651781421,-0.21289089647591078,False,-0.18772621305041629,-0.13856930361961892,False,20,10,0.5,17
log,3,0.3891071041642892,-0.3215523932292066,False,-0.28800584367890925,-0.2138793138717619,False,20,6,0.3,17
ten_percent,5,0.29115938952668563,-0.30742989828582434,False,-0.31472812081627227,-0.22215006043359373,False,20,9,0.45,17
original,50,0.0507669334671591,,True,,,True,20,20,1.0,17
half,18,0.1824795074197219,0.08571272528563585,False,0.11311295756899965,0.06514969050713038,False,20,12,0.6,16
sqrt,7,0.2341288683497747,0.0281176655722901,False,0.022370606790974978,0.0301237616564389,False,20,10,0.5,16
log,3,0.38219085179897816,0.21182835383345835,False,0.2536967230560802,0.10419761445034553,False,20,6,0.3,16
ten_percent,5,0.270254171854044,0.045831827007441595,False,0.13633334788549084,0.022799518935225645,False,20,8,0.4,16
original,50,0.07989339132864172,,True,,,True,20,20,1.0,16
half,18,0.15869838513249146,-0.09084399583322703,False,-0.03108265211360776,-0.06562179588897106,False,20,14,0.7,22
sqrt,7,0.21293124037901384,0.14977354019052982,False,0.1606596108641224,0.10522897599486018,False,20,9,0.45,22
log,3,0.4460965084694437,0.190190033397725,False,0.1102802287011933,0.10696563746013954,False,20,4,0.2,22
ten_percent,5,0.28934461104718195,0.1188677093453939,False,0.06898681957343938,0.06032493468177899,False,20,6,0.3,22
original,50,0.07330360533698962,,True,,,True,20,20,1.0,22
half,18,0.15098419275155936,0.08293034458107483,False,-0.04443952668475081,0.05484084971070817,False,20,13,0.65,19
sqrt,7,0.252149128443259,0.12739694286814277,False,0.010680950316959563,0.10259783520851541,False,20,8,0.4,19
log,3,0.408852852320395,0.09545728474100101,False,0.011782300860945064,0.09733285267845752,False,20,5,0.25,19
ten_percent,5,0.2905231387586762,0.20507800559262002,False,0.07602744338999073,0.18239615148180516,False,20,8,0.4,19
original,50,0.0779604734304278,,True,,,True,20,20,1.0,19
half,18,0.20532709735611943,0.06748799758318298,False,0.04659688600306714,0.06868295951599089,False,20,11,0.55,23
sqrt,7,0.25828016065500287,-0.08933322213314888,False,-0.03662617560646655,-0.05699879733806412,False,20,8,0.4,23
log,3,0.510239889330039,-0.08283141923658437,False,-0.15299393654456753,-0.02652603880323044,False,20,3,0.15,23
ten_percent,5,0.3146683908965257,0.09679657943662276,False,0.050607419865873145,0.0948699711682323,False,20,7,0.35,23
original,50,0.06154804353088985,,True,,,True,20,20,1.0,23
half,18,0.15473155473273317,0.03818883799855062,False,0.06585443593196703,0.026059876202852147,False,20,12,0.6,20
sqrt,7,0.26453177869961503,0.0307290728370231,False,0.2297141299178532,0.02790293269653891,False,20,7,0.35,20
log,3,0.37529279505708113,-0.018868058868821924,False,0.12507188732476568,0.021393127492027906,False,20,4,0.2,20
ten_percent,5,0.2913621537235628,-0.04148424832998118,False,0.16390427115102277,-0.02790293269653891,False,20,7,0.35,20
original,50,0.07195079307138422,,True,,,True,20,20,1.0,20
half,18,0.12877744232235216,-0.27438594659831833,False,-0.0811869357213721,-0.2260306302842337,False,20,14,0.7,28
sqrt,7,0.1663967061955144,-0.006584194886164194,False,0.06358747964344005,-0.031219527052723135,False,20,11,0.55,28
log,3,0.30873415808637994,0.05257610221046269,False,-0.015963071754539707,0.005484084971070818,False,20,6,0.3,28
ten_percent,5,0.18899839131282165,0.02304468210157468,False,0.11447942446142648,-0.01873171623163388,False,20,11,0.55,28
original,50,0.07464842969125496,,True,,,True,20,20,1.0,28
half,18,0.13914797681729857,-0.04587636083208394,False,-0.047106362698097703,-0.013710212427677042,False,20,13,0.65,24
sqrt,7,0.19755570325183378,-0.07631937798193028,False,-0.11178762642391421,-0.0301237616564389,False,20,10,0.5,24
log,3,0.3296495927293793,-0.3299340906830484,False,-0.3425712465507198,-0.20291114392962029,False,20,6,0.3,24
