dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,10,0.23075485360534653,0.11108391969600252,False,0.16233265670303518,0.09119807574090258,False,20,8,0.4,12
sqrt,4,0.3075166716971179,0.1567182714688178,False,0.23443476962809537,0.11719231732546342,False,20,7,0.35,12
log,2,0.49528684190897243,0.26037921238974254,False,0.21032680625723013,0.1818415836822372,False,20,4,0.2,12
ten_percent,2,0.49528684190897243,0.26037921238974254,False,0.21032680625723013,0.1818415836822372,False,20,4,0.2,12
original,20,0.08375008406540696,,True,,,True,20,20,1.0,12
half,10,0.12784506439276627,0.3317213783242993,False,0.19961481355821012,0.2604940361258638,False,20,13,0.65,13
sqrt,4,0.23946417502139655,0.13213501319919932,False,0.05891253285990016,0.10603114424684786,False,20,7,0.35,13
log,2,0.5055781634584967,0.08048138967046659,False,0.13871543578262605,0.05804769546228615,False,20,2,0.1,13
ten_percent,2,0.5055781634584967,0.08048138967046659,False,0.13871543578262605,0.05804769546228615,False,20,2,0.1,13
original,20,0.06623387716476625,,True,,,True,20,20,1.0,13
half,10,0.12133003654067862,0.22488982376924255,False,0.11601252612681043,0.16938919531853897,False,20,12,0.6,11
sqrt,4,0.18758502592931592,0.13873759512385922,False,0.15587140705352945,0.10522897599486018,False,20,9,0.45,11
log,2,0.36901053473752177,0.17879300951489083,False,0.19317889541001884,0.09733285267845752,False,20,5,0.25,11
ten_percent,2,0.36901053473752177,0.17879300951489083,False,0.19317889541001884,0.09733285267845752,False,20,5,0.25,11
original,20,0.06197636097184132,,True,,,True,20,20,1.0,11
half,10,0.21492820676368213,-0.0954708258493808,False,-0.04640096679398791,-0.08117077033708014,False,20,11,0.55,1
sqrt,4,0.3273543445810328,-0.00990564244544949,False,-0.04871566030356952,-0.016452254913212453,False,20,6,0.3,1
log,2,0.4511535509138895,-0.0753012902150767,False,-0.011424571571583053,-0.037136454324522616,False,20,3,0.15,1
ten_percent,2,0.4511535509138895,-0.0753012902150767,False,-0.011424571571583053,-0.037136454324522616,False,20,3,0.15,1
original,20,0.08281541297441687,,True,,,True,20,20,1.0,1
half,10,0.17658914750544769,-0.1333580710000045,False,0.13702475055141874,-0.12651979895704335,False,20,10,0.5,10
sqrt,4,0.30137194091337616,-0.21971287078471516,False,-0.041360651973645635,-0.16183700963992567,False,20,7,0.35,10
log,2,0.5062759272866313,-0.08283141923658437,False,-0.00077327115434446,-0.04774686984581479,False,20,3,0.15,10
ten_percent,2,0.5062759272866313,-0.08283141923658437,False,-0.00077327115434446,-0.04774686984581479,False,20,3,0.15,10
original,20,0.06672074946962184,,True,,,True,20,20,1.0,10
half,10,0.28906042635317075,0.46861308491934134,False,0.45332030453299244,0.35646552311960317,False,20,6,0.3,2
sqrt,4,0.3825880375767874,0.4226445186616112,False,0.4596622034307632,0.32089691238041856,False,20,4,0.2,2
log,2,0.491897992893873,0.32679477960799574,False,0.3842563587740919,0.22462783866629302,False,20,4,0.2,2
ten_percent,2,0.491897992893873,0.32679477960799574,False,0.3842563587740919,0.22462783866629302,False,20,4,0.2,2
original,20,0.09059308885401596,,True,,,True,20,20,1.0,2
half,10,0.17017349084542482,0.10523146470711726,False,0.1730695961944503,0.13029938101426075,False,20,12,0.6,9
sqrt,4,0.24442237768507624,-0.06781555212653884,False,-0.01809805771412219,-0.03838859479749573,False,20,6,0.3,9
log,2,0.5334918852797946,0.2530123351226577,False,0.3826932707571572,0.2069031026651974,False,20,3,0.15,9
ten_percent,2,0.5334918852797946,0.2530123351226577,False,0.3826932707571572,0.2069031026651974,False,20,3,0.15,9
original,20,0.07090442121989551,,True,,,True,20,20,1.0,9
half,10,0.20109935041689378,-0.2715650702119155,False,-0.27247180594965853,-0.19544907152139113,False,20,12,0.6,3
sqrt,4,0.2806420762106453,-0.05070297018108811,False,-0.11099482907713115,-0.02790293269653891,False,20,7,0.35,3
log,2,0.4480199916944976,0.2626433794540012,False,0.26497220708979446,0.17114501993622325,False,20,4,0.2,3
ten_percent,2,0.4480199916944976,0.2626433794540012,False,0.26497220708979446,0.17114501993622325,False,20,4,0.2,3
original,20,0.08675751971835174,,True,,,True,20,20,1.0,3
half,10,0.2599752271275867,0.40869666873240723,False,0.4454960742681142,0.2957710865833124,False,20,7,0.35,4
sqrt,4,0.3527850039063657,0.4271728527901284,False,0.46308421350459433,0.2888072211423767,False,20,4,0.2,4
