dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,50,0.09151096471672976,-0.06882541511107775,False,-0.05404108655925169,-0.05533670656092799,False,98,96,0.9795918367346939,4
sqrt,10,0.07820215431152772,0.22333355291546952,False,0.14881931050618383,0.16531333800131726,False,100,64,0.64,4
log,4,0.18813413707934074,0.05885407043704731,False,0.042314865184945656,0.03967578837104356,False,100,16,0.16,4
ten_percent,10,0.07820215431152772,0.22333355291546952,False,0.14881931050618383,0.16531333800131726,False,100,64,0.64,4
original,100,0.08320791869901754,,True,,,True,99,99,1.0,4
half,50,0.10620146874126181,0.02335877228119322,False,0.1531057807301928,0.018654557570761617,False,98,93,0.9489795918367347,8
sqrt,10,0.07958595089383795,-0.0832311376297834,False,-0.11671419601909074,-0.06091705407454667,False,99,67,0.6767676767676768,8
log,4,0.15650601819262047,-0.03862230043768072,False,-0.03735622581397765,-0.022094124114985528,False,100,25,0.25,8
ten_percent,10,0.07958595089383795,-0.0832311376297834,False,-0.11671419601909074,-0.06091705407454667,False,99,67,0.6767676767676768,8
original,100,0.08030338156769327,,True,,,True,100,100,1.0,8
half,50,0.10830694543153811,0.15535260885768384,False,0.06046796659033293,0.12477589338098755,False,99,91,0.9191919191919192,12
sqrt,10,0.0713749648287199,0.22081017932827635,False,0.15872310579201143,0.1612892564271507,False,100,66,0.66,12
log,4,0.16129910514774376,0.14938879871585004,False,0.1539027845169517,0.10680568002333782,False,100,23,0.23,12
ten_percent,10,0.0713749648287199,0.22081017932827635,False,0.15872310579201143,0.1612892564271507,False,100,66,0.66,12
original,100,0.07432537640424502,,True,,,True,100,100,1.0,12
half,50,0.07487600114398382,-0.1603832569679462,False,-0.13106602391360778,-0.131625662413252,False,97,96,0.9896907216494846,11
sqrt,10,0.07538508340516079,0.02032374936255045,False,-0.0285149849726778,0.01315003920953475,False,100,66,0.66,11
log,4,0.17167579368622765,0.09561912176822573,False,0.06052674234640548,0.05963792118810116,False,100,31,0.31,11
ten_percent,10,0.07538508340516079,0.02032374936255045,False,-0.0285149849726778,0.01315003920953475,False,100,66,0.66,11
original,100,0.08254558482903068,-0.13056477036850592,False,-0.10989527364346326,-0.10713739108887084,False,100,99,0.99,11
half,50,0.08593262268165311,0.09603804483529213,False,0.14465671407763678,0.0786402689375972,False,99,94,0.9494949494949495,1
sqrt,10,0.07274096195475224,0.0952664058140799,False,0.17770797696103077,0.07610023515893884,False,100,73,0.73,1
log,4,0.16450935538598405,0.15169550514740185,False,0.1696146407173569,0.09604948090095856,False,100,24,0.24,1
ten_percent,10,0.07274096195475224,0.0952664058140799,False,0.17770797696103077,0.07610023515893884,False,100,73,0.73,1
original,100,0.08061717816873523,,True,,,True,100,100,1.0,1
half,50,0.0751670633626075,,True,,,True,95,95,1.0,5
sqrt,10,0.08244304878807096,-0.10147602578252594,False,-0.1519588895483151,-0.07464688761242727,False,100,69,0.69,5
log,4,0.18070259849718426,-0.07327062301194023,False,-0.07613001059674689,-0.04748277210756245,False,100,21,0.21,5
ten_percent,10,0.08244304878807096,-0.10147602578252594,False,-0.1519588895483151,-0.07464688761242727,False,100,69,0.69,5
original,100,0.0760170578404322,,True,,,True,100,100,1.0,5
half,50,0.11134702735167688,-0.05108499911568169,False,-0.09237076398546351,-0.0413939416401067,False,98,93,0.9489795918367347,14
sqrt,10,0.0764439270236274,0.0601256270225446,False,0.05196140379499987,0.04445839347079613,False,100,62,0.62,14
log,4,0.20189949225919646,-0.03107444090961534,False,-0.05697570071182484,-0.027513437577151786,False,100,25,0.25,14
ten_percent,10,0.0764439270236274,0.0601256270225446,False,0.05196140379499987,0.04445839347079613,False,100,62,0.62,14
original,100,0.08063635622765275,,True,,,True,100,100,1.0,14
half,50,0.08952911019081532,0.01179452161616841,False,0.0108959946031207,0.010435555933743547,False,97,94,0.9690721649484536,0
sqrt,10,0.07682848280370816,-0.03926603983492965,False,-0.04440081673050898,-0.02905930090876341,False,100,67,0.67,0
log,4,0.2930489916772948,0.011501339964377912,False,0.003016943466424746,0.007374742456660673,False,100,17,0.17,0
ten_percent,10,0.07682848280370816,-0.03926603983492965,False,-0.04440081673050898,-0.02905930090876341,False,100,67,0.67,0
original,100,0.07723004807083188,0.07833886222110356,False,0.03830604915899675,0.0642824346533225,False,100,99,0.99,0
half,50,0.08405626686017378,0.19609319702773367,False,0.08710753011823959,0.1588627857582151,False,97,94,0.9690721649484536,2
sqrt,10,0.07151910963331165,0.23957949282383348,False,0.23125957245258627,0.1816036221018753,False,100,69,0.69,2
log,4,0.19526694652419088,0.3030004063610959,False,0.3031346770671198,0.20295924230737192,False,100,18,0.18,2
ten_percent,10,0.07151910963331165,0.23957949282383348,False,0.23125957245258627,0.1816036221018753,False,100,69,0.69,2
original,100,0.07748789297470678,,True,,,True,98,98,1.0,2
half,50,0.07511210906915121,-0.06191320727961001,False,-0.05580730488720112,-0.04983961610808333,False,97,95,0.979381443298969,10
sqrt,10,0.06885053336198886,-0.02628906353789784,False,0.03838429889600259,-0.018830065177034165,False,100,61,0.61,10
log,4,0.2429688661997577,0.02305542537477871,False,0.04553470108603113,0.01826427964141163,False,100,18,0.18,10
ten_percent,10,0.06885053336198886,-0.02628906353789784,False,0.03838429889600259,-0.018830065177034165,False,100,61,0.61,10
original,100,0.07497085196127644,0.040039862913008484,False,0.000423706743970224,0.03285546660058706,False,100,99,0.99,10
half,50,0.08543925997359329,0.011557671826519863,False,-0.03677389015802266,0.009396799227327394,False,98,96,0.9795918367346939,13
sqrt,10,0.08416291008425515,0.045865524480339336,False,-0.0063815167669487634,0.035790864200676176,False,100,60,0.6,13
log,4,0.2409669433491326,0.07597132996108871,False,0.08385004955676331,0.05067911605056783,False,100,20,0.2,13
ten_percent,10,0.08416291008425515,0.045865524480339336,False,-0.0063815167669487634,0.035790864200676176,False,100,60,0.6,13
original,100,0.08336733661093952,-0.15254227583746716,False,-0.12433759491946615,-0.12518409425625923,False,98,97,0.9897959183673469,13
half,50,0.09953193099236889,0.08498917466864146,False,0.08966454953229942,0.06996357874076455,False,96,92,0.9583333333333334,6
sqrt,10,0.06806747642740309,0.1580974761774799,False,0.05569081562760582,0.11813827939544004,False,100,67,0.67,6
log,4,0.2041498838014232,0.18949540353443148,False,0.16601752456122063,0.13315507213415104,False,100,17,0.17,6
ten_percent,10,0.06806747642740309,0.1580974761774799,False,0.05569081562760582,0.11813827939544004,False,100,67,0.67,6
original,100,0.07759892022846043,-0.040039862913008484,False,-0.035017171360212644,-0.03285546660058706,False,100,99,0.99,6
half,50,0.08148206172803742,0.06454763469994221,False,0.08142548373571444,0.053601854752528426,False,96,92,0.9583333333333334,7
sqrt,10,0.061563438470715076,0.27715818743867593,False,0.22358603954345727,0.21442269807487752,False,100,71,0.71,7
log,4,0.15610813206569282,0.137340229632332,False,0.13057550726342704,0.09216799105404531,False,100,26,0.26,7
ten_percent,10,0.061563438470715076,0.27715818743867593,False,0.22358603954345727,0.21442269807487752,False,100,71,0.71,7
original,100,0.07106712068612857,,True,,,True,99,99,1.0,7
half,50,0.08523652753037682,-0.1962711555132932,False,-0.09181794437265181,-0.16008269589648896,False,93,90,0.967741935483871,3
sqrt,10,0.07832763511396076,-0.1722465261777154,False,-0.1801707005277888,-0.1308838695570544,False,100,68,0.68,3
log,4,0.198128434446183,-0.08638412316094324,False,-0.058745935096562174,-0.054792838924234886,False,100,18,0.18,3
ten_percent,10,0.07832763511396076,-0.1722465261777154,False,-0.1801707005277888,-0.1308838695570544,False,100,68,0.68,3
original,100,0.078771458873881,0.14797340641764004,False,0.1396465993503605,0.12142237656738697,False,100,99,0.99,3
half,50,0.08983564075000365,0.04895811992304326,False,0.11492255928041087,0.03963558653634354,False,100,96,0.96,9
