dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,48,0.15310243316071998,0.10881637405662968,False,0.03147814204114122,0.0933416628242098,False,50,35,0.7,10
sqrt,14,0.1806612833036622,0.20625424569522324,False,0.21709060015932252,0.1596047750242026,False,50,31,0.62,10
log,5,0.23344094286792744,0.20539807597544127,False,0.1848228225074561,0.1469761703270685,False,50,16,0.32,10
ten_percent,20,0.1769258274802305,0.04466131117053673,False,-0.004916285617476026,0.04338624338624339,False,50,32,0.64,10
original,200,0.07129533976106388,,True,,,True,50,50,1.0,10
half,48,0.16398981151399653,0.38769330976819116,False,0.3353291375533303,0.29533663886646794,False,48,35,0.7291666666666666,0
sqrt,14,0.26449892735372804,0.2393409155430907,False,0.24145176300169455,0.16190476190476188,False,50,26,0.52,0
log,5,0.3551571685373581,0.1412372992895323,False,0.1776599327632309,0.08140704151180932,False,50,12,0.24,0
ten_percent,20,0.22515310458052007,0.24223135305485938,False,0.23140533991811338,0.1707763360715568,False,50,30,0.6,0
original,200,0.06760949475469903,,True,,,True,50,50,1.0,0
half,48,0.17333859238663446,0.15738982355387324,False,0.08135539601583872,0.12293779981725193,False,50,35,0.7,4
sqrt,14,0.20737652264556342,0.2404665096377656,False,0.17042457806549183,0.1623220464627948,False,50,21,0.42,4
log,5,0.28046741369826067,0.14179887493346308,False,0.15323446352877557,0.0999241012499224,False,50,8,0.16,4
ten_percent,20,0.21111733581309322,0.13699561168826552,False,0.11620614777929816,0.09142857142857143,False,50,26,0.52,4
original,200,0.10095627151279574,,True,,,True,50,50,1.0,4
half,48,0.1683590235781017,-0.17553180236380725,False,-0.17054770362577382,-0.1308368029047818,False,50,34,0.68,9
sqrt,14,0.19989794458264012,-0.11780301787479029,False,-0.16988473559078285,-0.08548747339878579,False,50,25,0.5,9
log,5,0.3533893978389981,0.03764969513173161,False,0.042301948688457214,0.021408786943300156,False,50,7,0.14,9
ten_percent,20,0.18053760398403063,-0.15193964543510563,False,-0.16676820193565836,-0.11081868273917421,False,50,29,0.58,9
original,200,0.07403328733549439,,True,,,True,50,50,1.0,9
half,48,0.15335458602332971,0.021454655478521434,False,-0.07394383277179126,0.008792249355666623,False,49,40,0.8163265306122449,11
sqrt,14,0.20449717176391413,0.14375538772071464,False,0.04379574849229068,0.0996195293750748,False,50,30,0.6,11
