dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,25,0.08878481309997259,0.13364207910165288,False,0.07702074667162612,0.11020408163265306,False,50,49,0.98,3
sqrt,7,0.08592999002792684,-0.05941362176309178,False,-0.006154450133179592,-0.047809144373375745,False,50,35,0.7,3
log,3,0.2153094885454577,-0.01786488624519991,False,0.18882259075693997,-0.0034149388838125533,False,50,15,0.3,3
ten_percent,5,0.11656213338058757,-0.07835505259551141,False,0.10231927082722553,-0.06956008641012809,False,50,24,0.48,3
original,50,0.07295125041899113,,True,,,True,50,50,1.0,3
half,25,0.07659448577645707,0.03464794643376186,False,-0.005086204232094349,0.028571428571428574,False,50,49,0.98,13
sqrt,7,0.0716031888868017,0.21097585022300241,False,0.21164267174685414,0.15908634400649976,False,50,33,0.66,13
log,3,0.25806388247573625,-0.14092491726421083,False,-0.0237368869308379,-0.10545332059955226,False,50,13,0.26,13
ten_percent,5,0.09030098670592639,0.20458280268018755,False,0.24191834337756385,0.14110067622541972,False,50,27,0.54,13
original,50,0.07684883593355861,,True,,,True,50,50,1.0,13
half,25,0.0722969401384748,,True,,,True,50,50,1.0,9
sqrt,7,0.0935186079265918,-0.17705614700885472,False,-0.13645031719911754,-0.13659755535250212,False,50,35,0.7,9
log,3,0.31108197565259393,-0.3189235778925383,False,-0.2911705965441398,-0.21519915505561438,False,50,6,0.12,9
ten_percent,5,0.1292308463089909,-0.09687811691179654,False,-0.09072357302918255,-0.07371228484185338,False,50,20,0.4,9
original,50,0.0722969401384748,,True,,,True,50,50,1.0,9
half,25,0.07618374946260004,,True,,,True,50,50,1.0,2
sqrt,7,0.07567483395053701,0.18783708336068197,False,0.15852528162932414,0.14798068496521066,False,50,35,0.7,2
log,3,0.18057114078936504,0.047439208540915476,False,0.05050245659451241,0.04657780077916657,False,50,10,0.2,2
ten_percent,5,0.0998010752268266,0.06412107592540545,False,0.017830084754483402,0.042149923667134555,False,50,21,0.42,2
original,50,0.07618374946260004,,True,,,True,50,50,1.0,2
half,25,0.07784791914644373,,True,,,True,50,50,1.0,14
sqrt,7,0.08132390934533426,0.18205655012637173,False,0.2463370531109046,0.13523809523809524,False,50,26,0.52,14
log,3,0.2748062831573449,0.18812719983631887,False,0.19885794192850237,0.12362341605470506,False,50,11,0.22,14
ten_percent,5,0.13891825703496377,0.1745939552258111,False,0.26103737823451095,0.11792786840987923,False,50,19,0.38,14
original,50,0.07784791914644373,,True,,,True,50,50,1.0,14
half,25,0.07888474911299692,,True,,,True,50,50,1.0,1
sqrt,7,0.0882201503397736,0.3260717852415949,False,0.31254290765392434,0.24052284646041733,False,50,28,0.56,1
log,3,0.3724352581541255,-0.03223795256376664,False,-0.03125749122060715,-0.02064547546486,False,50,8,0.16,1
ten_percent,5,0.14314814174071114,0.24189751118242642,False,0.2613202113168339,0.1714032647527434,False,50,20,0.4,1
original,50,0.07888474911299692,,True,,,True,50,50,1.0,1
half,25,0.08618216074133957,,True,,,True,50,50,1.0,6
sqrt,7,0.09418928529427552,0.12786921451738187,False,0.017294844882602176,0.09915431629592715,False,50,28,0.56,6
log,3,0.23001339788323583,0.28432050169255874,False,0.25525356471615496,0.19993949585675105,False,50,13,0.26,6
ten_percent,5,0.1213112923851874,0.16073222939832976,False,0.04679150039407719,0.11036867043740323,False,50,24,0.48,6
original,50,0.08618216074133957,,True,,,True,50,50,1.0,6
half,25,0.07067572176422302,,True,,,True,50,50,1.0,0
sqrt,7,0.07062702363186026,0.27411502351702577,False,0.3436131189650316,0.20886846526023436,False,50,33,0.66,0
log,3,0.3308039751121087,0.14738320274577407,False,0.1932033644376826,0.11192930913061135,False,50,11,0.22,0
ten_percent,5,0.12148458984679376,0.17992123169605642,False,0.26638006437329564,0.1449969096446974,False,50,22,0.44,0
original,50,0.07067572176422302,,True,,,True,50,50,1.0,0
half,25,0.06786411162405223,,True,,,True,50,50,1.0,10
sqrt,7,0.0728433016737804,0.15354910635779356,False,0.19357920637990406,0.11814898930363048,False,50,31,0.62,10
log,3,0.380747139788009,0.1255470676742672,False,0.12084336607629212,0.07246050965424668,False,50,7,0.14,10
ten_percent,5,0.1434572145528867,0.11732028975270198,False,0.09936922778246009,0.0924355298984946,False,50,22,0.44,10
original,50,0.06786411162405223,,True,,,True,50,50,1.0,10
half,25,0.0729130329956276,,True,,,True,50,50,1.0,12
sqrt,7,0.09602356198676607,0.08489846298899116,False,0.03762029197249306,0.06571812317348316,False,50,27,0.54,12
log,3,0.2509056308218144,0.1427362230409789,False,0.046031113108487114,0.10322748562837676,False,50,12,0.24,12
ten_percent,5,0.14782949374194534,0.25124736923159857,False,0.1887643997417784,0.16721115670057504,False,50,19,0.38,12
original,50,0.0729130329956276,,True,,,True,50,50,1.0,12
half,25,0.07169615338177439,-0.07424559950091826,False,-0.10218753791615438,-0.061224489795918366,False,50,49,0.98,11
sqrt,7,0.07819080413990319,0.20106983018657693,False,0.15757219035928835,0.1447631441187411,False,50,29,0.58,11
log,3,0.18816227469451208,0.4054622855712322,False,0.336895970947521,0.30204762578039074,False,50,14,0.28,11
ten_percent,5,0.12082142457731589,0.2258051618774726,False,0.18617376729338778,0.16855890746196073,False,50,22,0.44,11
original,50,0.07833268593674872,0.09404442603449646,False,0.055173856036500976,0.07755102040816327,False,50,49,0.98,11
half,25,0.07714367474756628,0.11384325256807468,False,0.08049562796067382,0.09387755102040816,False,50,49,0.98,8
sqrt,7,0.08062350790498671,0.14578682461510675,False,0.06669934063334507,0.1024429567116061,False,50,27,0.54,8
log,3,0.17616414344372214,0.28005106731826934,False,0.24600160417575997,0.1900524386932796,False,50,14,0.28,8
ten_percent,5,0.10963143560512612,0.17879051754142236,False,0.17976310493843717,0.1174817021360559,False,50,21,0.42,8
original,50,0.07803878619366585,,True,,,True,50,50,1.0,8
half,25,0.08621575885373285,,True,,,True,49,49,1.0,5
sqrt,7,0.10808949710268898,-0.24332539342376827,False,-0.26096600877149534,-0.1739962915736369,False,50,22,0.44,5
log,3,0.3092423102539985,-0.11812563215529416,False,-0.05083504964268551,-0.0883626349896008,False,50,8,0.16,5
ten_percent,5,0.13464473253162532,-0.1569236557575011,False,-0.22396275425713932,-0.10646194436763741,False,50,18,0.36,5
original,50,0.08760929410267865,,True,,,True,49,49,1.0,5
half,25,0.06887085869701762,,True,,,True,50,50,1.0,4
sqrt,7,0.08763919114603838,0.10587196566826922,False,0.08969127631578316,0.05497867241185392,False,49,26,0.5306122448979592,4
log,3,0.3352119386366975,0.11504984218823405,False,0.12184705663004629,0.08865940370076335,False,50,9,0.18,4
ten_percent,5,0.14048731962666983,0.08981121286755812,False,0.1108944983172395,0.05976143046671968,False,50,15,0.3,4
original,50,0.06887085869701762,,True,,,True,50,50,1.0,4
half,25,0.08173366737049793,,True,,,True,50,50,1.0,7
sqrt,7,0.09137739699037278,-0.1254495448962574,False,-0.16802458165713438,-0.08254463587335199,False,50,24,0.48,7
log,3,0.2974654311731932,0.28601130713935624,False,0.23897547191382554,0.20963391716161803,False,50,9,0.18,7
ten_percent,5,0.14810561662908037,-0.0407436233984532,False,-0.1024365403333604,-0.03585685828003181,False,50,15,0.3,7
original,50,0.08213932467127535,,True,,,True,47,47,1.0,7
half,25,0.0668392849448194,,True,,,True,50,50,1.0,17
sqrt,7,0.06713355170326739,0.2126360788509037,False,0.22774152671951303,0.167895932168317,False,50,31,0.62,17
log,3,0.17101940675432778,0.1744007340165089,False,0.16593823016038858,0.12047967095734687,False,50,14,0.28,17
ten_percent,5,0.0941583373881854,0.07914440819614516,False,0.05660168174366885,0.05218792134364839,False,50,27,0.54,17
original,50,0.08575865346557945,-0.11384325256807468,False,-0.12002865793102316,-0.09387755102040816,False,50,49,0.98,17
half,25,0.08111519285721698,,True,,,True,50,50,1.0,16
sqrt,7,0.10063049942805868,-0.03096353315297173,False,-0.17130496872339857,-0.018297464579095372,False,50,30,0.6,16
log,3,0.2436769949202114,-0.09049125450335198,False,-0.0850678130596701,-0.04491430789419633,False,50,10,0.2,16
ten_percent,5,0.14488859967469442,0.05389837856875566,False,-0.03563009424862158,0.04351689105121464,False,50,20,0.4,16
original,50,0.08211041944838138,,True,,,True,49,49,1.0,16
half,25,0.06791792058142854,,True,,,True,50,50,1.0,15
sqrt,7,0.10352736508152034,-0.01696543416799172,False,-0.019581640465354246,-0.004991832555818658,False,50,29,0.58,15
log,3,0.24525444411814512,0.04899900124040638,False,0.06483218526368836,0.03508232077228116,False,50,11,0.22,15
ten_percent,5,0.12285846596616917,0.10693499276898355,False,0.052130633225088846,0.07981581290159523,False,50,21,0.42,15
original,50,0.06791792058142854,,True,,,True,50,50,1.0,15
half,25,0.07409770886482558,,True,,,True,50,50,1.0,25
sqrt,7,0.0855569575288229,0.08217836435964579,False,0.10937783475097344,0.05605369329502975,False,50,27,0.54,25
log,3,0.2883673359598255,0.11225543780786203,False,0.03212466140671462,0.0635880644317688,False,50,8,0.16,25
ten_percent,5,0.16413256046344799,0.0888527653327395,False,0.08266785703684328,0.06864458011918344,False,50,19,0.38,25
original,50,0.07409770886482558,,True,,,True,50,50,1.0,25
half,25,0.077924479085426,,True,,,True,50,50,1.0,22
sqrt,7,0.09619232026412496,-0.10225313386092093,False,-0.14943319030674249,-0.07145017680448293,False,50,36,0.72,22
log,3,0.22056222797229075,0.036790419498667716,False,0.04670613389406271,0.0354978354978355,False,50,17,0.34,22
ten_percent,5,0.13085044674486088,0.004071931148816544,False,-0.08872697024735397,0.0009817259039200707,False,50,28,0.56,22
original,50,0.077924479085426,,True,,,True,50,50,1.0,22
half,25,0.09459068413977294,-0.10206207261596574,False,-0.12062573804015538,-0.08417937871268423,False,49,48,0.9795918367346939,20
sqrt,7,0.09837314272429888,-0.09806402273625711,False,-0.1836997871846777,-0.07560539239387956,False,49,33,0.673469387755102,20
log,3,0.1990226548126248,-0.1287948952753064,False,-0.18026532306004925,-0.10743872099931909,False,50,16,0.32,20
ten_percent,5,0.1443776751605641,-0.22817852840371902,False,-0.296480003843009,-0.18328579974273834,False,50,23,0.46,20
original,50,0.07651639602256863,,True,,,True,50,50,1.0,20
half,25,0.06895693444291404,,True,,,True,49,49,1.0,21
sqrt,7,0.10082406023938638,0.14077658698249743,False,0.07773442438203546,0.12000000000000001,False,50,26,0.52,21
log,3,0.3326599901925186,0.3428863039391802,False,0.36525679333433575,0.24867129449525566,False,50,7,0.14,21
ten_percent,5,0.1515161728686436,0.04993337729371853,False,0.032733616348637605,0.05456364060755606,False,50,19,0.38,21
