dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,50,0.13249558770684836,-0.025012918272935815,False,-0.02634220811081174,-0.01916331230826002,False,183,160,0.8743169398907104,7
sqrt,10,0.0726915263659437,0.19244707808272082,False,0.20471690745471183,0.13811328442062237,False,200,88,0.44,7
log,4,0.3146741584606047,0.11015138800559036,False,0.12913987024450174,0.0727046251822733,False,200,15,0.075,7
ten_percent,10,0.0726915263659437,0.19244707808272082,False,0.20471690745471183,0.13811328442062237,False,200,88,0.44,7
original,100,0.08392732180790911,0.015256388294062853,False,-0.031026000483636563,0.012290998069676963,False,198,194,0.9797979797979798,7
half,50,0.11753050527237144,0.13134166596223829,False,0.13731507988163763,0.10938781091283371,False,189,163,0.8624338624338624,13
sqrt,10,0.073583328541374,0.19165490375921085,False,0.12741564946092448,0.1351199996563496,False,200,87,0.435,13
log,4,0.3296595674352199,0.22060462970320935,False,0.2169533749932545,0.14611578444906664,False,200,13,0.065,13
ten_percent,10,0.073583328541374,0.19165490375921085,False,0.12741564946092448,0.1351199996563496,False,200,87,0.435,13
original,100,0.07859290674002505,0.031223250234329362,False,-0.005563703306683526,0.025292679553469137,False,197,194,0.9847715736040609,13
half,50,0.10964858360225475,0.08214541336769031,False,0.038812806570276664,0.06525113768988948,False,186,172,0.9247311827956989,5
sqrt,10,0.08518280756667163,-0.0524197664715272,False,-0.08830905559887504,-0.04056037342567844,False,199,121,0.6080402010050251,5
log,4,0.2268898378219343,0.16285179743663777,False,0.11277006305196251,0.11080806205253213,False,200,26,0.13,5
ten_percent,10,0.08518280756667163,-0.0524197664715272,False,-0.08830905559887504,-0.04056037342567844,False,199,121,0.6080402010050251,5
original,100,0.08438924869829557,0.0799565746484152,False,0.12035007001253847,0.06535321949734944,False,199,196,0.9849246231155779,5
half,50,0.12480478183764654,-0.0650328384190797,False,-0.02350111550598496,-0.050825600561387706,False,187,162,0.8663101604278075,0
sqrt,10,0.0798278185515815,-0.06540245557781428,False,0.012285871005335822,-0.051840994168530684,False,198,111,0.5606060606060606,0
