dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,10,0.2752961102645872,-0.053691816511273305,False,-0.13993982607296346,-0.03544910580074422,False,99,24,0.24242424242424243,10
sqrt,4,0.3597447513828023,-0.09063629180560615,False,-0.1620687363810885,-0.05324437578901617,False,100,7,0.07,10
log,2,0.5067881759526618,-0.0862792163369545,False,-0.1366496270535926,-0.05821711197831961,False,100,4,0.04,10
ten_percent,2,0.5067881759526618,-0.0862792163369545,False,-0.1366496270535926,-0.05821711197831961,False,100,4,0.04,10
original,20,0.07893865843038798,0.1025091294275458,False,0.06259462965677262,0.08412001053486672,False,99,98,0.98989898989899,10
half,10,0.2686458414151423,0.1716671074604782,False,0.14863192966336955,0.12396983551454152,False,100,33,0.33,2
sqrt,4,0.4136117029419357,0.14087100632587343,False,0.15831221666527334,0.09762269894022173,False,100,12,0.12,2
log,2,0.5209891662010737,0.15288046114901271,False,0.18257238979675128,0.10920126916879255,False,100,5,0.05,2
ten_percent,2,0.5209891662010737,0.15288046114901271,False,0.18257238979675128,0.10920126916879255,False,100,5,0.05,2
original,20,0.07906584366154512,,True,,,True,100,100,1.0,2
half,10,0.2600082761453514,-0.036389597157827185,False,0.008416668212361119,-0.0269890879663604,False,100,29,0.29,11
sqrt,4,0.3264085286125914,0.06062442834207082,False,0.07464997259615717,0.04350030299160532,False,100,6,0.06,11
log,2,0.4948151687850492,-0.017431795475012377,False,0.014451677828412592,-0.011516314838033219,False,100,2,0.02,11
ten_percent,2,0.4948151687850492,-0.017431795475012377,False,0.014451677828412592,-0.011516314838033219,False,100,2,0.02,11
original,20,0.07997048564060658,-0.09574749827023767,False,-0.07921112991145933,-0.07856742013183862,False,100,99,0.99,11
half,10,0.2835885549236777,-0.05937642957740048,False,-0.05147165657488328,-0.040779887148048796,False,100,28,0.28,14
sqrt,4,0.3453438729807038,-0.11701695839406012,False,-0.0862761002610299,-0.07455677545379231,False,100,11,0.11,14
log,2,0.4988873532780764,-0.1399801974886728,False,-0.11522963636274954,-0.10268851696175821,False,100,4,0.04,14
ten_percent,2,0.4988873532780764,-0.1399801974886728,False,-0.11522963636274954,-0.10268851696175821,False,100,4,0.04,14
original,20,0.07584025278193857,0.06093022617196943,False,0.03826271222783246,0.0499974491748064,False,100,99,0.99,14
half,10,0.2187799017379481,0.13083038992647636,False,0.2590650437136405,0.08291043801843317,False,99,29,0.29292929292929293,7
