dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,25,0.18381761124009294,-0.15891924075092986,False,-0.17364509155941854,-0.11482880304365634,False,49,31,0.6326530612244898,9
sqrt,7,0.26267986409085603,-0.18867065219763268,False,-0.2156134672514326,-0.1336242260936819,False,50,21,0.42,9
log,3,0.47311674039504736,-0.22853713903301756,False,-0.2684300213678251,-0.1598374079387188,False,50,5,0.1,9
ten_percent,5,0.3159345535846592,-0.10256489187639294,False,-0.1287888791116385,-0.07854359432768872,False,50,15,0.3,9
original,50,0.0722969401384748,,True,,,True,50,50,1.0,9
half,25,0.19105006102535324,0.16832015220109323,False,0.10017647177935565,0.1260492004337681,False,50,30,0.6,11
sqrt,7,0.256545273914251,0.18017848661894892,False,0.12433806152994516,0.12047967095734687,False,50,14,0.28,11
log,3,0.3776205387159368,0.3292337636731699,False,0.2313768733940032,0.2172149389936435,False,50,5,0.1,11
ten_percent,5,0.29715914456135983,0.21209809096560425,False,0.16317041038443336,0.14492101930849335,False,50,7,0.14,11
original,50,0.07664021693400627,0.09404442603449646,False,0.05517385603650097,0.07755102040816327,False,50,49,0.98,11
half,25,0.2041637121839708,0.19171174628894905,False,0.2310627181708225,0.15431955744598325,False,49,32,0.6530612244897959,7
sqrt,7,0.25398689403048963,0.11882339870444954,False,0.19108230231346354,0.09220334986293895,False,50,15,0.3,7
log,3,0.4019979537361385,0.2569781704199308,False,0.24642363094820263,0.19918200066209574,False,50,5,0.1,7
ten_percent,5,0.31654842504092445,0.13817151593319488,False,0.1754180135679147,0.1014730659831843,False,50,10,0.2,7
original,50,0.08173366737049793,,True,,,True,50,50,1.0,7
half,25,0.21410963960776688,-0.12768552204263303,False,-0.09237932772421917,-0.09534045973633436,False,49,30,0.6122448979591837,12
sqrt,7,0.30160147788753217,0.013779834089957933,False,0.06860054316716484,0.021121409267441056,False,50,19,0.38,12
log,3,0.4510705544605694,-0.02955666069980576,False,-0.008721162965344515,-0.0032854832832918224,False,50,6,0.12,12
ten_percent,5,0.3412050401007255,0.11933367156678047,False,0.1303371461482772,0.09315651142073025,False,50,12,0.24,12
original,50,0.0729130329956276,,True,,,True,50,50,1.0,12
half,25,0.17620327383576084,0.05221623418959381,False,0.11613214189326292,0.039594418751756226,False,49,27,0.5510204081632653,13
sqrt,7,0.21948255537422864,0.09102653926892339,False,0.06418970267642371,0.06806583328422719,False,50,18,0.36,13
log,3,0.3810871937017562,-0.04238857680850193,False,0.00588436498781153,-0.034497574474564134,False,50,6,0.12,13
ten_percent,5,0.2781280703078114,0.03810167471419085,False,0.051076854523687425,0.032730666174851174,False,50,12,0.24,13
original,50,0.07684883593355861,,True,,,True,50,50,1.0,13
half,25,0.15840514993165986,0.07625514374245343,False,0.16200900028582044,0.05100417740355902,False,50,34,0.68,3
sqrt,7,0.23447000414985034,-0.03851302188706666,False,0.04038921109596734,-0.03108349360801046,False,50,20,0.4,3
log,3,0.3800045798693999,-0.032812879116996214,False,0.09806271809288285,-0.035246197648025175,False,50,5,0.1,3
ten_percent,5,0.2907476773025836,-0.06829546431066887,False,0.085471912841258,-0.04610167493146947,False,50,15,0.3,3
original,50,0.08947975802067322,0.07424559950091826,False,0.03414528919848046,0.061224489795918366,False,50,49,0.98,3
half,25,0.1871959069165314,0.3192753322033699,False,0.22436170273231898,0.24690421974050764,False,49,26,0.5306122448979592,1
sqrt,7,0.3217010492961994,0.30694152734384944,False,0.22464783807608324,0.22581591964309805,False,49,12,0.24489795918367346,1
log,3,0.5440585372283283,0.1633918036265068,False,0.0066169581796969275,0.11721409915506045,False,50,5,0.1,1
ten_percent,5,0.3846710875850066,0.3024731650261217,False,0.22488023972057938,0.21126359639121975,False,50,10,0.2,1
original,50,0.07888474911299692,,True,,,True,50,50,1.0,1
