dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,10,0.06865630673977066,0.028937025639930402,False,0.08661016358817243,0.017139287082013944,False,100,60,0.6,5
sqrt,4,0.17020997487238845,0.039771352912973464,False,0.05400526608733829,0.029937500540558513,False,100,24,0.24,5
log,2,0.3212637339633278,0.008372947543486756,False,0.01564140468104572,0.005267444201934272,False,100,8,0.08,5
ten_percent,2,0.3212637339633278,0.008372947543486756,False,0.01564140468104572,0.005267444201934272,False,100,8,0.08,5
original,20,0.08183628589833072,-0.09746104874460752,False,-0.11759942365670556,-0.07995791732836378,False,99,96,0.9696969696969697,5
half,10,0.08118347359258792,0.09487503115672617,False,0.08634343790184262,0.07402861531097393,False,100,74,0.74,1
sqrt,4,0.13818341078685362,0.006897519046136677,False,-0.03873035902320966,0.0013029385083235072,False,100,37,0.37,1
log,2,0.39542609954149505,0.16680870708813514,False,0.08892765424895951,0.11559900599060163,False,100,7,0.07,1
ten_percent,2,0.39542609954149505,0.16680870708813514,False,0.08892765424895951,0.11559900599060163,False,100,7,0.07,1
original,20,0.0857455721446019,,True,,,True,100,100,1.0,1
half,10,0.07609759591757123,-0.07236153029173917,False,-0.1402633608083709,-0.05793489784845102,False,100,69,0.69,9
sqrt,4,0.25316265113933745,0.04244274389639613,False,0.012542374071846645,0.02924194346270026,False,100,23,0.23,9
log,2,0.5731978884235376,0.14103593366948614,False,0.18637597331766917,0.08868687079779844,False,100,10,0.1,9
ten_percent,2,0.5731978884235376,0.14103593366948614,False,0.18637597331766917,0.08868687079779844,False,100,10,0.1,9
original,20,0.07036568959502004,,True,,,True,100,100,1.0,9
half,10,0.07500294030654402,-0.01350370339210431,False,-0.03482660511828024,-0.011139108667848467,False,100,58,0.58,8
sqrt,4,0.21019040367196154,0.17023426830120025,False,0.16798814975304321,0.10816288936435653,False,100,17,0.17,8
log,2,0.5062628449427614,0.24303155482675431,False,0.2209132469592083,0.15032475376289342,False,100,8,0.08,8
ten_percent,2,0.5062628449427614,0.24303155482675431,False,0.2209132469592083,0.15032475376289342,False,100,8,0.08,8
original,20,0.08535469071789395,-0.15892787202556755,False,-0.12823904777678422,-0.13063333002255836,False,100,98,0.98,8
half,10,0.07083179013641445,0.009257960145993584,False,0.05373188455345515,0.008258940249807317,False,100,73,0.73,7
sqrt,4,0.15948326637810065,0.11275824762920754,False,0.11920465081181415,0.08045596139985296,False,100,25,0.25,7
log,2,0.429832132116441,0.10332143183263894,False,0.08395120152011021,0.06468567997591068,False,100,4,0.04,7
ten_percent,2,0.429832132116441,0.10332143183263894,False,0.08395120152011021,0.06468567997591068,False,100,4,0.04,7
original,20,0.09457601304141498,-0.12561651037726054,False,-0.12038773543035892,-0.10308215702638548,False,99,97,0.9797979797979798,7
half,10,0.0665697195079737,0.10793671158241724,False,0.18095830214107103,0.0830397659794757,False,100,68,0.68,2
sqrt,4,0.17902559383585348,0.12148672000465852,False,0.15456694222098105,0.08092715941810644,False,100,21,0.21,2
log,2,0.3613144952827364,0.19148395642722038,False,0.2441944062656646,0.13333472337334915,False,100,10,0.1,2
ten_percent,2,0.3613144952827364,0.19148395642722038,False,0.2441944062656646,0.13333472337334915,False,100,10,0.1,2
original,20,0.07906584366154512,,True,,,True,100,100,1.0,2
half,10,0.06260610915942563,0.1681406049948305,False,0.11947965430612367,0.12756818853168542,False,100,69,0.69,10
sqrt,4,0.15513828002445817,0.019926684657578138,False,-0.0324680227956249,0.013497948621076674,False,100,16,0.16,10
log,2,0.3495271751128006,0.009836016437601867,False,-0.041754747163231326,0.015983832262031723,False,100,6,0.06,10
ten_percent,2,0.3495271751128006,0.009836016437601867,False,-0.041754747163231326,0.015983832262031723,False,100,6,0.06,10
original,20,0.07315141604289416,,True,,,True,100,100,1.0,10
half,10,0.06728601856354906,0.19354066631548794,False,0.11839339188107606,0.15441722551900494,False,100,70,0.7,0
sqrt,4,0.18058023502778933,0.1772248223849152,False,0.18068120783537567,0.12515538420427935,False,100,24,0.24,0
log,2,0.4148308481358754,0.068536102376324,False,0.05668547078623729,0.05139745010847264,False,100,11,0.11,0
ten_percent,2,0.4148308481358754,0.068536102376324,False,0.05668547078623729,0.05139745010847264,False,100,11,0.11,0
original,20,0.06966874108022426,,True,,,True,98,98,1.0,0
half,10,0.07829551462168174,-0.06685724475508463,False,-0.11264265083640475,-0.05394199757380581,False,100,66,0.66,11
