dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,18,0.17557147385086908,0.044495018367294865,False,0.053062428480431675,0.021873931962990357,False,20,14,0.7,12
sqrt,14,0.1933546996173287,0.10382170952368804,False,0.07223090827939858,0.06562179588897106,False,20,14,0.7,12
log,5,0.23421736660762665,0.3841134104627887,False,0.3734613400117584,0.2846099135046969,False,20,7,0.35,12
ten_percent,18,0.17557147385086908,0.044495018367294865,False,0.053062428480431675,0.021873931962990357,False,20,14,0.7,12
original,200,0.07863546020855162,,True,,,True,20,20,1.0,12
half,18,0.17780550064536377,-0.19179283083716533,False,-0.1688217354167741,-0.1433293191156868,False,20,12,0.6,2
sqrt,14,0.20269185311985805,-0.1333299464448249,False,-0.18329630134876493,-0.10614639197925867,False,20,11,0.55,2
log,5,0.269216635088936,-0.04609360925553465,False,-0.07029235741037854,-0.02790293269653891,False,20,7,0.35,2
ten_percent,18,0.17780550064536377,-0.19179283083716533,False,-0.1688217354167741,-0.1433293191156868,False,20,12,0.6,2
original,200,0.07216301739352231,,True,,,True,20,20,1.0,2
half,18,0.10821207898167766,-0.25156832316950495,False,-0.019456327118324384,-0.19744962591969745,False,20,17,0.85,3
sqrt,14,0.12805650408683414,-0.2128655042203504,False,-0.11262906043203484,-0.1777046633277277,False,20,17,0.85,3
log,5,0.1549668369274319,-0.036260962361917747,False,0.06904864563553141,-0.02338421688774671,False,20,9,0.45,3
ten_percent,18,0.10821207898167766,-0.25156832316950495,False,-0.019456327118324384,-0.19744962591969745,False,20,17,0.85,3
original,200,0.07978605761284845,,True,,,True,20,20,1.0,3
half,18,0.1550934655032059,0.12691107081690542,False,0.1061674264294495,0.1040531963428944,False,20,16,0.8,4
sqrt,14,0.15915236702894853,0.17984576060517937,False,0.12356917695376707,0.1495090003192804,False,20,15,0.75,4
log,5,0.26636623844165347,0.40360027672395404,False,0.36887748782544916,0.29230271109683387,False,20,9,0.45,4
ten_percent,18,0.1550934655032059,0.12691107081690542,False,0.1061674264294495,0.1040531963428944,False,20,16,0.8,4
original,200,0.07444709318178469,,True,,,True,20,20,1.0,4
half,18,0.14957172202710997,0.18174096791171718,False,-0.02837541682409522,0.13710212427677043,False,20,13,0.65,11
sqrt,14,0.17248636036353066,0.19943059843687547,False,-0.028517260626314628,0.1433293191156868,False,20,12,0.6,11
log,5,0.2732783959671814,-0.039395069893111534,False,-0.02044307954843873,-0.010814761408717502,False,20,5,0.25,11
ten_percent,18,0.14957172202710997,0.18174096791171718,False,-0.02837541682409522,0.13710212427677043,False,20,13,0.65,11
original,200,0.06945882436330011,,True,,,True,20,20,1.0,11
half,18,0.1338552989075144,-0.30437146645071383,False,-0.41769026055552766,-0.22544859207627121,False,20,16,0.8,6
sqrt,14,0.13405436986096225,-0.30437146645071383,False,-0.4169340458802124,-0.22544859207627121,False,20,16,0.8,6
log,5,0.18614707464136115,-0.3896305086445914,False,-0.4633137748079703,-0.29521286423310117,False,20,10,0.5,6
ten_percent,18,0.1338552989075144,-0.30437146645071383,False,-0.41769026055552766,-0.22544859207627121,False,20,16,0.8,6
original,200,0.07997986845241997,,True,,,True,20,20,1.0,6
half,18,0.21281065289125095,0.06913404630472403,False,0.10358051082167562,0.04370733787381239,False,20,11,0.55,0
sqrt,14,0.22249158095916183,0.0016067237469880055,False,0.09339553436021374,-0.006024752331287779,False,20,10,0.5,0
log,5,0.35902218490913296,0.03169833889962083,False,0.03436731647302339,0.05348281873006977,False,20,4,0.2,0
