dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,10,0.2866036054039769,0.18239337005835465,False,0.22984161805927092,0.12063859876588777,False,50,13,0.26,3
sqrt,4,0.3976184906480021,0.2041316593969501,False,0.1992043120643522,0.12541088930576397,False,50,5,0.1,3
log,2,0.5037313399429424,0.03543902615730146,False,0.09627292861814198,0.01143323900950059,False,50,2,0.04,3
ten_percent,2,0.5037313399429424,0.03543902615730146,False,0.09627292861814198,0.01143323900950059,False,50,2,0.04,3
original,20,0.09483346578794608,-0.1632993161855452,False,-0.15837717903261953,-0.13468700594029476,False,49,48,0.9795918367346939,3
half,10,0.24491506453109377,-0.06988044964945442,False,-0.08730262833001962,-0.04886777774252209,False,50,18,0.36,5
sqrt,4,0.35159788468316483,0.016729070491562675,False,0.024776587504604288,0.02162540750461305,False,50,10,0.2,5
log,2,0.4944970558961807,0.13662776800282256,False,0.19351780373027358,0.10625263399968715,False,50,3,0.06,5
ten_percent,2,0.4944970558961807,0.13662776800282256,False,0.19351780373027358,0.10625263399968715,False,50,3,0.06,5
original,20,0.0848156357552959,,True,,,True,50,50,1.0,5
half,10,0.2801986513150194,0.08328833887067313,False,0.09041885543895663,0.06829877767625106,False,50,15,0.3,6
sqrt,4,0.34721769680661907,0.04854939423409035,False,0.056769920254017996,0.0305553036879928,False,50,8,0.16,6
log,2,0.4937816626976981,0.12159501763560383,False,0.05820140001811847,0.09262372870294988,False,50,5,0.1,6
ten_percent,2,0.4937816626976981,0.12159501763560383,False,0.05820140001811847,0.09262372870294988,False,50,5,0.1,6
original,20,0.08268980936395798,,True,,,True,50,50,1.0,6
half,10,0.3176935142631473,0.06929429114054114,False,0.09436615279338699,0.04400293597383553,False,50,19,0.38,4
sqrt,4,0.36952668592530385,0.1338662368863516,False,0.1967761526925591,0.0968940287996337,False,50,11,0.22,4
log,2,0.5241209546559804,0.10041780769557189,False,0.24374844593415354,0.07846348356899974,False,50,3,0.06,4
ten_percent,2,0.5241209546559804,0.10041780769557189,False,0.24374844593415354,0.07846348356899974,False,50,3,0.06,4
original,20,0.06871810863679338,,True,,,True,50,50,1.0,4
half,10,0.24942245732419568,0.37285204101778957,False,0.4287918112298183,0.26406926406926406,False,50,17,0.34,10
sqrt,4,0.5009661819671786,0.3548511149398185,False,0.31319012095828797,0.24468158841105034,False,50,4,0.08,10
log,2,0.5897249526634922,0.4343754522268999,False,0.36396378792468337,0.29587271929143655,False,50,3,0.06,10
ten_percent,2,0.5897249526634922,0.4343754522268999,False,0.36396378792468337,0.29587271929143655,False,50,3,0.06,10
original,20,0.080845912905245,,True,,,True,50,50,1.0,10
half,10,0.2524291684077616,0.26840840004420824,False,0.21122424215407948,0.18961038961038962,False,50,17,0.34,13
sqrt,4,0.36643890033258514,0.29781411075587044,False,0.3000269865476039,0.20246071672237714,False,50,5,0.1,13
log,2,0.5888202968727934,0.3367910499134604,False,0.32897449142324103,0.22394785935318676,False,50,3,0.06,13
ten_percent,2,0.5888202968727934,0.3367910499134604,False,0.32897449142324103,0.22394785935318676,False,50,3,0.06,13
