dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,50,0.21299687027050712,0.20562240668615572,False,0.1917287988788062,0.15581989435001034,False,94,58,0.6170212765957447,11
sqrt,10,0.24969114082711572,0.08160498616930852,False,0.08807685554172509,0.05665052393560129,False,100,32,0.32,11
log,4,0.3936504299193953,0.12435830093464585,False,0.1179634674277283,0.08380419773143746,False,100,14,0.14,11
ten_percent,10,0.24969114082711572,0.08160498616930852,False,0.08807685554172509,0.05665052393560129,False,100,32,0.32,11
original,100,0.10807902181884123,-0.060283786913240704,False,-0.10823904775655542,-0.04920144631391022,False,99,94,0.9494949494949495,11
half,50,0.205298433546567,0.029237821546452693,False,-0.004694935654368353,0.021237983896754725,False,95,57,0.6,6
sqrt,10,0.25100576321024287,0.2148262429940566,False,0.16344260010316727,0.1606615883964149,False,100,31,0.31,6
log,4,0.39437954352168547,0.20077832757200698,False,0.17889267363684547,0.1437517260356774,False,100,14,0.14,6
ten_percent,10,0.25100576321024287,0.2148262429940566,False,0.16344260010316727,0.1606615883964149,False,100,31,0.31,6
original,100,0.08259184919926245,-0.10957872456048,False,-0.10534926747029402,-0.08992139057175406,False,99,98,0.98989898989899,6
half,50,0.20309240230499578,0.07191073724716275,False,0.09399589723221183,0.05589188781838671,False,89,52,0.5842696629213483,12
sqrt,10,0.279531128329379,0.18894102307160915,False,0.2075592401341231,0.13937578968318587,False,100,27,0.27,12
log,4,0.39271860523527397,0.15683133386889095,False,0.1842891390855995,0.11344613449878566,False,100,10,0.1,12
ten_percent,10,0.279531128329379,0.18894102307160915,False,0.2075592401341231,0.13937578968318587,False,100,27,0.27,12
original,100,0.07724413468848625,-0.06441195338179626,False,-0.0731260836100098,-0.05285444627050962,False,100,99,0.99,12
half,50,0.2072617019816735,-0.128425910302062,False,-0.13121875412327047,-0.0925668447630225,False,94,58,0.6170212765957447,0
sqrt,10,0.28804147575199013,-0.09498651185716375,False,-0.10803835757347352,-0.06432291477991202,False,100,28,0.28,0
log,4,0.5118190620733339,-0.10052224675034468,False,-0.08705487169502094,-0.06691042128849943,False,100,9,0.09,0
ten_percent,10,0.28804147575199013,-0.09498651185716375,False,-0.10803835757347352,-0.06432291477991202,False,100,28,0.28,0
original,100,0.07585795448368096,0.1131561343193718,False,0.10669346159270668,0.09285240561035474,False,100,99,0.99,0
half,50,0.24759733932043151,0.029453504163579797,False,0.08482688376283794,0.01844455684513894,False,96,55,0.5729166666666666,1
sqrt,10,0.25792498887165843,0.0942835028990149,False,0.07937227114485539,0.05963213045852768,False,100,32,0.32,1
log,4,0.3770872081825558,0.0916693245563001,False,0.1114820353725888,0.06516189999985002,False,100,13,0.13,1
ten_percent,10,0.25792498887165843,0.0942835028990149,False,0.07937227114485539,0.05963213045852768,False,100,32,0.32,1
original,100,0.08061717816873523,,True,,,True,100,100,1.0,1
half,50,0.23543635100083496,-0.11291322023657632,False,-0.14974732117837866,-0.08002914853945205,False,93,54,0.5806451612903226,4
sqrt,10,0.329718094923519,-0.06683578248514005,False,-0.09075119045913684,-0.050696107685638085,False,99,22,0.2222222222222222,4
log,4,0.46146670722825783,-0.06901849793169583,False,-0.04685643960662625,-0.053649275985130356,False,100,7,0.07,4
ten_percent,10,0.329718094923519,-0.06683578248514005,False,-0.09075119045913684,-0.050696107685638085,False,99,22,0.2222222222222222,4
original,100,0.09978442785405914,0.03216826630837834,False,0.029885278589299475,0.026396279167837485,False,100,98,0.98,4
half,50,0.2200546774218106,-0.08652907321777772,False,-0.06545471844206478,-0.07276647516790936,False,97,63,0.6494845360824743,5
sqrt,10,0.24587534667408353,0.030194534943873766,False,0.013259957375512528,0.01592132215957829,False,100,38,0.38,5
log,4,0.3809333029754942,-0.026347421854779306,False,-0.0293916025612589,-0.017512260624959693,False,100,13,0.13,5
ten_percent,10,0.24587534667408353,0.030194534943873766,False,0.013259957375512528,0.01592132215957829,False,100,38,0.38,5
original,100,0.0949402870687168,0.04629573705509749,False,0.010570533716377305,0.038131296066486194,False,100,97,0.97,5
half,50,0.21898503728699253,-0.029655034270813938,False,-0.07293685076777404,-0.023428092926002307,False,95,58,0.6105263157894737,14
sqrt,10,0.28832918245294276,0.11471656578079249,False,0.1385741606654576,0.08046411917416654,False,100,26,0.26,14
log,4,0.40082429049766616,0.0540290738726269,False,0.060645508498844515,0.035145291971406194,False,100,11,0.11,14
ten_percent,10,0.28832918245294276,0.11471656578079249,False,0.1385741606654576,0.08046411917416654,False,100,26,0.26,14
original,100,0.09458862982061624,-0.13143777926199823,False,-0.12264080839722465,-0.10835477761561044,False,100,98,0.98,14
half,50,0.18508242907676437,-0.008089504369179048,False,0.1269062185092464,-0.00962428798691617,False,92,64,0.6956521739130435,2
sqrt,10,0.25535922899999525,0.19402491139155378,False,0.18832452071401679,0.1402117175876467,False,100,35,0.35,2
log,4,0.3376581834811375,0.18582408794035,False,0.20488020141110438,0.12772303111345676,False,100,12,0.12,2
ten_percent,10,0.25535922899999525,0.19402491139155378,False,0.18832452071401679,0.1402117175876467,False,100,35,0.35,2
original,100,0.08365106579416363,-0.09226577106041085,False,-0.08699950629654388,-0.0757104230361354,False,100,99,0.99,2
half,50,0.24153960835745172,-0.132809052632424,False,-0.04259733427640694,-0.094685255240064,False,94,58,0.6170212765957447,10
sqrt,10,0.3382340135539825,0.05517582883139706,False,0.1032067620338715,0.042426535564560545,False,100,26,0.26,10
log,4,0.4512882459112389,0.05502562339028237,False,0.11202825520848061,0.04764963937489033,False,100,13,0.13,10
ten_percent,10,0.3382340135539825,0.05517582883139706,False,0.1032067620338715,0.042426535564560545,False,100,26,0.26,10
original,100,0.09890879686933778,-0.08990466719632137,False,-0.09487460817111042,-0.07250899807005519,False,100,95,0.95,10
half,50,0.23670492973922588,-0.15773605735806853,False,-0.13692259346583846,-0.12069707047337949,False,89,56,0.6292134831460674,13
sqrt,10,0.2997336499051782,-0.010462978352206023,False,-0.01689658679171452,-0.0012506107989614448,False,100,25,0.25,13
log,4,0.47537962837390846,0.034996100475009534,False,0.06372650339234681,0.02392554458194828,False,100,9,0.09,13
ten_percent,10,0.2997336499051782,-0.010462978352206023,False,-0.01689658679171452,-0.0012506107989614448,False,100,25,0.25,13
original,100,0.07360923153016417,,True,,,True,99,99,1.0,13
half,50,0.17653692683113104,0.20334271295083198,False,0.19870355685324437,0.15376275466747016,False,92,63,0.6847826086956522,9
sqrt,10,0.2795348556306513,0.10760688519877351,False,0.06885353091567502,0.07315155014186073,False,100,28,0.28,9
log,4,0.472112099854572,0.04366519506576382,False,0.0438712164629838,0.023768781275459675,False,100,11,0.11,9
ten_percent,10,0.2795348556306513,0.10760688519877351,False,0.06885353091567502,0.07315155014186073,False,100,28,0.28,9
original,100,0.08421853111707316,0.1412921848923215,False,0.14076860751890427,0.1161837795973594,False,99,97,0.9797979797979798,9
half,50,0.22674440512698965,-0.0890265986075344,False,-0.056875359865782474,-0.06825238932371724,False,94,60,0.6382978723404256,8
sqrt,10,0.29070120363752755,0.006211585738763002,False,0.019344420817144242,0.01223657198138302,False,99,28,0.2828282828282828,8
log,4,0.38129668888057616,-0.03657687622222816,False,-0.004227467335609726,-0.019043836730070058,False,100,8,0.08,8
ten_percent,10,0.29070120363752755,0.006211585738763002,False,0.019344420817144242,0.01223657198138302,False,99,28,0.2828282828282828,8
original,100,0.09765964730645864,-0.0703452458112659,False,-0.07394585316954608,-0.05772600793477587,False,99,97,0.9797979797979798,8
half,50,0.2250610932544316,-0.07663396261022752,False,-0.024220907981744155,-0.058178658195008705,False,91,57,0.6263736263736264,3
sqrt,10,0.30245518858445125,-0.026586851350461082,False,0.01517399577377812,-0.01709168091913975,False,100,25,0.25,3
log,4,0.4522808471886362,0.013455606292422788,False,0.030471350258849266,0.013564156569825412,False,100,7,0.07,3
ten_percent,10,0.30245518858445125,-0.026586851350461082,False,0.01517399577377812,-0.01709168091913975,False,100,25,0.25,3
original,100,0.08777763913780871,0.1406904916225318,False,0.12337861703246136,0.11545201586955174,False,99,97,0.9797979797979798,3
half,50,0.2282360727833082,0.2618438460404857,False,0.24601021507438187,0.1948379359580677,False,94,49,0.5212765957446809,7
sqrt,10,0.24645723714013024,0.2918061837347571,False,0.2766727062338997,0.21003772320342065,False,100,34,0.34,7
log,4,0.3468914278596896,0.2213060927737939,False,0.2101451209255072,0.1578233632866918,False,100,12,0.12,7
ten_percent,10,0.24645723714013024,0.2918061837347571,False,0.2766727062338997,0.21003772320342065,False,100,34,0.34,7
original,100,0.10254452437200673,0.12252757979421314,False,0.06587946701616496,0.09969018653872433,False,97,92,0.9484536082474226,7
half,50,0.21896027269983845,-0.1270893056392825,False,-0.21008819714153362,-0.10093009951070053,False,92,55,0.5978260869565217,15
sqrt,10,0.27587276364095403,0.0014423904122094877,False,0.003567700597356407,-0.0006287629609767783,False,100,27,0.27,15
log,4,0.46038668668731,0.13356144692435026,False,0.16989666882373805,0.09975735537558096,False,100,9,0.09,15
ten_percent,10,0.27587276364095403,0.0014423904122094877,False,0.003567700597356407,-0.0006287629609767783,False,100,27,0.27,15
original,100,0.08134995918457436,0.024743582965269673,False,0.005688532065457942,0.020304830129105757,False,99,98,0.98989898989899,15
half,50,0.18558596169584327,0.08419750665965449,False,0.08891758494412766,0.0637353114746094,False,95,66,0.6947368421052632,19
sqrt,10,0.2795868722248964,-0.028132771184935502,False,0.10476379183348185,-0.02612471401758654,False,100,26,0.26,19
