dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,18,0.06198268231823765,,True,,,True,20,20,1.0,5
sqrt,14,0.06198268231823765,,True,,,True,20,20,1.0,5
log,5,0.10285202877921902,0.13747981679478222,False,0.06324448593429959,0.13029938101426075,False,20,12,0.6,5
ten_percent,18,0.06198268231823765,,True,,,True,20,20,1.0,5
original,200,0.06198268231823765,,True,,,True,20,20,1.0,5
half,18,0.07978605761284845,,True,,,True,20,20,1.0,3
sqrt,14,0.07978605761284845,,True,,,True,20,20,1.0,3
log,5,0.09345165674756532,0.05839971160707451,False,0.06688849944337905,0.06562179588897106,False,20,14,0.7,3
ten_percent,18,0.07978605761284845,,True,,,True,20,20,1.0,3
original,200,0.07978605761284845,,True,,,True,20,20,1.0,3
half,18,0.06768681280494812,,True,,,True,20,20,1.0,8
sqrt,14,0.06768681280494812,,True,,,True,20,20,1.0,8
log,5,0.06877371360627935,-0.19170372284288353,False,-0.0826419971572649,-0.1495090003192804,False,20,15,0.75,8
ten_percent,18,0.06768681280494812,,True,,,True,20,20,1.0,8
original,200,0.06768681280494812,,True,,,True,20,20,1.0,8
half,18,0.07216301739352231,,True,,,True,20,20,1.0,2
sqrt,14,0.07167236915376192,0.1392500690033995,False,0.10322872058595431,0.11650496642725608,False,20,19,0.95,2
log,5,0.10295176939799092,0.165484964660386,False,0.23837606624043065,0.10423950481140859,False,20,12,0.6,2
ten_percent,18,0.07216301739352231,,True,,,True,20,20,1.0,2
original,200,0.07216301739352231,,True,,,True,20,20,1.0,2
half,18,0.06724268444120594,,True,,,True,20,20,1.0,10
sqrt,14,0.06724268444120594,,True,,,True,20,20,1.0,10
log,5,0.09719276845541366,-0.1485121477721413,False,0.128436667819029,-0.13029938101426075,False,20,12,0.6,10
ten_percent,18,0.06724268444120594,,True,,,True,20,20,1.0,10
original,200,0.06724268444120594,,True,,,True,20,20,1.0,10
half,18,0.0885351554798186,-0.09946433500242821,False,-0.12170396080488326,-0.08321783316232577,False,20,19,0.95,7
sqrt,14,0.0907062551422324,-0.1168976006991411,False,-0.12292141605773856,-0.10734080474895662,False,20,18,0.9,7
log,5,0.1262385017429517,-0.01997389734406501,False,-0.13575899524467322,0.005580586539307782,False,20,7,0.35,7
ten_percent,18,0.0885351554798186,-0.09946433500242821,False,-0.12170396080488326,-0.08321783316232577,False,20,19,0.95,7
original,200,0.09018404820990952,,True,,,True,20,20,1.0,7
half,18,0.07997986845241997,,True,,,True,20,20,1.0,6
sqrt,14,0.08281307459337832,-0.2983930050072846,False,-0.3148313518059681,-0.2496534994869773,False,20,19,0.95,6
log,5,0.11186041266925809,-0.4718443094932032,False,-0.43827135341070217,-0.351808328738504,False,20,12,0.6,6
ten_percent,18,0.07997986845241997,,True,,,True,20,20,1.0,6
original,200,0.07997986845241997,,True,,,True,20,20,1.0,6
half,18,0.07620567724120086,,True,,,True,19,19,1.0,4
sqrt,14,0.07078448262981797,0.1392500690033995,False,0.13254583968561107,0.11650496642725608,False,20,19,0.95,4
