dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,10,0.06544359816584983,0.21489206417823428,False,0.20998385836319158,0.17960530202677488,False,50,44,0.88,8
sqrt,4,0.1333186850438171,0.012010504248286253,False,0.01840651218206818,0.020426295799549733,False,50,20,0.4,8
log,2,0.32151961823203945,0.06611536501421578,False,0.06287331573722722,0.03128976553251561,False,50,7,0.14,8
ten_percent,2,0.32151961823203945,0.06611536501421578,False,0.06287331573722722,0.03128976553251561,False,50,7,0.14,8
original,20,0.07046700650637705,,True,,,True,50,50,1.0,8
half,10,0.08414413409002225,-0.03681355412430545,False,-0.07567288125689353,-0.03631074558916346,False,50,36,0.72,5
sqrt,4,0.1852446534090793,0.04433122248293338,False,0.04169025426226366,0.024925783271842028,False,50,16,0.32,5
log,2,0.3961414060113541,0.19698832506874717,False,0.25207426030215596,0.1428666902168312,False,50,8,0.16,5
ten_percent,2,0.3961414060113541,0.19698832506874717,False,0.25207426030215596,0.1428666902168312,False,50,8,0.16,5
original,20,0.0848156357552959,,True,,,True,50,50,1.0,5
half,10,0.07439521459278975,0.07915457886574064,False,0.1221525504550308,0.06874476084827519,False,50,34,0.68,10
sqrt,4,0.2982979034155821,0.22640882692160155,False,0.2083525304781505,0.14291852282319428,False,50,6,0.12,10
log,2,0.4314923530373796,0.2905921350386922,False,0.30760834509429985,0.19125474119943686,False,50,3,0.06,10
ten_percent,2,0.4314923530373796,0.2905921350386922,False,0.30760834509429985,0.19125474119943686,False,50,3,0.06,10
original,20,0.08246285734349293,,True,,,True,49,49,1.0,10
half,10,0.06845569416565976,-0.05945559642570118,False,-0.09499732115692518,-0.03987860810413671,False,50,37,0.74,4
sqrt,4,0.15507966709143584,0.04706234364146931,False,0.027740915954648396,0.04363194441296615,False,50,18,0.36,4
log,2,0.316936953307554,0.1671080735133754,False,0.17657175400229722,0.11148556751024401,False,50,8,0.16,4
ten_percent,2,0.316936953307554,0.1671080735133754,False,0.17657175400229722,0.11148556751024401,False,50,8,0.16,4
original,20,0.06978923880894278,,True,,,True,49,49,1.0,4
half,10,0.0864711391336845,-0.12641710505497075,False,-0.10302160948513404,-0.09750002110024922,False,50,44,0.88,12
sqrt,4,0.09413239446671144,0.3148102671475268,False,0.25542627623649233,0.23980322527048017,False,50,16,0.32,12
log,2,0.28226596505966295,0.13477917682534316,False,0.15644624031292834,0.09386929659754684,False,50,7,0.14,12
ten_percent,2,0.28226596505966295,0.13477917682534316,False,0.15644624031292834,0.09386929659754684,False,50,7,0.14,12
original,20,0.08801035091678344,0.23263621176954388,False,0.27069477414074444,0.19183673469387755,False,50,49,0.98,12
half,10,0.06946163183695678,0.2526558196503414,False,0.25255973946189475,0.18826376964701952,False,50,40,0.8,13
sqrt,4,0.13975659060176576,0.4325603832400397,False,0.42228797867614254,0.30464696978130706,False,50,12,0.24,13
log,2,0.44923442281153325,0.3995291402931774,False,0.40851647111387207,0.284901549322379,False,50,7,0.14,13
ten_percent,2,0.44923442281153325,0.3995291402931774,False,0.40851647111387207,0.284901549322379,False,50,7,0.14,13
original,20,0.07752317542200632,,True,,,True,48,48,1.0,13
half,10,0.08284100896091413,-0.058019155886601656,False,-0.04615382559600928,-0.04276316714923212,False,50,44,0.88,0
sqrt,4,0.13935797027831406,-0.042470246097897256,False,-0.05013108033950368,-0.0308118432994982,False,50,22,0.44,0
log,2,0.3704664629215833,0.06898480076112386,False,0.05202028045693653,0.05847053462046861,False,50,11,0.22,0
ten_percent,2,0.3704664629215833,0.06898480076112386,False,0.05202028045693653,0.05847053462046861,False,50,11,0.22,0
original,20,0.08497974945962444,,True,,,True,50,50,1.0,0
half,10,0.07947176107271409,-0.13665154360163334,False,0.02183612647121022,-0.11145564251507056,False,50,43,0.86,6
sqrt,4,0.14580733196249526,0.01131636072462349,False,0.024781994101128194,0.011255411255411256,False,50,17,0.34,6
log,2,0.3885267307734353,0.15165004313551655,False,0.06915844873583502,0.09363095904846971,False,50,9,0.18,6
ten_percent,2,0.3885267307734353,0.15165004313551655,False,0.06915844873583502,0.09363095904846971,False,50,9,0.18,6
original,20,0.08427883943857993,,True,,,True,49,49,1.0,6
