dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,48,0.0679529350068881,,True,,,True,50,50,1.0,13
sqrt,14,0.06708142099600126,0.20098652583290766,False,0.042078900627460336,0.1619047619047619,False,50,47,0.94,13
log,5,0.11005244707513774,0.17148154660142287,False,0.126589587700069,0.12629809210528348,False,49,20,0.40816326530612246,13
ten_percent,20,0.06790099056201661,-0.17323973216880925,False,-0.13575320579277145,-0.14285714285714285,False,50,49,0.98,13
original,200,0.0679529350068881,,True,,,True,50,50,1.0,13
half,48,0.07403328733549439,,True,,,True,50,50,1.0,9
sqrt,14,0.07111356002663166,-0.12007153205368017,False,-0.06590235425165873,-0.08685788647124466,False,50,42,0.84,9
log,5,0.14227909169902392,0.021613513448278308,False,-0.019483842078760215,0.012588717759558141,False,50,12,0.24,9
ten_percent,20,0.07403328733549439,,True,,,True,50,50,1.0,9
original,200,0.07403328733549439,,True,,,True,50,50,1.0,9
half,48,0.07770887157065814,0.03464794643376186,False,-0.016192243300529256,0.028571428571428574,False,50,49,0.98,10
sqrt,14,0.07311250123499749,-0.15665983992663668,False,-0.1304899508368164,-0.1285714285714286,False,50,47,0.94,10
log,5,0.11608374929238323,-0.032164187092027556,False,-0.07506691748064094,-0.011428571428571429,False,50,26,0.52,10
ten_percent,20,0.07129533976106388,,True,,,True,50,50,1.0,10
original,200,0.07129533976106388,,True,,,True,50,50,1.0,10
half,48,0.07822864330655863,,True,,,True,49,49,1.0,11
sqrt,14,0.0774104955911196,0.09047832024807981,False,0.047993530210127595,0.06896039629422103,False,50,45,0.9,11
log,5,0.1455855151914541,0.1444670565275329,False,0.17177221282529617,0.09712460378338444,False,50,16,0.32,11
ten_percent,20,0.0777538333070798,,True,,,True,50,50,1.0,11
original,200,0.0777538333070798,,True,,,True,50,50,1.0,11
half,48,0.08450453490160789,0.06434618623412916,False,0.023590943817883493,0.05306122448979592,False,50,49,0.98,0
sqrt,14,0.07854740058990135,0.3389626815371907,False,0.1290487784537483,0.27386243589417336,False,50,43,0.86,0
log,5,0.14110797764021044,0.06484918336958696,False,0.11500768693685055,0.05280352316860264,False,50,19,0.38,0
ten_percent,20,0.06760949475469903,,True,,,True,50,50,1.0,0
original,200,0.06760949475469903,,True,,,True,50,50,1.0,0
half,48,0.07563410577500021,,True,,,True,50,50,1.0,5
sqrt,14,0.08278452280792487,-0.31557058688415324,False,-0.24797667327506848,-0.25702587146754696,False,50,46,0.92,5
log,5,0.11787448005755762,-0.010420049075635046,False,0.042318554334676406,-0.006575959492214292,False,50,25,0.5,5
ten_percent,20,0.07913695142748801,0.09404442603449646,False,0.08063544796689157,0.07755102040816327,False,50,49,0.98,5
original,200,0.07653053774289961,,True,,,True,47,47,1.0,5
half,48,0.07213138259437234,,True,,,True,50,50,1.0,3
sqrt,14,0.07408196010889742,-0.03884417475470589,False,-0.05056012807691345,-0.02857142857142857,False,50,47,0.94,3
log,5,0.11890388389908409,0.09535411109802402,False,0.18746780682391093,0.0645752777311899,False,50,18,0.36,3
ten_percent,20,0.07213138259437234,,True,,,True,50,50,1.0,3
original,200,0.07213138259437234,,True,,,True,50,50,1.0,3
half,48,0.08798416151101261,-0.16334031890202017,False,-0.15027799691103547,-0.1346938775510204,False,50,49,0.98,8
sqrt,14,0.06508268040019118,0.0731772673984275,False,0.45889634773298116,0.05389252143674373,False,50,46,0.92,8
log,5,0.11859935895515454,0.01993834984814615,False,0.1106668283240756,0.019913419913419914,False,50,17,0.34,8
ten_percent,20,0.06845494382187345,,True,,,True,50,50,1.0,8
original,200,0.06886435141887648,-0.1865117742382477,False,-0.16345774094821275,-0.15404681886205487,False,43,42,0.9767441860465116,8
half,48,0.08088541838811683,,True,,,True,50,50,1.0,2
sqrt,14,0.09767306788022989,0.1407955523391292,False,0.011113072064620014,0.10952380952380952,False,50,47,0.94,2
log,5,0.16388042814863246,0.07366707499991747,False,0.020133638900290022,0.06282999995467124,False,50,18,0.36,2
ten_percent,20,0.1062455692107007,-0.19812968552530755,False,-0.16693679753123025,-0.16535637546461798,False,50,48,0.96,2
original,200,0.08088541838811683,,True,,,True,50,50,1.0,2
half,48,0.08517286287484283,,True,,,True,50,50,1.0,1
sqrt,14,0.08467589498004793,0.02969015455194132,False,-0.09651526196623013,0.02565790028953927,False,50,44,0.88,1
