dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,98,0.13719273055005338,-0.017652908488616007,False,0.02159510707193447,-0.01023809097222489,False,99,79,0.797979797979798,13
sqrt,14,0.2140843448511765,0.1012063113812729,False,0.10133305080543792,0.07008175357523139,False,100,44,0.44,13
log,5,0.32139326278214925,0.15495033456190554,False,0.18922180272033318,0.10876384625727119,False,100,19,0.19,13
ten_percent,20,0.24612825888982717,-0.0001537104369302493,False,-0.010252623208074987,0.0023113422780359993,False,96,50,0.5208333333333334,13
original,200,0.06980356320749506,,True,,,True,99,99,1.0,13
half,98,0.1780935076827666,0.32479105867102037,False,0.25677935540069036,0.24314678817509766,False,99,71,0.7171717171717171,0
sqrt,14,0.25027540409128207,0.2877151122388948,False,0.19411216307338883,0.19867186942593312,False,99,36,0.36363636363636365,0
log,5,0.3865243878286451,0.25972749148417024,False,0.2265257559493243,0.17680571928355002,False,100,9,0.09,0
ten_percent,20,0.29843044102533406,0.22513615084679836,False,0.16802071654672668,0.17033349058611266,False,91,37,0.4065934065934066,0
original,200,0.08190064805178626,0.04700331733266214,False,0.03299950174824669,0.038569460791993505,False,100,99,0.99,0
half,98,0.1959375062295029,0.03432448015056302,False,0.07832454989615877,0.024685342726173766,False,99,69,0.696969696969697,14
sqrt,14,0.2642820290463989,0.15209157916698335,False,0.10889695295402853,0.10530052993060159,False,98,38,0.3877551020408163,14
log,5,0.3518394097765066,0.03247472926286752,False,0.03540699880375348,0.016290474999962504,False,100,13,0.13,14
ten_percent,20,0.24445002317074707,0.12742896361692377,False,0.20526022186196452,0.09532046296871662,False,97,48,0.4948453608247423,14
original,200,0.08172244937524806,0.015667772444220712,False,-0.013077715200534632,0.0128564869306645,False,100,99,0.99,14
half,98,0.15322699232367007,0.06704941576276877,False,0.019597319840412956,0.05296174248745408,False,99,74,0.7474747474747475,9
