dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,25,0.07295125041899113,,True,,,True,50,50,1.0,3
sqrt,7,0.06976778552759805,0.007157944616799069,False,-0.06093254310856012,0.020330516198994855,False,50,30,0.6,3
log,3,0.05487104605612981,0.1571817920592657,False,0.12049428253244747,0.1092780442820017,False,50,15,0.3,3
ten_percent,5,0.059282507091573136,0.16747799932859733,False,0.06302450744119219,0.1207522861821687,False,50,28,0.56,3
original,50,0.07295125041899113,,True,,,True,50,50,1.0,3
half,25,0.08172785191680912,-0.12374266583486376,False,-0.10317524484358095,-0.10204081632653061,False,50,49,0.98,7
sqrt,7,0.07371912397069309,-0.07737349434907947,False,-0.08620337600732798,-0.05315288192539412,False,50,23,0.46,7
log,3,0.06188317591864806,0.1880659350267173,False,0.24926392986592527,0.12119087728723192,False,50,16,0.32,7
ten_percent,5,0.07069697652626969,-0.001447090429444948,False,-0.014672308715989098,0.02242017216336945,False,50,21,0.42,7
original,50,0.08213932467127535,,True,,,True,47,47,1.0,7
half,25,0.07684883593355861,,True,,,True,50,50,1.0,13
sqrt,7,0.06829298565799084,0.2673196358086705,False,0.15907572487708727,0.19732690668793423,False,50,28,0.56,13
log,3,0.07022997676030918,0.29132308395050743,False,0.23110123363097573,0.19890174060101865,False,50,12,0.24,13
ten_percent,5,0.06673597904519463,0.049894705356466,False,-0.05821167999892046,0.032461373658059775,False,50,24,0.48,13
original,50,0.07684883593355861,,True,,,True,50,50,1.0,13
half,25,0.07803878619366585,,True,,,True,50,50,1.0,8
sqrt,7,0.07401257683198939,0.27103751792672337,False,0.2680156393990635,0.21903578790882472,False,50,36,0.72,8
log,3,0.045760015854736255,0.34361651363184853,False,0.4043737684147558,0.2539315960037218,False,50,13,0.26,8
ten_percent,5,0.06241503261025038,0.13528990488078757,False,0.11421090188750015,0.10447290585336085,False,50,23,0.46,8
original,50,0.07803878619366585,,True,,,True,50,50,1.0,8
half,25,0.0722969401384748,,True,,,True,50,50,1.0,9
sqrt,7,0.07080287715093812,0.0475483137289217,False,0.037519304592413066,0.03396811684147549,False,50,36,0.72,9
log,3,0.060037319618552853,-0.021096121716312893,False,-0.03850088402944728,-0.016705867034419602,False,50,11,0.22,9
ten_percent,5,0.06320364492707677,0.24526033185896973,False,0.21685560207035198,0.1667900777658919,False,50,23,0.46,9
original,50,0.0722969401384748,,True,,,True,50,50,1.0,9
half,25,0.07618374946260004,,True,,,True,50,50,1.0,2
sqrt,7,0.07090752691958825,0.3206249163022689,False,0.2842534888955084,0.23266903922905677,False,50,28,0.56,2
log,3,0.07366681453030414,-0.13352899537780163,False,-0.1618928401128883,-0.08892880730293912,False,50,7,0.14,2
ten_percent,5,0.057398909911565835,0.3446570205578019,False,0.2876209714538023,0.24482828002399434,False,50,21,0.42,2
original,50,0.07618374946260004,,True,,,True,50,50,1.0,2
half,25,0.07888474911299692,,True,,,True,50,50,1.0,1
sqrt,7,0.07122399221877443,0.2247007346739812,False,0.056681163304165255,0.14680937101525615,False,50,22,0.44,1
log,3,0.053192460451306794,0.45358521190168355,False,0.4365343116967279,0.34025974025974026,False,50,17,0.34,1
ten_percent,5,0.06625070398570732,0.034134643523632054,False,0.04995049054606346,0.03475864303027554,False,50,25,0.5,1
original,50,0.07888474911299692,,True,,,True,50,50,1.0,1
half,25,0.08660054878757134,,True,,,True,50,50,1.0,5
sqrt,7,0.0822530305798747,-0.10472001624711444,False,-0.1056799412003714,-0.07683762193511212,False,50,33,0.66,5
log,3,0.07508467807298923,0.3799411358139936,False,0.30661924250102784,0.2670274998073528,False,50,18,0.36,5
ten_percent,5,0.06787751150663804,0.10597793445461766,False,0.12071196372876071,0.08247860988423225,False,50,23,0.46,5
original,50,0.08760929410267865,,True,,,True,49,49,1.0,5
half,25,0.07784791914644373,,True,,,True,50,50,1.0,14
sqrt,7,0.07212823042686174,0.12810618352436187,False,0.03360272921968195,0.08891275488177133,False,50,27,0.54,14
log,3,0.059939804061521065,0.044988784547942993,False,0.017419388008540714,0.037161855836748005,False,50,8,0.16,14
ten_percent,5,0.06620160965706559,0.17988831028100127,False,0.04492212834844144,0.13541783986675146,False,50,21,0.42,14
original,50,0.07784791914644373,,True,,,True,50,50,1.0,14
half,25,0.06786411162405223,,True,,,True,50,50,1.0,10
sqrt,7,0.06534688474760557,0.34884547295595847,False,0.3467204249802045,0.26511394063105886,False,50,38,0.76,10
log,3,0.05422029778402273,0.21945908046342014,False,0.12914055908081754,0.1401000921831121,False,50,16,0.32,10
ten_percent,5,0.05661061010494845,0.012792032363079228,False,-0.06011026403934562,-0.0017601174389534212,False,50,19,0.38,10
original,50,0.06786411162405223,,True,,,True,50,50,1.0,10
half,25,0.08716053491042211,,True,,,True,49,49,1.0,6
sqrt,7,0.08291624369037816,-0.05682525596462102,False,-0.11741190293035414,-0.04869990122647952,False,50,33,0.66,6
log,3,0.06733449950397785,0.07145556994318011,False,-0.057746581611702485,0.03796319541583881,False,50,13,0.26,6
ten_percent,5,0.07310760600565257,0.3009370656658447,False,0.1925726487637646,0.24161074696133514,False,50,27,0.54,6
original,50,0.08618216074133957,,True,,,True,50,50,1.0,6
half,25,0.07062165998916564,,True,,,True,50,50,1.0,11
sqrt,7,0.06683237226118814,0.16178708987330903,False,-0.0445243674054883,0.11880561482848406,False,50,29,0.58,11
log,3,0.06004052683394081,0.2690143566970957,False,0.12630870610062825,0.1830755805828397,False,50,16,0.32,11
ten_percent,5,0.050709041051806264,0.3343214944620977,False,0.22846643580724504,0.246416441453479,False,50,19,0.38,11
original,50,0.07833268593674872,0.09404442603449646,False,0.055173856036500976,0.07755102040816327,False,50,49,0.98,11
half,25,0.07067572176422302,,True,,,True,50,50,1.0,0
sqrt,7,0.06305800009307122,0.0559510717183361,False,-0.12003539558910337,0.04767415357865791,False,50,31,0.62,0
log,3,0.05500699711765995,0.08040301100538384,False,0.12672532375420745,0.05769449031760272,False,50,14,0.28,0
ten_percent,5,0.0617917461446434,0.418633640974058,False,0.37613253409014774,0.3111946420861996,False,50,27,0.54,0
original,50,0.07067572176422302,,True,,,True,50,50,1.0,0
half,25,0.06887085869701762,,True,,,True,50,50,1.0,4
sqrt,7,0.06528676514497339,-0.05864548438390819,False,-0.039551394955099836,-0.03571326089941831,False,50,33,0.66,4
log,3,0.05101789371057555,0.12730085346891787,False,0.21997836612573812,0.08352933517209801,False,50,11,0.22,4
ten_percent,5,0.06122982531437371,-0.029412256750437838,False,0.0012630249237598574,-0.010333650630622457,False,50,25,0.5,4
original,50,0.06887085869701762,,True,,,True,50,50,1.0,4
half,25,0.06791792058142854,,True,,,True,50,50,1.0,15
sqrt,7,0.05956035991662227,-0.17772568476493003,False,-0.16309335047922968,-0.1198934753451832,False,50,20,0.4,15
log,3,0.1686983743325666,-0.17681130847900067,False,-0.12319391882956233,-0.1166346565568597,False,50,6,0.12,15
ten_percent,5,0.05304199254382533,0.07496744845642639,False,0.09020519666825519,0.0482412936641368,False,50,10,0.2,15
original,50,0.06791792058142854,,True,,,True,50,50,1.0,15
half,25,0.0729130329956276,,True,,,True,50,50,1.0,12
sqrt,7,0.06785413418670411,-0.09707308792765555,False,-0.16723405579140357,-0.07539747964004376,False,50,34,0.68,12
log,3,0.10421124285239741,0.02708220659691427,False,0.06369132995786313,0.01837645373786156,False,50,11,0.22,12
ten_percent,5,0.06794396486210333,-0.07674704527736366,False,-0.1628695836223009,-0.05596531072277233,False,50,31,0.62,12
original,50,0.0729130329956276,,True,,,True,50,50,1.0,12
half,25,0.08111519285721698,,True,,,True,50,50,1.0,16
sqrt,7,0.08068146364550763,0.31004635539790265,False,0.3140830549405934,0.2478580564417595,False,50,40,0.8,16
log,3,0.05996760056608424,0.16304817407050423,False,0.16750314680196496,0.11478100906294618,False,50,10,0.2,16
ten_percent,5,0.0704542902460397,0.10010407879666683,False,0.13928110514770664,0.07193608520710992,False,50,20,0.4,16
original,50,0.08211041944838138,,True,,,True,49,49,1.0,16
