dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,10,0.06431826177539417,0.27775945886101955,False,0.14094224160017096,0.21864226594485728,False,50,42,0.84,2
sqrt,4,0.055946697547149926,0.10341913132498427,False,-0.08990276874698863,0.06282999995467124,False,50,18,0.36,2
log,2,0.07818813069963074,0.06011956766066883,False,-0.04689716684090947,0.04471220793421015,False,50,13,0.26,2
ten_percent,2,0.07818813069963074,0.06011956766066883,False,-0.04689716684090947,0.04471220793421015,False,50,13,0.26,2
original,20,0.06466165899158474,,True,,,True,49,49,1.0,2
half,10,0.08473899971708888,0.14014740781982854,False,0.03278428269004852,0.11313857268631757,False,50,48,0.96,0
sqrt,4,0.06329585018242939,0.21500163678213563,False,0.28048915408683567,0.14660333322756625,False,50,18,0.36,0
log,2,0.077469383296157,0.23412051800306666,False,0.16324624682404207,0.1580956574274473,False,50,7,0.14,0
ten_percent,2,0.077469383296157,0.23412051800306666,False,0.16324624682404207,0.1580956574274473,False,50,7,0.14,0
original,20,0.08497974945962444,,True,,,True,50,50,1.0,0
half,10,0.07409249311400129,0.04910541782306801,False,0.016150136115538685,0.03821336314802419,False,50,43,0.86,13
sqrt,4,0.057742811141320696,0.07608307030009431,False,0.052984854573276355,0.054174088859675375,False,50,20,0.4,13
log,2,0.30079331192728853,0.04022589431827223,False,-0.04843547160589503,0.02464112462468867,False,50,6,0.12,13
ten_percent,2,0.30079331192728853,0.04022589431827223,False,-0.04843547160589503,0.02464112462468867,False,50,6,0.12,13
original,20,0.07752317542200632,,True,,,True,48,48,1.0,13
half,10,0.0844823555819902,0.05764418976049937,False,0.07678198121433097,0.04659486236096016,False,50,45,0.9,5
sqrt,4,0.06765741722833064,0.05651534858495121,False,0.009023093697528026,0.03414938883812553,False,50,15,0.3,5
log,2,0.11279970415872499,0.005244681835000841,False,0.05123473769936213,0.015690561353293598,False,50,8,0.16,5
ten_percent,2,0.11279970415872499,0.005244681835000841,False,0.05123473769936213,0.015690561353293598,False,50,8,0.16,5
original,20,0.0848156357552959,,True,,,True,50,50,1.0,5
half,10,0.06775635574158406,0.07585156352743223,False,-0.01643857133334636,0.06243386243386243,False,50,32,0.64,14
sqrt,4,0.05938919366547751,-0.03861893940969196,False,-0.03830574694703146,-0.018049705127885604,False,50,16,0.32,14
log,2,0.058582268184617974,0.13932155439537927,False,0.14330668121220752,0.09694532928027395,False,50,9,0.18,14
ten_percent,2,0.058582268184617974,0.13932155439537927,False,0.14330668121220752,0.09694532928027395,False,50,9,0.18,14
original,20,0.0692255976177304,,True,,,True,50,50,1.0,14
half,10,0.07435716437940937,0.01684556975479271,False,0.05491856639294378,0.01561698269999853,False,50,41,0.82,16
sqrt,4,0.06596040584543937,-0.12478393745255564,False,-0.19099816670112374,-0.09863939238321437,False,50,25,0.5,16
log,2,0.08877002022611988,-0.07149509442073089,False,-0.08263611946799633,-0.026729387255071364,False,50,11,0.22,16
ten_percent,2,0.08877002022611988,-0.07149509442073089,False,-0.08263611946799633,-0.026729387255071364,False,50,11,0.22,16
original,20,0.0747870294496899,,True,,,True,50,50,1.0,16
half,10,0.08165562717750775,-0.015253006412876222,False,0.03904019965306735,-0.006042213349111622,False,50,37,0.74,1
sqrt,4,0.06489679874845926,0.10928566262283607,False,0.17408411097114548,0.07193608520710992,False,50,20,0.4,1
log,2,0.20532071761547172,0.18873182567421062,False,0.23160026095039632,0.12180310601880574,False,50,9,0.18,1
ten_percent,2,0.20532071761547172,0.18873182567421062,False,0.23160026095039632,0.12180310601880574,False,50,9,0.18,1
original,20,0.08797649450465947,-0.2227367985027548,False,-0.18965212939703935,-0.1836734693877551,False,50,49,0.98,1
half,10,0.0683721717184767,0.061336966853724036,False,-0.0031315134500308314,0.05644738063698639,False,50,44,0.88,4
sqrt,4,0.05822274657040029,-0.07056892698590225,False,-0.06172833143834709,-0.0453772221894848,False,50,18,0.36,4
log,2,0.1771121121537417,0.14951969691495062,False,0.10809805526135483,0.08756163866214844,False,50,4,0.08,4
ten_percent,2,0.1771121121537417,0.14951969691495062,False,0.10809805526135483,0.08756163866214844,False,50,4,0.08,4
original,20,0.06978923880894278,,True,,,True,49,49,1.0,4
half,10,0.06625294982249125,0.09249198043286176,False,-0.05566809690125384,0.06874476084827519,False,50,34,0.68,8
sqrt,4,0.060110813053645934,0.3204862001164634,False,0.30288482193490696,0.23037666650046126,False,50,18,0.36,8
log,2,0.24762945297743064,-0.024106221044668474,False,-0.00790670483381619,-0.027766437594501432,False,50,2,0.04,8
ten_percent,2,0.24762945297743064,-0.024106221044668474,False,-0.00790670483381619,-0.027766437594501432,False,50,2,0.04,8
original,20,0.07046700650637705,,True,,,True,50,50,1.0,8
half,10,0.08887121240499583,-0.13670631808610692,False,0.04177652626471046,-0.10429000189079499,False,50,40,0.8,12
sqrt,4,0.07281708835990157,0.34775115259047407,False,0.2776658134743265,0.267597267624398,False,50,23,0.46,12
log,2,0.057829083908386404,0.3803881662138825,False,0.36671124683035633,0.2727555514570931,False,50,12,0.24,12
ten_percent,2,0.057829083908386404,0.3803881662138825,False,0.36671124683035633,0.2727555514570931,False,50,12,0.24,12
original,20,0.08801035091678344,0.23263621176954388,False,0.27069477414074444,0.19183673469387755,False,50,49,0.98,12
half,10,0.07193531180837667,-0.08244797049340065,False,-0.07717505206454296,-0.06672274799449497,False,50,48,0.96,9
sqrt,4,0.0626281853848103,0.021377523259085967,False,0.0006177336840339125,0.014662863979419067,False,50,23,0.46,9
log,2,0.17269997128673548,0.13466251854310451,False,0.10639591922706296,0.09262372870294988,False,50,5,0.1,9
ten_percent,2,0.17269997128673548,0.13466251854310451,False,0.10639591922706296,0.09262372870294988,False,50,5,0.1,9
original,20,0.07200960304043665,,True,,,True,50,50,1.0,9
half,10,0.06643268187388386,0.14830428710961607,False,0.09901646671869105,0.12467532467532468,False,50,39,0.78,11
sqrt,4,0.05612219860089684,0.10430431647184578,False,0.1468444313353447,0.06632055550770855,False,50,18,0.36,11
log,2,0.05311830836615518,-0.031419974662894944,False,-0.07472877447415667,-0.0173421993904824,False,50,8,0.16,11
ten_percent,2,0.05311830836615518,-0.031419974662894944,False,-0.07472877447415667,-0.0173421993904824,False,50,8,0.16,11
original,20,0.06826533241729128,,True,,,True,50,50,1.0,11
half,10,0.08052735619500798,0.033295284005664436,False,-0.020574452144223165,0.027956917416576094,False,50,45,0.9,10
sqrt,4,0.07375936135666951,0.03027134562296932,False,0.013964072747417632,0.027186920558380765,False,50,22,0.44,10
log,2,0.07598864215415184,0.06111463922404964,False,0.08573735162972186,0.0461112334163388,False,50,7,0.14,10
ten_percent,2,0.07598864215415184,0.06111463922404964,False,0.08573735162972186,0.0461112334163388,False,50,7,0.14,10
original,20,0.08246285734349293,,True,,,True,49,49,1.0,10
half,10,0.0793286889453195,0.03979831483532185,False,0.039328674832142224,0.037037037037037035,False,50,32,0.64,6
sqrt,4,0.06997070662191598,0.14741899609161646,False,0.05220140359859333,0.09714147386365131,False,50,23,0.46,6
log,2,0.06298055142589877,-0.0764053200055192,False,-0.01630069194028868,-0.07246050965424668,False,50,7,0.14,6
ten_percent,2,0.06298055142589877,-0.0764053200055192,False,-0.01630069194028868,-0.07246050965424668,False,50,7,0.14,6
original,20,0.08427883943857993,,True,,,True,49,49,1.0,6
half,10,0.07580437174580647,0.1662919586210886,False,0.1607646619316878,0.13605699809400368,False,50,45,0.9,3
sqrt,4,0.07031276367778791,0.13561635531056426,False,0.11110716309447827,0.08816512290342242,False,50,10,0.2,3
log,2,0.06821147581906752,-0.018909724414269087,False,-0.08682271134382287,-0.032206941725181605,False,50,8,0.16,3
ten_percent,2,0.06821147581906752,-0.018909724414269087,False,-0.08682271134382287,-0.032206941725181605,False,50,8,0.16,3
original,20,0.07763527343024694,,True,,,True,49,49,1.0,3
half,10,0.07694367295842963,-0.042149431552877134,False,-0.022701605572552293,-0.03541209539432972,False,50,45,0.9,15
sqrt,4,0.062382607211903016,0.016777281069348157,False,0.007421705344668337,0.023288900389583284,False,50,10,0.2,15
log,2,0.05958366567703423,0.05747929462921576,False,0.015429748995937673,0.04271128268279369,False,50,6,0.12,15
ten_percent,2,0.05958366567703423,0.05747929462921576,False,0.015429748995937673,0.04271128268279369,False,50,6,0.12,15
original,20,0.07741291410387884,,True,,,True,50,50,1.0,15
half,10,0.07698790457222376,0.27712411992115793,False,0.3763189964944006,0.21535208182644677,False,50,40,0.8,7
sqrt,4,0.0747380601225087,-0.23464301239314733,False,-0.27385197717996734,-0.1693234242949269,False,50,16,0.32,7
log,2,0.10285540278370854,-0.1239477101556162,False,-0.15465321021275766,-0.0850593589152232,False,50,8,0.16,7
ten_percent,2,0.10285540278370854,-0.1239477101556162,False,-0.15465321021275766,-0.0850593589152232,False,50,8,0.16,7
original,20,0.0828688030660265,,True,,,True,49,49,1.0,7
half,10,0.07804934446980512,-0.01506397633490025,False,-0.06314034159607602,-0.005280352316860264,False,50,19,0.38,20
sqrt,4,0.07166174580033935,0.031461485001086746,False,0.032252241923579214,0.01408093951162737,False,50,19,0.38,20
log,2,0.059739132530417856,0.03093881119179395,False,-0.010858174343714444,0.015690561353293598,False,50,8,0.16,20
