dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,50,0.081861367215628,0.1131561343193718,False,0.09276167037259413,0.09285240561035474,False,100,99,0.99,12
sqrt,10,0.06987292553113342,-0.0449482571596385,False,-0.006369500345947653,-0.034082754685937,False,100,66,0.66,12
log,4,0.05594035424914107,0.144230311806825,False,0.1403070657389394,0.09296313120853335,False,100,18,0.18,12
ten_percent,10,0.06987292553113342,-0.0449482571596385,False,-0.006369500345947653,-0.034082754685937,False,100,66,0.66,12
original,100,0.07432537640424502,,True,,,True,100,100,1.0,12
half,50,0.06630155067305664,,True,,,True,100,100,1.0,10
sqrt,10,0.057892090482516825,0.2446239800700901,False,0.21771485670570415,0.17699041831153753,False,100,55,0.55,10
log,4,0.057049647120420814,0.05177514184425672,False,0.09291400008725705,0.040183325994368635,False,100,33,0.33,10
ten_percent,10,0.057892090482516825,0.2446239800700901,False,0.21771485670570415,0.17699041831153753,False,100,55,0.55,10
original,100,0.07497085196127644,0.040039862913008484,False,0.000423706743970224,0.03285546660058706,False,100,99,0.99,10
half,50,0.0760170578404322,,True,,,True,100,100,1.0,5
sqrt,10,0.07442236045474604,0.23966647548677597,False,0.25644495800798744,0.18477090013563713,False,100,80,0.8,5
log,4,0.06087223087216815,0.14998740459756413,False,0.09481880351230824,0.10343734920672087,False,100,30,0.3,5
ten_percent,10,0.07442236045474604,0.23966647548677597,False,0.25644495800798744,0.18477090013563713,False,100,80,0.8,5
original,100,0.0760170578404322,,True,,,True,100,100,1.0,5
half,50,0.07016999511310786,,True,,,True,100,100,1.0,9
sqrt,10,0.0697000255013855,-0.09436797443025205,False,-0.20451432435652933,-0.07383294988511326,False,100,88,0.88,9
log,4,0.0737026244982123,0.05193794102973596,False,0.007238343280755419,0.035431783124918445,False,100,13,0.13,9
ten_percent,10,0.0697000255013855,-0.09436797443025205,False,-0.20451432435652933,-0.07383294988511326,False,100,88,0.88,9
original,100,0.0705091677706509,,True,,,True,99,99,1.0,9
half,50,0.08061717816873523,,True,,,True,100,100,1.0,1
sqrt,10,0.07797650633573505,0.26233957713862743,False,0.1663933545303027,0.20057426320960628,False,100,73,0.73,1
log,4,0.05216197932755244,0.328789262419855,False,0.319931039785686,0.24409233130621794,False,100,33,0.33,1
ten_percent,10,0.07797650633573505,0.26233957713862743,False,0.1663933545303027,0.20057426320960628,False,100,73,0.73,1
original,100,0.08061717816873523,,True,,,True,100,100,1.0,1
half,50,0.08024634221076392,,True,,,True,99,99,1.0,8
sqrt,10,0.07978879398816084,0.06745177517018247,False,0.008346734980543712,0.05312140809837957,False,100,83,0.83,8
log,4,0.07551454296756155,-0.05080788598968846,False,-0.0684965035346294,-0.03444098132033947,False,100,8,0.08,8
ten_percent,10,0.07978879398816084,0.06745177517018247,False,0.008346734980543712,0.05312140809837957,False,100,83,0.83,8
original,100,0.08030338156769327,,True,,,True,100,100,1.0,8
half,50,0.08063635622765275,,True,,,True,100,100,1.0,14
sqrt,10,0.08010625267496968,0.11045732513594589,False,0.01792763196450215,0.0878129399177295,False,100,83,0.83,14
log,4,0.05840860022151686,0.25032782307933915,False,0.288736053794377,0.17429726360949654,False,100,36,0.36,14
ten_percent,10,0.08010625267496968,0.11045732513594589,False,0.01792763196450215,0.0878129399177295,False,100,83,0.83,14
original,100,0.08063635622765275,,True,,,True,100,100,1.0,14
half,50,0.07330734290573511,,True,,,True,100,100,1.0,13
sqrt,10,0.0729389065301968,0.10135307573722316,False,0.058915622162270725,0.07977353205977754,False,100,88,0.88,13
log,4,0.06731464150468583,0.14441059983236382,False,0.12147357200976723,0.10088579717735104,False,100,33,0.33,13
ten_percent,10,0.0729389065301968,0.10135307573722316,False,0.058915622162270725,0.07977353205977754,False,100,88,0.88,13
original,100,0.08336733661093952,-0.15254227583746716,False,-0.12433759491946615,-0.12518409425625923,False,98,97,0.9897959183673469,13
half,50,0.10190483743178726,0.20330336501352497,False,0.24815527195379583,0.16682442029087713,False,100,96,0.96,11
sqrt,10,0.07136996955526136,0.02576952880827861,False,0.03786632550886676,0.02021957954492846,False,100,77,0.77,11
log,4,0.05679363393164609,0.12493040318187551,False,0.048868415807936404,0.0882364021904079,False,100,27,0.27,11
ten_percent,10,0.07136996955526136,0.02576952880827861,False,0.03786632550886676,0.02021957954492846,False,100,77,0.77,11
original,100,0.08254558482903068,-0.13056477036850592,False,-0.10989527364346326,-0.10713739108887084,False,100,99,0.99,11
half,50,0.07383525361339745,,True,,,True,100,100,1.0,6
sqrt,10,0.071492145300217,0.13785867618497571,False,0.06498249395463424,0.10863785534734824,False,100,59,0.59,6
log,4,0.06044575829310733,-0.024066396197200534,False,-0.007605526361605512,-0.014961876700030873,False,100,33,0.33,6
ten_percent,10,0.071492145300217,0.13785867618497571,False,0.06498249395463424,0.10863785534734824,False,100,59,0.59,6
original,100,0.07759892022846043,-0.040039862913008484,False,-0.035017171360212644,-0.03285546660058706,False,100,99,0.99,6
half,50,0.07682223444364626,,True,,,True,100,100,1.0,2
sqrt,10,0.07486189141607072,0.14424750143408516,False,0.13727931702256602,0.11247141121866458,False,100,77,0.77,2
log,4,0.06144876605306106,-0.18626159941419054,False,-0.22238807759626608,-0.12412585777184498,False,100,11,0.11,2
ten_percent,10,0.07486189141607072,0.14424750143408516,False,0.13727931702256602,0.11247141121866458,False,100,77,0.77,2
original,100,0.07748789297470678,,True,,,True,98,98,1.0,2
half,50,0.08358376941630224,,True,,,True,100,100,1.0,4
sqrt,10,0.0832073684901589,0.26221580618711854,False,0.021309333412089744,0.21051823749482687,False,100,86,0.86,4
log,4,0.06762569865488477,0.09745442534866436,False,0.06904154972558661,0.06287671362835995,False,100,39,0.39,4
ten_percent,10,0.0832073684901589,0.26221580618711854,False,0.021309333412089744,0.21051823749482687,False,100,86,0.86,4
original,100,0.08320791869901754,,True,,,True,99,99,1.0,4
half,50,0.0716991360534416,,True,,,True,100,100,1.0,3
sqrt,10,0.06985324982480087,0.024170102949633062,False,0.009577273385926469,0.0193686587652345,False,100,82,0.82,3
log,4,0.06996978271122327,-0.05408850578669241,False,-0.04592297100050632,-0.034209997499921256,False,100,13,0.13,3
ten_percent,10,0.06985324982480087,0.024170102949633062,False,0.009577273385926469,0.0193686587652345,False,100,82,0.82,3
original,100,0.078771458873881,0.14797340641764004,False,0.1396465993503605,0.12142237656738697,False,100,99,0.99,3
half,50,0.06901920558333831,,True,,,True,100,100,1.0,0
sqrt,10,0.06607279707068202,0.06973480674487212,False,0.03424772768136836,0.051470475699395515,False,100,65,0.65,0
log,4,0.060150960183194824,-0.07421477776658003,False,-0.04871077836584772,-0.04945045737507322,False,100,22,0.22,0
ten_percent,10,0.06607279707068202,0.06973480674487212,False,0.03424772768136836,0.051470475699395515,False,100,65,0.65,0
original,100,0.07723004807083188,0.07833886222110356,False,0.03830604915899675,0.0642824346533225,False,100,99,0.99,0
half,50,0.07113392212560221,,True,,,True,100,100,1.0,7
sqrt,10,0.06585602045650692,0.1435221608700757,False,0.18160400234474447,0.1052855355130504,False,100,69,0.69,7
log,4,0.06476406039330489,0.03642769245459032,False,0.01974662910939174,0.01990601264288683,False,100,18,0.18,7
ten_percent,10,0.06585602045650692,0.1435221608700757,False,0.18160400234474447,0.1052855355130504,False,100,69,0.69,7
original,100,0.07106712068612857,,True,,,True,99,99,1.0,7
half,50,0.07444228085753615,,True,,,True,100,100,1.0,16
sqrt,10,0.07176343690537064,0.12571555979840945,False,0.1380514478665145,0.09400536763771233,False,100,70,0.7,16
log,4,0.0587953048316031,0.02790033537270435,False,0.03890769675372914,0.02430949469092278,False,100,20,0.2,16
ten_percent,10,0.07176343690537064,0.12571555979840945,False,0.1380514478665145,0.09400536763771233,False,100,70,0.7,16
original,100,0.07444228085753615,,True,,,True,100,100,1.0,16
half,50,0.07786689675968819,,True,,,True,100,100,1.0,15
sqrt,10,0.07654711193819598,0.15370074610912693,False,0.07570124145137996,0.11413939647554577,False,100,76,0.76,15
log,4,0.061742224544417974,-0.03773262803697848,False,-0.10616381541226017,-0.025957596025900597,False,100,20,0.2,15
ten_percent,10,0.07654711193819598,0.15370074610912693,False,0.07570124145137996,0.11413939647554577,False,100,76,0.76,15
original,100,0.08604105200026069,0.0989743318610787,False,0.08805461211579747,0.08121932051642303,False,99,98,0.98989898989899,15
half,50,0.071827882230067,,True,,,True,100,100,1.0,18
sqrt,10,0.07076346153933985,0.21157711049980865,False,0.2114759511253676,0.16428408380254378,False,100,77,0.77,18
log,4,0.04943368729465597,0.23677761984758597,False,0.2957653295300443,0.16942571670787282,False,100,28,0.28,18
ten_percent,10,0.07076346153933985,0.21157711049980865,False,0.2114759511253676,0.16428408380254378,False,100,77,0.77,18
original,100,0.071827882230067,,True,,,True,100,100,1.0,18
half,50,0.087851544511368,-0.024744820237214107,False,-0.04480399823580028,-0.020304830129105757,False,100,98,0.98,19
sqrt,10,0.06942405836142172,0.22258927055464303,False,0.17710871787088744,0.17984012995567022,False,100,93,0.93,19
log,4,0.11938469370832586,-0.09185483074675667,False,0.02646408626650615,-0.06292369409483374,False,100,6,0.06,19
ten_percent,10,0.06942405836142172,0.22258927055464303,False,0.17710871787088744,0.17984012995567022,False,100,93,0.93,19
original,100,0.06998076624795037,,True,,,True,100,100,1.0,19
half,50,0.07800875346665101,,True,,,True,100,100,1.0,17
sqrt,10,0.07789636207250852,0.030714350017290216,False,0.08720424967851154,0.02488301869075815,False,100,86,0.86,17
log,4,0.05173427757939316,0.09819317522645041,False,0.05430672328953694,0.07137111604106607,False,100,9,0.09,17
ten_percent,10,0.07789636207250852,0.030714350017290216,False,0.08720424967851154,0.02488301869075815,False,100,86,0.86,17
original,100,0.07863146535524083,,True,,,True,99,99,1.0,17
half,50,0.07551338914258206,,True,,,True,100,100,1.0,20
sqrt,10,0.072720812513067,0.24385753734816137,False,0.3164809051272888,0.18733748769355885,False,100,76,0.76,20
log,4,0.05203031332759276,0.3441737458377176,False,0.41108794087837286,0.2286601301418884,False,100,27,0.27,20
ten_percent,10,0.072720812513067,0.24385753734816137,False,0.3164809051272888,0.18733748769355885,False,100,76,0.76,20
original,100,0.0760549963050162,,True,,,True,98,98,1.0,20
half,50,0.07584459234958536,,True,,,True,100,100,1.0,28
sqrt,10,0.07292906381870373,-0.0025235855277038854,False,-0.03152430804783863,-0.004025522207000433,False,100,66,0.66,28
log,4,0.052681479501189885,0.18976672915008969,False,0.25215684934566823,0.12738459593668852,False,100,28,0.28,28
ten_percent,10,0.07292906381870373,-0.0025235855277038854,False,-0.03152430804783863,-0.004025522207000433,False,100,66,0.66,28
original,100,0.07584459234958536,,True,,,True,100,100,1.0,28
half,50,0.07578843101079503,,True,,,True,100,100,1.0,21
sqrt,10,0.07174046271731539,-0.035719889896595435,False,-0.09130132783291732,-0.02387805573683297,False,100,65,0.65,21
log,4,0.06539168893283814,0.08541677676333037,False,0.05096273438798305,0.04915135177773022,False,100,23,0.23,21
ten_percent,10,0.07174046271731539,-0.035719889896595435,False,-0.09130132783291732,-0.02387805573683297,False,100,65,0.65,21
original,100,0.07578843101079503,,True,,,True,100,100,1.0,21
half,50,0.08407283121268957,,True,,,True,100,100,1.0,22
sqrt,10,0.08106985159060937,0.08235735347600574,False,0.03874702752718398,0.06724403927529275,False,100,63,0.63,22
log,4,0.07693450328711063,0.03831817187187073,False,0.03447707847661013,0.027526926262150992,False,100,14,0.14,22
ten_percent,10,0.08106985159060937,0.08235735347600574,False,0.03874702752718398,0.06724403927529275,False,100,63,0.63,22
original,100,0.0924214700573959,0.16895175413309568,False,0.19739522116776156,0.1388036304924205,False,99,97,0.9797979797979798,22
half,50,0.08473734786515824,,True,,,True,100,100,1.0,24
sqrt,10,0.08348145994992916,0.26258522782243493,False,0.20110665581326506,0.21178282497720188,False,100,73,0.73,24
log,4,0.055994716278328874,-0.06970713251319176,False,-0.07919584297059466,-0.04520606812489595,False,100,13,0.13,24
ten_percent,10,0.08348145994992916,0.26258522782243493,False,0.20110665581326506,0.21178282497720188,False,100,73,0.73,24
original,100,0.08473734786515824,,True,,,True,100,100,1.0,24
half,50,0.08678191958676065,-0.08878404385058404,False,-0.08366639771402684,-0.07285342594043218,False,100,99,0.99,26
sqrt,10,0.07097680924910386,0.06987140774457698,False,0.0497516746395148,0.05166626955900872,False,100,63,0.63,26
log,4,0.0580159364807292,0.1256819007075645,False,0.1142851440603061,0.09158980464895071,False,100,27,0.27,26
ten_percent,10,0.07097680924910386,0.06987140774457698,False,0.0497516746395148,0.05166626955900872,False,100,63,0.63,26
original,100,0.07742183834086798,,True,,,True,100,100,1.0,26
half,50,0.07892650123851723,,True,,,True,100,100,1.0,23
sqrt,10,0.07880878208107354,-0.007813906939710593,False,0.03119870785667921,-0.004134815719536346,False,100,94,0.94,23
log,4,0.06007158352857898,0.2375299974996149,False,0.2365834421174324,0.1699515718068039,False,100,32,0.32,23
ten_percent,10,0.07880878208107354,-0.007813906939710593,False,0.03119870785667921,-0.004134815719536346,False,100,94,0.94,23
original,100,0.07892650123851723,,True,,,True,100,100,1.0,23
half,50,0.07731485375548414,,True,,,True,100,100,1.0,25
sqrt,10,0.07601189337132627,0.14810235061650623,False,0.1376998398731631,0.11656411002350218,False,100,82,0.82,25
log,4,0.0580691721023526,0.14858062614872095,False,0.11238659954581737,0.09837622260457131,False,100,28,0.28,25
ten_percent,10,0.07601189337132627,0.14810235061650623,False,0.1376998398731631,0.11656411002350218,False,100,82,0.82,25
original,100,0.07731485375548414,,True,,,True,100,100,1.0,25
half,50,0.07246615425799063,,True,,,True,100,100,1.0,29
sqrt,10,0.051496594226458,0.08557375050587379,False,0.04156568380671106,0.06140918252206535,False,100,27,0.27,29
