dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,10,0.24370679225399688,0.11277192937896345,False,0.06170282958339678,0.0932294445082039,False,20,6,0.3,13
sqrt,4,0.21304571425469562,0.10000286972866773,False,0.013673093560645295,0.064888568452305,False,20,5,0.25,13
log,2,0.3380002320776037,0.13915006625267587,False,0.12497040781344884,0.07915594835766294,False,20,2,0.1,13
ten_percent,2,0.3380002320776037,0.13915006625267587,False,0.12497040781344884,0.07915594835766294,False,20,2,0.1,13
original,20,0.06623387716476625,,True,,,True,20,20,1.0,13
half,10,0.2882841607953811,0.314403933479019,False,0.24876716284408587,0.20580546572992364,False,20,2,0.1,8
sqrt,4,0.14446207915840018,0.5181966885940056,False,0.3001409202614681,0.4001461721225476,False,20,5,0.25,8
log,2,0.3213796946565462,0.26616541353383455,False,0.20072493938113714,0.17894736842105263,False,20,1,0.05,8
ten_percent,2,0.3213796946565462,0.26616541353383455,False,0.20072493938113714,0.17894736842105263,False,20,1,0.05,8
original,20,0.06976909783671405,,True,,,True,19,19,1.0,8
half,10,0.31386252486341737,-0.0307290728370231,False,-0.15520349133547726,-0.03906410577515448,False,20,7,0.35,15
sqrt,4,0.3419850903041751,0.04848623986844496,False,-0.15807373540319666,0.010814761408717502,False,20,5,0.25,15
log,2,0.42526798335356697,-0.14736842105263157,False,-0.32004390964139373,-0.11578947368421053,False,20,1,0.05,15
ten_percent,2,0.42526798335356697,-0.14736842105263157,False,-0.32004390964139373,-0.11578947368421053,False,20,1,0.05,15
original,20,0.08298719667538701,,True,,,True,20,20,1.0,15
half,10,0.20363309857747317,0.29056810657985765,False,0.5119702656955533,0.21393127492027908,False,20,4,0.2,17
sqrt,4,0.2852480134285361,0.4738623877793827,False,0.5323809926386514,0.33245498310218435,False,20,2,0.1,17
log,2,0.3370198854519987,0.5067669172932331,False,0.5395427662071152,0.3368421052631579,False,20,1,0.05,17
ten_percent,2,0.3370198854519987,0.5067669172932331,False,0.5395427662071152,0.3368421052631579,False,20,1,0.05,17
original,20,0.0859258293846441,,True,,,True,20,20,1.0,17
half,10,0.2623687039044361,-0.03313256769463375,False,-0.07343709690678783,-0.02652603880323044,False,20,3,0.15,16
sqrt,4,0.361206552493852,-0.12330827067669171,False,-0.19763768054832007,-0.06315789473684211,False,20,1,0.05,16
log,2,0.2219398120626376,0.08075529195855784,False,-0.0324871704672628,0.09626907371412557,False,20,4,0.2,16
ten_percent,2,0.2219398120626376,0.08075529195855784,False,-0.0324871704672628,0.09626907371412557,False,20,4,0.2,16
original,20,0.0748364829594615,,True,,,True,20,20,1.0,16
half,10,0.37110612635642704,0.40451127819548865,False,0.49623528184707544,0.28421052631578947,False,20,1,0.05,2
sqrt,4,0.2865388944878143,0.43940654880778246,False,0.4984974862132664,0.3244428422615251,False,20,5,0.25,2
log,2,0.4116006181193229,0.4631578947368421,False,0.5139422247762238,0.3157894736842105,False,20,1,0.05,2
ten_percent,2,0.4116006181193229,0.4631578947368421,False,0.5139422247762238,0.3157894736842105,False,20,1,0.05,2
