dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,10,0.0897540281043647,-0.13277258351013557,False,-0.052984703245370676,-0.10734080474895662,False,20,18,0.9,2
sqrt,4,0.0807283700305774,0.1459662252389046,False,0.2670748061696806,0.11726944291283467,False,20,12,0.6,2
log,2,0.061794665678142915,0.31325336729471903,False,0.27663574405976166,0.2175135181864896,False,20,3,0.15,2
ten_percent,2,0.061794665678142915,0.31325336729471903,False,0.27663574405976166,0.2175135181864896,False,20,3,0.15,2
original,20,0.09059308885401596,,True,,,True,20,20,1.0,2
half,10,0.07120417247446495,-0.04940531166532118,False,-0.23104201798786236,-0.04113063728303113,False,20,13,0.65,8
sqrt,4,0.06995006957594789,0.3096111694724268,False,0.34491275297258833,0.25519587290155415,False,20,14,0.7,8
log,2,0.09026464935403702,-0.18943531104297212,False,-0.21156298564085463,-0.10696563746013954,False,20,4,0.2,8
ten_percent,2,0.09026464935403702,-0.18943531104297212,False,-0.21156298564085463,-0.10696563746013954,False,20,4,0.2,8
original,20,0.07376027528920717,,True,,,True,20,20,1.0,8
half,10,0.08244627838143895,-0.24101110267600698,False,-0.18450350389082457,-0.20275485341469585,False,20,18,0.9,1
sqrt,4,0.07468673538635243,0.4296187163222136,False,0.0638708627559356,0.318439175937776,False,20,11,0.55,1
log,2,0.2609252727621878,0.36567596676057484,False,0.4629478149455911,0.2846099135046969,False,20,7,0.35,1
ten_percent,2,0.2609252727621878,0.36567596676057484,False,0.4629478149455911,0.2846099135046969,False,20,7,0.35,1
original,20,0.08281541297441687,,True,,,True,20,20,1.0,1
half,10,0.08298719667538701,,True,,,True,20,20,1.0,15
sqrt,4,0.07087824766152753,0.20367380265893667,False,0.1727943386766745,0.11726944291283467,False,20,12,0.6,15
log,2,0.06578212086710991,-0.1082000944041406,False,-0.21135102550559473,-0.08226127456606226,False,20,6,0.3,15
ten_percent,2,0.06578212086710991,-0.1082000944041406,False,-0.21135102550559473,-0.08226127456606226,False,20,6,0.3,15
original,20,0.08298719667538701,,True,,,True,20,20,1.0,15
half,10,0.08675751971835174,,True,,,True,20,20,1.0,3
sqrt,4,0.07323404163546812,0.18435745681259744,False,0.11312951708328832,0.13112201362143716,False,20,11,0.55,3
log,2,0.10157341653545722,0.0015364536418511548,False,-0.15450678854816682,0.016741759617923346,False,20,7,0.35,3
ten_percent,2,0.10157341653545722,0.0015364536418511548,False,-0.15450678854816682,0.016741759617923346,False,20,7,0.35,3
original,20,0.08675751971835174,,True,,,True,20,20,1.0,3
