dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,48,0.08718056684156492,,True,,,True,50,50,1.0,11
sqrt,10,0.08579859826105783,-0.015833302429276323,False,-0.0406093593910211,-0.015006449469682577,False,50,38,0.76,11
log,4,0.07190820523988718,0.22436470201773787,False,0.11020481289156442,0.1643989873053573,False,50,25,0.5,11
ten_percent,10,0.08579859826105783,-0.015833302429276323,False,-0.0406093593910211,-0.015006449469682577,False,50,38,0.76,11
original,100,0.08718056684156492,,True,,,True,50,50,1.0,11
half,48,0.06918825135862117,0.13364207910165288,False,0.10435504955331595,0.11020408163265306,False,50,49,0.98,2
sqrt,10,0.050675740901116005,0.01786780751222643,False,-0.03301970435786478,0.013292869368045569,False,50,37,0.74,2
log,4,0.048405067521943096,-0.1573336594496524,False,-0.21185307314854776,-0.13183061232061236,False,50,21,0.42,2
ten_percent,10,0.050675740901116005,0.01786780751222643,False,-0.03301970435786478,0.013292869368045569,False,50,37,0.74,2
original,100,0.05245375663557155,,True,,,True,50,50,1.0,2
half,48,0.07535495535831466,,True,,,True,50,50,1.0,6
sqrt,10,0.07529917809929243,0.14354149236844196,False,0.10430318193503846,0.11836734693877551,False,50,49,0.98,6
log,4,0.06203340999401465,-0.04609824866610695,False,-0.1323689266967038,-0.023376623376623377,False,50,17,0.34,6
ten_percent,10,0.07529917809929243,0.14354149236844196,False,0.10430318193503846,0.11836734693877551,False,50,49,0.98,6
original,100,0.07535495535831466,,True,,,True,50,50,1.0,6
half,48,0.0636416613200425,,True,,,True,50,50,1.0,5
sqrt,10,0.061469658356707875,-0.06815770943983696,False,-0.18233532423807278,-0.051948051948051945,False,50,39,0.78,5
log,4,0.0531640290981769,-0.06554064457840207,False,-0.07239287388354275,-0.04048270109592869,False,50,19,0.38,5
ten_percent,10,0.061469658356707875,-0.06815770943983696,False,-0.18233532423807278,-0.051948051948051945,False,50,39,0.78,5
original,100,0.0636416613200425,,True,,,True,50,50,1.0,5
half,48,0.08092537703700288,,True,,,True,50,50,1.0,3
sqrt,10,0.07927049798998329,0.07148042775744154,False,0.26475997431226694,0.04740454631399772,False,50,40,0.8,3
log,4,0.06745985696074076,0.27926903886407745,False,0.4054291195343746,0.2033748581781256,False,50,20,0.4,3
ten_percent,10,0.07927049798998329,0.07148042775744154,False,0.26475997431226694,0.04740454631399772,False,50,40,0.8,3
original,100,0.08092537703700288,,True,,,True,50,50,1.0,3
half,48,0.06868114231506768,,True,,,True,50,50,1.0,8
sqrt,10,0.06620719202730123,-0.2588030516666386,False,-0.1693100850902584,-0.20422681119997282,False,50,37,0.74,8
log,4,0.05407034538627709,0.1022064249052244,False,0.11656733911462652,0.08483813713348194,False,50,10,0.2,8
ten_percent,10,0.06620719202730123,-0.2588030516666386,False,-0.1693100850902584,-0.20422681119997282,False,50,37,0.74,8
original,100,0.06868114231506768,,True,,,True,50,50,1.0,8
half,48,0.07846423964912809,,True,,,True,50,50,1.0,4
sqrt,10,0.07680868408716765,0.0890315787736061,False,0.026210866708295748,0.06829877767625106,False,50,35,0.7,4
log,4,0.06410444491060927,-0.064058941988084,False,0.045133198258649095,-0.047523170851742375,False,50,19,0.38,4
ten_percent,10,0.07680868408716765,0.0890315787736061,False,0.026210866708295748,0.06829877767625106,False,50,35,0.7,4
original,100,0.0778709792173621,,True,,,True,49,49,1.0,4
half,48,0.06987256067631015,,True,,,True,50,50,1.0,10
sqrt,10,0.06704436853568163,-0.21559657635832793,False,-0.17470431305204448,-0.16555664576565846,False,50,37,0.74,10
log,4,0.05537799194207245,0.02685261273745964,False,0.038414326464053,0.018049705127885604,False,50,16,0.32,10
ten_percent,10,0.06704436853568163,-0.21559657635832793,False,-0.17470431305204448,-0.16555664576565846,False,50,37,0.74,10
original,100,0.06987256067631015,,True,,,True,50,50,1.0,10
half,48,0.08714637994986577,,True,,,True,50,50,1.0,13
sqrt,10,0.08691962280075562,-0.024146378901573933,False,0.014801528490951107,-0.019047619047619046,False,50,47,0.94,13
log,4,0.06576402525230193,0.2544582260271817,False,0.17361630790872049,0.17412150975560142,False,50,23,0.46,13
ten_percent,10,0.08691962280075562,-0.024146378901573933,False,0.014801528490951107,-0.019047619047619046,False,50,47,0.94,13
original,100,0.08815725969178448,,True,,,True,49,49,1.0,13
half,48,0.07291867302266844,,True,,,True,50,50,1.0,14
sqrt,10,0.07217149120258544,0.17329181897508442,False,0.18341005905675667,0.1351316081915735,False,50,44,0.88,14
log,4,0.06376775096140577,0.11891091356439001,False,-0.11565533051901697,0.06726051649010834,False,50,21,0.42,14
ten_percent,10,0.07217149120258544,0.17329181897508442,False,0.18341005905675667,0.1351316081915735,False,50,44,0.88,14
original,100,0.07291867302266844,,True,,,True,50,50,1.0,14
half,48,0.058931131991059156,,True,,,True,50,50,1.0,0
sqrt,10,0.05862134245180946,0.14301853456734717,False,0.12484638972603768,0.11464008944407256,False,50,43,0.86,0
log,4,0.09825837778068813,0.07204611158767295,False,0.07219006097733041,0.05482831579779389,False,50,4,0.08,0
ten_percent,10,0.05862134245180946,0.14301853456734717,False,0.12484638972603768,0.11464008944407256,False,50,43,0.86,0
original,100,0.058931131991059156,,True,,,True,50,50,1.0,0
half,48,0.060263386904947674,,True,,,True,50,50,1.0,9
sqrt,10,0.05934694029094358,0.12695108100313993,False,0.019217296660979644,0.10363997609999026,False,50,41,0.82,9
log,4,0.043130025417722484,0.054773605755424185,False,0.41368684916846565,0.04400293597383553,False,50,19,0.38,9
ten_percent,10,0.05934694029094358,0.12695108100313993,False,0.019217296660979644,0.10363997609999026,False,50,41,0.82,9
original,100,0.060263386904947674,,True,,,True,50,50,1.0,9
half,48,0.07072150685109728,,True,,,True,50,50,1.0,1
