dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,25,0.3418604578611922,0.0060984393757503004,False,0.0023050310768244764,0.012244897959183673,False,50,1,0.02,12
sqrt,7,0.2963119680922932,-0.03426650256741709,False,-0.01707630914990381,-0.01314193313316729,False,50,6,0.12,12
log,3,0.28400112957596224,-0.070124881945335,False,-0.029879055434403532,-0.03027832364952797,False,50,4,0.08,12
ten_percent,5,0.2707487825383897,-0.08264899428219953,False,-0.03137016707546723,-0.04250105359987486,False,50,3,0.06,12
original,50,0.0729130329956276,,True,,,True,50,50,1.0,12
half,25,0.26088007992441414,0.06740321643601782,False,0.06426313167355283,0.05455111029141862,False,50,12,0.24,2
sqrt,7,0.29711549459229447,0.0781449273136328,False,0.05505510516644547,0.04928224924937734,False,50,6,0.12,2
log,3,0.3885565057641059,-0.08597502649462306,False,-0.07821355695730185,-0.0728316433731889,False,50,4,0.08,2
ten_percent,5,0.2801365495155428,0.08359714188002788,False,0.08135530105679652,0.05489526520401773,False,50,10,0.2,2
original,50,0.07618374946260004,,True,,,True,50,50,1.0,2
half,25,0.3234872788418398,-0.10560438025947518,False,-0.1266915337768077,-0.0866367631074372,False,50,3,0.06,9
sqrt,7,0.30788280769014575,-0.1022833681775774,False,-0.12450496440451353,-0.06696611419850346,False,50,2,0.04,9
log,3,0.32007306799975815,-0.009414025247455932,False,-0.03649014922765189,-0.007364997644479775,False,50,4,0.08,9
ten_percent,5,0.3158803589941104,-0.041825734123319205,False,-0.10309284958646325,-0.031033077311501598,False,50,2,0.04,9
original,50,0.0722969401384748,,True,,,True,50,50,1.0,9
half,25,0.23232612282212345,0.13335390715793338,False,0.05167209808892873,0.08837767491204053,False,49,7,0.14285714285714285,8
sqrt,7,0.18519943074505746,0.22730162374810983,False,0.09345953846529036,0.161034708625908,False,50,8,0.16,8
log,3,0.23568958306815374,0.21397872704191778,False,0.08512676103939915,0.16006534613300824,False,50,2,0.04,8
ten_percent,5,0.20607193526434553,0.26550600335352875,False,0.16598153163647406,0.1758994509606072,False,50,8,0.16,8
original,50,0.07803878619366585,,True,,,True,50,50,1.0,8
half,25,0.19496577769626003,0.2893113442697098,False,0.28874140666849546,0.2004704044130352,False,50,11,0.22,10
sqrt,7,0.15910039968782555,0.3424137101460123,False,0.2912604056608467,0.24056448529564226,False,50,11,0.22,10
log,3,0.15020098409689944,0.3356142110547522,False,0.22759469203914778,0.2576922855227795,False,50,9,0.18,10
ten_percent,5,0.25394840451508144,0.24423631828221132,False,0.29261106557055316,0.16612161353659938,False,50,4,0.08,10
original,50,0.06505552151456231,,True,,,True,49,49,1.0,10
half,25,0.22343824324678505,0.4101369678210786,False,0.19198906475401945,0.29262540838011597,False,50,5,0.1,11
sqrt,7,0.23094278857229755,0.3573865413635942,False,0.17676455472635988,0.2500020995964576,False,50,5,0.1,11
log,3,0.224053022456098,0.38952768871284515,False,0.20395859910794892,0.27996106002777127,False,50,7,0.14,11
ten_percent,5,0.2584479237645851,0.3915416499533619,False,0.22577153969278607,0.26940962922992945,False,50,6,0.12,11
original,50,0.07664021693400627,0.09404442603449646,False,0.05517385603650097,0.07755102040816327,False,50,49,0.98,11
half,25,0.2629940068765511,0.24835162669096816,False,0.2469310767338132,0.181461770191282,False,50,9,0.18,14
sqrt,7,0.30365731885391556,0.18983816060286737,False,0.21845327622236943,0.14221506396881203,False,50,3,0.06,14
log,3,0.3848734675920556,0.1361671509007019,False,0.1303054921564911,0.0908349709485839,False,50,4,0.08,14
ten_percent,5,0.2854602472077124,0.23190009882538906,False,0.2259485561538182,0.16639484005928162,False,50,5,0.1,14
original,50,0.07784791914644373,,True,,,True,50,50,1.0,14
half,25,0.28571456523769045,0.064040362903303,False,0.023976707646793296,0.04016427173844729,False,50,5,0.1,13
sqrt,7,0.33888168164069604,0.03587120940312221,False,0.020643196867237854,0.026133117736001348,False,50,2,0.04,13
log,3,0.2712661965396773,0.08982341276087313,False,0.08260013682257213,0.060781440740898716,False,50,6,0.12,13
ten_percent,5,0.27020009156381525,0.09907155869969478,False,0.06526435090065325,0.0768011687292792,False,50,8,0.16,13
original,50,0.07684883593355861,,True,,,True,50,50,1.0,13
half,25,0.2591578930525142,0.255420298280063,False,0.2576134128946826,0.1861984638690096,False,50,2,0.04,7
sqrt,7,0.2807239829102476,0.2397829334404545,False,0.2535910619448023,0.16836955849181195,False,50,3,0.06,7
log,3,0.2502890686738894,0.27711171641476423,False,0.2748801094653658,0.19712899699750935,False,50,6,0.12,7
ten_percent,5,0.2591280809962446,0.2717751935063655,False,0.26513620351736045,0.19262456854153293,False,50,5,0.1,7
original,50,0.08173366737049793,,True,,,True,50,50,1.0,7
half,25,0.27081344211621583,0.2997525448053132,False,0.20335875622220417,0.199914947901746,False,49,2,0.04081632653061224,1
sqrt,7,0.29709216303241887,0.2556062424969988,False,0.1757964175866173,0.1689795918367347,False,50,1,0.02,1
log,3,0.24447882550741773,0.31541522629727675,False,0.21513609965304303,0.21684189669726028,False,50,6,0.12,1
ten_percent,5,0.267202890805716,0.2527935533024038,False,0.1684884293323628,0.16755964744788293,False,50,6,0.12,1
original,50,0.07888474911299692,,True,,,True,50,50,1.0,1
half,25,0.25391739290625176,0.4174163517733871,False,0.3252258219388203,0.2898420386169867,False,50,7,0.14,6
sqrt,7,0.26327050043619227,0.2795581138144406,False,0.2438057995641482,0.19140488088669472,False,50,9,0.18,6
log,3,0.3054713556678674,0.2978734683209693,False,0.2495496185335102,0.21191367177232254,False,50,6,0.12,6
ten_percent,5,0.2909393090625601,0.3774735939783479,False,0.29271628198204863,0.25613825141357444,False,50,4,0.08,6
original,50,0.08618216074133957,,True,,,True,50,50,1.0,6
half,25,0.24901389724715656,-0.05305409099823311,False,0.052997384920882434,-0.033411734068839204,False,50,11,0.22,3
sqrt,7,0.2612393879516263,-0.06117922320977819,False,0.06552118476587421,-0.0582222509739582,False,50,10,0.2,3
log,3,0.28101725846748304,-0.03146013539328386,False,0.05609205294357883,-0.020458326790221602,False,50,4,0.08,3
ten_percent,5,0.21895565621563048,0.03452940010421256,False,0.10379463130634559,0.04060103533960191,False,50,9,0.18,3
original,50,0.08947975802067322,0.07424559950091826,False,0.03414528919848046,0.061224489795918366,False,50,49,0.98,3
half,25,0.1717090299028763,0.3093237404628728,False,0.17523972162525006,0.20256006107891686,False,50,7,0.14,5
sqrt,7,0.19113948001562306,0.1923132578409017,False,0.12045460631865763,0.1303289633961861,False,50,5,0.1,5
log,3,0.15062454698918182,0.34932954678420197,False,0.21286166679352386,0.25525861355473267,False,50,7,0.14,5
ten_percent,5,0.2041943361486427,0.18439001492338433,False,0.11444177651871794,0.12847829224259166,False,50,4,0.08,5
original,50,0.08660054878757134,,True,,,True,50,50,1.0,5
half,25,0.29745897548651423,0.151765571201451,False,0.19893560384741743,0.1352470374866082,False,50,5,0.1,4
sqrt,7,0.2780265970379313,0.1077560239977146,False,0.1473389136202277,0.09057563706780836,False,50,7,0.14,4
log,3,0.3611421558528366,0.141526197646509,False,0.2027640906178071,0.11932988126118711,False,50,3,0.06,4
ten_percent,5,0.31571948201113864,0.11889841296135288,False,0.1890471746982186,0.10126583122700522,False,50,2,0.04,4
original,50,0.10674727428220265,-0.19095702614550147,False,-0.16665061533651282,-0.15746719775034718,False,50,48,0.96,4
half,25,0.28120506491058217,0.3107459961073584,False,0.2800490587321031,0.20689672045722957,False,49,3,0.061224489795918366,0
sqrt,7,0.22681510987817483,0.24818114815461007,False,0.24975488155363532,0.17207043045452192,False,50,11,0.22,0
log,3,0.2993167391650708,0.3155898101704407,False,0.28712083990271925,0.2204981808975114,False,50,2,0.04,0
ten_percent,5,0.29643013333833895,0.2569754610133932,False,0.24818055545640286,0.1749081821225619,False,50,3,0.06,0
original,50,0.11985790744822948,-0.16239866021657975,False,-0.11922903256012973,-0.13140945871539997,False,50,47,0.94,0
half,25,0.24371047561068418,0.18737544724361832,False,0.09492109753308914,0.10779911066100556,False,50,2,0.04,18
sqrt,7,0.18699127226708442,0.24592844538785305,False,0.08377671743053726,0.16147676596885951,False,50,5,0.1,18
log,3,0.32493674927412014,0.15212850252890384,False,0.14458551030314734,0.08983259221750463,False,50,2,0.04,18
ten_percent,5,0.2460464748864643,0.15710686801246349,False,0.09636738694607354,0.08706530700723329,False,50,6,0.12,18
original,50,0.09326644942002049,-0.024748533166972755,False,-0.04125775361403355,-0.02040816326530612,False,50,49,0.98,18
half,25,0.21929727724178286,0.17735196739347056,False,0.17201396312235026,0.12259919307656209,False,50,3,0.06,15
sqrt,7,0.31698836157216875,0.08524228056415117,False,0.1017437166326195,0.05721295676906231,False,50,3,0.06,15
log,3,0.4172022027067823,0.025450791142777474,False,0.046755873299887736,0.017966518443500928,False,50,2,0.04,15
ten_percent,5,0.3086783700335088,0.10461095402530113,False,0.11751703911894308,0.07937830794605981,False,50,4,0.08,15
original,50,0.07391965570488754,0.24253562503633297,False,0.3627097678621741,0.19999999999999998,False,50,49,0.98,15
half,25,0.21246532847111108,0.508741609291088,False,0.44305005816682885,0.36252155072272674,False,50,4,0.08,17
