dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,48,0.06760949475469903,,True,,,True,50,50,1.0,0
sqrt,14,0.06738628106598851,0.13451553477144693,False,0.2660313939189252,0.11193062144554466,False,50,46,0.92,0
log,5,0.051638678449491285,0.23214616485928713,False,0.2909827472055326,0.16220959698109627,False,50,15,0.3,0
ten_percent,20,0.06612479124551436,0.2211309523809524,False,0.2691823019819819,0.18250063146995305,False,49,47,0.9591836734693877,0
original,200,0.06760949475469903,,True,,,True,50,50,1.0,0
half,48,0.07213138259437234,,True,,,True,50,50,1.0,3
sqrt,14,0.07213138259437234,,True,,,True,50,50,1.0,3
log,5,0.06210177549997738,0.0940608779139216,False,0.047076182635415874,0.07084774403624745,False,50,21,0.42,3
ten_percent,20,0.07213138259437234,,True,,,True,50,50,1.0,3
original,200,0.07213138259437234,,True,,,True,50,50,1.0,3
half,48,0.08088541838811683,,True,,,True,50,50,1.0,2
sqrt,14,0.07881218396765717,0.2710637405948682,False,0.27540737559040196,0.21265206687787486,False,50,42,0.84,2
log,5,0.06515807758727223,0.23247488799778876,False,0.11744768956258392,0.17191436958217363,False,50,25,0.5,2
ten_percent,20,0.08088541838811683,,True,,,True,50,50,1.0,2
original,200,0.08088541838811683,,True,,,True,50,50,1.0,2
half,48,0.0679529350068881,,True,,,True,50,50,1.0,13
sqrt,14,0.06784650730439842,-0.04454735970055096,False,-0.06470226221088149,-0.03673469387755102,False,50,49,0.98,13
log,5,0.05630999672215438,0.22273992206253612,False,0.16672960368125134,0.15805787053113138,False,50,28,0.56,13
ten_percent,20,0.0679529350068881,,True,,,True,50,50,1.0,13
original,200,0.0679529350068881,,True,,,True,50,50,1.0,13
half,48,0.07129533976106388,,True,,,True,50,50,1.0,10
sqrt,14,0.07071251995862032,-0.09268647528913604,False,-0.10415498845435096,-0.06956655929999345,False,50,41,0.82,10
log,5,0.0594405607787386,0.28856979149931494,False,0.22579178640075434,0.21613045965488148,False,50,21,0.42,10
ten_percent,20,0.07129533976106388,,True,,,True,50,50,1.0,10
original,200,0.07129533976106388,,True,,,True,50,50,1.0,10
half,48,0.10095627151279574,,True,,,True,50,50,1.0,4
sqrt,14,0.10095627151279574,,True,,,True,50,50,1.0,4
log,5,0.09217849184024128,0.13646024930843428,False,0.1705265728787897,0.10930422275276513,False,50,33,0.66,4
ten_percent,20,0.10095627151279574,,True,,,True,50,50,1.0,4
original,200,0.10095627151279574,,True,,,True,50,50,1.0,4
half,48,0.07403328733549439,,True,,,True,50,50,1.0,9
sqrt,14,0.07230321680895364,-0.1900323634891722,False,-0.10594443292967078,-0.15475010129998543,False,50,41,0.82,9
log,5,0.0602755613161649,-0.22915466558985845,False,-0.1900059946689298,-0.16284828125016396,False,50,4,0.08,9
ten_percent,20,0.07403328733549439,,True,,,True,50,50,1.0,9
original,200,0.07403328733549439,,True,,,True,50,50,1.0,9
half,48,0.06608445595971509,,True,,,True,50,50,1.0,7
sqrt,14,0.06608445595971509,,True,,,True,50,50,1.0,7
log,5,0.05240108001785273,0.26337276613163124,False,0.21640830142242834,0.19755064540476377,False,50,24,0.48,7
ten_percent,20,0.06608445595971509,,True,,,True,50,50,1.0,7
original,200,0.06608445595971509,,True,,,True,50,50,1.0,7
half,48,0.06940751953924473,,True,,,True,50,50,1.0,6
sqrt,14,0.06940751953924473,,True,,,True,50,50,1.0,6
log,5,0.058425539352403286,0.12874526191574362,False,0.010616559346669415,0.09599027770852553,False,50,18,0.36,6
ten_percent,20,0.06940751953924473,,True,,,True,50,50,1.0,6
original,200,0.06940751953924473,,True,,,True,50,50,1.0,6
half,48,0.08517286287484283,,True,,,True,50,50,1.0,1
sqrt,14,0.08325994844597982,0.014695071488223427,False,0.014464985741013858,0.01561698269999853,False,50,41,0.82,1
log,5,0.07156221129629028,0.06593399382955084,False,-0.0232696800424024,0.05142857142857143,False,50,26,0.52,1
ten_percent,20,0.08507721366431722,0.030678732614077026,False,-0.0237424165283357,0.023809523809523808,False,50,47,0.94,1
original,200,0.08517286287484283,,True,,,True,50,50,1.0,1
half,48,0.06845494382187345,,True,,,True,50,50,1.0,8
sqrt,14,0.06845494382187345,,True,,,True,50,50,1.0,8
log,5,0.05556814169458022,0.2676681670453898,False,0.18999084088849977,0.19135571159337744,False,50,27,0.54,8
ten_percent,20,0.06845494382187345,,True,,,True,50,50,1.0,8
original,200,0.06886435141887648,-0.1865117742382477,False,-0.16345774094821275,-0.15404681886205487,False,43,42,0.9767441860465116,8
half,48,0.08030025098664013,,True,,,True,50,50,1.0,15
sqrt,14,0.080274361631543,0.14732790605163223,False,0.008593152870435059,0.11904761904761905,False,50,47,0.94,15
log,5,0.05920192651009847,0.07552907619063648,False,0.0009970818625797365,0.061025193527613236,False,50,16,0.32,15
ten_percent,20,0.08030025098664013,,True,,,True,50,50,1.0,15
original,200,0.08030025098664013,,True,,,True,50,50,1.0,15
half,48,0.06831125963210734,,True,,,True,50,50,1.0,14
sqrt,14,0.06810474445808203,0.08200436892660132,False,0.0648557319835614,0.06666666666666667,False,50,47,0.94,14
log,5,0.06100165400983427,-0.04490220588941656,False,-0.06588302990974698,-0.03693956091305807,False,50,29,0.58,14
ten_percent,20,0.06831125963210734,,True,,,True,50,50,1.0,14
original,200,0.0685087737974996,,True,,,True,49,49,1.0,14
half,48,0.07563410577500021,,True,,,True,50,50,1.0,5
sqrt,14,0.07563410577500021,,True,,,True,50,50,1.0,5
log,5,0.06464682957792652,0.23344660284333324,False,0.21024406629755737,0.17687549093125526,False,50,30,0.6,5
ten_percent,20,0.07563410577500021,,True,,,True,50,50,1.0,5
original,200,0.07653053774289961,,True,,,True,47,47,1.0,5
half,48,0.0777538333070798,,True,,,True,50,50,1.0,11
sqrt,14,0.07773298250178301,-0.04454735970055096,False,-0.0530650959747791,-0.03673469387755102,False,50,49,0.98,11
log,5,0.06629649377869813,0.35293279715756204,False,0.29758188510946526,0.26093960671824196,False,50,27,0.54,11
ten_percent,20,0.0777538333070798,,True,,,True,50,50,1.0,11
original,200,0.0777538333070798,,True,,,True,50,50,1.0,11
half,48,0.08135106569392063,,True,,,True,50,50,1.0,12
sqrt,14,0.08103903051918677,0.0964688664328582,False,0.011894491529895765,0.07619047619047618,False,50,47,0.94,12
log,5,0.06732079368862308,-0.01873597099099948,False,-0.05266381803706368,-0.013912017282025617,False,50,24,0.48,12
ten_percent,20,0.08122581995810829,0.06505328718175694,False,0.06315655882455563,0.05511879182153932,False,50,48,0.96,12
original,200,0.08135106569392063,,True,,,True,50,50,1.0,12
half,48,0.07935756227983108,,True,,,True,50,50,1.0,26
sqrt,14,0.0791418289349968,-0.019013815270321505,False,-0.030214031274626105,-0.014285714285714285,False,50,47,0.94,26
log,5,0.07280871933369075,0.11565650133620418,False,0.016201615112911676,0.07924832500331792,False,50,27,0.54,26
ten_percent,20,0.07935756227983108,,True,,,True,50,50,1.0,26
original,200,0.07935756227983108,,True,,,True,50,50,1.0,26
half,48,0.07665914074607166,,True,,,True,50,50,1.0,16
sqrt,14,0.07659600394401467,0.14707699710658093,False,0.022122695247935698,0.11894055077279539,False,50,48,0.96,16
log,5,0.06819749850031542,0.34593178890884974,False,0.24177688744327094,0.2511015456475515,False,50,23,0.46,16
ten_percent,20,0.07665914074607166,,True,,,True,50,50,1.0,16
original,200,0.07665914074607166,,True,,,True,50,50,1.0,16
half,48,0.07074387244144117,,True,,,True,50,50,1.0,17
sqrt,14,0.07020932029687382,-0.12216663915463435,False,-0.152906268523269,-0.10190230172806451,False,50,43,0.86,17
log,5,0.06305930233175924,0.034080571830199885,False,0.017415002919932535,0.02857142857142857,False,50,26,0.52,17
ten_percent,20,0.07074387244144117,,True,,,True,50,50,1.0,17
original,200,0.07074387244144117,,True,,,True,50,50,1.0,17
half,48,0.07612266923593204,,True,,,True,50,50,1.0,21
sqrt,14,0.07611182069215422,-0.12374266583486376,False,-0.140648455656071,-0.10204081632653061,False,50,49,0.98,21
log,5,0.06344068541049575,0.3036185053734916,False,0.27861499229470654,0.22339555539438669,False,50,18,0.36,21
ten_percent,20,0.07612266923593204,,True,,,True,50,50,1.0,21
original,200,0.07612266923593204,,True,,,True,50,50,1.0,21
half,48,0.09002500187557866,,True,,,True,50,50,1.0,22
sqrt,14,0.0899851920510862,0.13509445681513702,False,0.023475942938219134,0.11460528795994207,False,50,44,0.88,22
log,5,0.07613138136416989,0.09155964586286279,False,0.13447691864834083,0.07012987012987014,False,50,17,0.34,22
ten_percent,20,0.09002500187557866,,True,,,True,50,50,1.0,22
original,200,0.09002500187557866,,True,,,True,50,50,1.0,22
half,48,0.08123200462075623,,True,,,True,50,50,1.0,24
sqrt,14,0.08116673282893747,-0.1764923965278971,False,-0.11463206894102514,-0.14214846311870666,False,50,48,0.96,24
log,5,0.07216940350458159,0.1667254722209931,False,0.03406476076595192,0.11809523809523809,False,50,26,0.52,24
ten_percent,20,0.08117822196729396,0.2227367985027548,False,0.22592377418305565,0.1836734693877551,False,50,49,0.98,24
original,200,0.08123200462075623,,True,,,True,50,50,1.0,24
half,48,0.08643366365725048,,True,,,True,50,50,1.0,23
sqrt,14,0.08623608441238764,0.08783682759847909,False,-0.08005463694593201,0.07619047619047618,False,50,47,0.94,23
log,5,0.07879753422787342,0.07756006972061358,False,0.05495177959741918,0.05542594429152046,False,50,25,0.5,23
ten_percent,20,0.08642855627047295,0.23263621176954388,False,0.2634358754359464,0.19183673469387755,False,50,49,0.98,23
original,200,0.08643366365725048,,True,,,True,50,50,1.0,23
half,48,0.06934074827509477,,True,,,True,50,50,1.0,25
sqrt,14,0.06897447230242343,0.18824286608188673,False,0.33802278614162906,0.15096735404951092,False,50,45,0.9,25
log,5,0.056715490978779586,0.2158376449763937,False,0.08859095435338561,0.14485805545104763,False,50,18,0.36,25
ten_percent,20,0.0693325443602996,0.2128373852359657,False,0.25685468890172775,0.17551020408163268,False,50,49,0.98,25
original,200,0.06934074827509477,,True,,,True,50,50,1.0,25
half,48,0.08700993188712919,,True,,,True,50,50,1.0,20
sqrt,14,0.08641893794966662,-0.03776686033267384,False,-0.13966306406833698,-0.03294609486840315,False,50,42,0.84,20
log,5,0.07443752689364234,0.22301250529344316,False,0.18984078103436253,0.1767108724759805,False,50,29,0.58,20
ten_percent,20,0.08700993188712919,,True,,,True,50,50,1.0,20
original,200,0.08700993188712919,,True,,,True,50,50,1.0,20
half,48,0.07728331688333873,,True,,,True,50,50,1.0,18
sqrt,14,0.0772476397966835,0.10394383930128556,False,0.07293558746635014,0.08571428571428572,False,50,49,0.98,18
log,5,0.07110680640961402,-0.02068610727823115,False,-0.18427036481962533,-0.02724326075345921,False,50,25,0.5,18
ten_percent,20,0.07728331688333873,,True,,,True,50,50,1.0,18
original,200,0.07728331688333873,,True,,,True,50,50,1.0,18
half,48,0.07235737660819277,,True,,,True,50,50,1.0,27
