dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,25,0.2341528008147131,0.29253009126423385,False,0.2819433865710252,0.20233595008101843,False,100,10,0.1,7
sqrt,7,0.34080430506233633,0.1676331221037935,False,0.18248403407088928,0.11273392192850207,False,100,9,0.09,7
log,3,0.22324056297039732,0.33567443200043445,False,0.30960283004007755,0.2372278572955889,False,100,9,0.09,7
ten_percent,5,0.23424272035241156,0.2982051937217022,False,0.27700564532602484,0.2051919586180649,False,100,9,0.09,7
original,50,0.07678189944527722,-0.012562305068967885,False,-0.027727815522004456,-0.010309278350515464,False,98,97,0.9897959183673469,7
half,25,0.26928033993319983,0.066557838440218,False,0.03158706849856337,0.04474147167061815,False,100,7,0.07,1
sqrt,7,0.26394232788349004,0.058944083862187635,False,0.027346563312684865,0.03864445521579822,False,100,6,0.06,1
log,3,0.43561694995796024,-0.024848559401730204,False,0.0074027139709003705,-0.025659157621582787,False,100,2,0.02,1
ten_percent,5,0.252547811016829,0.0840494480630033,False,0.04734073060562373,0.07077860038718037,False,100,5,0.05,1
original,50,0.09584643723882112,-0.1913364921633209,False,-0.1761415259505479,-0.15702063797157567,False,98,96,0.9795918367346939,1
half,25,0.278384647072573,0.2300869299286164,False,0.12541664476586598,0.16012343491867956,False,100,10,0.1,12
sqrt,7,0.25358940367218546,0.22383874941870377,False,0.14106552762860725,0.16560420649257357,False,100,15,0.15,12
log,3,0.3409615169918193,0.12747213248999464,False,0.0934247427290922,0.0839657011233312,False,100,6,0.06,12
ten_percent,5,0.30825601882754805,0.24541431128693758,False,0.14779841950429404,0.16691976729336927,False,100,6,0.06,12
original,50,0.09299890159700253,0.07907084197637822,False,0.04865068814226507,0.06477502756312957,False,99,97,0.9797979797979798,12
half,25,0.2810185143419155,0.12196468825808023,False,0.15371353714336713,0.08847069285095081,False,100,7,0.07,0
sqrt,7,0.2985267364563315,0.11759410744039572,False,0.14554969179328545,0.08194243121674491,False,100,6,0.06,0
