dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,100,0.2989101746782556,0.18526549688015956,False,0.14576740759154244,0.13267508058201447,False,191,9,0.04712041884816754,5
sqrt,14,0.29119246679208594,0.13614203007995906,False,0.09338680370188573,0.10129769768540735,False,200,9,0.045,5
log,5,0.3709925671080036,0.07638056553984945,False,0.0713381061559126,0.05280097858835426,False,200,8,0.04,5
ten_percent,20,0.28744032227851973,0.1438465694055132,False,0.09139842021802624,0.1101499294593059,False,200,9,0.045,5
original,200,0.11105773443570206,0.019640089366950893,False,0.0234349994040114,0.01594843039678001,False,190,179,0.9421052631578948,5
half,100,0.3030955091387378,0.07657581302795018,False,0.02891362620555807,0.06304440737818232,False,197,9,0.04568527918781726,14
sqrt,14,0.25966655838687475,0.12725980593927025,False,0.06112372379312821,0.09815123883197309,False,200,10,0.05,14
log,5,0.3053266859660069,0.10591804514454269,False,0.06418807806555873,0.0793084393595403,False,200,4,0.02,14
ten_percent,20,0.27105055626277663,0.11904097591114167,False,0.06753736583296802,0.09256141464289193,False,200,7,0.035,14
original,200,0.09884037555161812,0.01997827030925321,False,0.027347857457462002,0.015632266194158997,False,191,182,0.9528795811518325,14
half,100,0.3085632270592353,0.14630494219087234,False,0.11626677672243288,0.10313052039506422,False,198,11,0.05555555555555555,2
sqrt,14,0.27286974857887414,0.1304135198972502,False,0.06321244055304473,0.09445222277998802,False,200,11,0.055,2
log,5,0.31407375914395863,0.0948246151966222,False,0.04852794257457574,0.0670101844786887,False,200,6,0.03,2
ten_percent,20,0.26798325279273294,0.1421732841119275,False,0.07005230019107762,0.10129585746196904,False,200,11,0.055,2
original,200,0.09961889874120462,-0.10736854404989357,False,-0.12195030129206552,-0.08724985782786418,False,191,182,0.9528795811518325,2
half,100,0.27976605423354445,0.2541860937660516,False,0.2339326186176636,0.18013748722176529,False,196,20,0.10204081632653061,7
sqrt,14,0.25932385936854907,0.2118151564467412,False,0.18075878623115915,0.15218237089711417,False,199,16,0.08040201005025126,7
log,5,0.27353277892978417,0.24340681246818824,False,0.2258142958487466,0.17179429929021897,False,200,13,0.065,7
ten_percent,20,0.30938311952662967,0.24576331569705437,False,0.23567459533067625,0.1758053997970038,False,200,4,0.02,7
original,200,0.09261688027751276,-0.023672566033988766,False,-0.059943598431147375,-0.01931690934435522,False,193,188,0.9740932642487047,7
half,100,0.299037531523739,0.07061955110895662,False,0.04433686466230793,0.06094595612008672,False,196,11,0.05612244897959184,1
sqrt,14,0.27989228718477493,0.0639033017216751,False,0.04014028980037958,0.05005662872261057,False,200,10,0.05,1
log,5,0.2825582090992181,0.06412644983083275,False,0.03156573709206251,0.05414918173296828,False,200,7,0.035,1
ten_percent,20,0.27276211526442495,0.08206175373784971,False,0.0513300487009088,0.07210124167162765,False,200,13,0.065,1
original,200,0.12449729342403927,-0.006337828576885301,False,-0.03476325399642046,-0.005061849527703148,False,195,183,0.9384615384615385,1
half,100,0.2392947932216789,0.3162445817303542,False,0.20071101098182748,0.2202158595776255,False,198,19,0.09595959595959595,3
sqrt,14,0.20772578289278634,0.3850078147091913,False,0.24308639879583474,0.2686504220555405,False,200,16,0.08,3
log,5,0.2206827453835161,0.35191413434574215,False,0.20913299435420443,0.24836545738358562,False,200,9,0.045,3
ten_percent,20,0.22757434324467035,0.35304195321154536,False,0.2272073519466872,0.2532648040765475,False,200,11,0.055,3
original,200,0.11325805812422399,-0.018391118804792807,False,-0.03372116893032506,-0.015048592459878938,False,188,178,0.9468085106382979,3
half,100,0.3413227733490455,0.07467663727688727,False,0.0030717498021825044,0.04966013289415935,False,198,7,0.03535353535353535,4
sqrt,14,0.28228038126622,0.13170769155279977,False,0.030172354595828062,0.0925264773250274,False,199,15,0.07537688442211055,4
log,5,0.28891919550519696,0.12626680022439085,False,0.04047032886751507,0.09288073961276015,False,200,17,0.085,4
ten_percent,20,0.3055051490092483,0.09954262420765611,False,0.016298005649839287,0.07070302466212008,False,200,8,0.04,4
original,200,0.09875730615911896,0.10656660682104636,False,0.08165824996590294,0.08591101498453177,False,189,178,0.9417989417989417,4
half,100,0.2888570516686482,0.17554936659878398,False,0.09714841995958354,0.1269044666436305,False,198,13,0.06565656565656566,0
sqrt,14,0.24758533253293213,0.24796297445139923,False,0.1507144045436482,0.18090237949113153,False,200,23,0.115,0
log,5,0.25095243013274265,0.2353086535395957,False,0.14012650433085452,0.1713635480555276,False,200,18,0.09,0
ten_percent,20,0.2617799700866011,0.21951695403345414,False,0.13427980741026002,0.15719279085113236,False,200,13,0.065,0
original,200,0.11511781664233678,0.01537636983659706,False,-0.04969723313132406,0.011817500338655081,False,194,178,0.9175257731958762,0
half,100,0.27334014691321323,0.2605163640304669,False,0.2563832695165276,0.18268275743049084,False,194,18,0.09278350515463918,6
sqrt,14,0.3538057190277631,0.19152922470518988,False,0.20610981410372303,0.13410405047787805,False,200,5,0.025,6
log,5,0.2582213365727697,0.2432605306283808,False,0.2066516924154925,0.17799620566397578,False,200,17,0.085,6
ten_percent,20,0.24041210535191826,0.23075989233165592,False,0.19019903185222337,0.1662978714673632,False,200,17,0.085,6
original,200,0.1004080567827178,0.1613671207898253,False,0.15368086106250908,0.13115973134594508,False,184,174,0.9456521739130435,6
half,100,0.2841647858462615,0.1639505361183479,False,0.14751824961113139,0.1168172204258517,False,197,11,0.05583756345177665,8
sqrt,14,0.25413039008408006,0.1521905801967573,False,0.1387618340184785,0.11137426436986059,False,200,13,0.065,8
log,5,0.26485708339476427,0.14045080685837655,False,0.14077877231411556,0.09741036540925047,False,200,18,0.09,8
ten_percent,20,0.27012470511613534,0.14120726765170788,False,0.1250816875709333,0.10267897409331474,False,200,10,0.05,8
original,200,0.11801626669504109,-0.03530516734728021,False,-0.04178769847133737,-0.029395801482778098,False,190,177,0.9315789473684211,8
half,100,0.31737374475558694,0.17537697094680263,False,0.14335242822802852,0.11916356705359778,False,193,15,0.07772020725388601,12
sqrt,14,0.31591546977617935,0.20024788446784392,False,0.15660767689590696,0.13447280081057186,False,200,6,0.03,12
log,5,0.2884317309818219,0.21488488475208292,False,0.16417265280298557,0.14444809574634898,False,200,7,0.035,12
ten_percent,20,0.2851399566127156,0.22322052548834428,False,0.16754098512331222,0.1493847322588944,False,198,18,0.09090909090909091,12
original,200,0.09878354028277132,0.031383552055347465,False,0.029281020926801155,0.02638988916247543,False,189,181,0.9576719576719577,12
half,100,0.3168620649143865,0.08247342195257396,False,0.061894783172285,0.06021229886670649,False,196,11,0.05612244897959184,11
sqrt,14,0.2949376471899033,0.12523489741547572,False,0.09396405518339496,0.09017938028843554,False,199,9,0.04522613065326633,11
log,5,0.34330121178551126,0.10576954087504388,False,0.09749255621482233,0.07307634399795411,False,200,4,0.02,11
ten_percent,20,0.29722029352467916,0.1242661940487303,False,0.08860503604252196,0.08823083452048039,False,199,8,0.04020100502512563,11
original,200,0.11917626129306287,0.07276380863767386,False,0.054596493676822795,0.058583625279201045,False,192,178,0.9270833333333334,11
half,100,0.30764192900414356,0.24670863672583668,False,0.22079739769225076,0.1753616594706843,False,195,20,0.10256410256410256,9
sqrt,14,0.2832642156430245,0.28055788822160804,False,0.2599805159131508,0.2003077611204617,False,200,14,0.07,9
log,5,0.2949171079657956,0.29581444944661006,False,0.26130814566042,0.20621318706932737,False,200,10,0.05,9
ten_percent,20,0.31144487541524757,0.28717397547209644,False,0.27164856059010867,0.2034597708271251,False,200,8,0.04,9
original,200,0.12208504062303316,-0.00714226751862677,False,0.026210324641052277,-0.0056331604522055516,False,193,179,0.927461139896373,9
half,100,0.2717640626188277,0.17669548914811387,False,0.15838108466926454,0.12464721881815419,False,186,17,0.0913978494623656,13
sqrt,14,0.2782776937176874,0.25225310369839454,False,0.2203826960055509,0.1791397720655209,False,200,7,0.035,13
log,5,0.2573191537258892,0.27418597592560146,False,0.23447103585172407,0.19408749241471165,False,200,11,0.055,13
ten_percent,20,0.25295231284219805,0.20441090158449648,False,0.16820137915590302,0.14513185980446067,False,200,18,0.09,13
original,200,0.12598083123700068,-0.14732404575516442,False,-0.1438244074930661,-0.11898606061113236,False,191,177,0.9267015706806283,13
half,100,0.2926292949978762,0.22901114316600582,False,0.17128605009758885,0.1584025981975667,False,192,12,0.0625,10
sqrt,14,0.26121876509833775,0.29177312407817263,False,0.21975722506016768,0.20472321832181428,False,200,13,0.065,10
log,5,0.3894886611247236,0.21588170660058273,False,0.20675961897480052,0.14414233465346107,False,200,4,0.02,10
ten_percent,20,0.2554030818879248,0.22970054163696282,False,0.14845160657551834,0.16246565854088665,False,200,17,0.085,10
original,200,0.12818612445124417,-0.05588393906236085,False,-0.05622584815395162,-0.045061676386838896,False,188,172,0.9148936170212766,10
half,100,0.2726146559292548,0.16209747823684814,False,0.1174585464344585,0.11576842557407693,False,193,16,0.08290155440414508,15
sqrt,14,0.254709680877013,0.2135180497893396,False,0.15008602126509565,0.15620686651628723,False,200,10,0.05,15
log,5,0.24094987075809698,0.23101031031758484,False,0.15977140149812502,0.16333549440136877,False,200,13,0.065,15
ten_percent,20,0.24343230282030937,0.20329446791583405,False,0.14728602743918692,0.14654433532567196,False,200,18,0.09,15
original,200,0.12326755944677094,-0.12176530918178989,False,-0.0994545111030773,-0.09832376866449441,False,190,176,0.9263157894736842,15
half,100,0.2950193298045995,0.09072490666756919,False,0.06430846855672966,0.06381170889239812,False,197,19,0.09644670050761421,20
sqrt,14,0.2439343658256139,0.17911656662114242,False,0.11257973306389113,0.12773592890038465,False,200,19,0.095,20
log,5,0.2633046698195023,0.16816365999797642,False,0.1166108184109705,0.11540226669788449,False,200,13,0.065,20
ten_percent,20,0.2566551026892536,0.1696122353876591,False,0.11475012857882683,0.11716772692960806,False,200,10,0.05,20
original,200,0.08996758079765699,0.0335193114108836,False,0.03621865216422869,0.027320321460135057,False,188,179,0.9521276595744681,20
half,100,0.2732357900133397,0.11383509736723361,False,0.04536977765908095,0.08927997008296566,False,192,16,0.08333333333333333,21
sqrt,14,0.2757393935792251,0.15151146956100964,False,0.08432407835564958,0.11025919734484628,False,200,7,0.035,21
log,5,0.22898204418813922,0.1889945243766679,False,0.09372831458592977,0.1437996831104529,False,200,13,0.065,21
ten_percent,20,0.25324993654812944,0.17928346126899883,False,0.09728251182228015,0.13449457321840472,False,200,12,0.06,21
original,200,0.11301577451210837,-0.04638886678377912,False,-0.04354978155735703,-0.03760042741620303,False,189,177,0.9365079365079365,21
half,100,0.350149023046533,0.11245537805537925,False,0.06104906859319979,0.08135980570843537,False,197,6,0.030456852791878174,16
sqrt,14,0.31085007697195133,0.10742781972511511,False,0.052600462716962955,0.07623455575232864,False,200,8,0.04,16
log,5,0.35614347040797795,0.09563374947096974,False,0.06149730048859707,0.06714580163773501,False,200,4,0.02,16
ten_percent,20,0.3148992190589145,0.0997869851900047,False,0.045131870664935944,0.0712202283627293,False,200,9,0.045,16
original,200,0.10986683321945491,0.06225360772852434,False,0.08209450004450758,0.05051241421357153,False,189,178,0.9417989417989417,16
half,100,0.34473288627088156,0.15645503579444284,False,0.16235045112075164,0.10784899630028066,False,197,7,0.03553299492385787,18
sqrt,14,0.30458095660015355,0.17431970255569,False,0.160065551710524,0.12232174814841641,False,200,9,0.045,18
log,5,0.29531509035034337,0.19803519129315525,False,0.19428491847513682,0.1380180088940366,False,200,12,0.06,18
ten_percent,20,0.2936334471058327,0.1951559799320543,False,0.1734233204712928,0.13903648989936437,False,200,11,0.055,18
original,200,0.08956526083745997,-0.07250651238818628,False,-0.030493516202759797,-0.05935007825342519,False,191,182,0.9528795811518325,18
half,100,0.28587907902475135,0.08459046584518011,False,0.0899338679592577,0.06523564421067098,False,199,9,0.04522613065326633,24
sqrt,14,0.2636566327071945,0.12769522767158425,False,0.10847967777930904,0.09465350615298747,False,200,11,0.055,24
log,5,0.28936502507115597,0.07363265436036351,False,0.08869252042379881,0.054722887329554715,False,200,9,0.045,24
ten_percent,20,0.2713816701989459,0.10531345026219141,False,0.09679077618223297,0.08166551354998793,False,200,8,0.04,24
original,200,0.10626702770167304,-0.13117732922011846,False,-0.08810328380191053,-0.10546563087454082,False,184,174,0.9456521739130435,24
half,100,0.3266685213167122,0.2132196728768939,False,0.2057939061139983,0.14646457951348593,False,196,13,0.0663265306122449,22
sqrt,14,0.2729515570242298,0.3123764153471257,False,0.270975221008624,0.22093539946241747,False,200,15,0.075,22
log,5,0.4263246418204061,0.25514476133646247,False,0.2782799700914806,0.17222403747704687,False,200,3,0.015,22
ten_percent,20,0.28235348085416784,0.313823685449293,False,0.2739523220521116,0.22013032722650563,False,200,13,0.065,22
