dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,25,0.07023154194770355,0.06722007838112809,False,0.0510073786636718,0.05514547813367335,False,200,198,0.99,2
sqrt,7,0.0557013010467449,0.16939849103088314,False,0.1303514476200796,0.11853030066869323,False,200,70,0.35,2
log,3,0.05967094063980904,0.08076718274703569,False,0.09291696267297327,0.05520196504509688,False,200,11,0.055,2
ten_percent,5,0.05656024831074702,0.05720476376906872,False,0.04223670644745378,0.04000802704295837,False,200,54,0.27,2
original,50,0.0741301639916957,-0.005101769683560757,False,-0.016622112341387184,-0.004176244812716151,False,195,194,0.9948717948717949,2
half,25,0.08155669395653417,,True,,,True,199,199,1.0,4
sqrt,7,0.06581585094869309,0.10322989289343035,False,0.07901578518080415,0.06963433856771606,False,200,68,0.34,4
log,3,0.06664122491167984,0.049192932685834884,False,0.0507565523428589,0.03297802661883979,False,200,28,0.14,4
ten_percent,5,0.06530950722233012,0.1463538422125954,False,0.1055247514866188,0.10578641104433974,False,200,49,0.245,4
original,50,0.09610467831531856,0.00553772916780794,False,-0.025766062568637206,0.00413417315188458,False,198,193,0.9747474747474747,4
half,25,0.07715398548413736,,True,,,True,200,200,1.0,1
sqrt,7,0.06852033806559758,0.005861452430697718,False,0.020238229923415188,0.004060097510633475,False,200,86,0.43,1
log,3,0.054042680472040736,0.04732412221246212,False,-0.0046496320835975585,0.0326994468075505,False,200,15,0.075,1
ten_percent,5,0.05266065812516781,0.06145753842131458,False,0.0531758116471144,0.04051585162465186,False,200,21,0.105,1
original,50,0.07696583764029308,0.07793830999764657,False,0.06445018217435139,0.06379605363308362,False,199,198,0.9949748743718593,1
half,25,0.0756433950331967,0.09852544290775976,False,0.08344244073476859,0.08027666489556591,False,200,197,0.985,0
sqrt,7,0.06236947954766414,0.06444687802040136,False,0.03701032191832929,0.04573240467127652,False,200,53,0.265,0
log,3,0.07494068832891426,0.15781930349538373,False,0.162918421364176,0.12142244926984248,False,200,18,0.09,0
ten_percent,5,0.06478005082894553,0.04533370383169263,False,0.047266303276229084,0.03269535634012397,False,200,61,0.305,0
original,50,0.082395894906326,0.15289000096097755,False,0.1105030091700293,0.12419364319172195,False,195,192,0.9846153846153847,0
half,25,0.0777139874587608,-0.07796743433794354,False,-0.06036110929601319,-0.06381909547738693,False,200,199,0.995,14
sqrt,7,0.06347605300246388,0.09704408392165839,False,0.01229606845574729,0.06723307724076306,False,200,85,0.425,14
log,3,0.08507382081929599,0.04722209823457715,False,0.039769199018509074,0.03360636520899258,False,200,15,0.075,14
ten_percent,5,0.0561824412410277,0.08392684402186569,False,0.08612423649834021,0.05828037186831419,False,200,56,0.28,14
original,50,0.07775439376765263,-0.0025120712444761787,False,-0.01644609596171953,-0.002056296823917871,False,197,196,0.9949238578680203,14
half,25,0.0709496096560821,0.08165093517280701,False,0.06989481815610711,0.06683417085427135,False,200,199,0.995,10
sqrt,7,0.06336641985975838,0.05955807899940879,False,0.03093196618841437,0.044216130424022095,False,200,86,0.43,10
log,3,0.0637673630320248,0.07322142670582489,False,0.034683539587333403,0.05011860723391427,False,200,23,0.115,10
ten_percent,5,0.060180970481524876,0.004600328522430574,False,-0.032032565787832375,0.003796880091111171,False,200,61,0.305,10
original,50,0.0756171843721141,-0.07408022634693681,False,-0.045816589127860186,-0.06007807173523155,False,199,196,0.9849246231155779,10
