dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,25,0.283352297014386,0.25574146802963277,False,0.1990537420274217,0.1767325997010361,False,200,10,0.05,12
sqrt,7,0.2711848404079549,0.2817785098548494,False,0.21067758330567987,0.18780560854411393,False,200,13,0.065,12
log,3,0.28087505944939417,0.2654795838396857,False,0.20157030613096563,0.18016303530741268,False,200,9,0.045,12
ten_percent,5,0.4135170868231123,0.18964006211658954,False,0.1789195091069749,0.12407346922180836,False,200,2,0.01,12
original,50,0.09524019017384065,0.04075745289837109,False,0.03013196495399531,0.033235516189640615,False,194,186,0.9587628865979382,12
half,25,0.27456504169135354,0.13608668831671406,False,0.0986436607656092,0.10209878820421363,False,200,6,0.03,10
sqrt,7,0.2748846467682887,0.13196170590185666,False,0.09627240813637718,0.09805896023551507,False,200,8,0.04,10
log,3,0.29872507021572325,0.11026521867695874,False,0.0911422716113969,0.07977067950797222,False,200,9,0.045,10
ten_percent,5,0.25898721158317484,0.12479280085516466,False,0.08964927131106971,0.09333201548570048,False,200,8,0.04,10
original,50,0.09890368940382831,-0.018506356302962157,False,0.021725674304701507,-0.014467941348983188,False,194,186,0.9587628865979382,10
half,25,0.3048915576782643,0.2533204280058785,False,0.20573150804544213,0.1734214428045608,False,200,2,0.01,4
sqrt,7,0.30325150072254564,0.23244863346312078,False,0.19522109520165837,0.1544805773556422,False,200,8,0.04,4
log,3,0.30283163321271594,0.2195501353855751,False,0.18152233108471633,0.14847952215579152,False,200,5,0.025,4
ten_percent,5,0.28304247400618576,0.27941715280301854,False,0.2206417619671047,0.19328894172585,False,200,6,0.03,4
original,50,0.11269617052240703,0.09714958021658304,False,0.06207043842046969,0.07900423651816761,False,195,186,0.9538461538461539,4
half,25,0.22787688567962575,0.19647656927809554,False,0.1751401675035143,0.14725201233274487,False,200,10,0.05,3
sqrt,7,0.24335554651999003,0.20211930950195509,False,0.19307585855099862,0.14845940840243596,False,200,10,0.05,3
log,3,0.6022745989808419,0.05116185578923598,False,0.08340645208379538,0.03110787254108317,False,200,3,0.015,3
ten_percent,5,0.22819699229221768,0.19928035597334645,False,0.19022861524814502,0.1468769328784824,False,200,12,0.06,3
original,50,0.11374042352883984,0.07649743958572236,False,0.0820859932662165,0.06235636770021359,False,192,179,0.9322916666666666,3
half,25,0.25106341718583847,0.2204637005981605,False,0.17639171936120532,0.15584365154481775,False,200,11,0.055,5
sqrt,7,0.2516181024355595,0.2138839932572274,False,0.17921604542972333,0.14829552505733867,False,200,11,0.055,5
log,3,0.2750422405790781,0.16880893585522003,False,0.1480708693370439,0.11969336027288657,False,200,6,0.03,5
ten_percent,5,0.27578855938515723,0.20380712373725376,False,0.17644559329015216,0.1387283280805635,False,200,5,0.025,5
original,50,0.09118757936405822,0.02026481882597933,False,-0.020614092729250136,0.015823194985909263,False,189,181,0.9576719576719577,5
half,25,0.27027100483113287,0.12857226561888624,False,0.06671250059606183,0.09063005238053756,False,200,13,0.065,1
sqrt,7,0.26224094790079816,0.132761558479759,False,0.0637820377276577,0.0953341024235249,False,200,12,0.06,1
log,3,0.3492246853936415,0.08858879692853461,False,0.07423948773295946,0.057194552592621586,False,200,4,0.02,1
ten_percent,5,0.33694504973601896,0.09063335570961395,False,0.07588795136977995,0.06151681227888297,False,200,4,0.02,1
original,50,0.10681619814904361,-0.004559204055052915,False,0.003811979106930131,-0.0031692083742208125,False,196,185,0.9438775510204082,1
half,25,0.3224611361759402,0.10854502771645372,False,0.11423638090848923,0.06976627513616745,False,200,5,0.025,6
sqrt,7,0.29825582537737355,0.11809743250793706,False,0.10639244772861928,0.08240530070597495,False,200,7,0.035,6
log,3,0.399699177606129,0.08039019796683335,False,0.0721900388592233,0.05143418097755483,False,200,7,0.035,6
ten_percent,5,0.24708471876764768,0.19948088240695305,False,0.15900548371860146,0.13608814457194746,False,200,15,0.075,6
original,50,0.09298965785438128,-0.18433092781247062,False,-0.1640739894395708,-0.1486302591536166,False,195,187,0.958974358974359,6
half,25,0.2795113687247244,0.20570512244147915,False,0.1401463012652033,0.14301522200502811,False,200,8,0.04,13
sqrt,7,0.2742808508526432,0.20944651621334226,False,0.13744460545283707,0.14859745011683784,False,200,11,0.055,13
log,3,0.2992047990136607,0.20710420424732837,False,0.15108093756608296,0.14213198131101393,False,200,4,0.02,13
ten_percent,5,0.38723217512713,0.15175628572146485,False,0.1428745467039628,0.09998743955597288,False,200,6,0.03,13
original,50,0.11325249909059307,0.06600677589857536,False,0.13177228429237173,0.051799436794754995,False,195,181,0.9282051282051282,13
half,25,0.26762453170407313,0.1257034259242124,False,0.07742650146329658,0.08895348594272552,False,199,13,0.06532663316582915,14
sqrt,7,0.2735434802363014,0.10742524730239958,False,0.06236900793148815,0.07804536687965442,False,200,15,0.075,14
log,3,0.3913552055477231,0.047705764202805055,False,0.0500304810747481,0.03251501378688337,False,200,3,0.015,14
ten_percent,5,0.33558713633452286,0.07060674792597411,False,0.055153649364641434,0.0494230693068782,False,200,7,0.035,14
original,50,0.08897037118354896,0.005815328649534884,False,-0.013567010854449566,0.004832834667565209,False,185,181,0.9783783783783784,14
half,25,0.29229893587199013,0.19471062994125418,False,0.18120875701307723,0.13258228952270792,False,200,9,0.045,8
sqrt,7,0.29345898568330253,0.2089026095661052,False,0.1928618770070967,0.14324142874394302,False,200,7,0.035,8
log,3,0.3207209858779992,0.21381989732355153,False,0.19213465024459006,0.1445444053219505,False,200,4,0.02,8
ten_percent,5,0.27364389758306495,0.22650445651723755,False,0.19144175226167637,0.15553451768146354,False,200,12,0.06,8
original,50,0.10038682377194195,-0.005476340855258858,False,-0.007191508049032632,-0.004348325180735978,False,190,183,0.9631578947368421,8
half,25,0.266490704152456,0.13569858806006538,False,0.08348066282631324,0.09324452254199136,False,200,11,0.055,2
sqrt,7,0.2696140677912133,0.147794845788858,False,0.10444388062366505,0.10401372334330804,False,200,9,0.045,2
log,3,0.30176540443593936,0.1289959179804842,False,0.11569205587296372,0.08882745384384316,False,200,6,0.03,2
ten_percent,5,0.2645605502162014,0.10712351614257923,False,0.06508140691426625,0.0712039931985525,False,200,11,0.055,2
original,50,0.09990952418375626,0.021571890600768952,False,0.010429250491436478,0.01738334256137341,False,186,177,0.9516129032258065,2
half,25,0.26556849623950834,0.2736001342949907,False,0.19214504596937723,0.19057062279544887,False,199,9,0.04522613065326633,0
sqrt,7,0.27785467195574964,0.2606747474962764,False,0.19138073695573782,0.17855353862124929,False,200,9,0.045,0
log,3,0.3078358967923203,0.24232298858481258,False,0.17811465023081222,0.17066734906612765,False,200,6,0.03,0
ten_percent,5,0.25919988921306225,0.2528752875792131,False,0.16659682020575864,0.17218147684430954,False,200,8,0.04,0
original,50,0.1037552236802319,0.08658146424753548,False,0.061355667580223275,0.07094513924312935,False,190,180,0.9473684210526315,0
half,25,0.21926457222029605,0.29857799981845845,False,0.2334812488535355,0.2114234654453459,False,199,13,0.06532663316582915,11
sqrt,7,0.2161130545453856,0.28259764215234784,False,0.21812681886165716,0.20190361669219753,False,200,13,0.065,11
log,3,0.23908486876513543,0.283837408918285,False,0.23923558619040344,0.2024903825211131,False,200,10,0.05,11
ten_percent,5,0.24069235364284888,0.25690331760925983,False,0.2217833369552009,0.1823575507386035,False,200,7,0.035,11
original,50,0.11496781606470217,-0.02043200495435322,False,0.019969354453521226,-0.01691298218476429,False,184,175,0.9510869565217391,11
half,25,0.24665355450744045,0.13211199565527781,False,0.03864799463729509,0.09788351212605245,False,200,16,0.08,9
sqrt,7,0.29138186495515067,0.058163571508900364,False,0.011237778501229968,0.04617243618431179,False,200,9,0.045,9
log,3,0.32520224212907195,0.09108391372381616,False,0.03955508715086165,0.06457773217333097,False,200,3,0.015,9
ten_percent,5,0.32211409380852585,0.07651135587238424,False,0.041554718970374445,0.05351576481493218,False,200,9,0.045,9
original,50,0.12113270454133224,0.0198194554632249,False,-0.02075888694086157,0.01551611242486969,False,189,176,0.9312169312169312,9
half,25,0.2788543761578457,0.013855532844480179,False,-0.019994134498408648,0.01780147278121658,False,200,8,0.04,7
