dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,18,0.06817875730497672,,True,,,True,20,20,1.0,2
sqrt,7,0.06606235999691526,0.3997609307859517,False,0.31520310726263306,0.3220224142468699,False,20,18,0.9,2
log,3,0.053748555135680234,0.18271140809105635,False,0.2743467965575992,0.10614639197925867,False,20,11,0.55,2
ten_percent,5,0.05996655707526155,0.1272961266618354,False,0.07117088968584413,0.09120956670998252,False,20,12,0.6,2
original,50,0.06817875730497672,,True,,,True,20,20,1.0,2
half,18,0.07295204699346484,,True,,,True,20,20,1.0,15
sqrt,7,0.07252161643140176,0.24389746318709687,False,0.3642815264968836,0.20275485341469585,False,20,18,0.9,15
log,3,0.05390488896546395,-0.036260962361917747,False,-0.02701101368254645,0.0,False,20,9,0.45,15
ten_percent,5,0.06355470658425641,-0.3226255494220455,False,-0.2303463000179754,-0.24351231101124043,False,20,11,0.55,15
original,50,0.07295204699346484,,True,,,True,20,20,1.0,15
half,18,0.07388262903621919,,True,,,True,20,20,1.0,7
sqrt,7,0.0722797762041207,-0.41700500535926216,False,-0.3749404399087069,-0.3226246848994998,False,20,15,0.75,7
log,3,0.06574088416027343,-0.01942026568111932,False,0.08815396081714284,-0.022799518935225645,False,20,8,0.4,7
ten_percent,5,0.06574027644551843,-0.02049532655238829,False,-0.008540220685419948,-0.011692108443873354,False,20,9,0.45,7
original,50,0.07388262903621919,,True,,,True,20,20,1.0,7
half,18,0.08599001208659814,,True,,,True,20,20,1.0,10
sqrt,7,0.08005384222531967,0.27091973264408226,False,0.29757796060506586,0.21719458851166717,False,20,17,0.85,10
log,3,0.07150336790878564,-0.3977496428095873,False,-0.44028272140650576,-0.2906565034667533,False,20,6,0.3,10
ten_percent,5,0.079241042912284,0.1875496266151042,False,0.3347796398514883,0.1433293191156868,False,20,12,0.6,10
original,50,0.08599001208659814,,True,,,True,20,20,1.0,10
half,18,0.06827703602783762,,True,,,True,20,20,1.0,4
sqrt,7,0.06534659355061107,0.37200701106827694,False,0.2460737224135906,0.29346355429559745,False,20,11,0.55,4
log,3,0.05429863198545196,0.41792411745768776,False,0.49047779856479967,0.2963937461579334,False,20,8,0.4,4
ten_percent,5,0.0661286569368342,-0.09357002678873536,False,0.06397729198902118,-0.08671099695241201,False,20,16,0.8,4
original,50,0.06827703602783762,,True,,,True,20,20,1.0,4
half,18,0.07105555966070887,,True,,,True,20,20,1.0,14
sqrt,7,0.06821249125468301,0.17194045244670994,False,0.5353609724377375,0.1495090003192804,False,20,15,0.75,14
log,3,0.059015689236394865,0.4132880912287589,False,0.1913233357137324,0.31271851443422577,False,20,12,0.6,14
ten_percent,5,0.06722976933533702,0.08998824624754928,False,0.2161347298198797,0.08226127456606226,False,20,13,0.65,14
original,50,0.07105555966070887,,True,,,True,20,20,1.0,14
half,18,0.07566831922494302,,True,,,True,20,20,1.0,11
sqrt,7,0.07478447905428458,0.22254120895763904,False,0.16577888934817325,0.1777046633277277,False,20,17,0.85,11
log,3,0.05861878437053307,0.1765751210667299,False,0.1289782793990214,0.1286131928826069,False,20,9,0.45,11
ten_percent,5,0.07290227722129321,0.10196775042505074,False,0.2539801322633521,0.0802044171976313,False,20,14,0.7,11
original,50,0.07566831922494302,,True,,,True,20,20,1.0,11
half,18,0.0765392312461148,,True,,,True,20,20,1.0,13
sqrt,7,0.07500594407479304,-0.10885167829449734,False,-0.08860083646312393,-0.07897985036787897,False,20,17,0.85,13
log,3,0.060794359538223895,0.1702688667429181,False,0.20615087320311895,0.1286131928826069,False,20,9,0.45,13
ten_percent,5,0.07632344323654386,0.002545922533236708,False,-0.28855389913818696,0.0,False,20,12,0.6,13
original,50,0.0765392312461148,,True,,,True,20,20,1.0,13
half,18,0.06036098592655503,,True,,,True,20,20,1.0,3
sqrt,7,0.05956581224778159,0.36525785383264664,False,0.4302232137847193,0.29617443887954614,False,20,17,0.85,3
log,3,0.0531776581880258,0.10797667718702342,False,-0.026017922329521822,0.06839855680567694,False,20,8,0.4,3
ten_percent,5,0.04258467883698103,0.40986613166372104,False,0.5033385613335815,0.318439175937776,False,20,11,0.55,3
original,50,0.06036098592655503,,True,,,True,20,20,1.0,3
half,18,0.07472935937524208,,True,,,True,20,20,1.0,8
sqrt,7,0.07434594848845612,0.2568860854870015,False,0.0794503678462125,0.20275485341469585,False,20,18,0.9,8
log,3,0.06554768376639933,-0.26734293368210094,False,-0.30786525748612703,-0.1841593557971568,False,20,7,0.35,8
ten_percent,5,0.0725822026091706,0.24111189883331743,False,0.2525388945829125,0.19672236884115843,False,20,15,0.75,8
original,50,0.07472935937524208,,True,,,True,20,20,1.0,8
half,18,0.06294805657389399,,True,,,True,20,20,1.0,6
sqrt,7,0.06210760224673402,-0.16562970259155452,False,-0.056694166824177133,-0.1213953957333768,False,20,16,0.8,6
log,3,0.07423285937185302,-0.2796345628169102,False,-0.2909897548107397,-0.1841593557971568,False,20,7,0.35,6
ten_percent,5,0.05912323394172314,0.04752388728708522,False,0.1278842295969649,0.026059876202852147,False,20,12,0.6,6
original,50,0.06294805657389399,,True,,,True,20,20,1.0,6
half,18,0.07989339132864172,,True,,,True,20,20,1.0,16
sqrt,7,0.0796861222713081,-0.0721590127772476,False,-0.0721108549252108,-0.059633780416087016,False,20,18,0.9,16
log,3,0.07003705469368998,-0.024583258269618477,False,-0.10639097891409767,-0.016741759617923346,False,20,7,0.35,16
ten_percent,5,0.07295567984933013,0.07905308158469425,False,0.07022586674634144,0.07082005278281704,False,20,15,0.75,16
original,50,0.07989339132864172,,True,,,True,20,20,1.0,16
half,18,0.08355564827536008,,True,,,True,20,20,1.0,0
sqrt,7,0.08278876203858927,0.1529771070877649,False,0.08920941799936641,0.13119431691539143,False,20,18,0.9,0
log,3,0.0693641233464544,0.057483986416113186,False,0.0764491538065706,0.022799518935225645,False,20,8,0.4,0
ten_percent,5,0.07705768360519985,0.014115803332948908,False,0.05868543278744012,0.013710212427677042,False,20,13,0.65,0
original,50,0.08355564827536008,,True,,,True,20,20,1.0,0
half,18,0.09355176136864522,-0.17903580300437075,False,-0.14473988862787032,-0.14979209969218638,False,20,19,0.95,5
sqrt,7,0.08391119633680973,-0.16633360550479828,False,0.010334650175959673,-0.11726944291283467,False,20,12,0.6,5
log,3,0.08487369478120801,-0.22682870315547368,False,-0.2213872282871526,-0.15959663254657955,False,20,8,0.4,5
ten_percent,5,0.09023860617807603,-0.10862602808476621,False,-0.21906383772424565,-0.07817962860855644,False,20,12,0.6,5
original,50,0.09366770150020517,,True,,,True,20,20,1.0,5
half,18,0.06684651575011291,,True,,,True,20,20,1.0,9
sqrt,7,0.0625126206100094,0.07468039430827678,False,0.19021814204426377,0.052119752405704295,False,20,12,0.6,9
log,3,0.0547560283654893,0.01828733989929137,False,0.16842397213105317,-0.005484084971070818,False,20,6,0.3,9
ten_percent,5,0.06043168554773308,-0.37677671866868734,False,-0.3856447411721253,-0.27111385490795004,False,20,10,0.5,9
original,50,0.06684651575011291,,True,,,True,20,20,1.0,9
half,18,0.08414700621674447,,True,,,True,20,20,1.0,1
sqrt,7,0.08344586349701685,-0.06782947201061275,False,-0.1508465091928083,-0.059633780416087016,False,20,18,0.9,1
log,3,0.07508468030349567,-0.5147119700201369,False,-0.5193353965101464,-0.34041577889777475,False,20,7,0.35,1
ten_percent,5,0.07597137111897549,0.13043758461474547,False,0.19752254750681394,0.10229563179740239,False,20,15,0.75,1
original,50,0.08414700621674447,,True,,,True,20,20,1.0,1
half,18,0.06191860403031355,,True,,,True,20,20,1.0,12
sqrt,7,0.06070060359242742,0.4872094498310013,False,0.4069785121008678,0.3815283865906128,False,20,16,0.8,12
log,3,0.05574355487484852,0.14156019005253015,False,0.1529642488316646,0.10614639197925867,False,20,11,0.55,12
ten_percent,5,0.05001136911835895,-0.009218721851106929,False,-0.0324691851481078,0.016741759617923346,False,20,7,0.35,12
original,50,0.06191860403031355,,True,,,True,20,20,1.0,12
half,18,0.0507669334671591,,True,,,True,20,20,1.0,17
sqrt,7,0.049378085728953074,0.22737906132628333,False,0.054859647052455315,0.1777046633277277,False,20,17,0.85,17
log,3,0.04558358194247786,0.08033618734940029,False,0.028177539314583725,0.054222770981590014,False,20,10,0.5,17
ten_percent,5,0.05211196966200686,-0.28117101645876136,False,-0.39414566811225277,-0.19532052887577236,False,20,7,0.35,17
original,50,0.0507669334671591,,True,,,True,20,20,1.0,17
half,18,0.06154804353088985,,True,,,True,20,20,1.0,23
sqrt,7,0.061414680196254755,0.21882153700534204,False,0.15933534638818117,0.18307923295711667,False,20,19,0.95,23
log,3,0.052568363271481844,0.05593036516162364,False,0.19019019042235602,0.0,False,20,8,0.4,23
ten_percent,5,0.06128188518309481,0.25860727100631337,False,0.2093140249417992,0.216366366222047,False,20,19,0.95,23
original,50,0.06154804353088985,,True,,,True,20,20,1.0,23
half,18,0.07529026539120287,,True,,,True,20,20,1.0,18
sqrt,7,0.0746811201559455,-0.09813625737705674,False,-0.15924988378431565,-0.08348729258252183,False,20,18,0.9,18
log,3,0.06684080484118082,0.19521693525904268,False,0.15099543701709092,0.16266831294477005,False,20,10,0.5,18
ten_percent,5,0.07262240238970807,0.019359315887324553,False,0.02000032152104168,0.0173421993904824,False,20,16,0.8,18
original,50,0.07529026539120287,,True,,,True,20,20,1.0,18
half,18,0.0779604734304278,,True,,,True,20,20,1.0,19
sqrt,7,0.07681736960243499,0.1765816114555179,False,0.035155205603637725,0.15795970073575794,False,20,17,0.85,19
log,3,0.059128388314572365,0.10140594036217622,False,0.1646706576885254,0.03906410577515448,False,20,7,0.35,19
ten_percent,5,0.07127216994898637,0.3183531945915593,False,0.10633896110745265,0.2427907914667536,False,20,16,0.8,19
original,50,0.0779604734304278,,True,,,True,20,20,1.0,19
half,18,0.07195079307138422,,True,,,True,20,20,1.0,20
sqrt,7,0.06995116656444808,-0.01451355710593298,False,0.07173840728563738,-0.019744962591969742,False,20,17,0.85,20
log,3,0.05275820572435495,0.37365305978981794,False,0.23713517800991016,0.30595136511668675,False,20,11,0.55,20
ten_percent,5,0.0659760601057369,0.19433875337040205,False,0.08530141129891519,0.15635925721711288,False,20,12,0.6,20
original,50,0.07195079307138422,,True,,,True,20,20,1.0,20
half,18,0.07622200835566155,,True,,,True,20,20,1.0,21
sqrt,7,0.07331435688401763,-0.1581061631693885,False,0.06424293128175412,-0.13377121081198776,False,20,15,0.75,21
log,3,0.05710811322975477,0.33955625484910523,False,0.46903512267242176,0.2622875673474657,False,20,7,0.35,21
ten_percent,5,0.07141831014886117,-0.06175663958165147,False,-0.02959142366548285,-0.05484084971070817,False,20,13,0.65,21
original,50,0.07622200835566155,,True,,,True,20,20,1.0,21
half,18,0.07330360533698962,,True,,,True,20,20,1.0,22
sqrt,7,0.0700605763556681,0.32166190361356917,False,0.33477604220228213,0.25519587290155415,False,20,14,0.7,22
log,3,0.06156297077797307,0.5123831638097073,False,0.4545947005276736,0.3858395786478207,False,20,9,0.45,22
ten_percent,5,0.07015560454702066,0.2706780284010438,False,0.4670283084909472,0.2260306302842337,False,20,14,0.7,22
