dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,98,0.28286002622355644,0.30165874677896987,False,0.27604057830999446,0.21813059741416826,False,100,6,0.06,2
sqrt,14,0.24272305340074116,0.3341694677164359,False,0.279914752475009,0.2370071990107868,False,100,5,0.05,2
log,5,0.27167443890786125,0.25268180116243233,False,0.2529814760836642,0.18108265663947332,False,100,6,0.06,2
ten_percent,20,0.23670589939858228,0.3196855372977738,False,0.27086074037787194,0.2284271724535926,False,100,6,0.06,2
original,200,0.07760406151264267,-0.07423074889580901,False,-0.06251022118330925,-0.06091449038731727,False,99,98,0.98989898989899,2
half,98,0.2754455204917113,0.1581001906052752,False,0.11365116939132179,0.10787369963477854,False,100,11,0.11,9
sqrt,14,0.2564988159888477,0.14237270884931863,False,0.09663976036438748,0.1050101261111686,False,100,14,0.14,9
log,5,0.2748700254031292,0.09457263542861223,False,0.06303820210644306,0.06304799306555987,False,100,12,0.12,9
ten_percent,20,0.2722010626021477,0.12761871288142412,False,0.08430617956706848,0.09286355439434163,False,100,9,0.09,9
original,200,0.08222061694477718,,True,,,True,99,99,1.0,9
half,98,0.3124318088772691,0.004843007373784042,False,-0.027351282976526208,0.00607042478889151,False,100,6,0.06,8
sqrt,14,0.2799460478770156,0.02497111921712103,False,-0.023280725410655286,0.023267603925742383,False,100,6,0.06,8
log,5,0.30758087411250284,-0.05763322141918347,False,-0.07767993498368828,-0.038827117926681795,False,100,5,0.05,8
ten_percent,20,0.25728445714731146,0.066170303853784,False,-0.019875133562618136,0.04327137103993941,False,100,11,0.11,8
original,200,0.0790034173554982,-0.1345961257389416,False,-0.10979192692447576,-0.11045655375552284,False,98,97,0.9897959183673469,8
half,98,0.29902330919585,0.11848375531891646,False,0.07464417791826139,0.07915798834032442,False,100,7,0.07,4
sqrt,14,0.2729620082458887,0.10068454219784483,False,0.05484137184165621,0.0778072070812056,False,100,11,0.11,4
