dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,18,0.06724268444120594,,True,,,True,20,20,1.0,10
sqrt,14,0.06724268444120594,,True,,,True,20,20,1.0,10
log,5,0.050446412576124075,0.004938146164623145,False,0.32944246355792833,-0.006243905410544626,False,20,11,0.55,10
ten_percent,18,0.06724268444120594,,True,,,True,20,20,1.0,10
original,200,0.06724268444120594,,True,,,True,20,20,1.0,10
half,18,0.06768681280494812,,True,,,True,20,20,1.0,8
sqrt,14,0.06768681280494812,,True,,,True,20,20,1.0,8
log,5,0.0567780585859057,0.3080566265216417,False,0.1468205962520987,0.23453888582566934,False,20,12,0.6,8
ten_percent,18,0.06768681280494812,,True,,,True,20,20,1.0,8
original,200,0.06768681280494812,,True,,,True,20,20,1.0,8
half,18,0.07444709318178469,,True,,,True,20,20,1.0,4
sqrt,14,0.07444709318178469,,True,,,True,20,20,1.0,4
log,5,0.054338371729529975,0.3309850918795292,False,0.2524517767166089,0.24701484558279893,False,20,10,0.5,4
ten_percent,18,0.07444709318178469,,True,,,True,20,20,1.0,4
original,200,0.07444709318178469,,True,,,True,20,20,1.0,4
half,18,0.07997986845241997,,True,,,True,20,20,1.0,6
sqrt,14,0.07981047182682914,0.01443180255544952,False,-0.04571698824139406,0.011926756083217402,False,20,18,0.9,6
log,5,0.07025071313882467,0.06254985141855984,False,-0.027003536875377133,0.04370733787381239,False,20,11,0.55,6
ten_percent,18,0.07997986845241997,,True,,,True,20,20,1.0,6
original,200,0.07997986845241997,,True,,,True,20,20,1.0,6
half,18,0.06945882436330011,,True,,,True,20,20,1.0,11
sqrt,14,0.06945882436330011,,True,,,True,20,20,1.0,11
log,5,0.06494123858984904,0.40310440109581214,False,0.1663473035849783,0.31271851443422577,False,20,12,0.6,11
ten_percent,18,0.06945882436330011,,True,,,True,20,20,1.0,11
original,200,0.06945882436330011,,True,,,True,20,20,1.0,11
half,18,0.08763564045730372,,True,,,True,20,20,1.0,0
sqrt,14,0.08763564045730372,,True,,,True,20,20,1.0,0
log,5,0.07828996834063677,-0.07977223937475018,False,-0.05877970732406082,-0.07817962860855644,False,20,12,0.6,0
ten_percent,18,0.08763564045730372,,True,,,True,20,20,1.0,0
original,200,0.08281933164262312,,True,,,True,17,17,1.0,0
