dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,100,0.0774938316339384,0.11579277658267574,False,0.09953295735427029,0.09460835169437477,False,200,197,0.985,10
sqrt,14,0.06878187638099291,0.049770269196395336,False,0.07065237206261972,0.038771461824945716,False,200,144,0.72,10
log,5,0.051821584170772254,0.05857996120956174,False,0.10689560926275773,0.040078623163837715,False,200,13,0.065,10
ten_percent,20,0.06992997995574436,0.20031774471904273,False,0.06808502360070513,0.16167591373798149,False,199,185,0.9296482412060302,10
original,200,0.07443051132632193,0.024742320634173517,False,0.0013047776726671713,0.020252715439074167,False,199,198,0.9949748743718593,10
half,100,0.07134065360787342,0.11603027629819944,False,0.1470830729549898,0.09497487437185928,False,200,199,0.995,6
sqrt,14,0.06581298776529891,0.10628314796928995,False,-0.0014272532847545182,0.07796930847543594,False,200,134,0.67,6
log,5,0.05306711384384413,0.2308621715984845,False,0.18764856408976552,0.16190458270144167,False,200,62,0.31,6
ten_percent,20,0.06805864657544834,0.11764774305704223,False,0.09142989549290552,0.0959829688968723,False,200,197,0.985,6
original,200,0.07190371319945499,0.07796743433794354,False,0.06771204804023737,0.06381909547738693,False,200,199,0.995,6
half,100,0.0712663424407169,,True,,,True,200,200,1.0,2
sqrt,14,0.06892774137728361,-0.046762225828122894,False,0.001609709241245707,-0.03630046101845376,False,200,152,0.76,2
log,5,0.06259049303339621,-0.08092098107303308,False,-0.1057513128784416,-0.058548681104832495,False,200,28,0.14,2
ten_percent,20,0.07115712739640762,0.09109875680260858,False,0.025593683232939087,0.07384740035766586,False,199,193,0.9698492462311558,2
original,200,0.07603443652450492,-0.07673960072632238,False,-0.06442886376792735,-0.06281407035175879,False,200,199,0.995,2
half,100,0.0923085216957995,-0.008193513168164338,False,-0.013461484220748627,-0.0067066795722407375,False,200,197,0.985,7
sqrt,14,0.07814672610233223,0.04853018130108577,False,0.02890112279026813,0.036996839983912615,False,200,142,0.71,7
log,5,0.05954729005973702,0.14247056504722924,False,0.1574687429147847,0.09851109195516124,False,200,48,0.24,7
ten_percent,20,0.07947557873268371,0.03283362665126114,False,0.08601153542376237,0.027175950980679476,False,200,193,0.965,7
original,200,0.07960119364212517,,True,,,True,198,198,1.0,7
half,100,0.07267382924521418,,True,,,True,199,199,1.0,14
sqrt,14,0.07260965072854025,0.11007221413795143,False,0.12880836040668567,0.0901924790190903,False,200,183,0.915,14
log,5,0.05724204536939223,0.0545230924287038,False,0.03389874074884596,0.040850496970359695,False,200,41,0.205,14
ten_percent,20,0.0726632378927031,0.05182845373548447,False,-0.01147718030390702,0.043019596154898886,False,200,192,0.96,14
original,200,0.08206778388235908,-0.09383799003653209,False,-0.08361717661786137,-0.07681066532456418,False,199,197,0.9899497487437185,14
half,100,0.10425603740343138,-0.020498762256685423,False,-0.030748051211860212,-0.016778960045771438,False,200,193,0.965,9
sqrt,14,0.07259600708059613,0.18467153496902675,False,0.15706031353088912,0.14400065299442646,False,200,161,0.805,9
log,5,0.0590670374704001,0.1566890793872207,False,0.05599036286937509,0.10846030058457147,False,200,57,0.285,9
ten_percent,20,0.07377618743985144,0.013857255510564232,False,0.013286506428327289,0.011052584297215597,False,200,197,0.985,9
original,200,0.07836511235412585,-0.041132425989308795,False,-0.03981010866139904,-0.03366834170854271,False,200,199,0.995,9
half,100,0.08617114614109835,-0.08287876878442817,False,-0.07428504190368349,-0.06783919597989949,False,200,199,0.995,1
sqrt,14,0.0791927455548491,0.06537210183928077,False,0.06791482304837598,0.048763607816036135,False,200,151,0.755,1
log,5,0.06836620192165625,-0.010635691711302441,False,-0.028973872221311744,-0.006117195702345776,False,200,61,0.305,1
ten_percent,20,0.08134929853958026,0.19027477723417643,False,0.15968313891761107,0.15451204952301184,False,200,192,0.96,1
original,200,0.08138767797001698,,True,,,True,200,200,1.0,1
half,100,0.09709704269909497,-0.0699014956510436,False,-0.06884945574612635,-0.05721684011852997,False,200,196,0.98,8
sqrt,14,0.07821789542392729,0.08325128661363317,False,-0.06737364538108188,0.06235063168617014,False,200,165,0.825,8
log,5,0.0649958942267848,0.07629316934994024,False,0.08683540158640304,0.05308016298796761,False,200,68,0.34,8
ten_percent,20,0.07918984666005388,,True,,,True,200,200,1.0,8
original,200,0.08270403258208567,0.08041254206106394,False,0.0768237900754717,0.06582132517699103,False,199,198,0.9949748743718593,8
half,100,0.08241582081218732,-0.007833592438523893,False,-0.02805730793987038,-0.0064120717580390596,False,200,198,0.99,3
sqrt,14,0.07259020261057295,0.1195368441678519,False,0.12259656152380954,0.09181064683361909,False,200,154,0.77,3
log,5,0.06008756614536566,0.05174696500432536,False,-0.03419770052502685,0.028788906222605454,False,200,62,0.31,3
ten_percent,20,0.07358808550850748,-0.027626256261476058,False,-0.03174534741378202,-0.022613065326633163,False,200,199,0.995,3
original,200,0.07352890316565167,,True,,,True,199,199,1.0,3
half,100,0.07818397760205936,0.11971377713306293,False,0.17184562309553628,0.09798994974874371,False,200,199,0.995,12
sqrt,14,0.07336444930257115,0.04980749843239984,False,0.04458060372615609,0.040910611400209705,False,200,140,0.7,12
log,5,0.061861056876114755,0.03662518409749232,False,0.008772425076236056,0.025314292335125724,False,200,53,0.265,12
ten_percent,20,0.07496556575608883,0.1491358469816918,False,0.14047996726972123,0.11992704841224343,False,198,173,0.8737373737373737,12
original,200,0.08182087165839912,-0.10694142339362438,False,-0.08727106378456634,-0.08754799997849186,False,189,188,0.9947089947089947,12
half,100,0.08449185184927618,-0.11079054762170039,False,-0.10318850057318732,-0.09068597160725518,False,200,197,0.985,13
sqrt,14,0.06942451086011515,0.05184752817391693,False,0.05185582407200093,0.038616005660313854,False,199,153,0.7688442211055276,13
log,5,0.04956634424260965,0.28528214135406554,False,0.2825894778172498,0.2008475540005037,False,200,53,0.265,13
ten_percent,20,0.07056173781781397,0.06470115600694676,False,0.05724600972780253,0.05304454138574103,False,199,196,0.9849246231155779,13
original,200,0.07521255049984046,-0.09638493851226092,False,-0.08072996955676034,-0.07889447236180905,False,200,199,0.995,13
half,100,0.07686867835723513,0.02280175458831621,False,0.023503994381354643,0.018664273817183823,False,199,197,0.9899497487437185,4
sqrt,14,0.06696323896760879,0.20139990667144225,False,0.21775463017675364,0.15910061605599102,False,199,150,0.7537688442211056,4
log,5,0.055563293619647854,0.17272404115057502,False,0.06209521270870203,0.11908517045511599,False,200,54,0.27,4
ten_percent,20,0.06882373785946959,0.06566235295344104,False,0.02382409845687835,0.05382292952332051,False,199,191,0.9597989949748744,4
original,200,0.07267459728987832,0.05709426294038385,False,0.03205150191850225,0.04673366834170854,False,200,199,0.995,4
half,100,0.0874825087743309,-0.12620787817621829,False,-0.10868381629186402,-0.10330560054618484,False,200,198,0.99,5
sqrt,14,0.07785767250169703,0.14727875882487598,False,0.1298895109534618,0.12041499734334889,False,200,197,0.985,5
log,5,0.05443970310060029,-0.022095325176124586,False,-0.011152559098099783,-0.0190863089509605,False,200,20,0.1,5
ten_percent,20,0.07783100406092074,0.1437018864241808,False,0.14989591312783748,0.1175072810009662,False,200,193,0.965,5
original,200,0.0847522596585356,0.12891761248009548,False,0.13649225554923072,0.10552493273561624,False,199,197,0.9899497487437185,5
half,100,0.08143932736435462,,True,,,True,199,199,1.0,11
sqrt,14,0.08094897545496282,0.13186418451378737,False,0.14975075968793036,0.10302953384039511,False,200,165,0.825,11
log,5,0.060977781391619634,0.007088559474022166,False,0.010119074517818029,0.005411393515669856,False,200,23,0.115,11
ten_percent,20,0.08153384975901382,0.05341076210552037,False,0.03753352903483986,0.04371859296482412,False,200,199,0.995,11
original,200,0.08494450938529194,0.10129627295874555,False,0.09930587918853474,0.0829145728643216,False,200,199,0.995,11
half,100,0.08127453535548684,0.09392927128901858,False,0.09214720374822445,0.07688442211055276,False,200,199,0.995,0
sqrt,14,0.07734017511510437,0.1196615247379976,False,0.07368589780915712,0.09447235111728797,False,200,176,0.88,0
log,5,0.062283910415178265,0.22102479614915324,False,0.12482209508790816,0.15937832883726458,False,200,71,0.355,0
ten_percent,20,0.07769859053607937,0.03238367091379169,False,0.0218942508272186,0.02617025432756349,False,200,192,0.96,0
original,200,0.07815126491604842,,True,,,True,199,199,1.0,0
half,100,0.07382986461379369,,True,,,True,200,200,1.0,16
sqrt,14,0.07336832665523112,-0.023750454207974503,False,-0.05621150934363379,-0.020104677200356563,False,200,170,0.85,16
