dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,18,0.22585039654107636,-0.0781954887218045,False,-0.08559337687630945,-0.06315789473684211,False,20,1,0.05,1
sqrt,10,0.1720554941166863,-0.02727350992600029,False,-0.20165869059822597,-0.010814761408717502,False,20,5,0.25,1
log,4,0.22212173417185127,0.009056668257034522,False,-0.013533216610607085,0.021393127492027906,False,20,4,0.2,1
ten_percent,10,0.1720554941166863,-0.02727350992600029,False,-0.20165869059822597,-0.010814761408717502,False,20,5,0.25,1
original,100,0.09582197565906621,,True,,,True,20,20,1.0,1
half,18,0.29227144863191584,0.09638565147529818,False,0.13717979994091464,0.07957811640969131,False,20,3,0.15,15
sqrt,10,0.2059177725572509,0.12905752266274198,False,0.02515673527327145,0.16044845619020928,False,20,4,0.2,15
log,4,0.3153026280380846,0.09101166495445288,False,0.14113912646093718,0.07915594835766294,False,20,2,0.1,15
ten_percent,10,0.2059177725572509,0.12905752266274198,False,0.02515673527327145,0.16044845619020928,False,20,4,0.2,15
original,100,0.09862105546975002,,True,,,True,20,20,1.0,15
half,18,0.22981289676209737,0.26887938732395206,False,0.1115103244393288,0.1841593557971568,False,20,7,0.35,8
sqrt,10,0.19869171619074516,0.42137079017950535,False,0.2680365826223378,0.2906565034667533,False,20,6,0.3,8
log,4,0.24700811816059692,0.06777116119356902,False,0.0766158857726828,0.04774686984581479,False,20,3,0.15,8
ten_percent,10,0.19869171619074516,0.42137079017950535,False,0.2680365826223378,0.2906565034667533,False,20,6,0.3,8
original,100,0.08486786623327693,,True,,,True,20,20,1.0,8
half,18,0.2982586064023144,0.35471950673385216,False,0.2714598337215868,0.24602096615832092,False,20,4,0.2,2
sqrt,10,0.3089419346004483,0.35455562903800386,False,0.27338401897486625,0.23792475099178503,False,20,5,0.25,2
log,4,0.2337756235453569,0.0853409195300264,False,0.10638212365783446,0.07129310462392063,False,20,6,0.3,2
ten_percent,10,0.3089419346004483,0.35455562903800386,False,0.27338401897486625,0.23792475099178503,False,20,5,0.25,2
original,100,0.0922600550388183,,True,,,True,20,20,1.0,2
half,18,0.19267556728836835,0.16830308510989156,False,0.06415253538034763,0.13905532869818138,False,20,4,0.2,12
sqrt,10,0.24900729114625397,0.011282437804271019,False,0.010235908080276758,0.005277063223844196,False,20,2,0.1,12
log,4,0.2526086164004882,-0.016541353383458645,False,-0.00453036776938252,-0.031578947368421054,False,20,1,0.05,12
ten_percent,10,0.24900729114625397,0.011282437804271019,False,0.010235908080276758,0.005277063223844196,False,20,2,0.1,12
original,100,0.08343306883936516,,True,,,True,20,20,1.0,12
half,18,0.2700200093131856,0.016667144954777956,False,-0.05293544566524354,0.010814761408717502,False,20,5,0.25,14
sqrt,10,0.333443310158671,0.16114476106026412,False,0.03212410279616346,0.09018853193098349,False,20,3,0.15,14
log,4,0.26163607476198936,-0.050001434864333866,False,-0.0840363129912457,-0.021629522817435003,False,20,5,0.25,14
ten_percent,10,0.333443310158671,0.16114476106026412,False,0.03212410279616346,0.09018853193098349,False,20,3,0.15,14
original,100,0.049414602078609086,,True,,,True,20,20,1.0,14
half,18,0.35990869017497984,-0.024096412868824545,False,-0.0740418473082107,-0.005305207760646087,False,20,3,0.15,6
sqrt,10,0.27477884242067663,0.2090969094326689,False,0.14008188432297508,0.17303618253948003,False,20,5,0.25,6
log,4,0.47744763686371794,-0.013538925365125222,False,-0.01474018991133251,-0.026385316119220983,False,20,2,0.1,6
ten_percent,10,0.27477884242067663,0.2090969094326689,False,0.14008188432297508,0.17303618253948003,False,20,5,0.25,6
original,100,0.06313114592088616,,True,,,True,20,20,1.0,6
half,18,0.2905606369072166,0.20830336991179407,False,0.3017582298770115,0.13905532869818138,False,20,4,0.2,5
sqrt,10,0.2942582777588966,0.4197090138612267,False,0.40091039724986577,0.30281331944409007,False,20,5,0.25,5
log,4,0.31018461506055617,0.02037750357832768,False,0.15906616660979933,0.0,False,20,4,0.2,5
ten_percent,10,0.2942582777588966,0.4197090138612267,False,0.40091039724986577,0.30281331944409007,False,20,5,0.25,5
original,100,0.059601565293028805,,True,,,True,20,20,1.0,5
half,18,0.25810691230464133,0.368304509119404,False,0.4275186566892687,0.27811065739636276,False,20,4,0.2,9
sqrt,10,0.29702508919376547,0.34789196079365436,False,0.3505070396245758,0.2599551802716583,False,20,3,0.15,9
log,4,0.21476382451409304,0.3169387359158673,False,0.4564706012656052,0.262194467755095,False,20,8,0.4,9
ten_percent,10,0.29702508919376547,0.34789196079365436,False,0.3505070396245758,0.2599551802716583,False,20,3,0.15,9
original,100,0.06674976859233872,,True,,,True,20,20,1.0,9
half,18,0.2619629941531863,0.08754779315133372,False,0.3106327237876987,0.07487594622209767,False,20,4,0.2,0
sqrt,10,0.2553970995192757,0.0647676621433236,False,0.2396445295304606,0.04935676473963736,False,20,6,0.3,0
log,4,0.2875072110445961,0.14065439129324533,False,0.30676330945413477,0.1213724541484165,False,20,2,0.1,0
ten_percent,10,0.2553970995192757,0.0647676621433236,False,0.2396445295304606,0.04935676473963736,False,20,6,0.3,0
original,100,0.06382667608143819,,True,,,True,20,20,1.0,0
half,18,0.2942123847421579,-0.014339724740304663,False,0.1494765190062447,-0.021393127492027906,False,20,4,0.2,10
sqrt,10,0.30422906619369167,-0.20233171795659358,False,0.05336616308415909,-0.16358895993917008,False,20,2,0.1,10
log,4,0.37624777714340035,-0.14436090225563908,False,0.039170346363627345,-0.09473684210526316,False,20,1,0.05,10
ten_percent,10,0.30422906619369167,-0.20233171795659358,False,0.05336616308415909,-0.16358895993917008,False,20,2,0.1,10
original,100,0.06991796401454808,,True,,,True,20,20,1.0,10
half,18,0.18319746752274063,0.10943474143916716,False,0.07729875583287775,0.05348281873006977,False,20,4,0.2,7
sqrt,10,0.2048544861695809,0.17921707071188253,False,0.16406109427865795,0.12201977849486002,False,20,3,0.15,7
log,4,0.14411858265213,0.16246710438150266,False,0.08883082284556698,0.11081832770072811,False,20,2,0.1,7
ten_percent,10,0.2048544861695809,0.17921707071188253,False,0.16406109427865795,0.12201977849486002,False,20,3,0.15,7
original,100,0.07434121728489848,,True,,,True,20,20,1.0,7
half,18,0.306745867971986,0.3131706957753647,False,0.3209272278265339,0.2138793138717619,False,20,6,0.3,11
sqrt,10,0.3700927040132379,0.31879699248120297,False,0.29991909246697196,0.23157894736842105,False,20,1,0.05,11
log,4,0.22760959392454208,0.0,False,-0.09072434533980357,0.0,False,20,5,0.25,11
ten_percent,10,0.3700927040132379,0.31879699248120297,False,0.29991909246697196,0.23157894736842105,False,20,1,0.05,11
original,100,0.06692257123321661,,True,,,True,20,20,1.0,11
half,18,0.4568356994122646,-0.02706766917293233,False,-0.1616566942094125,0.0,False,20,1,0.05,3
sqrt,10,0.3968256313943971,0.03459947593309779,False,-0.054880865286153345,0.036939442566909376,False,20,2,0.1,3
log,4,0.44410599257643524,-0.02857142857142857,False,-0.11022751334106155,0.0,False,20,1,0.05,3
ten_percent,10,0.3968256313943971,0.03459947593309779,False,-0.054880865286153345,0.036939442566909376,False,20,2,0.1,3
original,100,0.10091114001917975,,True,,,True,20,20,1.0,3
half,18,0.3164501830972231,0.0631816517039177,False,0.08346381114339901,0.04749356901459777,False,20,2,0.1,4
sqrt,10,0.2985920639813852,0.132530270778535,False,0.06586562811489875,0.10079894745227566,False,20,3,0.15,4
log,4,0.3824102543493768,0.04964272633879248,False,0.049716600065656195,0.026385316119220983,False,20,2,0.1,4
ten_percent,10,0.2985920639813852,0.132530270778535,False,0.06586562811489875,0.10079894745227566,False,20,3,0.15,4
original,100,0.07695115084283395,,True,,,True,20,20,1.0,4
half,18,0.21272174639151417,0.20985334315944093,False,0.20502181800444155,0.16358895993917008,False,20,2,0.1,13
sqrt,10,0.15157446910500127,0.006214485017958182,False,-0.06544998859250845,0.011399759467612822,False,20,8,0.4,13
log,4,0.17367570390915665,0.30421721246890987,False,0.27573069421112206,0.23873434922907394,False,20,3,0.15,13
ten_percent,10,0.15157446910500127,0.006214485017958182,False,-0.06544998859250845,0.011399759467612822,False,20,8,0.4,13
original,100,0.09322488879758857,,True,,,True,20,20,1.0,13
half,18,0.20228759332063487,0.5230225918437438,False,0.5619419973339275,0.3850762948565023,False,20,4,0.2,16
sqrt,10,0.21170115319399213,0.576607879031198,False,0.5387579964344603,0.39577285860251626,False,20,4,0.2,16
log,4,0.18967972332701122,0.4945201497766708,False,0.4781997012197407,0.3345291832353199,False,20,6,0.3,16
ten_percent,10,0.21170115319399213,0.576607879031198,False,0.5387579964344603,0.39577285860251626,False,20,4,0.2,16
original,100,0.06880322754538429,,True,,,True,20,20,1.0,16
half,18,0.2797816482675381,0.2771087479914823,False,0.28021887784532773,0.19629268714390524,False,20,3,0.15,18
sqrt,10,0.32851129856532224,0.1506025804301534,False,0.08327443569733808,0.10079894745227566,False,20,3,0.15,18
log,4,0.25965122375723704,0.19427732875489787,False,0.048281622767453514,0.14324060953744436,False,20,3,0.15,18
ten_percent,10,0.32851129856532224,0.1506025804301534,False,0.08327443569733808,0.10079894745227566,False,20,3,0.15,18
original,100,0.07504157614771916,,True,,,True,20,20,1.0,18
half,18,0.3056744081074638,0.1744360902255639,False,0.2282551880878963,0.11578947368421053,False,20,1,0.05,19
sqrt,10,0.2742557410417473,0.222891819036627,False,0.2584389952584814,0.16446144058002873,False,20,3,0.15,19
log,4,0.3426088814446343,0.16397142942207213,False,0.2062511597247009,0.08971007480535134,False,20,2,0.1,19
ten_percent,10,0.2742557410417473,0.222891819036627,False,0.2584389952584814,0.16446144058002873,False,20,3,0.15,19
original,100,0.11992249548778418,,True,,,True,20,20,1.0,19
half,18,0.2761695675982025,0.14968034153666215,False,0.04388496536434639,0.08971007480535134,False,20,2,0.1,17
