dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,10,0.07703783324969425,0.08587620484023385,False,-0.009581108400539858,0.06498525028437543,False,100,71,0.71,12
sqrt,4,0.06059971089747271,0.0178748172424915,False,-0.002217780003549019,0.015134803477626356,False,100,28,0.28,12
log,2,0.05638957725690426,0.1641306044660732,False,0.19304359313194533,0.11520528398603935,False,100,14,0.14,12
ten_percent,2,0.05638957725690426,0.1641306044660732,False,0.19304359313194533,0.11520528398603935,False,100,14,0.14,12
original,20,0.07835082766718238,0.0017946150098525548,False,-0.014959982744725427,0.0014727540500736379,False,98,97,0.9897959183673469,12
half,10,0.08472779546610382,0.1156911341081287,False,0.26190073029768085,0.08987080422018955,False,100,78,0.78,1
sqrt,4,0.06984904415504649,-0.09003137524513097,False,-0.0796453182763937,-0.0598625149805767,False,100,30,0.3,1
log,2,0.18041328997680875,0.05763749290001725,False,0.10275995982733782,0.03921569348539585,False,100,4,0.04,1
ten_percent,2,0.18041328997680875,0.05763749290001725,False,0.10275995982733782,0.03921569348539585,False,100,4,0.04,1
original,20,0.0857455721446019,,True,,,True,100,100,1.0,1
half,10,0.0696090771449505,0.0023875108667875456,False,0.0014110087156284645,0.0,False,100,72,0.72,10
sqrt,4,0.05412560137463828,0.21866936362543973,False,0.3115989922849106,0.15670323502164432,False,100,42,0.42,10
log,2,0.48512921618718585,-0.08874219891158738,False,-0.11478293374203692,-0.06268961748578833,False,100,5,0.05,10
ten_percent,2,0.48512921618718585,-0.08874219891158738,False,-0.11478293374203692,-0.06268961748578833,False,100,5,0.05,10
original,20,0.07315141604289416,,True,,,True,100,100,1.0,10
half,10,0.062814103475628,0.027911086388995088,False,0.028468806267579437,0.026962898024044318,False,100,51,0.51,9
sqrt,4,0.05498207815903312,0.026474090882892563,False,0.037745283280037255,0.02263353039901663,False,100,30,0.3,9
log,2,0.33639552225091174,-0.10879218473252394,False,-0.05946497340399598,-0.07052642538821706,False,100,3,0.03,9
ten_percent,2,0.33639552225091174,-0.10879218473252394,False,-0.05946497340399598,-0.07052642538821706,False,100,3,0.03,9
original,20,0.07036568959502004,,True,,,True,100,100,1.0,9
half,10,0.06752054339715874,-0.09284501265699517,False,-0.12637105024624026,-0.07237468644557458,False,100,93,0.93,14
sqrt,4,0.05719623584781572,-0.04331212584818576,False,-0.07179987925130007,-0.024679370723839227,False,100,23,0.23,14
log,2,0.07460963912561763,0.05436083914454235,False,0.04113203999602572,0.03695975508650532,False,100,15,0.15,14
ten_percent,2,0.07460963912561763,0.05436083914454235,False,0.04113203999602572,0.03695975508650532,False,100,15,0.15,14
original,20,0.07584025278193857,0.06093022617196943,False,0.03826271222783246,0.0499974491748064,False,100,99,0.99,14
half,10,0.07379033608204241,-0.026413444668515185,False,0.021733907598097898,-0.02060778329595496,False,100,70,0.7,7
sqrt,4,0.060897993253364334,0.007150249758944801,False,0.02438333146868173,0.0008549643828589071,False,100,33,0.33,7
log,2,0.09630415997227848,-0.036965426497942995,False,-0.0002457502240330805,-0.01789749480570732,False,100,12,0.12,7
ten_percent,2,0.09630415997227848,-0.036965426497942995,False,-0.0002457502240330805,-0.01789749480570732,False,100,12,0.12,7
original,20,0.09457601304141498,-0.12561651037726054,False,-0.12038773543035892,-0.10308215702638548,False,99,97,0.9797979797979798,7
half,10,0.08170940241862318,0.06158321398082456,False,-0.029973602735877538,0.0509531873596702,False,100,83,0.83,6
sqrt,4,0.06446877054242134,0.25599934894870585,False,0.16873536103574205,0.17578003515497964,False,100,30,0.3,6
log,2,0.059577433912792924,0.14049145745547992,False,0.1254282906588646,0.09278805555714986,False,100,8,0.08,6
ten_percent,2,0.059577433912792924,0.14049145745547992,False,0.1254282906588646,0.09278805555714986,False,100,8,0.08,6
original,20,0.09327662873197122,0.03629879935567609,False,0.08476185664876032,0.02936718271824956,False,100,98,0.98,6
half,10,0.0784695490835551,0.006082839104077409,False,-0.031855992536305965,0.001760787160475864,False,100,82,0.82,2
sqrt,4,0.06197926642822521,0.11352998881667643,False,0.16993485228421504,0.07962812832560377,False,100,26,0.26,2
log,2,0.11215851513660338,0.1515607508882996,False,0.20260658748307084,0.09611380249977879,False,100,13,0.13,2
ten_percent,2,0.11215851513660338,0.1515607508882996,False,0.20260658748307084,0.09611380249977879,False,100,13,0.13,2
original,20,0.07906584366154512,,True,,,True,100,100,1.0,2
half,10,0.06959700711702085,0.026853575591529868,False,0.017230480447395252,0.02005039560212724,False,100,58,0.58,11
sqrt,4,0.061793669562806776,-0.008975179118308519,False,-0.00284558590506564,-0.008754275592730114,False,100,25,0.25,11
log,2,0.11809392986639888,0.1317907738924409,False,0.14757049507280232,0.08392518972681595,False,100,15,0.15,11
ten_percent,2,0.11809392986639888,0.1317907738924409,False,0.14757049507280232,0.08392518972681595,False,100,15,0.15,11
original,20,0.07550889359588912,,True,,,True,99,99,1.0,11
half,10,0.08409539151437054,0.07100864476418906,False,0.07774413070122937,0.0568675674701113,False,100,77,0.77,13
sqrt,4,0.06841729608657876,0.08712848120827338,False,0.10086275409444717,0.05650840292956709,False,100,29,0.29,13
log,2,0.32699592552060613,-0.028336533896437355,False,-0.07246683142553674,-0.020222457253480104,False,100,5,0.05,13
ten_percent,2,0.32699592552060613,-0.028336533896437355,False,-0.07246683142553674,-0.020222457253480104,False,100,5,0.05,13
original,20,0.09246908496908951,0.16852112742896097,False,0.1445089347096985,0.13674728041105133,False,100,96,0.96,13
