dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,18,0.212485988755793,0.4397595348560479,False,0.5033240116400002,0.34483850444199565,False,20,3,0.15,9
sqrt,14,0.2259733348626134,0.3939506989311154,False,0.5200874394107068,0.30281331944409007,False,20,5,0.25,9
log,5,0.32329986305931585,0.35727719713524886,False,0.4504100156710696,0.269130224416054,False,20,2,0.1,9
ten_percent,18,0.212485988755793,0.4397595348560479,False,0.5033240116400002,0.34483850444199565,False,20,3,0.15,9
original,200,0.07868647397066021,,True,,,True,20,20,1.0,9
half,18,0.3488042756129655,0.3162654189033221,False,0.2718970641770348,0.1750718561013209,False,20,3,0.15,15
sqrt,14,0.26787470178006856,0.21971287078471516,False,0.1254813119556749,0.128353490404079,False,20,7,0.35,15
log,5,0.3478863309597335,0.34641756083157055,False,0.2905984678137914,0.22462783866629302,False,20,4,0.2,15
ten_percent,18,0.3488042756129655,0.3162654189033221,False,0.2718970641770348,0.1750718561013209,False,20,3,0.15,15
original,200,0.0584946858682975,,True,,,True,20,20,1.0,15
half,18,0.19565652280759013,0.09679657943662276,False,-0.07194141439505927,0.07254762501100118,False,20,7,0.35,2
sqrt,14,0.2975733828237167,-0.12000085440570746,False,-0.07312336990298811,-0.06417938247608372,False,20,4,0.2,2
log,5,0.24587178832731932,0.008301945902281647,False,-0.04098663639847253,0.010696563746013953,False,20,4,0.2,2
ten_percent,18,0.19565652280759013,0.09679657943662276,False,-0.07194141439505927,0.07254762501100118,False,20,7,0.35,2
original,200,0.07216301739352231,,True,,,True,20,20,1.0,2
half,18,0.26804629042495864,0.12180451127819547,False,0.10343444682870108,0.0736842105263158,False,20,1,0.05,6
sqrt,14,0.2877997341729054,0.16397142942207213,False,0.17621912661499292,0.11081832770072811,False,20,2,0.1,6
log,5,0.2706348689939572,0.14868030388631678,False,0.11149273543735026,0.12835876495216744,False,20,4,0.2,6
ten_percent,18,0.26804629042495864,0.12180451127819547,False,0.10343444682870108,0.0736842105263158,False,20,1,0.05,6
original,200,0.07997986845241997,,True,,,True,20,20,1.0,6
half,18,0.2381550004370073,0.37879874897222626,False,0.16040212607409698,0.27036903521793754,False,20,5,0.25,11
