dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,10,0.27865976924643115,0.11530519190677574,False,0.10818230364805803,0.07029020403056227,False,50,3,0.06,5
sqrt,4,0.3636246862165101,0.06536041906918859,False,0.11504244776547537,0.027789150430687408,False,50,3,0.06,5
log,2,0.34765643928310225,0.030355428348939537,False,0.08927317081570545,0.005728331501262048,False,50,4,0.08,5
ten_percent,2,0.34765643928310225,0.030355428348939537,False,0.08927317081570545,0.005728331501262048,False,50,4,0.08,5
original,20,0.0848156357552959,,True,,,True,50,50,1.0,5
half,10,0.2519788155241827,0.07669404059771799,False,0.1533427207944934,0.04577036541524985,False,50,3,0.06,7
sqrt,4,0.24703269293143443,0.09428434469773468,False,0.15901410330692442,0.06792164494353571,False,50,4,0.08,7
log,2,0.2550568962176088,-0.12976220570279176,False,-0.07713886721268831,-0.08770565461252774,False,50,5,0.1,7
ten_percent,2,0.2550568962176088,-0.12976220570279176,False,-0.07713886721268831,-0.08770565461252774,False,50,5,0.1,7
original,20,0.08366275463552436,0.14354149236844196,False,0.12138715374054933,0.11836734693877551,False,50,49,0.98,7
half,10,0.2516735774510377,0.10576369181070391,False,0.01652461936236047,0.06628497880031799,False,50,4,0.08,15
sqrt,4,0.34229204337821156,0.060942227625863564,False,0.03496771454225881,0.04250105359987486,False,50,3,0.06,15
log,2,0.279906726221429,0.008404168506324763,False,0.006677642874685905,0.003269311815374989,False,50,3,0.06,15
ten_percent,2,0.279906726221429,0.008404168506324763,False,0.006677642874685905,0.003269311815374989,False,50,3,0.06,15
original,20,0.07741291410387884,,True,,,True,50,50,1.0,15
half,10,0.3274616874561134,0.12422569027611044,False,0.08306989216270713,0.08408163265306123,False,50,1,0.02,2
sqrt,4,0.32493209200552053,0.10631707847190437,False,0.08710435801612094,0.06859943405700354,False,50,2,0.04,2
log,2,0.2595144436867849,0.06781211097142428,False,-0.008707592925221292,0.04928224924937734,False,50,6,0.12,2
ten_percent,2,0.2595144436867849,0.06781211097142428,False,-0.008707592925221292,0.04928224924937734,False,50,6,0.12,2
original,20,0.06519348421234565,,True,,,True,50,50,1.0,2
half,10,0.2369309132023904,0.2423800149574642,False,0.15187362446441258,0.18643332553898836,False,50,9,0.18,0
sqrt,4,0.33884406203526973,0.27231692677070823,False,0.23473741786943436,0.19836734693877553,False,50,1,0.02,0
log,2,0.30940480392169645,0.2995436329348044,False,0.2175592299217275,0.22869044520462845,False,50,5,0.1,0
ten_percent,2,0.30940480392169645,0.2995436329348044,False,0.2175592299217275,0.22869044520462845,False,50,5,0.1,0
original,20,0.08497974945962444,,True,,,True,50,50,1.0,0
half,10,0.170751769068347,0.42203539793412,False,0.35264338162096454,0.291111254869791,False,50,10,0.2,10
sqrt,4,0.22801512796296422,0.44384153661464587,False,0.4174573702117572,0.3126530612244898,False,50,1,0.02,10
log,2,0.22212901794863962,0.3501801989513696,False,0.32903005520080764,0.2467233835361762,False,50,5,0.1,10
ten_percent,2,0.22212901794863962,0.3501801989513696,False,0.32903005520080764,0.2467233835361762,False,50,5,0.1,10
original,20,0.080845912905245,,True,,,True,50,50,1.0,10
half,10,0.24677026518497652,0.015617818442491932,False,-0.060292404434666026,0.004196239253186048,False,50,12,0.24,6
sqrt,4,0.3052666560400191,0.12197529244895451,False,0.09420492953878934,0.08542256536558739,False,50,6,0.12,6
log,2,0.3238030084371848,0.04912836789697276,False,0.06790778219224286,0.031058462246062395,False,50,3,0.06,6
ten_percent,2,0.3238030084371848,0.04912836789697276,False,0.06790778219224286,0.031058462246062395,False,50,3,0.06,6
original,20,0.08268980936395798,,True,,,True,50,50,1.0,6
half,10,0.37473598711493994,0.132324691616026,False,0.14711455334705129,0.084288306375713,False,50,4,0.08,4
sqrt,4,0.38735494718610464,0.10206532474920336,False,0.10672309026078414,0.05646498194101162,False,50,4,0.08,4
log,2,0.5182367321147285,0.1570708283313325,False,0.16351697637674042,0.10204081632653061,False,50,1,0.02,4
ten_percent,2,0.5182367321147285,0.1570708283313325,False,0.16351697637674042,0.10204081632653061,False,50,1,0.02,4
