dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,50,0.30839968753803354,0.242801057744105,False,0.2270053788917041,0.16860241569757783,False,198,3,0.015151515151515152,6
sqrt,10,0.30719148296599563,0.24231514655017428,False,0.2389509135688028,0.1667714352908596,False,200,7,0.035,6
log,4,0.2619975789068886,0.2726465418010442,False,0.24253890970546352,0.19331810934379112,False,200,7,0.035,6
ten_percent,10,0.30719148296599563,0.24231514655017428,False,0.2389509135688028,0.1667714352908596,False,200,7,0.035,6
original,100,0.1259876920323659,-0.059312067080260725,False,-0.09081832091523698,-0.04815655718484339,False,188,174,0.925531914893617,6
half,50,0.24289935236209398,0.20186679959155285,False,0.19133133291014212,0.15669612551111456,False,197,12,0.06091370558375635,3
sqrt,10,0.23462379379893497,0.21712371586032728,False,0.21278784426482555,0.1694269212025263,False,200,12,0.06,3
log,4,0.2397841276579404,0.19024422621515905,False,0.1891537173131789,0.14450458351785708,False,200,13,0.065,3
ten_percent,10,0.23462379379893497,0.21712371586032728,False,0.21278784426482555,0.1694269212025263,False,200,12,0.06,3
original,100,0.13884617764272186,-0.04920874738185755,False,-0.01735592127352914,-0.03794966761805116,False,194,173,0.8917525773195877,3
half,50,0.2927815971160176,0.14907610568570795,False,0.10297606740469571,0.10546024221698515,False,198,6,0.030303030303030304,13
sqrt,10,0.2504483902571168,0.15733761638833985,False,0.09668818921225106,0.11183779394733727,False,200,18,0.09,13
log,4,0.2943361946918818,0.14307249063901567,False,0.10830223399545705,0.0951424090411245,False,200,14,0.07,13
ten_percent,10,0.2504483902571168,0.15733761638833985,False,0.09668818921225106,0.11183779394733727,False,200,18,0.09,13
original,100,0.1074284504278218,0.08890188001226268,False,0.07269870395542172,0.07176920581076938,False,195,185,0.9487179487179487,13
half,50,0.26596545366814384,0.38208578316846864,False,0.3355002514044651,0.2623078370897312,False,198,15,0.07575757575757576,12
sqrt,10,0.2541140078492963,0.3772359271171742,False,0.3215743549289118,0.25759074887712785,False,200,13,0.065,12
log,4,0.26944769388480627,0.4038003149181396,False,0.3438394835074719,0.2747662352445407,False,200,8,0.04,12
ten_percent,10,0.2541140078492963,0.3772359271171742,False,0.3215743549289118,0.25759074887712785,False,200,13,0.065,12
original,100,0.10327705374575909,-0.009653522366404859,False,-0.014230905844281458,-0.007186629808692884,False,198,188,0.9494949494949495,12
half,50,0.2765853503038704,0.2518799399585899,False,0.1655056583229823,0.17685319593467277,False,199,9,0.04522613065326633,0
sqrt,10,0.26616303235785366,0.27338225060639104,False,0.20541462531071641,0.18739793164997426,False,200,10,0.05,0
log,4,0.3443655657889977,0.22464120027047266,False,0.20278669947100503,0.15030528409980914,False,200,2,0.01,0
ten_percent,10,0.26616303235785366,0.27338225060639104,False,0.20541462531071641,0.18739793164997426,False,200,10,0.05,0
original,100,0.12132356218909816,-0.09838424404932959,False,-0.11329084465599613,-0.08075307437892675,False,190,179,0.9421052631578948,0
half,50,0.24973761038302178,0.27809370473435363,False,0.21197078707352526,0.19709548878064,False,199,14,0.07035175879396985,5
sqrt,10,0.27745153072479545,0.27310187581864537,False,0.20512038950694425,0.19281227047718896,False,200,5,0.025,5
log,4,0.2461035262611459,0.26264356766275193,False,0.19267958274470098,0.186391768258565,False,200,10,0.05,5
ten_percent,10,0.27745153072479545,0.27310187581864537,False,0.20512038950694425,0.19281227047718896,False,200,5,0.025,5
original,100,0.11020394643598737,0.11031637197626142,False,0.17325287234243736,0.08933737540235119,False,189,179,0.9470899470899471,5
half,50,0.28869776443867134,0.1708154546648718,False,0.12968907038745653,0.13061435779806788,False,198,7,0.03535353535353535,14
sqrt,10,0.26787277028166406,0.14936907819961828,False,0.10365612705055278,0.11300454901473204,False,200,16,0.08,14
log,4,0.29331534674173004,0.1590081307301581,False,0.13550563123926157,0.11608494848953335,False,200,9,0.045,14
ten_percent,10,0.26787277028166406,0.14936907819961828,False,0.10365612705055278,0.11300454901473204,False,200,16,0.08,14
original,100,0.11754910759105819,0.07679461411678788,False,0.07235065382714519,0.06292612605797297,False,192,179,0.9322916666666666,14
half,50,0.2806743802978758,0.304043127001924,False,0.2628057040628632,0.21129917894062167,False,199,9,0.04522613065326633,7
sqrt,10,0.2827437587189358,0.29453483827794,False,0.26018100021051516,0.20540825635619994,False,200,10,0.05,7
log,4,0.2745877672356816,0.2943840417308343,False,0.2537122051535681,0.200558111358227,False,200,7,0.035,7
ten_percent,10,0.2827437587189358,0.29453483827794,False,0.26018100021051516,0.20540825635619994,False,200,10,0.05,7
original,100,0.1099560191730476,0.019354876002258325,False,-0.022469703346695624,0.017062620626143533,False,191,179,0.93717277486911,7
half,50,0.29589289246311257,0.2509092308886409,False,0.20244591903120182,0.1685673261607283,False,197,8,0.04060913705583756,4
sqrt,10,0.3052952907031878,0.2607952478652099,False,0.21580139537766765,0.1791224828120416,False,200,4,0.02,4
log,4,0.3354654344045754,0.21590120716122402,False,0.19339322213832222,0.1448459583233176,False,200,4,0.02,4
ten_percent,10,0.3052952907031878,0.2607952478652099,False,0.21580139537766765,0.1791224828120416,False,200,4,0.02,4
original,100,0.13156511141284163,0.0011414749386542554,False,0.009227404605237336,0.00026574221615751346,False,196,180,0.9183673469387755,4
half,50,0.2786109915153592,0.19368967209395946,False,0.13231396724713335,0.13099700645059253,False,198,8,0.04040404040404041,9
sqrt,10,0.25655102607976493,0.18743241919588885,False,0.12025474177942157,0.1304997256884879,False,200,14,0.07,9
log,4,0.2839848065597088,0.14622123563455378,False,0.10572305802445606,0.09757573659865454,False,200,9,0.045,9
ten_percent,10,0.25655102607976493,0.18743241919588885,False,0.12025474177942157,0.1304997256884879,False,200,14,0.07,9
original,100,0.10614312451128192,0.07559706496195343,False,0.12549161890499455,0.062413023149677685,False,191,181,0.9476439790575916,9
half,50,0.2745375866783866,0.2561784123342214,False,0.22810841106190896,0.1822903026929559,False,198,13,0.06565656565656566,1
sqrt,10,0.2764282094175578,0.26286660209344037,False,0.22647090561482608,0.18797148377454118,False,200,8,0.04,1
log,4,0.25271936257791494,0.27903003238480467,False,0.22300690958630254,0.2044060791427485,False,200,9,0.045,1
ten_percent,10,0.2764282094175578,0.26286660209344037,False,0.22647090561482608,0.18797148377454118,False,200,8,0.04,1
original,100,0.11435032648425793,-0.0114509739841906,False,-0.01986574925960253,-0.009338962076602486,False,186,176,0.946236559139785,1
half,50,0.2781974989608318,0.16814133348239627,False,0.13180157807541729,0.11758229047275964,False,195,17,0.08717948717948718,11
sqrt,10,0.27109015076466797,0.1964507626024231,False,0.17035095528971497,0.13467803522183944,False,200,16,0.08,11
log,4,0.3138151732853381,0.16653565766466566,False,0.16315033845977958,0.11477723243202562,False,200,9,0.045,11
ten_percent,10,0.27109015076466797,0.1964507626024231,False,0.17035095528971497,0.13467803522183944,False,200,16,0.08,11
original,100,0.13222744245106702,-0.006782342805384984,False,-0.015924878560454343,-0.005267950692051471,False,190,174,0.9157894736842105,11
half,50,0.2802643820822294,0.14054317453715223,False,0.14480895472838015,0.10058390921185141,False,199,4,0.020100502512562814,2
sqrt,10,0.25366990843243525,0.17282476468495225,False,0.1685707703865639,0.11726845911242108,False,200,8,0.04,2
log,4,0.24754032055367145,0.1523594004070815,False,0.1638292906295134,0.10449503518016774,False,200,12,0.06,2
ten_percent,10,0.25366990843243525,0.17282476468495225,False,0.1685707703865639,0.11726845911242108,False,200,8,0.04,2
original,100,0.1350797581051176,-0.007171490783035329,False,-0.053142745830024166,-0.004764131209915454,False,182,165,0.9065934065934066,2
half,50,0.3032002125101957,0.2139505949185663,False,0.1662574750824656,0.15157267024208051,False,194,7,0.03608247422680412,10
sqrt,10,0.28958449661903407,0.2334625980238754,False,0.17750395157108637,0.16399562815129515,False,200,11,0.055,10
log,4,0.29627415325923384,0.2099923328074455,False,0.157731455073342,0.14339356195875144,False,200,14,0.07,10
ten_percent,10,0.28958449661903407,0.2334625980238754,False,0.17750395157108637,0.16399562815129515,False,200,11,0.055,10
original,100,0.10860521232779179,-0.013919275009029843,False,-0.052794029196909224,-0.010467107655286521,False,188,177,0.9414893617021277,10
half,50,0.3069437971972296,0.23637119809227494,False,0.2071815081940893,0.16089306326298863,False,198,9,0.045454545454545456,8
sqrt,10,0.2872089723458784,0.20356500482161105,False,0.15567262551832659,0.13699659421143698,False,200,16,0.08,8
log,4,0.3220727221971128,0.18854519835480021,False,0.17036987705541404,0.12664727049248048,False,200,9,0.045,8
ten_percent,10,0.2872089723458784,0.20356500482161105,False,0.15567262551832659,0.13699659421143698,False,200,16,0.08,8
original,100,0.12398226433416272,0.042876845242087284,False,0.045146774609906404,0.03437177129613351,False,182,166,0.9120879120879121,8
half,50,0.26879252131823544,0.10678189840744617,False,0.043567842092930874,0.07636910260915457,False,197,5,0.025380710659898477,21
sqrt,10,0.2786542981762575,0.11232634649430799,False,0.05772780629197074,0.07925175452880602,False,200,8,0.04,21
log,4,0.28648407333632603,0.1060252982280696,False,0.055072955268800815,0.07589083867738014,False,200,4,0.02,21
ten_percent,10,0.2786542981762575,0.11232634649430799,False,0.05772780629197074,0.07925175452880602,False,200,8,0.04,21
original,100,0.14772476366456747,-0.0292592573804345,False,-0.026532831650806166,-0.024792884567458394,False,188,167,0.8882978723404256,21
half,50,0.2673688675661683,0.0978776487400642,False,0.03938645835656185,0.07036206745921171,False,200,14,0.07,15
sqrt,10,0.23339929413961408,0.1242682427403802,False,0.03940666745741458,0.08958169648288532,False,200,19,0.095,15
log,4,0.44854329135142895,0.006736668416710419,False,0.015430055839566978,0.006130653266331658,False,200,1,0.005,15
ten_percent,10,0.23339929413961408,0.1242682427403802,False,0.03940666745741458,0.08958169648288532,False,200,19,0.095,15
original,100,0.12586049212329672,-0.10869538409431688,False,-0.1382157773820873,-0.08834591378668896,False,183,168,0.9180327868852459,15
half,50,0.290088643479212,0.22714197611421372,False,0.17530840145922866,0.16627742209217136,False,199,5,0.02512562814070352,16
sqrt,10,0.28569673672625906,0.22166369657892174,False,0.16788538120886817,0.1622464340318372,False,200,7,0.035,16
log,4,0.3078201108514623,0.2412005952805701,False,0.19399004055225438,0.1717992144675512,False,200,7,0.035,16
ten_percent,10,0.28569673672625906,0.22166369657892174,False,0.16788538120886817,0.1622464340318372,False,200,7,0.035,16
original,100,0.11877657439540387,-0.018485687109345974,False,-0.01128717984013143,-0.013598430816710775,False,193,180,0.9326424870466321,16
half,50,0.24514866340896002,0.32716517523760574,False,0.2583072257928673,0.2384823074690014,False,199,8,0.04020100502512563,17
sqrt,10,0.22949782063701366,0.33629203604545316,False,0.280629667151611,0.23987991718142979,False,200,15,0.075,17
log,4,0.23168662368978496,0.2972808268409534,False,0.2549381803882209,0.20933229358269603,False,200,10,0.05,17
ten_percent,10,0.22949782063701366,0.33629203604545316,False,0.280629667151611,0.23987991718142979,False,200,15,0.075,17
original,100,0.1237789949091629,0.060860296182081774,False,0.09266791880613484,0.049344947772079525,False,192,179,0.9322916666666666,17
half,50,0.3018297348558737,0.22549008966283185,False,0.20186882837256181,0.15315472942220462,False,198,14,0.0707070707070707,23
sqrt,10,0.3067509505560415,0.21235649824751232,False,0.1981510915637425,0.14552955431875927,False,200,8,0.04,23
log,4,0.40114626586353835,0.16920723018075454,False,0.1737315276442335,0.11165829145728642,False,200,1,0.005,23
ten_percent,10,0.3067509505560415,0.21235649824751232,False,0.1981510915637425,0.14552955431875927,False,200,8,0.04,23
original,100,0.10751674678587365,0.014229009711981464,False,-0.003308083609745892,0.010464104722382035,False,192,178,0.9270833333333334,23
half,50,0.30961130003156717,0.16732376100984508,False,0.12074633579387914,0.11657441866695596,False,199,8,0.04020100502512563,18
sqrt,10,0.31755973677497445,0.14113097397005187,False,0.10555751878853056,0.0968520807249241,False,200,8,0.04,18
log,4,0.3194237371438225,0.151257088149329,False,0.11337902209100179,0.10572381357235662,False,200,9,0.045,18
ten_percent,10,0.31755973677497445,0.14113097397005187,False,0.10555751878853056,0.0968520807249241,False,200,8,0.04,18
original,100,0.12111374432592965,-0.02452119293059156,False,0.01251531931484935,-0.020365313148498973,False,191,178,0.9319371727748691,18
half,50,0.24716783608884674,0.11145019580059104,False,0.05745087576058906,0.08733428434694124,False,199,9,0.04522613065326633,20
sqrt,10,0.22701252953829504,0.179428707893604,False,0.12276378316664267,0.13540715023300354,False,200,19,0.095,20
log,4,0.256592272291465,0.13394716159897027,False,0.09768903800264044,0.09839363848785417,False,200,7,0.035,20
ten_percent,10,0.22701252953829504,0.179428707893604,False,0.12276378316664267,0.13540715023300354,False,200,19,0.095,20
original,100,0.10252236798127075,-0.0288063289405438,False,0.0302497062146421,-0.02325812766197085,False,190,179,0.9421052631578948,20
half,50,0.2831355379078789,0.19560567285932043,False,0.17881776005994893,0.1409472822926445,False,196,13,0.0663265306122449,19
sqrt,10,0.28155546097448636,0.22839998823044733,False,0.20032304708206233,0.15853542358709233,False,200,9,0.045,19
log,4,0.3032856929204609,0.18599501983972194,False,0.158547177915293,0.12795498654998824,False,200,9,0.045,19
ten_percent,10,0.28155546097448636,0.22839998823044733,False,0.20032304708206233,0.15853542358709233,False,200,9,0.045,19
original,100,0.09575020567937895,-0.11405281529969337,False,-0.08949724529904221,-0.09241005461159724,False,187,180,0.9625668449197861,19
half,50,0.29624393370674584,0.1125367768479318,False,0.07038212718301014,0.08376310233482069,False,200,10,0.05,22
sqrt,10,0.30014806760441176,0.1254940904783763,False,0.07386993013424699,0.09252742914530651,False,200,8,0.04,22
log,4,0.38238868837985135,0.09671956306853013,False,0.0824043537674326,0.0670904843979742,False,200,3,0.015,22
ten_percent,10,0.30014806760441176,0.1254940904783763,False,0.07386993013424699,0.09252742914530651,False,200,8,0.04,22
original,100,0.12630949314944379,0.01655494059711165,False,0.01177845492304208,0.013081245202351243,False,191,178,0.9319371727748691,22
half,50,0.2720896002037875,0.1690303374318242,False,0.058538520719239616,0.13006475971471396,False,196,9,0.04591836734693878,26
sqrt,10,0.25679119245415305,0.2012105849446861,False,0.10267445274911323,0.1488784434701121,False,200,9,0.045,26
