dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,25,0.07295258583744393,-0.17234549688642783,False,-0.15228581108570008,-0.1414213562373095,False,100,99,0.99,13
sqrt,7,0.06781584748216156,0.015297829631236333,False,-0.049460260980276706,0.013106231601217355,False,100,62,0.62,13
log,3,0.05118999634760343,0.18032026137480708,False,0.2396784135238652,0.13375239997248706,False,100,16,0.16,13
ten_percent,5,0.046952428538098445,0.15497935295095844,False,0.19254304558305368,0.11021142893565117,False,100,17,0.17,13
original,50,0.07328542494620899,,True,,,True,99,99,1.0,13
half,25,0.0673428606350989,,True,,,True,100,100,1.0,9
sqrt,7,0.06361261226360783,0.1066241536724553,False,0.1195993371192221,0.08249216360766218,False,100,62,0.62,9
log,3,0.05974390075484397,0.044969630644067005,False,-0.007934122259081525,0.032988211874924074,False,100,13,0.13,9
ten_percent,5,0.054928885167139736,0.09246786701759378,False,0.09396533438458347,0.06550570513895339,False,100,39,0.39,9
original,50,0.08174635006194406,-0.0009155116401908764,False,-0.04541126616457278,-0.0010126614730430882,False,100,98,0.98,9
half,25,0.06841588955730944,,True,,,True,100,100,1.0,0
sqrt,7,0.061226008591990864,0.059394390848586935,False,0.0592814756284822,0.04401452974364257,False,100,50,0.5,0
log,3,0.07427389819365283,-0.06406212114136801,False,-0.005541034104402033,-0.04186049609245078,False,100,15,0.15,0
ten_percent,5,0.051978426213138584,0.1259543995998738,False,0.14342689230088715,0.09276363554019142,False,100,33,0.33,0
original,50,0.06848508452919311,,True,,,True,99,99,1.0,0
half,25,0.07674791554340939,0.12360131594885228,False,0.1141153382166411,0.10142339689746441,False,100,99,0.99,7
sqrt,7,0.05833885689425625,0.047492674682249894,False,-0.012166011370334198,0.033857280981044534,False,100,21,0.21,7
log,3,0.052760613254022884,0.316865655842651,False,0.27088430406276004,0.21663108030043035,False,100,24,0.24,7
ten_percent,5,0.07073684366711412,0.12453641904465565,False,-0.07177996701437592,0.08686465393851153,False,100,50,0.5,7
original,50,0.07768422173635783,,True,,,True,98,98,1.0,7
half,25,0.07620065231967933,,True,,,True,100,100,1.0,1
sqrt,7,0.07493702105881873,-0.14426624822813872,False,-0.10763316999311626,-0.10984209404689833,False,100,78,0.78,1
log,3,0.10932739832847524,-0.04884781573845829,False,-0.02257943329248224,-0.038827117926681795,False,100,5,0.05,1
ten_percent,5,0.06591275368695132,0.20886738063439916,False,0.17295754931228927,0.1601953678404277,False,100,43,0.43,1
original,50,0.09145876768930963,0.08165790678280654,False,0.11930181765305352,0.067005939426049,False,100,98,0.98,1
half,25,0.07562082236553075,,True,,,True,100,100,1.0,10
sqrt,7,0.06812619882510901,-0.021953840496369913,False,-0.042667484384439375,-0.021683083418179778,False,100,45,0.45,10
log,3,0.06024635143192143,0.021193067616761492,False,0.004884759149844333,0.014069317867321617,False,100,14,0.14,10
ten_percent,5,0.064382567859923,-0.048221048331473365,False,-0.0995435697216994,-0.03127052419976417,False,100,37,0.37,10
original,50,0.07588645749026528,,True,,,True,99,99,1.0,10
half,25,0.07880764178747686,,True,,,True,100,100,1.0,3
sqrt,7,0.07092440028299911,0.09319133946036959,False,0.07063662558089243,0.06543574810699408,False,100,55,0.55,3
log,3,0.09924371203186486,0.10216034583925233,False,0.08293944119283846,0.07482309183787639,False,100,5,0.05,3
ten_percent,5,0.060297794142811355,0.1922462168128236,False,0.20733455067287326,0.13288883218368358,False,100,35,0.35,3
original,50,0.07880764178747686,,True,,,True,100,100,1.0,3
half,25,0.08087165954689014,0.028949962676306087,False,0.052907402093090146,0.02329121387999103,False,100,98,0.98,12
sqrt,7,0.07096048446178915,0.2137454429729069,False,0.13086795001050996,0.1535778281537899,False,100,48,0.48,12
log,3,0.06915952090498835,-0.16517298479685635,False,-0.17562034066022053,-0.1079243968747516,False,100,13,0.13,12
ten_percent,5,0.06428332620430048,0.06807838771417901,False,0.00456638727950694,0.047279760577832654,False,100,32,0.32,12
original,50,0.08315638261363376,0.16260068805748643,False,0.19750337788660177,0.13343174084840925,False,99,98,0.98989898989899,12
half,25,0.07952166012808129,,True,,,True,99,99,1.0,11
sqrt,7,0.06621015807893336,0.12361339490540658,False,0.14817555451978767,0.0946801982715082,False,100,37,0.37,11
log,3,0.06180495594070124,-0.05086042565674156,False,-0.024733199239828082,-0.03873038137197867,False,100,20,0.2,11
ten_percent,5,0.07159132047612048,0.09039448517698426,False,0.04463418197337974,0.06525983168825952,False,100,35,0.35,11
original,50,0.09597825466717566,-0.19542461984398762,False,-0.16642479959587464,-0.15898785126776485,False,100,98,0.98,11
half,25,0.07778969052299646,,True,,,True,100,100,1.0,4
sqrt,7,0.07382935448802268,0.06382216971763541,False,0.13294451424173842,0.046707048788270554,False,100,78,0.78,4
log,3,0.1262790647093534,0.03369016721074541,False,0.023196426734777183,0.018815322320288697,False,100,16,0.16,4
ten_percent,5,0.06711587293759087,-0.026744259998324818,False,-0.04515512762198056,-0.021155729444919093,False,100,38,0.38,4
original,50,0.07778969052299646,,True,,,True,100,100,1.0,4
half,25,0.07298052961434993,,True,,,True,100,100,1.0,5
sqrt,7,0.07173259746180907,-0.051393161055878316,False,-0.06664374021154024,-0.04209524897998439,False,100,67,0.67,5
log,3,0.08510405965567049,0.1398135224968338,False,0.0915226772661365,0.09851009322540867,False,100,23,0.23,5
ten_percent,5,0.05759608563296284,0.25603520856299194,False,0.19427351744345572,0.19459061792186164,False,100,34,0.34,5
