dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,10,0.07418141080861011,0.09020657429332168,False,0.08773991922966547,0.06564894679424503,False,200,124,0.62,2
sqrt,4,0.05129272766645471,0.2039060493058205,False,0.19745431052321172,0.13929364847201203,False,200,52,0.26,2
log,2,0.1573748190400502,0.06356544964583973,False,0.07566146637190568,0.04184691384024772,False,200,9,0.045,2
ten_percent,2,0.1573748190400502,0.06356544964583973,False,0.07566146637190568,0.04184691384024772,False,200,9,0.045,2
original,20,0.08071689207584874,-0.004502717471813159,False,0.03929969489900314,-0.004072004741079431,False,200,197,0.985,2
half,10,0.07553140471901813,0.1776841166752928,False,0.09707876809305291,0.13756875583343958,False,200,146,0.73,1
sqrt,4,0.06068999197681551,0.12320328918593006,False,0.09332656475237064,0.08150280490216688,False,200,38,0.19,1
log,2,0.1334945394514192,0.1415975135168455,False,0.11375929664122054,0.09286308139349342,False,200,7,0.035,1
ten_percent,2,0.1334945394514192,0.1415975135168455,False,0.11375929664122054,0.09286308139349342,False,200,7,0.035,1
original,20,0.07654987554527999,-0.06154574548966637,False,-0.057984444743833526,-0.05037927218598783,False,197,196,0.9949238578680203,1
half,10,0.05728188862351013,0.01897184560460081,False,0.0043265336445174,0.0141200496610725,False,200,34,0.17,6
sqrt,4,0.054824730302347385,0.041629014501491444,False,0.05398466853832843,0.027984217201272855,False,200,36,0.18,6
log,2,0.12387588936709176,0.053236223075169585,False,0.005053331191691186,0.0368851781021477,False,200,11,0.055,6
ten_percent,2,0.12387588936709176,0.053236223075169585,False,0.005053331191691186,0.0368851781021477,False,200,11,0.055,6
original,20,0.08183956251485157,0.058373446520759896,False,0.03627172216416931,0.04765049408528574,False,197,194,0.9847715736040609,6
half,10,0.07381550732637879,0.023056790460962547,False,-0.0014545259303788722,0.016869733927329073,False,200,101,0.505,3
sqrt,4,0.05443827512195849,0.24625605786925978,False,0.23461416043079278,0.168889365337133,False,200,38,0.19,3
log,2,0.21329086320559526,-0.14224742319526196,False,-0.13680531745853503,-0.09666960596588026,False,200,6,0.03,3
ten_percent,2,0.21329086320559526,-0.14224742319526196,False,-0.13680531745853503,-0.09666960596588026,False,200,6,0.03,3
original,20,0.08537321259628085,0.013501027862477746,False,-0.02550625427310037,0.01047086933420425,False,200,197,0.985,3
half,10,0.07655847675078455,0.17645316100983346,False,0.15159780864422104,0.13863651813516017,False,200,170,0.85,12
sqrt,4,0.06941700299530895,0.11767072657671808,False,0.09947199321283103,0.0812690597439071,False,200,24,0.12,12
log,2,0.13822514582367362,0.14724754241214133,False,0.13448648849947856,0.09754754079712753,False,200,10,0.05,12
ten_percent,2,0.13822514582367362,0.14724754241214133,False,0.13448648849947856,0.09754754079712753,False,200,10,0.05,12
original,20,0.07808044159310931,0.03702630174210916,False,-0.027443638983677784,0.030249178076590055,False,200,197,0.985,12
half,10,0.068401199548741,0.10239201455409479,False,0.06038540406199436,0.07628683326050718,False,200,110,0.55,8
sqrt,4,0.059072244985423114,-0.007704375298630543,False,-0.0030683184450103853,-0.0077991610041302974,False,200,34,0.17,8
log,2,0.08100280144706432,0.10656395598795816,False,0.08442111131487852,0.06808410091706116,False,200,11,0.055,8
ten_percent,2,0.08100280144706432,0.10656395598795816,False,0.08442111131487852,0.06808410091706116,False,200,11,0.055,8
original,20,0.07950466613558095,0.04812906018313357,False,0.012778979338536558,0.03956360821588419,False,199,196,0.9849246231155779,8
half,10,0.07277153534118919,0.14572875179395572,False,0.08865927385312569,0.10556381567813383,False,200,112,0.56,4
sqrt,4,0.06454736559611038,-0.04145221819144625,False,-0.03128630365221587,-0.02850421722475877,False,200,30,0.15,4
log,2,0.17115290240915626,0.08131919242581125,False,0.09459551801253174,0.05542704212975119,False,200,9,0.045,4
ten_percent,2,0.17115290240915626,0.08131919242581125,False,0.09459551801253174,0.05542704212975119,False,200,9,0.045,4
original,20,0.08155901573592626,-0.03402911836478472,False,-0.016340624679145817,-0.028102211233163362,False,195,192,0.9846153846153847,4
half,10,0.07062201303690355,0.09155647204561598,False,0.032040429646217415,0.06802908690467152,False,200,106,0.53,5
sqrt,4,0.06085867898782851,0.05230593676368236,False,0.02344424656492121,0.035337734130074475,False,200,36,0.18,5
log,2,0.10936120780480398,0.05198549458333481,False,0.027395474131891216,0.03437704215584637,False,200,4,0.02,5
ten_percent,2,0.10936120780480398,0.05198549458333481,False,0.027395474131891216,0.03437704215584637,False,200,4,0.02,5
original,20,0.07438995657991974,,True,,,True,198,198,1.0,5
