dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,50,0.0830424668657643,-0.07397212840332647,False,-0.06308489820091787,-0.060392637471804685,False,200,196,0.98,3
sqrt,10,0.06650206521791191,0.0032823367660642696,False,0.00826567160943941,0.0011295894555899183,False,200,120,0.6,3
log,4,0.05631932460182437,-0.046922294233863085,False,-0.037024272744059644,-0.03286486166543649,False,200,43,0.215,3
ten_percent,10,0.06650206521791191,0.0032823367660642696,False,0.00826567160943941,0.0011295894555899183,False,200,120,0.6,3
original,100,0.09002345746195085,0.01229645270559333,False,0.055543098851173624,0.010065206139655784,False,199,194,0.9748743718592965,3
half,50,0.08368051343929592,0.05954993016362617,False,0.04612064104978914,0.04874371859296482,False,200,199,0.995,5
sqrt,10,0.0737317101591958,0.25507409846816087,False,0.20615173227891084,0.18257149854078827,False,200,104,0.52,5
log,4,0.057659493951134205,0.20301326826059143,False,0.19339400907734394,0.14292678635305553,False,200,53,0.265,5
ten_percent,10,0.0737317101591958,0.25507409846816087,False,0.20615173227891084,0.18257149854078827,False,200,104,0.52,5
original,100,0.08438924869829557,0.0799565746484152,False,0.12035007001253847,0.06535321949734944,False,199,196,0.9849246231155779,5
half,50,0.07778100552177088,0.11111894185171481,False,0.1220140588287776,0.09095477386934672,False,200,199,0.995,6
sqrt,10,0.07319043349257098,0.035848982292200626,False,-0.02456631978583853,0.028842931116963576,False,200,116,0.58,6
log,4,0.0640357582190768,0.03797190317358392,False,0.0321313767320714,0.02868588730083467,False,200,50,0.25,6
ten_percent,10,0.07319043349257098,0.035848982292200626,False,-0.02456631978583853,0.028842931116963576,False,200,116,0.58,6
original,100,0.08348463940740895,0.02420841625527749,False,0.013195515463327319,0.020018344547192445,False,197,195,0.9898477157360406,6
half,50,0.07068691059431884,-0.07546407793422924,False,-0.06972612112707299,-0.061770782089176204,False,199,198,0.9949748743718593,13
sqrt,10,0.06384442282357586,0.1869119259707117,False,0.2160934605055623,0.12940074763480064,False,200,120,0.6,13
log,4,0.07840268892149396,0.12404403883314212,False,0.12073386072908855,0.08527098523560316,False,200,39,0.195,13
ten_percent,10,0.06384442282357586,0.1869119259707117,False,0.2160934605055623,0.12940074763480064,False,200,120,0.6,13
original,100,0.07859290674002505,0.031223250234329362,False,-0.005563703306683526,0.025292679553469137,False,197,194,0.9847715736040609,13
half,50,0.07734996584611423,,True,,,True,200,200,1.0,0
sqrt,10,0.07053797314109013,0.1589968733327271,False,0.1532507422923343,0.11554340782690406,False,200,95,0.475,0
log,4,0.05396132128042822,0.1355007716653246,False,0.13739656232448055,0.08632942739484528,False,200,23,0.115,0
ten_percent,10,0.07053797314109013,0.1589968733327271,False,0.1532507422923343,0.11554340782690406,False,200,95,0.475,0
original,100,0.09046306338441867,-0.03374055522655926,False,-0.04324826070988783,-0.02761817995423036,False,199,196,0.9849246231155779,0
half,50,0.07805128875690444,0.041812966432209574,False,-0.015774794313160433,0.03405500292904664,False,199,197,0.9899497487437185,12
sqrt,10,0.06988751437036127,0.1406627421185545,False,0.14812568258936404,0.10467528955133243,False,200,120,0.6,12
log,4,0.05113601768760795,0.15197124851767152,False,0.0694418666440173,0.10290689086654078,False,200,35,0.175,12
ten_percent,10,0.06988751437036127,0.1406627421185545,False,0.14812568258936404,0.10467528955133243,False,200,120,0.6,12
original,100,0.07729884404905404,0.028371825241417074,False,-0.04785736208831868,0.023300791477768753,False,199,197,0.9899497487437185,12
half,50,0.07899582237271405,0.020883671002354613,False,0.0010626074298122538,0.017094889215498954,False,196,195,0.9948979591836735,14
sqrt,10,0.07159888004109215,0.031342127148844615,False,-0.02961884644452543,0.022123364657067376,False,200,131,0.655,14
log,4,0.062283717534856106,0.0629763725081269,False,0.07418944391019425,0.040771077942803935,False,200,47,0.235,14
ten_percent,10,0.07159888004109215,0.031342127148844615,False,-0.02961884644452543,0.022123364657067376,False,200,131,0.655,14
original,100,0.07864839575660212,-0.08912589426168906,False,-0.07330964814653394,-0.07295452161526261,False,198,197,0.9949494949494949,14
half,50,0.07867269797063281,0.10020639856840274,False,0.10432767677929723,0.08202349752825036,False,199,198,0.9949748743718593,8
sqrt,10,0.07570735602144833,0.04347776926698611,False,0.028019275468785,0.030457016251521085,False,200,124,0.62,8
log,4,0.05680902625251381,0.08068576945919942,False,0.09383262994067366,0.05373926806737498,False,200,32,0.16,8
ten_percent,10,0.07570735602144833,0.04347776926698611,False,0.028019275468785,0.030457016251521085,False,200,124,0.62,8
original,100,0.09324144674821068,-0.002129838687472645,False,0.005138144895580309,-0.000903359616611425,False,199,191,0.9597989949748744,8
half,50,0.08368978408269716,0.11054069329917048,False,0.13620049728355718,0.09048145703010674,False,200,198,0.99,10
sqrt,10,0.0715177867151864,0.09617882015555292,False,0.07614432324162966,0.0716661754602048,False,200,120,0.6,10
log,4,0.06452878909528581,0.08535739191582162,False,0.0734955474152094,0.0557332157158425,False,200,41,0.205,10
ten_percent,10,0.0715177867151864,0.09617882015555292,False,0.07614432324162966,0.0716661754602048,False,200,120,0.6,10
original,100,0.0921147710680775,0.004900779533330419,False,-0.014095773106864756,0.003933008783768625,False,195,191,0.9794871794871794,10
half,50,0.08284569821078876,0.10348488620851203,False,0.080487758398149,0.08470708886260349,False,199,197,0.9899497487437185,4
sqrt,10,0.06865919738470347,0.07542998011508487,False,0.04862852887704092,0.05518837487439887,False,200,74,0.37,4
log,4,0.05724269396539931,0.022025417833295296,False,-0.036800502367868686,0.012399250248717254,False,200,16,0.08,4
ten_percent,10,0.06865919738470347,0.07542998011508487,False,0.04862852887704092,0.05518837487439887,False,200,74,0.37,4
original,100,0.09091765841724679,0.01916813664288581,False,-0.009956176205146983,0.015681907576945077,False,197,190,0.9644670050761421,4
half,50,0.07524870294985443,,True,,,True,199,199,1.0,7
sqrt,10,0.07150437659952563,0.005178126675556254,False,0.04940445675197401,0.006175710018827852,False,200,123,0.615,7
