dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,18,0.07434121728489848,,True,,,True,20,20,1.0,7
sqrt,10,0.07258692575876223,0.1378787925063633,False,0.05462248484000827,0.11846977555181847,False,20,17,0.85,7
log,4,0.07012283512884174,0.09433812118856436,False,0.0020984020229817394,0.07897985036787897,False,20,17,0.85,7
ten_percent,10,0.07258692575876223,0.1378787925063633,False,0.05462248484000827,0.11846977555181847,False,20,17,0.85,7
original,100,0.07434121728489848,,True,,,True,20,20,1.0,7
half,18,0.10091114001917975,,True,,,True,20,20,1.0,3
sqrt,10,0.10091114001917975,,True,,,True,20,20,1.0,3
log,4,0.08036377086831854,0.008033618734940028,False,-0.03353658083475942,-0.006024752331287779,False,20,10,0.5,3
ten_percent,10,0.10091114001917975,,True,,,True,20,20,1.0,3
original,100,0.10091114001917975,,True,,,True,20,20,1.0,3
half,18,0.06991796401454808,,True,,,True,20,20,1.0,10
sqrt,10,0.06991796401454808,,True,,,True,20,20,1.0,10
log,4,0.061396255455121826,-0.20810639268578876,False,-0.19330367882321528,-0.1753816266581003,False,20,9,0.45,10
ten_percent,10,0.06991796401454808,,True,,,True,20,20,1.0,10
original,100,0.06991796401454808,,True,,,True,20,20,1.0,10
half,18,0.059601565293028805,,True,,,True,20,20,1.0,5
sqrt,10,0.059601565293028805,,True,,,True,20,20,1.0,5
log,4,0.05721156450789203,-0.3200459784248464,False,-0.2797780536750813,-0.2507947082874821,False,20,8,0.4,5
ten_percent,10,0.059601565293028805,,True,,,True,20,20,1.0,5
original,100,0.059601565293028805,,True,,,True,20,20,1.0,5
half,18,0.06692257123321661,,True,,,True,20,20,1.0,11
sqrt,10,0.06284447522376893,0.2104465780360282,False,0.04066709329183074,0.15795970073575794,False,20,17,0.85,11
log,4,0.05391340322396347,0.1909416516987616,False,0.029530677467711867,0.15609763526361567,False,20,11,0.55,11
ten_percent,10,0.06284447522376893,0.2104465780360282,False,0.04066709329183074,0.15795970073575794,False,20,17,0.85,11
original,100,0.06692257123321661,,True,,,True,20,20,1.0,11
half,18,0.06382667608143819,,True,,,True,20,20,1.0,0
sqrt,10,0.0635776698961474,-0.5377587746479043,False,-0.3406492989282484,-0.43355498476205995,False,20,16,0.8,0
