dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,50,0.2904215356929461,0.15555211980596256,False,0.07738147762357284,0.10540431061018338,False,99,4,0.04040404040404041,5
sqrt,10,0.2619134573011368,0.15381153221216343,False,0.10204590529293746,0.10338909222655962,False,100,6,0.06,5
log,4,0.3088885285020709,0.1993183236666032,False,0.1440543782714034,0.1311508598193492,False,100,3,0.03,5
ten_percent,10,0.2619134573011368,0.15381153221216343,False,0.10204590529293746,0.10338909222655962,False,100,6,0.06,5
original,100,0.0949402870687168,0.04629573705509749,False,0.010570533716377305,0.038131296066486194,False,100,97,0.97,5
half,50,0.2549765018570978,0.060588257370566376,False,-0.021480258345402004,0.04724237749989126,False,100,13,0.13,0
sqrt,10,0.24795260779307374,0.04204302075120941,False,-0.01627904917169314,0.033891779000531676,False,100,10,0.1,0
log,4,0.2946033973653313,0.02905978843350185,False,0.010443120657897832,0.02611606264936534,False,100,7,0.07,0
ten_percent,10,0.24795260779307374,0.04204302075120941,False,-0.01627904917169314,0.033891779000531676,False,100,10,0.1,0
original,100,0.07585795448368096,0.1131561343193718,False,0.10669346159270668,0.09285240561035474,False,100,99,0.99,0
half,50,0.2873641254823295,0.06243718435286764,False,-0.024086128891653152,0.047899303838032904,False,99,6,0.06060606060606061,4
sqrt,10,0.3058705076671969,-0.026239032431076018,False,-0.08766945652621043,-0.01599355774651056,False,100,7,0.07,4
log,4,0.25950475057588335,0.03780141433996217,False,-0.05626302619353602,0.03160498941209929,False,100,14,0.14,4
ten_percent,10,0.3058705076671969,-0.026239032431076018,False,-0.08766945652621043,-0.01599355774651056,False,100,7,0.07,4
original,100,0.09978442785405914,0.03216826630837834,False,0.029885278589299475,0.026396279167837485,False,100,98,0.98,4
half,50,0.2863743925909399,0.21334613576580702,False,0.17480811407587052,0.14924173453068318,False,100,5,0.05,14
sqrt,10,0.251956915309602,0.2586010918691705,False,0.20153094094996216,0.17841526281023792,False,100,14,0.14,14
log,4,0.2489475939151916,0.24460241923772905,False,0.21520906588640315,0.16555182695279266,False,100,12,0.12,14
ten_percent,10,0.251956915309602,0.2586010918691705,False,0.20153094094996216,0.17841526281023792,False,100,14,0.14,14
original,100,0.09458862982061624,-0.13143777926199823,False,-0.12264080839722465,-0.10835477761561044,False,100,98,0.98,14
half,50,0.2664661062665934,0.2806252099927011,False,0.30092582899402287,0.1905545473017263,False,100,8,0.08,11
sqrt,10,0.22127636182031515,0.29906959140067324,False,0.25924436208190854,0.2084361002562952,False,100,9,0.09,11
log,4,0.2350546787749061,0.3101565811864887,False,0.24306163028783695,0.2108596310272599,False,100,10,0.1,11
ten_percent,10,0.22127636182031515,0.29906959140067324,False,0.25924436208190854,0.2084361002562952,False,100,9,0.09,11
original,100,0.10807902181884123,-0.060283786913240704,False,-0.10823904775655542,-0.04920144631391022,False,99,94,0.9494949494949495,11
half,50,0.31464491112878235,0.002298298779875753,False,-0.0013842207299074433,0.00889428099668772,False,100,4,0.04,13
sqrt,10,0.30675705765651196,0.014671907354559309,False,0.0017458510200954302,0.019001418492923763,False,100,4,0.04,13
log,4,0.2913964240858811,-0.008347711326848199,False,0.0019379938962425082,-0.005867482729100253,False,100,6,0.06,13
