dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,18,0.23652239808582415,0.4271728527901284,False,0.28323105664209275,0.32089691238041856,False,20,4,0.2,2
sqrt,7,0.2617459561302227,0.4518077412904602,False,0.33942226456047137,0.28117601131424264,False,20,3,0.15,2
log,3,0.3318893153268529,0.4743981283549832,False,0.3907157553248934,0.28117601131424264,False,20,3,0.15,2
ten_percent,5,0.22902748692855246,0.4240612051509188,False,0.33203185705032934,0.2511263942688502,False,20,7,0.35,2
original,50,0.06817875730497672,,True,,,True,20,20,1.0,2
half,18,0.12324226961076623,0.3635473735505537,False,0.49009699906834026,0.2507947082874821,False,20,8,0.4,15
sqrt,7,0.24187164262692748,0.09789167727959971,False,0.273542158865245,0.06896770088839914,False,20,3,0.15,15
log,3,0.2226267975836483,0.19548872180451127,False,0.33652656350734983,0.1368421052631579,False,20,1,0.05,15
ten_percent,5,0.22716843933632203,0.16566283847316873,False,0.32016011936656447,0.09018853193098349,False,20,3,0.15,15
original,50,0.07295204699346484,,True,,,True,20,20,1.0,15
half,18,0.28189818786902376,0.04150972951140823,False,0.041368075508632154,0.021393127492027906,False,20,4,0.2,0
sqrt,7,0.31895189328690643,0.2807567159680702,False,0.22457348065382687,0.2032347111742651,False,20,4,0.2,0
log,3,0.1755826876714695,0.06171977216010837,False,0.0680554017127588,0.03838859479749573,False,20,6,0.3,0
ten_percent,5,0.30535571722940835,0.2646616541353383,False,0.19039537167894524,0.19999999999999998,False,20,1,0.05,0
original,50,0.08355564827536008,,True,,,True,20,20,1.0,0
half,18,0.3118601799452519,-0.14848910959711273,False,0.0031095741373344528,-0.09733285267845752,False,20,5,0.25,16
sqrt,7,0.25983695969165727,0.20601503759398496,False,0.12501989167426453,0.1473684210526316,False,20,1,0.05,16
log,3,0.3429499291849504,0.1113200530021407,False,0.03969754006304195,0.04749356901459777,False,20,2,0.1,16
ten_percent,5,0.21279096357349198,0.26037921238974254,False,0.20963566930589878,0.19253814742825115,False,20,4,0.2,16
original,50,0.07989339132864172,,True,,,True,20,20,1.0,16
half,18,0.35783866338910697,0.0853409195300264,False,0.30198317479331827,0.10419761445034553,False,20,6,0.3,9
sqrt,7,0.4217010712848272,0.1518796992481203,False,0.37772236525253855,0.17894736842105263,False,20,1,0.05,9
log,3,0.4195424470086979,0.12937195348897434,False,0.37832713946885554,0.15303483349148167,False,20,2,0.1,9
ten_percent,5,0.4340182267181384,0.17207669688365596,False,0.3698327363868452,0.19253814742825115,False,20,4,0.2,9
original,50,0.06684651575011291,,True,,,True,20,20,1.0,9
half,18,0.34487581640374654,0.06339667779924166,False,-0.06916379258661819,0.05348281873006977,False,20,4,0.2,6
sqrt,7,0.3211694988080734,0.028679449480609326,False,-0.0823535267447417,0.010696563746013953,False,20,4,0.2,6
log,3,0.39678173870699085,-0.001506025804301534,False,-0.13875056354745288,-0.01591562328193826,False,20,3,0.15,6
ten_percent,5,0.37275991989965823,-0.014291087885409956,False,-0.1038172271007618,-0.005277063223844196,False,20,2,0.1,6
original,50,0.06294805657389399,,True,,,True,20,20,1.0,6
half,18,0.2656229533600812,0.15239449916076142,False,0.11024187835765986,0.11516578439248717,False,20,6,0.3,13
sqrt,7,0.37163341205342915,0.21987976742802395,False,0.10127912864935991,0.16446144058002873,False,20,3,0.15,13
log,3,0.32992007330264705,0.25000717432166936,False,0.16226067018101956,0.16222142113076254,False,20,5,0.25,13
ten_percent,5,0.30872138324416376,0.08838880951324163,False,0.020523471210765844,0.03838859479749573,False,20,6,0.3,13
original,50,0.0765392312461148,,True,,,True,20,20,1.0,13
