dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,48,0.2718034935751251,0.3952929989110323,False,0.29159949418292097,0.27414157898896946,False,50,4,0.08,5
sqrt,10,0.28169020145577095,0.30884118665242605,False,0.25330914100672197,0.2076013002763118,False,50,3,0.06,5
log,4,0.23933502495135353,0.32471058904799943,False,0.2525230494077076,0.2272625075519555,False,50,7,0.14,5
ten_percent,10,0.28169020145577095,0.30884118665242605,False,0.25330914100672197,0.2076013002763118,False,50,3,0.06,5
original,100,0.0636416613200425,,True,,,True,50,50,1.0,5
half,48,0.2668253300669383,0.19769399350869607,False,0.17121880195926598,0.11885345718520117,False,50,5,0.1,6
sqrt,10,0.26165340650772445,0.2135927054869211,False,0.2272263585561262,0.14157162138833349,False,50,4,0.08,6
log,4,0.2595143267992535,0.19478560295335406,False,0.22665336632574656,0.11992013984015153,False,50,6,0.12,6
ten_percent,10,0.26165340650772445,0.2135927054869211,False,0.2272263585561262,0.14157162138833349,False,50,4,0.08,6
original,100,0.07535495535831466,,True,,,True,50,50,1.0,6
half,48,0.4145553715442852,0.43588081359054925,False,0.4212506430307851,0.3119640929735161,False,50,2,0.04,4
sqrt,10,0.3584286592337533,0.4655909352503918,False,0.4393802903201117,0.3432777406143738,False,50,3,0.06,4
log,4,0.3206999170314817,0.4408261414344416,False,0.421160967849128,0.3216048971422835,False,50,4,0.08,4
ten_percent,10,0.3584286592337533,0.4655909352503918,False,0.4393802903201117,0.3432777406143738,False,50,3,0.06,4
original,100,0.07846423964912809,,True,,,True,50,50,1.0,4
half,48,0.27418339152575744,0.1885906734996382,False,0.16803801716840794,0.1353768664720144,False,49,3,0.061224489795918366,0
sqrt,10,0.25377375814725167,0.22794673447020933,False,0.16626057404246564,0.1609886808812993,False,50,6,0.12,0
log,4,0.4510868893237745,0.16322120583830307,False,0.15841144887161185,0.12086566952900624,False,50,2,0.04,0
ten_percent,10,0.25377375814725167,0.22794673447020933,False,0.16626057404246564,0.1609886808812993,False,50,6,0.12,0
original,100,0.058931131991059156,,True,,,True,50,50,1.0,0
half,48,0.23811477051428265,0.016313654406889474,False,-0.05285289736162799,0.01527207096642425,False,50,14,0.28,8
sqrt,10,0.2609722172855371,0.021430380817816723,False,-0.03267643179052341,0.022371999064678606,False,50,9,0.18,8
log,4,0.32250455784954196,0.0046109511416110695,False,-0.027890632682348766,0.004091665358044319,False,50,4,0.08,8
ten_percent,10,0.2609722172855371,0.021430380817816723,False,-0.03267643179052341,0.022371999064678606,False,50,9,0.18,8
original,100,0.06868114231506768,,True,,,True,50,50,1.0,8
half,48,0.23890255629476034,0.3071123291311249,False,0.16135114242935378,0.23048648298393673,False,50,3,0.06,14
sqrt,10,0.19847703667524286,0.26620227582222017,False,0.10834177579601749,0.1965649895975654,False,50,13,0.26,14
log,4,0.23635067144654356,0.1733424660918167,False,0.033916483882040944,0.10704393471650078,False,50,7,0.14,14
