dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,98,0.0796850036771895,,True,,,True,100,100,1.0,5
sqrt,14,0.0782949890242963,0.011326453716554082,False,-0.04884214422287249,0.00887680161361594,False,100,79,0.79,5
log,5,0.0653086114643259,0.01712505392109592,False,0.027046494746332528,0.005915230898835257,False,100,39,0.39,5
ten_percent,20,0.07967184882604494,0.18767988623912962,False,0.17880099918030426,0.15291188242950632,False,100,98,0.98,5
original,200,0.07992570761040622,,True,,,True,99,99,1.0,5
half,98,0.07128128853326467,,True,,,True,100,100,1.0,3
sqrt,14,0.06976351465953244,0.14770434943465188,False,0.2011214657205608,0.11527706927471484,False,100,83,0.83,3
log,5,0.057014756488433634,0.16252744289919924,False,0.2003992376952965,0.11649691899842433,False,100,34,0.34,3
ten_percent,20,0.07120239924602967,0.12028769575192877,False,0.07884373377580202,0.09781506382272545,False,100,97,0.97,3
original,200,0.07128128853326467,,True,,,True,100,100,1.0,3
half,98,0.07858633601422285,,True,,,True,100,100,1.0,4
sqrt,14,0.07843647554945109,0.1363868374674667,False,0.18878471781663242,0.11165357530725122,False,100,95,0.95,4
log,5,0.06713427570262066,0.15619397424731957,False,0.13329989730519964,0.11014827942166089,False,100,43,0.43,4
ten_percent,20,0.07858633601422285,,True,,,True,100,100,1.0,4
original,200,0.07858633601422285,,True,,,True,100,100,1.0,4
half,98,0.08986875262411415,0.036558135703181664,False,0.019339557676655395,0.029998469504883836,False,100,99,0.99,9
sqrt,14,0.0814474307889297,0.03594963231166528,False,0.0026722266474846746,0.029607826273189607,False,100,93,0.93,9
log,5,0.07360454302092352,-0.18385693676884687,False,-0.23956822659757088,-0.13334281478730695,False,100,46,0.46,9
ten_percent,20,0.08128178212662698,0.13465511333041116,False,0.12126162592698687,0.10746544351009561,False,100,93,0.93,9
original,200,0.0817209370546027,,True,,,True,100,100,1.0,9
half,98,0.07086812282998427,,True,,,True,100,100,1.0,12
sqrt,14,0.07039860701488253,0.014988448317367172,False,-0.005990894415487612,0.009235660162151485,False,100,91,0.91,12
log,5,0.05386531354488516,0.026352905738761402,False,0.02393173630493545,0.01609282383483331,False,100,26,0.26,12
ten_percent,20,0.07086812282998427,,True,,,True,100,100,1.0,12
original,200,0.07086812282998427,,True,,,True,100,100,1.0,12
half,98,0.09058109370548754,,True,,,True,100,100,1.0,1
sqrt,14,0.09043650244525586,0.17213920362705723,False,0.003875997321584891,0.13881167058443447,False,100,94,0.94,1
log,5,0.07757728220821404,0.01196526527579462,False,-0.049753198194249684,0.012487709675318875,False,100,39,0.39,1
ten_percent,20,0.0905509187526948,0.26997729988900204,False,0.15596217055257136,0.21620779033485057,False,100,95,0.95,1
original,200,0.09024424235984298,,True,,,True,99,99,1.0,1
half,98,0.07906921410585012,,True,,,True,100,100,1.0,10
sqrt,14,0.07906525377479501,0.06093022617196943,False,0.028865645859148987,0.0499974491748064,False,100,99,0.99,10
log,5,0.06490900396059872,0.12002585748333904,False,0.05023961849279846,0.08804189149404662,False,100,40,0.4,10
ten_percent,20,0.07878174621590624,,True,,,True,99,99,1.0,10
original,200,0.07878174621590624,,True,,,True,99,99,1.0,10
half,98,0.0773109601894752,,True,,,True,100,100,1.0,0
sqrt,14,0.07691147086919553,0.009504841047841972,False,0.05714207387736766,0.007637891367425508,False,100,88,0.88,0
log,5,0.06572208919836109,0.10517329081295565,False,0.07493438008305695,0.07566114297087233,False,100,27,0.27,0
ten_percent,20,0.07729916563455264,0.11758138686992012,False,0.21528538383495374,0.09620283993909338,False,100,98,0.98,0
original,200,0.0773109601894752,,True,,,True,100,100,1.0,0
half,98,0.07361359229885077,,True,,,True,100,100,1.0,14
sqrt,14,0.07128520451749965,0.14547919735677106,False,0.0033923285032225158,0.11059335647671814,False,100,74,0.74,14
log,5,0.061734808282221616,0.15219346958242028,False,0.04551227032460395,0.10319524500597071,False,100,34,0.34,14
ten_percent,20,0.07361359229885077,,True,,,True,100,100,1.0,14
original,200,0.07361359229885077,,True,,,True,100,100,1.0,14
half,98,0.07011314556598625,,True,,,True,100,100,1.0,13
sqrt,14,0.07010063938323124,-0.005222590814740238,False,-0.0183082977087812,-0.004285495643554834,False,100,99,0.99,13
log,5,0.0618402377493499,0.2677928609781827,False,0.18326005737196027,0.19422164675152886,False,100,46,0.46,13
ten_percent,20,0.07011314556598625,,True,,,True,100,100,1.0,13
original,200,0.07011314556598625,,True,,,True,100,100,1.0,13
half,98,0.07502994998362993,,True,,,True,100,100,1.0,8
sqrt,14,0.07493842120067865,-0.12942634673962047,False,-0.05341159030593097,-0.10507948915796578,False,100,96,0.96,8
log,5,0.06129800901186567,-0.05395993806842897,False,-0.05467947463171564,-0.0341833618382795,False,100,25,0.25,8
ten_percent,20,0.07472581418931852,0.13476749017097228,False,0.11752943342030797,0.10680546525064814,False,100,90,0.9,8
original,200,0.0742072598609486,,True,,,True,98,98,1.0,8
half,98,0.07475015486081169,,True,,,True,100,100,1.0,6
sqrt,14,0.07441652180342107,-0.03632277710991047,False,0.01448613441783004,-0.029172998299578912,False,100,89,0.89,6
log,5,0.06563192268348143,0.03365535149393995,False,-0.07001382260502813,0.022005135130698992,False,100,42,0.42,6
ten_percent,20,0.07475015486081169,,True,,,True,100,100,1.0,6
original,200,0.07475015486081169,,True,,,True,100,100,1.0,6
half,98,0.08372740703365937,0.050485044542488956,False,0.0111872149023731,0.04142645788769673,False,100,99,0.99,7
sqrt,14,0.07448397079417815,0.14724258916186345,False,0.14124823199920603,0.11758148190449635,False,100,80,0.8,7
log,5,0.06320241399838047,-0.007839193441038363,False,-0.02613069908392528,-0.005465345700253962,False,100,28,0.28,7
ten_percent,20,0.07536801131957094,,True,,,True,100,100,1.0,7
original,200,0.07536801131957094,,True,,,True,100,100,1.0,7
half,98,0.08983874651396573,0.1131561343193718,False,0.10792831106026755,0.09285240561035474,False,100,99,0.99,11
sqrt,14,0.08257337512578251,-0.11058392227091893,False,-0.11055904221637204,-0.08971009807923652,False,100,95,0.95,11
log,5,0.06497665109163459,-0.03984850058796499,False,-0.05600982362639498,-0.027345163614777068,False,100,19,0.19,11
ten_percent,20,0.08266581460993998,,True,,,True,100,100,1.0,11
original,200,0.08237294893822113,,True,,,True,99,99,1.0,11
half,98,0.08898230246297827,0.007423446071164232,False,0.03983769116197096,0.006091449038731727,False,100,98,0.98,2
sqrt,14,0.07058475765720149,0.08818453250745678,False,0.07569883033821016,0.07134318333906144,False,100,79,0.79,2
log,5,0.06462457955152807,-0.18321751091723518,False,-0.19176478886379056,-0.12653472866311824,False,100,33,0.33,2
ten_percent,20,0.07246854883624226,-0.15493686083729372,False,-0.12678103689872774,-0.12713637075879342,False,100,99,0.99,2
original,200,0.07252028006911992,,True,,,True,99,99,1.0,2
half,98,0.07953814190091597,,True,,,True,100,100,1.0,17
sqrt,14,0.07941402069803058,-0.010986139682290515,False,-0.008927789367587714,-0.009113953257387794,False,100,98,0.98,17
log,5,0.06565978611651337,0.14404792848810677,False,0.1079676439815292,0.1035066440268119,False,100,41,0.41,17
ten_percent,20,0.07953414243926901,0.08878404385058404,False,0.07739270345718134,0.07285342594043218,False,100,99,0.99,17
original,200,0.07953814190091597,,True,,,True,100,100,1.0,17
