dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,10,0.3114261280775132,0.3524964000586044,False,0.3107240390323414,0.2370071990107868,False,100,5,0.05,6
sqrt,4,0.3408974304951898,0.33802529704964174,False,0.30941073118323525,0.22680855652832355,False,100,6,0.06,6
log,2,0.31013940021987846,0.33354135665596313,False,0.3056956695392821,0.22774579201295306,False,100,3,0.03,6
ten_percent,2,0.31013940021987846,0.33354135665596313,False,0.3056956695392821,0.22774579201295306,False,100,3,0.03,6
original,20,0.09743809753993672,-0.015071828800799552,False,-0.027184612750461055,-0.011484976833400148,False,98,96,0.9795918367346939,6
half,10,0.25932746865831824,-0.05514592292133867,False,-0.04815532629342831,-0.029457036623432936,False,100,11,0.11,14
sqrt,4,0.2881219356190428,-0.012017528842361763,False,-0.015130128867098214,0.0,False,100,9,0.09,14
log,2,0.3431963702231369,-0.00013801794239462744,False,0.014728295465766534,0.010915708495934926,False,100,4,0.04,14
ten_percent,2,0.3431963702231369,-0.00013801794239462744,False,0.014728295465766534,0.010915708495934926,False,100,4,0.04,14
original,20,0.07584025278193857,0.06093022617196943,False,0.03826271222783246,0.0499974491748064,False,100,99,0.99,14
half,10,0.280089726679716,0.17091393184157058,False,0.16015738655373468,0.122906945911565,False,100,11,0.11,2
sqrt,4,0.31439239154870885,0.16185137845408462,False,0.16345808164922787,0.1172186067750584,False,100,7,0.07,2
log,2,0.36661186367607906,0.1224879234851798,False,0.14297057786224057,0.08085709996988835,False,100,4,0.04,2
ten_percent,2,0.36661186367607906,0.1224879234851798,False,0.14297057786224057,0.08085709996988835,False,100,4,0.04,2
original,20,0.07906584366154512,,True,,,True,100,100,1.0,2
half,10,0.2354616930984957,0.1485103818824314,False,0.11171917287910264,0.10329889527706958,False,100,10,0.1,11
sqrt,4,0.23406975679267084,0.1482922240368157,False,0.13938369290406064,0.09975735537558096,False,100,9,0.09,11
log,2,0.2995312419515378,0.08013442799957153,False,0.09458031673825575,0.05523526844980582,False,100,6,0.06,11
ten_percent,2,0.2995312419515378,0.08013442799957153,False,0.09458031673825575,0.05523526844980582,False,100,6,0.06,11
original,20,0.07997048564060658,-0.09574749827023767,False,-0.07921112991145933,-0.07856742013183862,False,100,99,0.99,11
half,10,0.20297384978110317,0.13517958750853673,False,-0.06792430946260193,0.08427910723094835,False,100,8,0.08,10
sqrt,4,0.21587930803222904,0.09671649585820817,False,-0.045518847420927065,0.07056008063150848,False,100,9,0.09,10
log,2,0.6420524195814024,-0.09884484987496972,False,-0.10839813821566585,-0.0679199639747062,False,100,4,0.04,10
ten_percent,2,0.6420524195814024,-0.09884484987496972,False,-0.10839813821566585,-0.0679199639747062,False,100,4,0.04,10
original,20,0.07893865843038798,0.1025091294275458,False,0.06259462965677262,0.08412001053486672,False,99,98,0.98989898989899,10
half,10,0.18950182192679813,0.4188063841373617,False,0.3643690356072124,0.30086807751244254,False,100,11,0.11,1
sqrt,4,0.31609010440023555,0.26523852385238517,False,0.2994101302288569,0.18949494949494952,False,100,1,0.01,1
log,2,0.47019834846358477,0.24376310760117995,False,0.2529161392947277,0.17597737234959532,False,100,2,0.02,1
ten_percent,2,0.47019834846358477,0.24376310760117995,False,0.2529161392947277,0.17597737234959532,False,100,2,0.02,1
original,20,0.08653723069826244,0.014139190265868384,False,-0.014986672660627885,0.011602760073774717,False,99,98,0.98989898989899,1
half,10,0.20108005648216587,0.26976029956816217,False,0.30948769783111846,0.18929084168338448,False,100,7,0.07,7
sqrt,4,0.22892403880726406,0.25097145053112263,False,0.29487943337463823,0.1733942309944454,False,100,6,0.06,7
log,2,0.26382897950073764,0.17808869287655593,False,0.2605681391055799,0.12196159267555505,False,100,8,0.08,7
ten_percent,2,0.26382897950073764,0.17808869287655593,False,0.2605681391055799,0.12196159267555505,False,100,8,0.08,7
original,20,0.08429442423845775,-0.05396677175231578,False,-0.052454841221028586,-0.04428345498339995,False,100,99,0.99,7
half,10,0.27177413894071034,0.2056741643377005,False,0.13870359061549287,0.14506845230223728,False,100,6,0.06,5
sqrt,4,0.2635840379038948,0.19632311197126046,False,0.1377848759461091,0.13816911329689127,False,100,8,0.08,5
log,2,0.3152364705329683,0.17029524754618788,False,0.14320928094195218,0.1172902520701846,False,100,5,0.05,5
ten_percent,2,0.3152364705329683,0.17029524754618788,False,0.14320928094195218,0.1172902520701846,False,100,5,0.05,5
original,20,0.08535904788609962,0.0998897430121775,False,0.10039561992517138,0.08202557931649014,False,100,98,0.98,5
half,10,0.34656605673589813,0.05457862784268191,False,0.07071566262890645,0.030569964806621452,False,100,7,0.07,4
sqrt,4,0.35101585769771204,0.04785401594970428,False,0.061182461350818826,0.032035898677523975,False,100,9,0.09,4
log,2,0.5209718871652781,-0.04709885118188369,False,-0.04381776184722683,-0.022022426620098613,False,100,2,0.02,4
ten_percent,2,0.5209718871652781,-0.04709885118188369,False,-0.04381776184722683,-0.022022426620098613,False,100,2,0.02,4
original,20,0.06941363027662086,,True,,,True,97,97,1.0,4
half,10,0.23610055226574725,0.18528124138278632,False,0.11661384886179614,0.12206082913841411,False,100,9,0.09,8
sqrt,4,0.22635151591507857,0.23138970523962774,False,0.15035510855638973,0.15687631836773042,False,100,10,0.1,8
log,2,0.33179808373760694,0.11254759240252396,False,0.07282884858626905,0.0749570667528127,False,100,2,0.02,8
ten_percent,2,0.33179808373760694,0.11254759240252396,False,0.07282884858626905,0.0749570667528127,False,100,2,0.02,8
original,20,0.09474612623015732,-0.0880935446562157,False,-0.0817974824406273,-0.07229789062098428,False,97,95,0.979381443298969,8
half,10,0.29289033488240884,0.06823398834382748,False,0.0614923669456484,0.05402130650585405,False,100,6,0.06,12
sqrt,4,0.3514016877898956,0.06388858052408151,False,0.07360483883312786,0.047075462408100704,False,100,2,0.02,12
log,2,0.2723514717459139,0.11307269950182455,False,0.09600953572586997,0.0784313869707917,False,100,4,0.04,12
ten_percent,2,0.2723514717459139,0.11307269950182455,False,0.09600953572586997,0.0784313869707917,False,100,4,0.04,12
original,20,0.09584241259918862,-0.06753492168651504,False,-0.03527041209241299,-0.054710120443219316,False,100,97,0.97,12
half,10,0.27836900189466757,0.17961613966085155,False,0.22498463676949826,0.12045780834397193,False,100,7,0.07,0
sqrt,4,0.28076346543946185,0.15477520662909874,False,0.20876508268797977,0.10259597930903246,False,100,9,0.09,0
log,2,0.42224238560559896,0.16919494984656622,False,0.20202774847196528,0.10447610866965105,False,100,3,0.03,0
ten_percent,2,0.42224238560559896,0.16919494984656622,False,0.20202774847196528,0.10447610866965105,False,100,3,0.03,0
original,20,0.1010985089128305,-0.10546793329169565,False,-0.11728544448254288,-0.08561302840107052,False,99,95,0.9595959595959596,0
half,10,0.2705318742531904,0.12011619283521395,False,0.05911495888628246,0.08847069285095081,False,100,7,0.07,9
sqrt,4,0.24648429957957405,0.027902741106327077,False,-0.06020135293480838,0.01749073356012306,False,100,12,0.12,9
log,2,0.581985806805545,-0.04427256007388685,False,-0.007000950627650761,-0.027275482511131308,False,100,2,0.02,9
ten_percent,2,0.581985806805545,-0.04427256007388685,False,-0.007000950627650761,-0.027275482511131308,False,100,2,0.02,9
original,20,0.07442200710784726,0.0211126253287377,False,0.060680835054638824,0.01747897569163814,False,99,97,0.9797979797979798,9
half,10,0.2657509815296782,0.0736711029823066,False,0.04942165328459072,0.047142188823460655,False,100,6,0.06,16
sqrt,4,0.297793903837992,0.11795952549974567,False,0.08298443885614513,0.07658053493581364,False,100,8,0.08,16
log,2,0.36297782216987917,0.22063068208796816,False,0.18039349441681024,0.13988278294790685,False,100,4,0.04,16
ten_percent,2,0.36297782216987917,0.22063068208796816,False,0.18039349441681024,0.13988278294790685,False,100,4,0.04,16
original,20,0.0700035316862158,,True,,,True,99,99,1.0,16
half,10,0.2303793889271309,0.1896348559857849,False,0.16238127842555994,0.1321170546667432,False,100,10,0.1,13
sqrt,4,0.2241691988304618,0.22712487267192147,False,0.1665298160023641,0.16175762834761945,False,100,7,0.07,13
log,2,0.5488035888292249,0.05307546677331651,False,0.016456039034389972,0.03576118818126105,False,100,2,0.02,13
ten_percent,2,0.5488035888292249,0.05307546677331651,False,0.016456039034389972,0.03576118818126105,False,100,2,0.02,13
original,20,0.11075752888027848,0.038478807297862606,False,-0.028192856047827678,0.030467545034062373,False,98,94,0.9591836734693877,13
half,10,0.29517749532126536,0.10212677795213812,False,0.06792811112878079,0.06920417149210359,False,100,10,0.1,3
sqrt,4,0.3053099687664304,0.07596975357151317,False,0.06203033344156225,0.049772234294765995,False,100,11,0.11,3
log,2,0.5338104674600193,0.06718352455958843,False,0.004030764509558616,0.047084977408179296,False,100,3,0.03,3
ten_percent,2,0.5338104674600193,0.06718352455958843,False,0.004030764509558616,0.047084977408179296,False,100,3,0.03,3
original,20,0.07535625051666606,0.013224130101578505,False,0.16324887906732527,0.010256545123110545,False,98,95,0.9693877551020408,3
half,10,0.22629367277104998,0.2268185030535242,False,0.2181641491164588,0.15761034562463724,False,100,13,0.13,15
sqrt,4,0.22404007976690113,0.2134870509657299,False,0.20886303404008433,0.147134968714883,False,100,10,0.1,15
log,2,0.23174816317560068,0.2550282822039835,False,0.23992177649518912,0.1754175009010317,False,100,6,0.06,15
ten_percent,2,0.23174816317560068,0.2550282822039835,False,0.23992177649518912,0.1754175009010317,False,100,6,0.06,15
original,20,0.08622842415506893,-0.06281152534483943,False,-0.06808092498999638,-0.051546391752577324,False,98,97,0.9897959183673469,15
half,10,0.21129324022757381,0.08535879894912114,False,0.07172785243306262,0.06311582795907394,False,100,10,0.1,17
sqrt,4,0.20639322247363548,0.14709353868704578,False,0.11935123983480612,0.0996458891572518,False,100,10,0.1,17
log,2,0.44256082502947464,-0.0027302812189778417,False,0.04773026358473228,-0.007071421391774783,False,100,2,0.02,17
ten_percent,2,0.44256082502947464,-0.0027302812189778417,False,0.04773026358473228,-0.007071421391774783,False,100,2,0.02,17
original,20,0.07427573446619733,-0.06362635619640773,False,-0.049509967700473764,-0.05221242033198623,False,99,98,0.98989898989899,17
half,10,0.2598047137332905,0.14290430685510835,False,0.06780806322028392,0.09076211547948283,False,100,8,0.08,28
sqrt,4,0.31113635400034056,0.0435629306409713,False,0.017666344572857772,0.0309560295707703,False,100,6,0.06,28
log,2,0.6014062512837867,0.2984307961378092,False,0.22313105681098772,0.20861131792231194,False,100,4,0.04,28
ten_percent,2,0.6014062512837867,0.2984307961378092,False,0.22313105681098772,0.20861131792231194,False,100,4,0.04,28
original,20,0.07834465054142802,0.0574484989621426,False,0.03264523679227206,0.04714045207910317,False,100,99,0.99,28
half,10,0.2557742409315841,0.15930669644338558,False,0.1892562775543968,0.11762350697117259,False,100,7,0.07,19
sqrt,4,0.26072096415722845,0.19012497666849587,False,0.2022746580141829,0.14628241424618904,False,100,6,0.06,19
log,2,0.5766157964244895,0.061399982025296874,False,0.14025330143934828,0.04083283548479361,False,100,4,0.04,19
ten_percent,2,0.5766157964244895,0.061399982025296874,False,0.14025330143934828,0.04083283548479361,False,100,4,0.04,19
original,20,0.0815150011243433,,True,,,True,100,100,1.0,19
half,10,0.21529025627706058,0.18350586622983728,False,0.12405733294167946,0.12650274737670397,False,100,12,0.12,21
sqrt,4,0.23236405050450235,0.17106670177303973,False,0.12582090465774437,0.11841116979540506,False,100,9,0.09,21
log,2,0.33040610981182283,0.08668987053535239,False,0.07193331411560791,0.05540953287453548,False,100,5,0.05,21
ten_percent,2,0.33040610981182283,0.08668987053535239,False,0.07193331411560791,0.05540953287453548,False,100,5,0.05,21
original,20,0.07675953535558742,,True,,,True,100,100,1.0,21
half,10,0.25433588080033365,0.021700448711634138,False,0.048018060503840373,0.02650483577628045,False,100,6,0.06,18
